date,open,high,low,close,volume,Name
2013-02-08,118.47,120.0,118.12,119.47,963251,CMI
2013-02-11,118.8,119.99,118.53,119.26,1055455,CMI
2013-02-12,119.42,119.93,118.94,119.19,1275956,CMI
2013-02-13,119.79,119.92,118.0,119.04,1438171,CMI
2013-02-14,118.54,119.34,117.89,118.73,1232969,CMI
2013-02-15,119.32,119.79,118.485,119.21,1343292,CMI
2013-02-19,119.23,119.41,118.01,118.87,1394499,CMI
2013-02-20,118.01,118.19,114.52,114.83,2122258,CMI
2013-02-21,114.07,114.15,111.46,112.53,2488251,CMI
2013-02-22,113.44,114.0,112.44,112.79,1715670,CMI
2013-02-25,115.76,116.26,111.22,111.25,1963158,CMI
2013-02-26,111.88,113.76,110.87,113.38,1923646,CMI
2013-02-27,113.12,116.65,112.45,115.77,1635936,CMI
2013-02-28,115.87,117.34,115.52,115.87,1411897,CMI
2013-03-01,114.96,116.0,113.02,115.05,1453435,CMI
2013-03-04,114.3,114.64,112.33,114.13,1557541,CMI
2013-03-05,115.48,118.43,115.39,116.45,1701776,CMI
2013-03-06,117.07,117.79,115.55,116.87,1246677,CMI
2013-03-07,117.01,118.385,116.41,117.28,1298052,CMI
2013-03-08,118.35,119.73,118.24,119.63,1905684,CMI
2013-03-11,119.11,119.77,118.51,119.62,934147,CMI
2013-03-12,119.6,119.62,117.532,118.63,1022266,CMI
2013-03-13,118.29,118.489,117.301,117.77,1089608,CMI
2013-03-14,118.3,118.31,116.58,117.28,1760467,CMI
2013-03-15,116.77,117.84,116.46,117.36,1364972,CMI
2013-03-18,115.97,118.05,115.34,116.31,1652314,CMI
2013-03-19,116.41,116.82,113.995,115.08,1549714,CMI
2013-03-20,116.95,117.66,115.73,116.25,1851837,CMI
2013-03-21,115.96,116.01,113.85,114.01,1455965,CMI
2013-03-22,114.23,114.53,113.02,113.5,1730995,CMI
2013-03-25,113.91,114.12,111.58,112.31,2336802,CMI
2013-03-26,112.4,113.3,112.25,113.15,1911354,CMI
2013-03-27,112.36,114.77,111.88,113.92,2564268,CMI
2013-03-28,114.14,116.0,113.82,115.81,1773555,CMI
2013-04-01,115.81,115.97,112.38,112.71,1385835,CMI
2013-04-02,113.08,113.5399,111.33,111.84,1345959,CMI
2013-04-03,111.86,112.92,111.3,112.54,2031898,CMI
2013-04-04,112.71,114.25,112.54,114.07,1631103,CMI
2013-04-05,111.85,113.21,110.25,112.94,1907842,CMI
2013-04-08,113.0,113.21,111.7,112.83,1072122,CMI
2013-04-09,113.11,115.32,113.02,114.98,1275954,CMI
2013-04-10,115.58,118.35,115.13,118.1,2080321,CMI
2013-04-11,118.28,118.69,116.9501,118.18,1972172,CMI
2013-04-12,117.62,117.93,116.39,117.11,1281509,CMI
2013-04-15,116.1,116.1299,109.72,109.75,3633633,CMI
2013-04-16,111.27,112.25,110.07,111.32,1547326,CMI
2013-04-17,110.0,110.5,107.52,108.01,2099242,CMI
2013-04-18,108.39,109.04,105.86,106.02,2250675,CMI
2013-04-19,106.11,107.6,106.02,107.06,2069343,CMI
2013-04-22,107.17,108.55,106.16,107.67,1352023,CMI
2013-04-23,108.57,109.37,107.0,107.49,1635761,CMI
2013-04-24,108.17,110.62,108.055,110.08,1602122,CMI
2013-04-25,110.76,114.04,110.52,112.16,1551439,CMI
2013-04-26,112.3,112.36,110.7703,111.2,1272458,CMI
2013-04-29,112.15,113.77,111.51,113.25,1805891,CMI
2013-04-30,110.44,110.63,105.95,106.39,5945021,CMI
2013-05-01,105.25,106.2,103.41,103.66,4184985,CMI
2013-05-02,104.14,106.58,104.14,106.41,2358572,CMI
2013-05-03,108.45,111.85,107.8,110.6,2748502,CMI
2013-05-06,111.06,112.06,109.935,110.85,1977675,CMI
2013-05-07,111.14,113.09,111.14,112.98,1524013,CMI
2013-05-08,113.05,115.22,112.44,115.01,1782026,CMI
2013-05-09,114.71,114.95,113.641,114.24,1837355,CMI
2013-05-10,114.08,114.96,113.54,114.38,1853660,CMI
2013-05-13,114.23,114.39,113.05,113.4,1514179,CMI
2013-05-14,113.65,115.19,112.95,114.8,1543468,CMI
2013-05-15,113.98,115.145,113.075,114.68,1505287,CMI
2013-05-16,114.16,116.16,113.9,114.33,1318345,CMI
2013-05-17,115.06,116.66,114.69,116.43,1051500,CMI
2013-05-20,116.04,119.441,115.731,118.15,1715973,CMI
2013-05-21,118.14,119.51,117.72,118.83,1660399,CMI
2013-05-22,118.55,119.5,117.09,117.5,1869133,CMI
2013-05-23,115.47,118.18,115.33,116.94,1637927,CMI
2013-05-24,115.9,116.65,115.26,116.31,1669968,CMI
2013-05-28,118.01,119.11,116.91,117.27,1276100,CMI
2013-05-29,115.95,118.2,115.76,117.72,1277729,CMI
2013-05-30,117.86,118.88,117.01,117.69,1781387,CMI
2013-05-31,117.33,122.315,116.8,119.63,2956815,CMI
2013-06-03,119.75,120.71,116.72,118.44,2251852,CMI
2013-06-04,118.24,119.33,116.918,118.21,1522802,CMI
2013-06-05,117.65,117.83,115.71,116.0,1628777,CMI
2013-06-06,116.01,118.33,115.74,117.34,1764678,CMI
2013-06-07,118.25,119.63,117.35,118.54,1104941,CMI
2013-06-10,119.13,119.13,117.82,118.65,897445,CMI
2013-06-11,117.11,119.5,116.38,117.43,1756040,CMI
2013-06-12,118.56,118.63,115.57,115.74,1643262,CMI
2013-06-13,115.11,118.45,114.91,118.27,1557533,CMI
2013-06-14,117.12,118.69,115.93,116.13,1111273,CMI
2013-06-17,116.61,117.37,115.3,116.06,1446099,CMI
2013-06-18,116.36,117.65,115.7134,117.37,865283,CMI
2013-06-19,117.37,117.61,115.59,115.6,1255114,CMI
2013-06-20,114.56,115.03,111.86,112.42,2851668,CMI
2013-06-21,113.0,113.3599,110.84,111.12,2636474,CMI
2013-06-24,109.11,109.26,105.55,105.94,4270712,CMI
2013-06-25,107.23,109.03,106.75,107.44,2534646,CMI
2013-06-26,108.81,109.4,107.03,107.36,2177685,CMI
2013-06-27,108.29,108.98,107.91,108.51,1868998,CMI
2013-06-28,108.27,109.73,107.8,108.46,2777588,CMI
2013-07-01,109.25,110.94,108.72,110.33,1605244,CMI
2013-07-02,110.01,111.72,109.845,110.2,1496595,CMI
2013-07-03,108.69,109.3,107.51,108.9,1552870,CMI
2013-07-05,109.92,110.84,108.74,110.79,908901,CMI
2013-07-08,111.16,111.54,110.5,110.83,1216454,CMI
2013-07-09,111.395,113.17,111.33,112.62,1357831,CMI
2013-07-10,112.94,114.96,112.9,113.7,1312893,CMI
2013-07-11,116.01,117.33,114.99,115.28,1892403,CMI
2013-07-12,115.28,115.86,114.18,115.4,1421238,CMI
2013-07-15,115.5,117.87,115.12,117.29,1398234,CMI
2013-07-16,117.61,118.04,115.25,115.99,1384844,CMI
2013-07-17,116.87,117.1599,115.63,116.48,793706,CMI
2013-07-18,116.92,117.5,116.192,117.02,1477366,CMI
2013-07-19,116.77,118.32,116.24,118.14,1561610,CMI
2013-07-22,118.29,119.0,117.68,118.01,871052,CMI
2013-07-23,118.57,119.39,117.43,117.67,1774968,CMI
2013-07-24,117.76,117.76,115.73,116.24,2243604,CMI
2013-07-25,115.65,117.1,115.3,116.58,1158891,CMI
2013-07-26,115.9,116.54,115.37,115.88,1459627,CMI
2013-07-29,115.89,117.05,115.5,116.44,1490072,CMI
2013-07-30,120.01,123.9,117.379,118.23,5301737,CMI
2013-07-31,119.18,121.91,119.02,121.19,2423234,CMI
2013-08-01,122.6,123.83,122.34,122.94,2231669,CMI
2013-08-02,122.24,123.18,121.0,123.05,1646785,CMI
2013-08-05,122.88,123.05,121.81,122.73,921977,CMI
2013-08-06,122.07,122.12,121.15,122.09,1196794,CMI
2013-08-07,121.7,122.44,120.7101,122.19,1287121,CMI
2013-08-08,123.43,124.5,123.13,123.7,1250289,CMI
2013-08-09,123.47,124.4801,123.06,124.02,1411859,CMI
2013-08-12,122.79,126.97,122.52,125.84,1676109,CMI
2013-08-13,126.79,128.13,125.84,127.52,1850018,CMI
2013-08-14,127.88,128.3,127.15,127.51,1711406,CMI
2013-08-15,125.89,125.89,124.142,124.72,1437372,CMI
2013-08-16,124.73,126.2364,124.53,124.94,1156207,CMI
2013-08-19,125.02,125.82,123.64,123.83,1459467,CMI
2013-08-20,123.79,124.3,122.58,123.57,992778,CMI
2013-08-21,123.41,125.35,122.84,123.43,1738613,CMI
2013-08-22,124.14,127.59,124.14,126.56,1848135,CMI
2013-08-23,126.57,126.57,124.82,125.21,1177765,CMI
2013-08-26,125.27,126.25,124.51,124.57,891912,CMI
2013-08-27,122.82,124.05,121.91,122.03,1740371,CMI
2013-08-28,121.66,123.57,121.66,122.76,1263567,CMI
2013-08-29,122.08,124.74,122.07,123.44,1275522,CMI
2013-08-30,123.55,123.94,122.72,123.2,1025810,CMI
2013-09-03,125.0,126.0,123.4605,124.13,974120,CMI
2013-09-04,124.4,127.518,124.006,127.0,1782460,CMI
2013-09-05,126.74,128.25,126.3,127.11,1208457,CMI
2013-09-06,127.82,128.23,125.51,126.77,812493,CMI
2013-09-09,127.1,130.0,127.08,129.38,1345395,CMI
2013-09-10,130.07,132.4,130.03,131.75,1496968,CMI
2013-09-11,131.8,132.34,130.37,132.34,826031,CMI
2013-09-12,131.99,133.67,131.76,133.05,1725365,CMI
2013-09-13,133.46,134.29,132.24,133.68,1482768,CMI
2013-09-16,136.24,136.24,133.4901,133.85,1286403,CMI
2013-09-17,133.22,133.47,131.74,131.96,1702524,CMI
2013-09-18,131.99,134.03,131.05,133.72,1842279,CMI
2013-09-19,134.0,135.54,133.5,135.25,1891855,CMI
2013-09-20,135.24,136.5,134.28,134.57,1747350,CMI
2013-09-23,134.52,134.55,132.89,133.61,916959,CMI
2013-09-24,133.16,135.19,132.62,133.93,1355091,CMI
2013-09-25,133.92,134.71,132.46,133.7,980467,CMI
2013-09-26,134.21,135.08,133.535,134.19,896292,CMI
2013-09-27,132.98,133.8,132.6,133.54,893046,CMI
2013-09-30,132.15,133.87,131.74,132.87,925087,CMI
2013-10-01,132.01,134.09,132.0,132.73,1222663,CMI
2013-10-02,131.98,134.77,131.82,134.64,1608975,CMI
2013-10-03,134.6,134.9099,131.0007,131.76,1247326,CMI
2013-10-04,131.92,133.68,131.4,133.21,787417,CMI
2013-10-07,131.84,132.48,131.1101,131.15,957919,CMI
2013-10-08,131.29,132.62,129.34,129.47,1366511,CMI
2013-10-09,129.57,130.47,128.15,129.34,969554,CMI
2013-10-10,131.19,133.22,130.91,132.65,1033514,CMI
2013-10-11,131.96,132.63,131.2,132.31,938267,CMI
2013-10-14,131.42,134.55,131.14,134.07,1210770,CMI
2013-10-15,133.71,134.42,132.0,132.52,1913626,CMI
2013-10-16,133.2,133.41,131.57,133.29,1204270,CMI
2013-10-17,132.84,134.32,132.48,133.98,777093,CMI
2013-10-18,134.66,136.87,134.412,136.44,1045469,CMI
2013-10-21,136.68,137.43,136.125,136.91,597112,CMI
2013-10-22,137.6,139.17,137.45,138.18,1114072,CMI
2013-10-23,137.15,137.19,134.8,135.54,1734045,CMI
2013-10-24,136.19,137.9,135.5,137.86,1337531,CMI
2013-10-25,137.92,137.92,133.89,135.59,2242049,CMI
2013-10-28,135.63,136.31,134.5937,134.91,1363761,CMI
2013-10-29,124.84,128.27,122.52,127.9,8654236,CMI
2013-10-30,127.55,128.17,124.99,125.44,3201883,CMI
2013-10-31,125.63,128.08,124.47,127.02,2277061,CMI
2013-11-01,127.42,129.145,127.0,128.85,2493484,CMI
2013-11-04,129.08,130.84,129.05,129.91,2250610,CMI
2013-11-05,129.85,132.55,128.4,131.72,2123616,CMI
2013-11-06,132.06,132.7501,130.71,132.48,1470135,CMI
2013-11-07,132.44,132.98,128.76,128.89,2206861,CMI
2013-11-08,129.3,130.94,129.3,130.7,1379270,CMI
2013-11-11,130.89,130.94,130.02,130.1,868492,CMI
2013-11-12,132.39,132.55,129.8,130.1,1066870,CMI
2013-11-13,129.21,131.69,128.6,131.55,1131910,CMI
2013-11-14,131.55,132.91,131.38,132.49,1092140,CMI
2013-11-15,132.27,132.86,131.1,132.04,1388750,CMI
2013-11-18,132.38,133.86,132.26,132.59,1425358,CMI
2013-11-19,131.86,132.49,129.5,130.0,926861,CMI
2013-11-20,130.64,131.0,128.3,128.74,911869,CMI
2013-11-21,128.99,129.89,128.86,129.26,687329,CMI
2013-11-22,129.01,130.4,128.7,130.37,698596,CMI
2013-11-25,130.9,131.61,130.54,130.8,872244,CMI
2013-11-26,130.8,131.41,130.5,130.98,750230,CMI
2013-11-27,131.51,132.79,131.0,132.63,708251,CMI
2013-11-29,132.99,133.31,132.17,132.36,377907,CMI
2013-12-02,132.55,134.05,131.61,132.98,878447,CMI
2013-12-03,132.29,132.665,129.19,130.03,1676700,CMI
2013-12-04,129.5,130.14,127.8101,129.02,1777235,CMI
2013-12-05,128.87,130.13,128.49,129.6,1135886,CMI
2013-12-06,131.39,131.72,130.17,130.48,1129724,CMI
2013-12-09,130.16,132.84,130.01,131.66,1253081,CMI
2013-12-10,131.43,133.48,131.25,132.86,1152038,CMI
2013-12-11,132.75,132.8,130.291,130.66,1128131,CMI
2013-12-12,130.33,131.0075,129.05,129.54,1119674,CMI
2013-12-13,130.26,130.47,129.35,130.01,860804,CMI
2013-12-16,131.1,133.62,131.1,133.09,1651819,CMI
2013-12-17,132.86,133.89,132.67,133.25,1129967,CMI
2013-12-18,133.26,136.3099,133.0,136.03,1515650,CMI
2013-12-19,137.13,138.0,136.28,137.2,2283972,CMI
2013-12-20,136.75,138.47,136.56,137.75,1856839,CMI
2013-12-23,138.76,139.5,138.16,138.66,1286395,CMI
2013-12-24,138.99,139.84,138.13,139.4,407376,CMI
2013-12-26,139.48,140.215,139.14,139.85,625022,CMI
2013-12-27,140.43,140.43,139.285,139.83,616002,CMI
2013-12-30,139.81,140.485,139.3,139.93,714043,CMI
2013-12-31,140.0,141.39,139.955,140.97,762724,CMI
2014-01-02,140.43,140.98,138.28,138.56,1533605,CMI
2014-01-03,138.77,140.0,138.34,139.16,1093209,CMI
2014-01-06,140.22,141.67,138.25,138.72,1353766,CMI
2014-01-07,138.87,140.25,138.8,139.89,879535,CMI
2014-01-08,139.59,140.23,138.83,139.35,976929,CMI
2014-01-09,140.15,140.6226,137.94,138.67,866943,CMI
2014-01-10,139.36,139.545,137.8,138.1,1036206,CMI
2014-01-13,137.59,138.42,135.76,136.15,1411665,CMI
2014-01-14,137.0,137.49,136.37,137.13,1095771,CMI
2014-01-15,137.49,138.25,137.36,137.79,1123750,CMI
2014-01-16,137.05,138.55,137.05,137.84,931213,CMI
2014-01-17,138.96,139.07,137.51,137.74,1319104,CMI
2014-01-21,138.04,138.5,135.76,136.41,1625032,CMI
2014-01-22,136.5,136.55,134.8,134.88,1585763,CMI
2014-01-23,134.5,135.49,131.52,132.08,2394829,CMI
2014-01-24,131.1,131.22,126.06,126.31,3033163,CMI
2014-01-27,128.32,128.68,124.03,125.95,2528884,CMI
2014-01-28,126.61,128.71,126.53,128.63,1567847,CMI
2014-01-29,126.87,130.02,126.5,128.59,2103478,CMI
2014-01-30,129.65,129.9199,128.04,128.48,1419296,CMI
2014-01-31,126.73,128.01,126.06,126.98,1886879,CMI
2014-02-03,127.13,127.92,123.15,123.7,2322687,CMI
2014-02-04,123.76,126.7,122.641,126.4,2494486,CMI
2014-02-05,126.24,127.14,125.48,126.67,2487132,CMI
2014-02-06,123.5,131.4899,123.5,130.78,3446824,CMI
2014-02-07,132.5,135.572,131.94,134.33,2581192,CMI
2014-02-10,133.91,133.99,132.4,133.02,1505376,CMI
2014-02-11,133.12,136.45,132.9,135.52,2142962,CMI
2014-02-12,135.69,139.05,135.56,138.59,2335579,CMI
