date,open,high,low,close,volume,Name
2013-02-08,60.18,60.8,60.17,60.49,553059,COL
2013-02-11,60.27,60.38,59.96,60.22,598029,COL
2013-02-12,60.36,60.44,59.37,59.49,783425,COL
2013-02-13,59.64,59.71,58.97,59.14,454847,COL
2013-02-14,58.84,59.54,58.64,59.13,637865,COL
2013-02-15,59.01,59.34,58.81,59.1,1029370,COL
2013-02-19,59.2,59.3,58.9001,59.12,808603,COL
2013-02-20,59.12,59.46,58.75,58.77,594013,COL
2013-02-21,58.58,58.72,57.75,57.89,1281212,COL
2013-02-22,58.3,59.09,58.28,58.82,630175,COL
2013-02-25,59.08,59.28,57.92,57.92,859178,COL
2013-02-26,58.15,58.64,58.08,58.5,792436,COL
2013-02-27,58.44,60.04,58.35,59.92,899900,COL
2013-02-28,60.0,60.55,59.9,60.11,887016,COL
2013-03-01,59.82,60.315,59.27,60.03,1335377,COL
2013-03-04,59.81,59.89,58.78,59.47,1091528,COL
2013-03-05,59.71,60.4,59.65,60.2,711762,COL
2013-03-06,60.39,60.48,59.57,60.17,981537,COL
2013-03-07,60.22,61.04,60.04,60.69,867050,COL
2013-03-08,60.94,61.08,60.68,60.95,897299,COL
2013-03-11,60.83,61.62,60.81,61.5,1277922,COL
2013-03-12,61.5,61.897,61.23,61.81,560429,COL
2013-03-13,61.9,63.37,61.75,63.36,1198178,COL
2013-03-14,63.38,63.78,62.99,63.2,1061051,COL
2013-03-15,62.99,63.605,62.71,63.41,1607911,COL
2013-03-18,63.12,63.69,62.92,63.38,905453,COL
2013-03-19,63.49,63.775,62.94,63.55,812284,COL
2013-03-20,63.77,64.16,63.52,63.82,615096,COL
2013-03-21,63.41,63.77,62.66,63.03,535818,COL
2013-03-22,63.24,63.48,62.68,62.74,540266,COL
2013-03-25,62.88,63.31,62.26,62.53,452240,COL
2013-03-26,62.78,63.02,62.43,62.7,559657,COL
2013-03-27,62.4,62.78,61.86,62.58,630377,COL
2013-03-28,62.68,63.22,62.44,63.12,1298722,COL
2013-04-01,62.94,63.07,62.18,62.34,438581,COL
2013-04-02,62.56,62.59,61.64,61.89,496495,COL
2013-04-03,62.01,62.75,61.91,62.08,882603,COL
2013-04-04,62.24,62.705,62.15,62.41,979806,COL
2013-04-05,61.81,62.26,61.68,62.09,976235,COL
2013-04-08,62.2,62.42,61.44,62.35,633870,COL
2013-04-09,62.56,62.79,61.905,62.72,590525,COL
2013-04-10,62.8,63.69,62.69,63.69,862342,COL
2013-04-11,63.77,63.93,63.48,63.69,612568,COL
2013-04-12,63.37,63.39,62.55,62.88,957770,COL
2013-04-15,62.52,62.83,61.13,61.13,928496,COL
2013-04-16,61.54,61.64,60.83,61.4,805241,COL
2013-04-17,60.64,60.7,59.54,59.59,1119403,COL
2013-04-18,59.69,59.8,58.79,59.68,1164441,COL
2013-04-19,60.33,61.3,60.25,61.1,1575582,COL
2013-04-22,61.09,61.31,60.16,61.05,876667,COL
2013-04-23,61.46,61.53,60.76,61.35,1104722,COL
2013-04-24,61.66,62.5,61.63,61.67,1075155,COL
2013-04-25,61.71,62.45,61.65,61.92,1169181,COL
2013-04-26,62.01,62.21,61.68,61.9,622711,COL
2013-04-29,61.96,62.28,61.7,62.25,522400,COL
2013-04-30,62.25,63.095,61.98,62.92,784775,COL
2013-05-01,62.65,63.36,62.44,62.44,1813673,COL
2013-05-02,62.5,63.51,62.5,63.4,643898,COL
