date,open,high,low,close,volume,Name
2013-02-08,57.82,57.87,57.58,57.87,17871725,COP
2013-02-11,57.94,57.94,57.53,57.59,19329629,COP
2013-02-12,57.84,58.26,57.6,58.25,21826388,COP
2013-02-13,58.35,58.62,58.0,58.61,6787827,COP
2013-02-14,57.8,58.01,57.6199,57.92,5764412,COP
2013-02-15,57.9,58.01,56.78,57.02,9695518,COP
2013-02-19,57.64,58.61,57.52,58.6,8119745,COP
2013-02-20,58.6,58.61,57.64,57.67,5927128,COP
2013-02-21,57.56,58.16,57.09,58.11,7298826,COP
2013-02-22,58.3,58.33,57.65,58.2,4387306,COP
2013-02-25,58.47,58.55,56.83,56.89,8409594,COP
2013-02-26,57.3,57.92,56.9495,57.75,7763493,COP
2013-02-27,57.56,58.18,57.41,58.04,6117022,COP
2013-02-28,57.9,58.3,57.85,57.95,7528251,COP
2013-03-01,57.93,58.28,57.65,58.28,6732252,COP
2013-03-04,58.14,58.19,57.25,57.62,5845181,COP
2013-03-05,57.94,58.01,57.36,57.66,7148360,COP
2013-03-06,57.93,58.04,57.44,58.0,6691277,COP
2013-03-07,58.002,58.14,57.85,57.86,5328649,COP
2013-03-08,57.97,58.49,57.83,58.39,4797968,COP
2013-03-11,58.41,58.595,58.08,58.44,4725968,COP
2013-03-12,58.56,58.92,58.45,58.73,4664590,COP
2013-03-13,58.76,58.94,58.56,58.78,4485313,COP
2013-03-14,59.0,59.56,58.87,59.52,5130118,COP
2013-03-15,59.1,59.39,58.81,59.07,10307678,COP
2013-03-18,58.67,59.65,58.55,59.15,5002603,COP
2013-03-19,59.21,59.48,58.71,59.31,6726904,COP
2013-03-20,60.0,60.54,59.63,60.44,8142013,COP
2013-03-21,60.17,61.03,60.01,60.94,8956935,COP
2013-03-22,61.11,61.11,60.68,60.91,6376945,COP
2013-03-25,61.0,61.19,60.06,60.21,5776829,COP
2013-03-26,60.5,60.62,60.08,60.44,4516225,COP
2013-03-27,60.2,60.71,60.03,60.38,4103163,COP
2013-03-28,60.4,60.59,60.06,60.1,5282993,COP
2013-04-01,60.2,60.7,60.02,60.48,4124336,COP
2013-04-02,60.58,60.65,59.85,60.04,4769837,COP
2013-04-03,60.14,60.35,59.13,59.28,5534713,COP
2013-04-04,59.22,59.41,58.7,58.88,4965199,COP
2013-04-05,58.38,58.69,58.06,58.54,6736481,COP
2013-04-08,58.6,59.34,58.51,59.31,4744039,COP
2013-04-09,59.51,60.06,59.0,59.78,4603934,COP
2013-04-10,59.98,60.6,59.89,60.25,5450608,COP
2013-04-11,60.4,60.63,59.83,60.16,6837247,COP
2013-04-12,59.63,59.86,59.08,59.36,5149196,COP
2013-04-15,58.72,58.72,57.2,57.24,9772626,COP
2013-04-16,58.01,58.01,56.883,57.44,9321865,COP
2013-04-17,57.17,57.2,56.38,56.81,7038608,COP
2013-04-18,56.96,57.57,56.465,57.32,6170444,COP
2013-04-19,57.64,57.99,57.04,57.49,6396654,COP
2013-04-22,57.58,57.79,56.915,57.39,5465652,COP
2013-04-23,57.61,57.8,57.0,57.78,7519919,COP
2013-04-24,57.89,58.55,57.89,58.26,7812011,COP
2013-04-25,58.37,58.77,57.72,58.37,6271337,COP
2013-04-26,58.42,59.0,58.359,58.91,6303916,COP
2013-04-29,59.29,60.05,59.021,59.9,5621023,COP
2013-04-30,59.84,60.45,59.51,60.45,6208662,COP
2013-05-01,60.15,60.72,59.9,60.01,7149676,COP
2013-05-02,60.1,61.23,59.95,60.96,8344476,COP
2013-05-03,61.41,61.97,61.25,61.92,6434510,COP
2013-05-06,61.96,62.42,61.71,62.22,5802476,COP
2013-05-07,62.38,62.99,62.26,62.84,5933479,COP
2013-05-08,62.8,62.94,62.33,62.59,6476002,COP
2013-05-09,62.56,62.89,62.33,62.58,11004265,COP
2013-05-10,62.44,62.58,61.82,62.23,12466209,COP
2013-05-13,62.11,62.33,61.75,62.0,12518462,COP
2013-05-14,62.02,63.14,61.84,63.06,6908589,COP
2013-05-15,62.84,62.84,61.86,62.42,8092235,COP
