date,open,high,low,close,volume,Name
2013-02-08,42.62,42.86,42.37,42.4875,4283632,CRM
2013-02-11,42.705,42.8125,42.2725,42.6575,5683700,CRM
2013-02-12,42.6825,43.25,42.6175,43.09,5906404,CRM
2013-02-13,43.09,43.34,42.5,43.075,4106540,CRM
2013-02-14,43.0725,43.865,42.89,43.615,6838456,CRM
2013-02-15,43.6875,43.96,43.1525,43.7575,5413348,CRM
2013-02-19,43.675,43.935,43.4475,43.7075,3496836,CRM
2013-02-20,43.72,43.905,42.765,42.77,5299932,CRM
2013-02-21,42.7225,42.79,41.9425,42.1375,5466956,CRM
2013-02-22,42.5375,42.64,42.1875,42.64,4078316,CRM
2013-02-25,42.4475,42.74,40.82,40.8775,10160304,CRM
2013-02-26,40.9525,41.67,40.565,40.84,6918808,CRM
2013-02-27,40.8425,42.0525,40.5,41.735,6224064,CRM
2013-02-28,41.7675,42.475,41.7675,42.305,14764784,CRM
2013-03-01,44.375,45.81,42.6975,45.5,26724228,CRM
2013-03-04,45.505,46.6575,45.37,46.4725,9553272,CRM
2013-03-05,45.935,46.4725,45.76,46.4425,9380952,CRM
2013-03-06,46.415,46.8675,46.1425,46.5925,4816236,CRM
2013-03-07,46.6175,46.6385,46.02,46.1175,3819964,CRM
2013-03-08,46.4525,46.5125,45.7675,46.4625,4218500,CRM
2013-03-11,46.38,46.985,46.3775,46.485,4028992,CRM
2013-03-12,45.675,45.83,45.125,45.1975,8920852,CRM
2013-03-13,45.375,45.4125,44.7375,45.2275,6622944,CRM
2013-03-14,45.41,45.7245,44.59,44.6225,7149992,CRM
2013-03-15,44.6075,44.96,44.0475,44.125,9869600,CRM
2013-03-18,43.825,44.25,43.455,43.5325,6496436,CRM
2013-03-19,43.63,43.6825,42.5925,42.8075,7280500,CRM
2013-03-20,43.2875,43.4225,42.945,43.1275,4591140,CRM
2013-03-21,42.6925,43.42,42.535,43.1825,6499492,CRM
2013-03-22,43.85,44.28,43.2625,44.015,7204856,CRM
2013-03-25,43.985,44.0675,43.055,43.19,5163036,CRM
2013-03-26,43.375,43.7025,42.798,43.3975,4499348,CRM
2013-03-27,43.23,44.0425,43.12,43.97,5028648,CRM
2013-03-28,43.9575,44.805,43.77,44.7075,6540900,CRM
2013-04-01,44.675,44.9138,43.6825,43.8475,4824468,CRM
2013-04-02,44.2475,44.3225,43.7025,43.8325,3873684,CRM
2013-04-03,43.705,43.9625,41.6725,42.1275,8304560,CRM
2013-04-04,42.13,42.165,41.13,41.6025,5668304,CRM
2013-04-05,40.415,41.43,40.33,41.355,5287516,CRM
2013-04-08,41.24,41.7975,40.9925,41.715,3674200,CRM
2013-04-09,41.8775,41.8775,40.8875,41.3325,5303976,CRM
2013-04-10,41.485,42.3025,41.3775,42.195,4472780,CRM
2013-04-11,41.88,42.085,41.4075,41.6275,6845720,CRM
2013-04-12,41.59,42.465,41.125,42.38,7168720,CRM
2013-04-15,41.995,42.485,41.295,41.295,7119864,CRM
2013-04-16,41.685,42.6,41.5175,42.5975,6038420,CRM
2013-04-17,42.2125,42.665,41.415,41.8375,5535820,CRM
2013-04-18,41.17,41.91,40.76,41.03,4476325,CRM
2013-04-19,41.02,41.25,39.75,40.88,8713583,CRM
2013-04-22,41.06,41.17,40.13,40.32,4897810,CRM
2013-04-23,40.71,41.55,40.61,41.08,4115063,CRM
2013-04-24,41.02,41.53,40.87,40.91,2670712,CRM
2013-04-25,41.1,41.17,40.62,40.76,5149160,CRM
2013-04-26,40.84,41.1,40.635,40.71,2646256,CRM
2013-04-29,40.75,41.28,40.55,41.01,2651598,CRM
2013-04-30,41.05,41.24,40.71,41.11,3806589,CRM
2013-05-01,41.21,42.19,41.12,41.56,6423995,CRM
2013-05-02,41.77,42.1,41.5,41.87,3598443,CRM
2013-05-03,42.27,42.5,42.06,42.24,2897014,CRM
2013-05-06,42.33,42.839,42.3,42.44,4305687,CRM
2013-05-07,42.64,42.85,42.11,42.42,2802740,CRM
2013-05-08,42.43,42.59,42.2,42.37,3028226,CRM
2013-05-09,42.35,43.78,42.28,43.15,6061032,CRM
2013-05-10,43.21,44.25,43.21,44.17,4286810,CRM
2013-05-13,44.33,44.56,43.83,43.96,2944370,CRM
2013-05-14,44.05,45.04,44.01,44.98,4118625,CRM
2013-05-15,45.03,45.07,44.41,44.79,3099050,CRM
2013-05-16,45.39,47.31,45.29,46.15,7164980,CRM
2013-05-17,46.18,46.83,45.75,46.79,4781581,CRM
2013-05-20,47.14,47.58,46.82,47.01,6319056,CRM
2013-05-21,47.05,47.11,46.3,46.33,6112756,CRM
2013-05-22,46.43,47.218,45.53,45.78,6717123,CRM
2013-05-23,43.44,46.05,43.02,45.69,12046408,CRM
2013-05-24,42.75,43.82,41.8,43.25,21576765,CRM
2013-05-28,43.53,43.53,41.62,41.8,10066897,CRM
2013-05-29,41.18,42.36,40.85,41.93,8799416,CRM
2013-05-30,42.09,42.97,42.0,42.76,5557454,CRM
2013-05-31,42.52,43.06,42.08,42.33,5758998,CRM
2013-06-03,42.37,42.44,40.09,41.04,8969737,CRM
2013-06-04,39.25,40.19,37.57,37.8,29695067,CRM
2013-06-05,38.68,38.81,37.69,37.95,18555598,CRM
2013-06-06,37.87,38.4,37.1,38.06,10970934,CRM
2013-06-07,38.38,39.64,38.27,39.61,10148789,CRM
2013-06-10,39.95,39.97,38.52,38.68,10800056,CRM
2013-06-11,38.24,38.321,37.34,37.59,8942857,CRM
2013-06-12,38.12,38.51,37.29,37.58,7768020,CRM
2013-06-13,37.46,37.977,36.87,37.8,5838058,CRM
2013-06-14,37.79,38.72,37.5,37.56,4940634,CRM
2013-06-17,37.22,38.82,37.08,38.22,6519302,CRM
2013-06-18,38.25,38.52,38.04,38.25,3207758,CRM
2013-06-19,38.25,38.5,37.576,37.65,4960482,CRM
2013-06-20,37.36,37.79,36.58,36.75,5537362,CRM
2013-06-21,37.0,38.83,36.09,38.3,15550692,CRM
2013-06-24,37.63,37.63,36.13,36.95,8583536,CRM
2013-06-25,37.61,38.24,37.34,37.44,5831970,CRM
2013-06-26,37.75,38.2,37.72,38.0,5046835,CRM
2013-06-27,38.34,38.95,38.3,38.84,5188179,CRM
2013-06-28,38.44,38.57,37.81,38.18,5070584,CRM
2013-07-01,38.56,38.72,37.76,37.8,3799789,CRM
2013-07-02,37.74,38.4,37.73,38.17,4110931,CRM
2013-07-03,37.89,38.74,37.78,38.55,2293931,CRM
2013-07-05,38.96,39.07,38.33,38.94,2825464,CRM
2013-07-08,39.03,39.36,38.33,38.43,3846089,CRM
2013-07-09,38.49,38.81,37.94,38.72,3796101,CRM
2013-07-10,38.77,39.97,38.58,39.74,4688365,CRM
2013-07-11,40.21,41.7,40.16,41.52,6911788,CRM
2013-07-12,41.56,42.6,41.33,42.43,5275228,CRM
2013-07-15,42.27,42.43,41.29,41.98,4153310,CRM
2013-07-16,41.94,42.05,41.4,41.84,3900606,CRM
2013-07-17,42.0,42.74,41.73,42.71,4607733,CRM
2013-07-18,42.55,43.0,41.535,41.9,5922646,CRM
2013-07-19,41.85,42.75,41.7,42.5,6079826,CRM
2013-07-22,42.5,42.52,41.84,42.04,3134402,CRM
2013-07-23,42.13,43.16,42.01,42.54,4638144,CRM
