date,open,high,low,close,volume,Name
2013-02-08,39.49,39.615,39.05,39.365,4520014,CTSH
2013-02-11,39.27,39.325,38.495,38.56,3191766,CTSH
2013-02-12,38.56,38.575,38.25,38.3,3078208,CTSH
2013-02-13,38.235,38.43,37.95,38.19,3159290,CTSH
2013-02-14,38.105,38.215,37.93,38.09,3294272,CTSH
2013-02-15,38.11,38.615,38.01,38.425,3725586,CTSH
2013-02-19,38.475,39.225,38.295,39.1605,3590614,CTSH
2013-02-20,39.095,39.12,38.515,38.525,3048194,CTSH
2013-02-21,38.49,38.5,37.5625,37.585,3601616,CTSH
2013-02-22,37.74,38.22,37.7,38.19,3045056,CTSH
2013-02-25,38.435,38.8,37.73,37.74,3601706,CTSH
2013-02-26,37.78,38.1238,37.635,37.93,3121106,CTSH
2013-02-27,38.06,38.77,37.85,38.59,2392606,CTSH
2013-02-28,38.58,38.71,38.355,38.385,2436104,CTSH
2013-03-01,38.225,39.035,37.875,38.97,2908938,CTSH
2013-03-04,38.895,39.345,38.6,39.295,2570758,CTSH
2013-03-05,39.42,39.9775,39.415,39.92,4042934,CTSH
2013-03-06,40.235,40.375,39.835,40.35,3400362,CTSH
2013-03-07,40.31,40.42,40.0125,40.265,2016340,CTSH
2013-03-08,40.325,40.54,39.94,40.255,2800688,CTSH
2013-03-11,39.6,39.895,39.505,39.89,2921344,CTSH
2013-03-12,39.86,39.87,39.2725,39.5075,2338506,CTSH
2013-03-13,39.625,39.625,39.06,39.595,3773390,CTSH
2013-03-14,39.645,39.72,39.1575,39.34,3412328,CTSH
2013-03-15,39.225,39.515,39.12,39.18,6011962,CTSH
2013-03-18,38.92,39.145,38.555,38.805,2724894,CTSH
2013-03-19,38.88,39.145,38.315,38.55,2560490,CTSH
2013-03-20,38.9,39.09,38.63,38.805,2628214,CTSH
2013-03-21,38.435,38.445,38.015,38.07,3640504,CTSH
2013-03-22,38.2,38.33,37.24,37.45,8047472,CTSH
2013-03-25,37.56,37.8425,37.015,37.195,5473496,CTSH
2013-03-26,37.495,37.705,37.225,37.31,2852056,CTSH
2013-03-27,37.17,37.47,37.035,37.105,3743968,CTSH
2013-03-28,37.125,38.365,37.035,38.3105,5644222,CTSH
2013-04-01,38.27,38.6,38.135,38.37,3540848,CTSH
2013-04-02,38.45,38.945,38.13,38.18,3045248,CTSH
2013-04-03,38.14,38.215,37.425,37.46,3642006,CTSH
2013-04-04,37.445,37.64,37.005,37.24,3225418,CTSH
2013-04-05,36.78,36.89,36.075,36.83,3829038,CTSH
2013-04-08,36.815,37.295,36.61,37.295,2389094,CTSH
2013-04-09,37.31,37.565,36.845,37.21,2151658,CTSH
2013-04-10,37.41,38.475,37.275,38.15,4010330,CTSH
2013-04-11,38.245,38.85,38.125,38.83,5391472,CTSH
2013-04-12,37.79,37.89,37.055,37.78,9171892,CTSH
2013-04-15,37.75,37.75,36.525,36.53,8525696,CTSH
2013-04-16,36.805,37.1,36.295,36.315,8952624,CTSH
2013-04-17,36.095,36.095,35.33,35.475,9982082,CTSH
2013-04-18,35.62,35.64,35.15,35.24,4885284,CTSH
2013-04-19,35.145,35.18,33.855,33.905,11732402,CTSH
2013-04-22,34.08,34.27,33.2025,33.35,9908950,CTSH
2013-04-23,33.525,33.59,32.435,32.495,17676232,CTSH
2013-04-24,32.495,32.595,30.885,30.965,31609800,CTSH
2013-04-25,31.395,31.88,30.645,30.675,18130584,CTSH
2013-04-26,30.655,31.18,30.65,30.98,12815958,CTSH
2013-04-29,31.135,31.58,31.0725,31.465,10227852,CTSH
2013-04-30,31.45,32.61,31.415,32.4,14370254,CTSH
2013-05-01,32.23,32.425,31.705,31.745,5536670,CTSH
2013-05-02,31.8,32.205,31.4675,32.17,7686000,CTSH
2013-05-03,32.55,33.335,32.375,33.305,9763504,CTSH
2013-05-06,33.39,33.39,32.775,32.825,7357920,CTSH
2013-05-07,32.87,33.2,32.08,32.44,9718854,CTSH
2013-05-08,34.0,34.115,32.58,34.075,13004590,CTSH
2013-05-09,34.24,34.335,33.845,34.225,11530318,CTSH
2013-05-10,34.355,34.365,32.1048,32.515,11786598,CTSH
2013-05-13,32.525,32.59,31.315,31.44,15485072,CTSH
2013-05-14,31.56,31.815,30.945,31.195,11703160,CTSH
2013-05-15,31.17,32.45,31.005,32.22,16701028,CTSH
2013-05-16,32.115,32.2875,31.57,31.61,5756358,CTSH
2013-05-17,31.86,32.785,31.415,32.75,11365278,CTSH
2013-05-20,32.75,33.215,32.025,32.265,9405210,CTSH
2013-05-21,32.37,32.445,32.035,32.305,11978274,CTSH
2013-05-22,31.945,33.2,31.925,32.575,16925054,CTSH
2013-05-23,32.445,32.6,31.84,32.055,9318330,CTSH
2013-05-24,31.885,31.925,31.455,31.885,5860836,CTSH
2013-05-28,32.345,32.345,31.75,31.87,6427844,CTSH
2013-05-29,31.645,32.355,31.43,32.14,7384034,CTSH
2013-05-30,32.185,32.5,31.89,32.4,5071642,CTSH
2013-05-31,32.36,32.585,32.065,32.325,4702430,CTSH
2013-06-03,32.43,32.6,32.1,32.435,5266186,CTSH
2013-06-04,32.65,32.9425,32.365,32.41,5869096,CTSH
2013-06-05,32.245,32.38,31.65,31.94,4851308,CTSH
2013-06-06,32.1,32.68,31.7188,32.675,8197294,CTSH
2013-06-07,32.895,33.33,32.8,33.29,7185268,CTSH
2013-06-10,33.305,33.32,32.0,32.055,7069204,CTSH
2013-06-11,31.7,32.365,31.625,32.215,4157344,CTSH
2013-06-12,32.365,32.57,31.925,32.0,5435152,CTSH
2013-06-13,31.925,32.135,31.59,31.955,6217312,CTSH
2013-06-14,31.875,32.075,31.245,31.49,6040790,CTSH
2013-06-17,31.8,32.105,31.6855,31.73,6664000,CTSH
2013-06-18,31.82,32.225,31.625,32.0225,6617456,CTSH
2013-06-19,32.085,32.335,31.695,31.77,6154188,CTSH
2013-06-20,31.2901,31.7,31.205,31.355,6857362,CTSH
2013-06-21,31.38,31.625,30.995,31.155,8958258,CTSH
