date,open,high,low,close,volume,Name
2013-02-08,39.91,40.35,39.69,39.88,5288271,DFS
2013-02-11,39.78,40.29,39.675,40.03,3729944,DFS
2013-02-12,39.99,40.17,39.46,39.48,5217488,DFS
2013-02-13,39.46,39.675,39.11,39.22,3942399,DFS
2013-02-14,39.05,39.57,38.9,39.52,3935053,DFS
2013-02-15,39.63,39.82,38.965,39.15,3924106,DFS
2013-02-19,39.22,39.59,39.2,39.53,4758772,DFS
2013-02-20,39.42,39.57,38.89,38.93,3690825,DFS
2013-02-21,38.78,38.79,38.04,38.33,6533864,DFS
2013-02-22,38.57,38.96,38.45,38.89,2968999,DFS
2013-02-25,39.05,39.2,37.91,37.94,4482690,DFS
2013-02-26,38.08,38.17,37.24,37.8,6108232,DFS
2013-02-27,37.81,38.55,37.6,38.4,4724857,DFS
2013-02-28,38.34,38.82,38.23,38.53,6007020,DFS
2013-03-01,38.32,39.1599,37.89,39.08,5413648,DFS
2013-03-04,38.93,39.78,38.89,39.76,3637121,DFS
2013-03-05,40.15,40.815,40.11,40.58,4997968,DFS
2013-03-06,41.12,41.63,41.115,41.29,6186904,DFS
2013-03-07,41.43,41.64,41.25,41.57,4349815,DFS
2013-03-08,41.77,41.8,40.77,41.37,3817471,DFS
2013-03-11,41.29,42.16,41.29,41.84,4911539,DFS
2013-03-12,41.76,42.5,41.71,42.13,6051154,DFS
2013-03-13,42.76,43.52,42.4701,43.06,6230156,DFS
2013-03-14,43.31,43.33,42.75,42.85,6024308,DFS
2013-03-15,43.5,44.23,43.15,44.14,9863088,DFS
2013-03-18,43.75,44.43,43.57,44.24,5555881,DFS
2013-03-19,44.92,45.0,43.53,44.24,8234298,DFS
2013-03-20,44.45,45.0,44.35,44.96,5212802,DFS
2013-03-21,44.66,44.98,44.35,44.46,5712500,DFS
2013-03-22,44.52,45.125,44.5,45.0,3760393,DFS
2013-03-25,45.36,45.38,44.5,44.87,4418008,DFS
2013-03-26,45.23,45.26,44.74,45.02,4865249,DFS
2013-03-27,44.71,45.0847,44.49,44.98,4334212,DFS
2013-03-28,45.1,45.15,44.59,44.84,3104238,DFS
2013-04-01,44.72,44.945,43.85,44.03,3514338,DFS
2013-04-02,44.19,44.8,44.1,44.68,4118794,DFS
2013-04-03,44.62,44.87,43.335,43.42,3982197,DFS
2013-04-04,43.46,43.76,42.83,43.24,4400155,DFS
2013-04-05,42.71,43.16,42.32,43.07,4452858,DFS
2013-04-08,43.01,43.71,42.84,43.71,3655219,DFS
2013-04-09,43.7,43.775,43.27,43.3,3872969,DFS
2013-04-10,43.29,43.88,42.71,42.97,6121430,DFS
2013-04-11,42.94,43.25,42.31,42.96,8509669,DFS
2013-04-12,42.66,43.4,42.58,43.31,8565826,DFS
2013-04-15,43.18,43.38,42.12,42.25,6380476,DFS
2013-04-16,42.56,43.09,42.51,43.01,5153040,DFS
2013-04-17,42.75,42.82,42.115,42.5,4823699,DFS
2013-04-18,42.57,43.03,42.16,42.55,4362976,DFS
2013-04-19,42.84,43.39,42.79,43.34,4769094,DFS
2013-04-22,43.37,43.68,42.74,43.61,5597009,DFS
2013-04-23,45.08,45.61,43.53,44.33,9149606,DFS
2013-04-24,44.13,44.475,43.84,44.15,5131453,DFS
2013-04-25,44.23,44.67,43.952,44.28,6601431,DFS
2013-04-26,44.29,44.5,43.65,43.92,3621150,DFS
2013-04-29,44.18,44.1893,43.76,43.98,2797986,DFS
2013-04-30,43.94,44.15,43.71,43.74,4846465,DFS
2013-05-01,43.68,44.19,43.67,43.85,3768273,DFS
2013-05-02,43.97,44.97,43.73,44.92,4193644,DFS
2013-05-03,45.31,46.065,45.3,45.93,5445404,DFS
2013-05-06,45.96,46.37,45.7,46.31,4283969,DFS
2013-05-07,46.31,46.36,45.805,45.97,3379040,DFS
2013-05-08,45.98,46.11,45.67,46.06,3088665,DFS
2013-05-09,46.06,46.08,45.39,45.54,4157126,DFS
2013-05-10,45.59,45.78,45.35,45.59,2690624,DFS
