date,open,high,low,close,volume,Name
2013-02-08,58.64,58.75,58.15,58.5,977273,DGX
2013-02-11,58.59,58.73,57.92,57.93,827475,DGX
2013-02-12,57.86,57.91,56.73,56.88,1640669,DGX
2013-02-13,56.89,57.3,56.68,56.97,1037180,DGX
2013-02-14,56.78,56.95,56.47,56.53,1743369,DGX
2013-02-15,56.64,57.41,56.53,57.32,1156911,DGX
2013-02-19,57.25,57.85,57.13,57.54,960872,DGX
2013-02-20,57.49,57.61,56.83,56.84,1152080,DGX
2013-02-21,56.76,56.84,56.0,56.13,991832,DGX
2013-02-22,56.38,56.52,55.69,55.75,1222134,DGX
2013-02-25,56.16,56.6,55.64,55.64,1956849,DGX
2013-02-26,55.92,56.03,55.16,55.8,993053,DGX
2013-02-27,55.71,56.335,55.71,56.17,898002,DGX
2013-02-28,56.25,56.66,56.16,56.17,969173,DGX
2013-03-01,55.99,56.29,55.5,56.13,914909,DGX
2013-03-04,55.99,56.2,55.74,55.99,1934044,DGX
2013-03-05,56.15,56.72,55.97,56.41,1051436,DGX
2013-03-06,56.4,56.96,56.31,56.34,917267,DGX
2013-03-07,56.26,56.46,55.33,55.42,1364647,DGX
2013-03-08,55.53,56.025,55.395,55.94,1216762,DGX
2013-03-11,55.92,56.52,55.776,56.25,1168539,DGX
2013-03-12,56.28,56.84,55.962,56.2,1826522,DGX
2013-03-13,56.27,56.36,55.82,55.99,903857,DGX
2013-03-14,56.13,56.73,55.85,56.5,1381490,DGX
2013-03-15,56.34,56.62,56.06,56.22,1025573,DGX
2013-03-18,55.9,56.02,55.48,55.52,965754,DGX
2013-03-19,55.71,56.62,55.69,56.25,1677176,DGX
2013-03-20,56.5,56.85,56.25,56.51,2509461,DGX
2013-03-21,56.31,56.63,56.0,56.3,745934,DGX
2013-03-22,56.33,56.6005,56.25,56.56,751361,DGX
2013-03-25,56.71,57.03,56.18,56.4,889832,DGX
2013-03-26,56.65,57.5,56.522,57.25,959709,DGX
2013-03-27,56.8,56.84,56.35,56.4,1143495,DGX
2013-03-28,56.18,56.65,55.8,56.461,1933888,DGX
2013-04-01,56.42,56.4925,56.01,56.32,695725,DGX
2013-04-02,56.68,57.58,56.64,56.8,1224106,DGX
2013-04-03,57.0,57.51,56.725,56.83,1315500,DGX
2013-04-04,57.0,57.92,56.91,57.68,914247,DGX
2013-04-05,57.33,57.33,56.62,57.01,1159542,DGX
2013-04-08,56.89,57.03,56.52,57.03,585123,DGX
2013-04-09,56.98,57.03,56.5,56.65,899814,DGX
2013-04-10,56.64,57.36,56.41,57.3,954341,DGX
2013-04-11,58.37,60.0,58.06,59.83,3202834,DGX
2013-04-12,59.65,59.66,58.83,59.34,1519091,DGX
2013-04-15,59.06,59.55,58.37,58.37,1692119,DGX
2013-04-16,58.49,59.23,57.34,58.35,2329620,DGX
2013-04-17,58.04,59.24,56.95,57.37,4058951,DGX
2013-04-18,57.31,57.54,55.59,55.76,2459362,DGX
2013-04-19,55.95,56.71,55.56,55.92,1674086,DGX
2013-04-22,55.85,56.18,55.26,55.48,1843646,DGX
2013-04-23,56.18,57.24,56.18,56.51,2839605,DGX
2013-04-24,56.33,56.5,55.51,56.09,2388487,DGX
2013-04-25,56.28,56.52,55.645,55.85,1012523,DGX
2013-04-26,55.86,56.54,55.7,56.16,1222226,DGX
2013-04-29,56.19,56.5,56.16,56.19,606237,DGX
2013-04-30,56.05,56.44,55.78,56.33,859012,DGX
2013-05-01,56.23,57.38,56.0,56.37,1176281,DGX
2013-05-02,56.49,57.33,56.42,57.32,1462100,DGX
2013-05-03,57.54,57.75,57.18,57.21,1149909,DGX
2013-05-06,57.15,58.205,57.15,57.94,1275706,DGX
2013-05-07,57.96,58.12,57.74,57.78,788697,DGX
2013-05-08,57.68,59.07,57.68,59.06,1300812,DGX
2013-05-09,59.17,59.41,58.79,59.19,1458034,DGX
2013-05-10,59.13,59.78,59.05,59.77,1023446,DGX
2013-05-13,59.56,59.59,58.9001,59.42,1556098,DGX
2013-05-14,59.45,59.88,59.215,59.87,1077942,DGX
2013-05-15,59.67,60.1,59.26,59.99,1685013,DGX
2013-05-16,59.74,60.35,59.46,59.88,1149859,DGX
2013-05-17,59.86,60.79,59.79,60.69,972471,DGX
2013-05-20,60.48,61.0,60.35,60.8,1078083,DGX
2013-05-21,60.94,61.62,60.83,61.39,1325183,DGX
2013-05-22,61.36,62.24,60.9748,61.12,1457065,DGX
2013-05-23,60.7,62.07,60.6901,61.97,1116784,DGX
2013-05-24,61.64,62.56,61.44,62.5,1383721,DGX
2013-05-28,63.0,63.3,62.58,62.76,1301828,DGX
2013-05-29,62.69,62.85,61.86,62.55,865768,DGX
2013-05-30,62.51,63.02,62.26,62.42,1051695,DGX
2013-05-31,62.2,62.85,61.83,61.84,1261972,DGX
2013-06-03,61.91,62.55,61.52,62.53,1185809,DGX
2013-06-04,62.53,62.91,62.11,62.4,988359,DGX
2013-06-05,62.28,62.31,61.03,61.64,1200128,DGX
2013-06-06,61.6,62.09,61.27,62.08,941964,DGX
2013-06-07,62.55,63.0,62.06,62.22,1277964,DGX
2013-06-10,62.44,63.4,62.44,63.2,935248,DGX
2013-06-11,62.68,63.22,62.38,62.55,845332,DGX
2013-06-12,62.97,63.18,62.0,62.0,940010,DGX
2013-06-13,62.0,62.98,61.71,62.89,866772,DGX
2013-06-14,62.69,63.39,62.5,62.62,477412,DGX
2013-06-17,62.84,63.06,62.36,62.59,644424,DGX
2013-06-18,62.52,62.69,62.17,62.39,1036572,DGX
2013-06-19,62.46,62.67,61.86,61.89,792865,DGX
2013-06-20,61.49,61.83,60.75,60.81,1056790,DGX
2013-06-21,61.28,62.03,60.93,61.07,1288068,DGX
2013-06-24,60.73,61.4,60.21,60.81,1825803,DGX
2013-06-25,61.22,61.285,60.36,60.79,912004,DGX
2013-06-26,61.17,61.57,60.59,61.16,714782,DGX
2013-06-27,61.49,61.93,61.3,61.4,916444,DGX
