date,open,high,low,close,volume,Name
2013-02-08,64.25,64.28,63.78,64.28,480522,DTE
2013-02-11,64.21,64.52,64.2,64.4,260965,DTE
2013-02-12,64.23,64.56,63.92,64.51,552548,DTE
2013-02-13,64.48,64.68,64.255,64.4,407343,DTE
2013-02-14,64.24,64.56,63.89,64.36,698953,DTE
2013-02-15,64.37,64.59,64.25,64.42,588298,DTE
2013-02-19,64.56,65.14,64.47,64.75,977569,DTE
2013-02-20,64.54,65.37,64.24,64.86,745839,DTE
2013-02-21,64.85,64.91,64.45,64.83,767734,DTE
2013-02-22,65.03,65.64,64.93,65.62,614905,DTE
2013-02-25,65.77,66.18,65.29,65.34,1716649,DTE
2013-02-26,65.46,65.81,65.071,65.79,1190687,DTE
2013-02-27,65.8,66.29,65.7,66.26,769841,DTE
2013-02-28,66.3,67.01,66.18,66.8,1183294,DTE
2013-03-01,66.66,66.74,66.08,66.43,1316820,DTE
2013-03-04,66.37,67.45,66.37,67.08,977929,DTE
2013-03-05,67.27,67.775,67.21,67.52,1066204,DTE
2013-03-06,67.7,67.7,66.61,66.81,978071,DTE
2013-03-07,66.82,67.25,66.48,66.49,688630,DTE
2013-03-08,66.61,66.76,66.08,66.65,2052459,DTE
2013-03-11,66.58,66.84,66.52,66.75,2647957,DTE
2013-03-12,66.64,66.7,66.32,66.66,3571388,DTE
2013-03-13,66.74,67.0,66.52,66.89,466735,DTE
2013-03-14,66.36,66.66,66.18,66.41,681598,DTE
2013-03-15,66.15,66.62,66.02,66.36,1165227,DTE
2013-03-18,66.0,66.36,65.87,66.1,616331,DTE
2013-03-19,66.26,66.52,65.74,66.02,779673,DTE
2013-03-20,66.35,66.68,66.3,66.47,627423,DTE
2013-03-21,66.28,66.5,66.07,66.2,553268,DTE
2013-03-22,66.27,66.63,66.14,66.28,442400,DTE
2013-03-25,66.62,66.95,65.82,66.06,719475,DTE
2013-03-26,66.37,66.82,66.35,66.82,579145,DTE
2013-03-27,66.47,67.02,66.28,66.99,797121,DTE
2013-03-28,66.97,68.375,66.87,68.34,1241676,DTE
2013-04-01,68.34,68.64,68.13,68.39,592339,DTE
2013-04-02,68.48,68.92,68.24,68.53,791392,DTE
2013-04-03,68.58,68.91,68.22,68.43,644939,DTE
2013-04-04,68.5,68.91,68.459,68.84,463251,DTE
2013-04-05,68.43,68.88,68.33,68.83,562642,DTE
2013-04-08,68.74,69.47,68.56,69.45,511744,DTE
2013-04-09,69.43,69.5,68.54,68.58,962078,DTE
2013-04-10,68.67,69.27,68.67,69.24,787025,DTE
2013-04-11,69.31,69.61,69.03,69.55,644694,DTE
2013-04-12,69.43,70.42,69.43,70.35,766985,DTE
2013-04-15,70.17,70.86,70.05,70.39,1630601,DTE
2013-04-16,70.5,71.4,69.95,71.36,1450330,DTE
2013-04-17,71.06,72.03,70.87,71.95,1737684,DTE
2013-04-18,71.93,72.48,71.65,72.05,1409825,DTE
2013-04-19,72.09,72.549,71.88,72.26,1431389,DTE
2013-04-22,72.26,73.05,71.96,72.9,891790,DTE
2013-04-23,73.1,73.32,72.35,72.77,1143265,DTE
2013-04-24,72.92,73.16,72.57,72.68,1123762,DTE
2013-04-25,72.96,73.09,72.09,72.25,1864567,DTE
2013-04-26,72.32,72.958,71.12,72.26,1707257,DTE
2013-04-29,72.7,73.24,72.02,72.19,1860353,DTE
2013-04-30,72.27,73.07,72.07,72.88,1530769,DTE
2013-05-01,72.86,73.205,72.31,72.44,1237346,DTE
2013-05-02,72.39,72.72,72.12,72.38,772292,DTE
2013-05-03,72.63,73.0,72.3,72.6,983427,DTE
2013-05-06,72.52,72.7,71.46,71.46,614282,DTE
2013-05-07,71.9,72.25,71.65,71.98,1309617,DTE
2013-05-08,71.85,72.21,71.44,71.63,1151875,DTE
2013-05-09,71.63,71.83,70.03,70.21,895752,DTE
2013-05-10,70.21,70.32,69.42,70.3,1307665,DTE
2013-05-13,69.99,70.17,69.565,69.88,895836,DTE
2013-05-14,69.9,70.85,69.71,70.68,945850,DTE
2013-05-15,70.67,71.6922,70.32,71.39,883576,DTE
2013-05-16,71.24,71.26,70.79,71.03,881269,DTE
2013-05-17,71.04,71.77,70.95,71.77,1113078,DTE
2013-05-20,71.66,71.87,71.3,71.54,734468,DTE
2013-05-21,71.71,71.87,70.98,71.51,790220,DTE
2013-05-22,71.36,72.18,69.86,70.3,1247221,DTE
2013-05-23,69.89,69.89,68.37,69.28,1087439,DTE
2013-05-24,68.95,69.11,68.02,68.27,764163,DTE
2013-05-28,68.52,68.97,67.3,67.69,1265919,DTE
2013-05-29,67.29,67.295,65.45,66.26,1751990,DTE
2013-05-30,66.5,68.14,66.5,67.45,1816430,DTE
2013-05-31,67.25,68.08,66.59,66.61,839040,DTE
2013-06-03,66.59,67.28,65.78,66.81,766176,DTE
2013-06-04,66.7,67.048,66.039,66.49,825992,DTE
2013-06-05,66.32,66.48,65.63,65.98,593054,DTE
2013-06-06,66.07,66.8,65.9,66.78,664292,DTE
2013-06-07,66.98,67.56,66.57,67.51,3142312,DTE
2013-06-10,67.54,67.61,66.99,67.12,3208586,DTE
2013-06-11,66.72,67.39,66.58,67.0,2903684,DTE
2013-06-12,67.31,67.59,66.22,66.35,614330,DTE
2013-06-13,65.99,67.12,65.4,67.04,901577,DTE
2013-06-14,66.96,67.34,66.65,66.87,705983,DTE
2013-06-17,67.29,67.758,66.73,67.05,728588,DTE
2013-06-18,67.06,67.59,66.73,67.59,544294,DTE
2013-06-19,67.42,67.72,66.04,66.08,1192200,DTE
2013-06-20,65.65,65.72,63.85,64.0,1435982,DTE
2013-06-21,64.4,65.03,63.38,64.67,1662408,DTE
2013-06-24,64.18,64.88,63.68,64.31,1116006,DTE
2013-06-25,64.6,65.46,64.08,65.3,846525,DTE
2013-06-26,65.74,66.64,65.72,66.39,1336371,DTE
2013-06-27,66.61,67.27,66.565,66.66,755945,DTE
2013-06-28,66.37,67.15,65.92,67.01,1072949,DTE
2013-07-01,67.6,67.66,65.55,65.82,789753,DTE
2013-07-02,65.82,66.46,65.718,66.01,698381,DTE
2013-07-03,66.08,66.106,65.44,65.9,431061,DTE
2013-07-05,65.92,66.05,64.71,65.77,733213,DTE
2013-07-08,65.98,66.85,65.805,66.41,793919,DTE
2013-07-09,66.79,66.94,66.09,66.83,1849810,DTE
2013-07-10,66.47,67.6,66.43,67.57,1123560,DTE
2013-07-11,68.15,68.78,68.06,68.74,735309,DTE
2013-07-12,68.72,69.02,68.15,68.99,856303,DTE
2013-07-15,68.87,69.83,68.79,69.81,1194813,DTE
2013-07-16,69.97,70.07,69.33,69.56,598027,DTE
2013-07-17,69.9,70.08,69.17,69.6,853700,DTE
2013-07-18,69.78,70.61,69.6,70.53,569668,DTE
2013-07-19,70.68,70.77,70.141,70.27,572216,DTE
2013-07-22,70.27,70.75,70.1401,70.48,504648,DTE
2013-07-23,70.5,70.93,70.39,70.84,788674,DTE
2013-07-24,70.82,70.94,69.16,69.65,672240,DTE
2013-07-25,69.54,70.28,69.33,70.02,752734,DTE
2013-07-26,69.68,70.22,68.99,70.15,819201,DTE
2013-07-29,69.84,71.01,69.75,70.6,889552,DTE
2013-07-30,70.97,71.59,70.85,71.23,1161121,DTE
2013-07-31,70.98,71.2,70.26,70.7,1123992,DTE
2013-08-01,71.07,71.63,70.93,71.59,774302,DTE
2013-08-02,71.58,71.77,71.09,71.64,546184,DTE
2013-08-05,71.39,71.39,70.8,71.05,649697,DTE
2013-08-06,71.05,71.19,70.7,70.73,1382193,DTE
2013-08-07,70.39,71.0,70.24,70.63,659712,DTE
2013-08-08,70.76,71.28,70.43,71.07,533265,DTE
2013-08-09,71.07,71.08,70.34,70.8,1001539,DTE
2013-08-12,70.35,70.5,70.05,70.45,597161,DTE
2013-08-13,70.45,70.6,69.69,69.92,780012,DTE
2013-08-14,69.86,70.01,69.17,69.37,744632,DTE
2013-08-15,69.02,69.09,68.3,68.46,847822,DTE
2013-08-16,68.3,68.38,67.19,67.59,840193,DTE
2013-08-19,67.35,67.93,66.74,67.16,797368,DTE
2013-08-20,67.14,68.02,66.81,67.59,734920,DTE
2013-08-21,67.36,67.45,66.465,66.78,995657,DTE
2013-08-22,66.88,67.22,66.6145,66.93,422503,DTE
2013-08-23,66.97,67.51,66.72,67.38,584002,DTE
2013-08-26,67.34,67.655,66.84,67.04,709501,DTE
2013-08-27,66.47,67.4999,66.47,67.2,863298,DTE
2013-08-28,67.29,67.605,66.95,67.3,913623,DTE
2013-08-29,67.275,67.45,66.7301,67.02,706266,DTE
2013-08-30,67.01,67.35,66.58,66.87,669255,DTE
2013-09-03,67.28,67.63,65.6703,65.86,853957,DTE
2013-09-04,65.85,65.8899,65.03,65.74,1082515,DTE
2013-09-05,65.74,66.0,64.92,65.0,1117067,DTE
2013-09-06,65.29,65.99,65.23,65.56,2880590,DTE
2013-09-09,65.56,66.24,65.27,66.1,2468690,DTE
2013-09-10,66.24,66.71,65.98,66.71,2901803,DTE
2013-09-11,66.71,66.9,65.75,66.86,1521638,DTE
