date,open,high,low,close,volume,Name
2017-09-01,66.66,67.3,65.66,67.18,7341133,DWDP
2017-09-05,67.02,67.17,64.98,64.98,10832692,DWDP
2017-09-06,65.2,65.33,64.01,64.87,10345913,DWDP
2017-09-07,64.6,64.95,64.22,64.68,6382521,DWDP
2017-09-08,64.9,65.2,64.64,64.85,8099999,DWDP
2017-09-11,65.25,67.16,65.2,66.85,11567033,DWDP
2017-09-12,68.2,69.25,67.8007,68.52,14631020,DWDP
2017-09-13,68.9,69.6,68.29,69.5,9223585,DWDP
2017-09-14,69.6,70.3,69.22,70.02,12264841,DWDP
2017-09-15,70.26,70.7,69.5,69.86,32382148,DWDP
2017-09-18,70.0,70.37,69.62,69.77,7193708,DWDP
2017-09-19,70.02,70.11,69.64,70.05,6713280,DWDP
2017-09-20,70.28,70.5,69.6601,70.41,6812432,DWDP
2017-09-21,70.41,70.5,70.1,70.32,4450285,DWDP
2017-09-22,70.14,70.23,69.68,69.96,4078750,DWDP
2017-09-25,70.07,70.38,69.21,70.34,6419196,DWDP
2017-09-26,70.26,70.4757,69.33,69.35,5244251,DWDP
2017-09-27,69.52,69.52,68.27,68.8,7044021,DWDP
2017-09-28,68.44,69.07,67.77,69.06,7885679,DWDP
2017-09-29,69.0,69.41,68.57,69.23,5746573,DWDP
2017-10-02,69.4,70.42,69.15,70.42,6044629,DWDP
2017-10-03,70.41,70.62,69.9001,70.36,6796348,DWDP
2017-10-04,70.58,70.91,70.44,70.45,5999448,DWDP
2017-10-05,70.82,71.0,70.24,70.97,5481589,DWDP
2017-10-06,70.8,71.23,70.62,71.22,4247331,DWDP
2017-10-09,71.2,71.88,71.0,71.68,5278932,DWDP
2017-10-10,71.56,71.75,71.16,71.57,4829699,DWDP
2017-10-11,71.5,71.63,70.92,71.62,5091115,DWDP
2017-10-12,71.5,71.63,71.21,71.4,4464655,DWDP
2017-10-13,71.53,71.7,71.15,71.43,5136216,DWDP
2017-10-16,71.8,71.81,70.81,70.93,4336975,DWDP
2017-10-17,70.8,70.935,70.53,70.88,5606700,DWDP
2017-10-18,70.86,70.97,70.56,70.78,4755382,DWDP
2017-10-19,70.65,71.075,70.29,70.89,6006408,DWDP
2017-10-20,71.2,71.3901,71.0,71.18,7374262,DWDP
2017-10-23,71.95,72.1798,71.4,71.55,11205340,DWDP
2017-10-24,71.84,72.12,71.61,71.86,10364834,DWDP
2017-10-25,71.86,72.1,70.93,71.12,6559212,DWDP
2017-10-26,72.33,73.85,72.03,73.05,16846954,DWDP
2017-10-27,73.0,73.1,72.23,72.54,8587317,DWDP
2017-10-30,72.32,72.61,71.5199,71.68,5860821,DWDP
2017-10-31,71.91,72.465,71.6,72.31,6007601,DWDP
2017-11-01,73.11,73.58,72.32,73.32,7968525,DWDP
2017-11-02,72.02,73.2,71.56,72.04,10314302,DWDP
2017-11-03,72.09,72.27,70.86,71.16,8619088,DWDP
2017-11-06,71.4,71.73,70.13,70.24,9270953,DWDP
2017-11-07,70.89,71.15,70.32,71.14,6719034,DWDP
2017-11-08,71.31,71.5,70.71,70.81,6091437,DWDP
2017-11-09,70.5,70.54,70.01,70.23,4529926,DWDP
2017-11-10,70.23,70.49,69.74,69.97,7127142,DWDP
2017-11-13,71.03,71.05,70.02,70.13,6865130,DWDP
2017-11-14,69.8,69.93,68.335,68.57,8133045,DWDP
2017-11-15,68.22,69.14,67.995,68.97,14901145,DWDP
2017-11-16,69.36,70.77,69.07,70.68,9595780,DWDP
2017-11-17,70.65,71.21,70.5,70.74,8784131,DWDP
2017-11-20,70.66,71.27,70.54,70.85,5600160,DWDP
2017-11-21,71.4,71.775,71.1,71.26,8091913,DWDP
2017-11-22,71.35,71.38,70.6,70.6,6403981,DWDP
2017-11-24,70.6,71.39,70.53,71.16,2636225,DWDP
2017-11-27,71.03,71.05,70.02,70.13,6865430,DWDP
2017-11-28,70.3,71.2,70.13,71.09,8536608,DWDP
2017-11-29,71.17,71.93,70.87,71.78,6437722,DWDP
2017-11-30,71.82,72.83,71.4396,71.96,8947524,DWDP
2017-12-01,72.32,72.61,70.67,71.01,7635467,DWDP
2017-12-04,71.72,72.9875,71.5,72.13,8568660,DWDP
2017-12-05,72.94,73.2,71.5,71.54,8653891,DWDP
2017-12-06,71.66,71.79,70.95,71.08,5718907,DWDP
2017-12-07,71.0,71.5,70.8499,71.37,6199520,DWDP
