date,open,high,low,close,volume,Name
2013-02-08,54.17,54.36,54.0,54.31,1265681,D
2013-02-11,54.25,54.41,54.21,54.33,951009,D
2013-02-12,54.24,54.63,54.16,54.63,1564869,D
2013-02-13,54.62,54.8,54.56,54.69,1481410,D
2013-02-14,54.57,54.71,54.16,54.47,2418632,D
2013-02-15,54.65,55.0,54.63,54.92,3188138,D
2013-02-19,55.02,55.67,54.98,55.59,2812615,D
2013-02-20,55.57,56.38,55.54,55.89,2416978,D
2013-02-21,55.81,55.92,55.62,55.7,1973551,D
2013-02-22,55.79,56.39,55.7,56.38,1356349,D
2013-02-25,56.75,57.19,55.68,55.71,3328202,D
2013-02-26,55.27,55.9,55.0,55.28,2498446,D
2013-02-27,55.4,55.9,55.28,55.81,1812971,D
2013-02-28,55.85,56.27,55.64,56.0,2527395,D
2013-03-01,55.83,56.44,55.5,56.42,2240087,D
2013-03-04,56.38,56.57,56.03,56.41,3792953,D
2013-03-05,56.68,56.875,56.41,56.51,2731692,D
2013-03-06,56.64,56.78,56.23,56.46,1718062,D
2013-03-07,56.5,56.61,55.85,55.87,2064421,D
2013-03-08,55.89,55.97,55.45,55.87,2672463,D
2013-03-11,55.9,56.3,55.87,56.3,1681380,D
2013-03-12,56.3,56.3,55.8,56.02,1150723,D
2013-03-13,56.0,56.5,55.83,56.34,1925728,D
2013-03-14,56.4,56.5,56.205,56.35,2077806,D
2013-03-15,56.12,57.06,55.92,56.79,4010069,D
2013-03-18,56.36,56.66,56.305,56.43,1380451,D
2013-03-19,56.49,56.87,56.39,56.74,1683709,D
2013-03-20,56.93,57.31,56.93,57.2,2169362,D
2013-03-21,57.0,57.49,56.84,56.92,2032414,D
2013-03-22,56.9,57.04,56.66,56.77,1831638,D
2013-03-25,57.0,57.13,56.545,56.86,2144093,D
2013-03-26,56.96,57.75,56.89,57.59,1960662,D
2013-03-27,57.44,57.7,57.28,57.53,1422968,D
2013-03-28,57.58,58.25,57.54,58.18,1835464,D
2013-04-01,58.17,58.28,57.9401,58.19,1125085,D
2013-04-02,58.32,58.69,58.25,58.62,1526430,D
2013-04-03,58.8,58.98,58.6,58.75,2213162,D
2013-04-04,58.83,59.57,58.83,59.49,2275833,D
2013-04-05,59.15,59.67,59.11,59.63,2657555,D
2013-04-08,59.6,60.08,59.33,60.07,1257819,D
2013-04-09,60.76,60.79,59.81,59.85,1892950,D
2013-04-10,59.86,60.52,59.86,60.17,2514041,D
2013-04-11,60.24,60.46,59.99,59.99,2910204,D
2013-04-12,59.97,60.21,59.89,60.12,3002019,D
2013-04-15,60.0,60.35,59.27,59.27,1915179,D
2013-04-16,59.42,59.85,58.76,59.82,1536400,D
2013-04-17,59.61,59.67,59.02,59.33,1723154,D
2013-04-18,59.46,59.9,59.21,59.8,1889193,D
2013-04-19,59.9,61.09,59.71,61.07,2953281,D
2013-04-22,61.04,61.23,60.66,60.96,1628452,D
2013-04-23,61.09,61.21,60.49,61.01,1272675,D
2013-04-24,61.13,61.36,60.63,61.12,1320172,D
2013-04-25,61.01,61.1,60.31,60.75,2704421,D
2013-04-26,60.72,61.571,60.5301,61.01,1641690,D
2013-04-29,60.56,61.42,60.24,61.21,1672911,D
2013-04-30,61.1,61.72,61.0,61.68,2092791,D
2013-05-01,61.76,61.85,61.01,61.14,1476521,D
2013-05-02,61.15,61.37,60.785,61.11,1682821,D
2013-05-03,61.36,61.5,60.65,60.91,2238268,D
2013-05-06,61.06,61.145,60.44,60.47,1674870,D
2013-05-07,60.45,60.98,60.355,60.93,1788672,D
2013-05-08,60.76,61.0,60.34,60.5,1442968,D
2013-05-09,60.57,60.73,59.22,59.45,2805923,D
2013-05-10,59.44,59.79,59.22,59.75,1724907,D
2013-05-13,59.6,59.9399,59.23,59.69,1711311,D
2013-05-14,59.77,60.59,59.7101,60.46,2329034,D
2013-05-15,60.26,61.0,60.11,60.66,2091927,D
2013-05-16,60.56,60.7802,60.28,60.38,1650479,D
2013-05-17,60.53,61.22,60.49,61.17,2060255,D
2013-05-20,61.15,61.2,60.53,60.75,1371874,D
2013-05-21,60.74,61.08,60.38,60.69,1587865,D
2013-05-22,60.56,60.62,59.01,59.26,3057271,D
2013-05-23,58.63,59.26,57.57,58.95,7343602,D
2013-05-24,58.73,58.76,57.44,57.62,7056667,D
2013-05-28,57.63,58.345,57.59,57.73,7417840,D
2013-05-29,57.36,57.69,56.57,57.07,2501634,D
2013-05-30,57.24,57.89,57.01,57.09,2232031,D
2013-05-31,56.97,57.8,56.55,56.55,3128862,D
2013-06-03,56.46,56.87,55.55,55.55,7373583,D
2013-06-04,55.4,56.01,55.15,55.66,8605718,D
2013-06-05,54.87,55.06,54.3,54.56,4126540,D
2013-06-06,54.52,55.3,54.18,55.3,4995320,D
2013-06-07,55.66,55.73,55.025,55.64,3468005,D
2013-06-10,55.81,55.98,55.33,55.79,2991528,D
2013-06-11,55.38,55.85,55.2,55.33,3548366,D
2013-06-12,55.69,55.87,55.22,55.32,3487847,D
2013-06-13,55.3,56.49,55.22,56.4,3287419,D
2013-06-14,56.37,56.5865,55.95,56.04,2647255,D
2013-06-17,56.35,57.12,56.2,56.73,3510179,D
2013-06-18,56.82,57.05,56.5277,57.0,2405262,D
2013-06-19,57.0,57.23,55.74,55.74,3284314,D
2013-06-20,55.61,55.66,54.14,54.24,3794873,D
2013-06-21,54.675,55.16,53.79,55.01,4862496,D
2013-06-24,54.4,55.52,54.15,55.2,3387676,D
2013-06-25,55.51,56.18,55.0,55.87,3054307,D
2013-06-26,56.15,56.539,55.88,56.29,2495474,D
2013-06-27,56.5,56.815,56.295,56.48,2012063,D
2013-06-28,57.25,57.25,56.21,56.82,4228938,D
2013-07-01,57.14,57.34,55.9901,56.24,2787283,D
2013-07-02,56.09,56.66,56.04,56.38,2353780,D
2013-07-03,56.08,56.522,55.84,56.34,1048590,D
2013-07-05,56.38,56.4999,55.51,56.25,2145038,D
2013-07-08,56.44,57.06,56.26,56.88,2383999,D
2013-07-09,57.1,57.44,56.91,57.34,1915215,D
2013-07-10,57.12,57.52,57.01,57.39,2477399,D
2013-07-11,57.95,58.65,57.8,58.56,2114361,D
2013-07-12,58.46,58.87,58.24,58.8,1932330,D
2013-07-15,58.68,59.88,58.514,59.72,2096160,D
2013-07-16,59.65,59.98,59.19,59.44,1451106,D
2013-07-17,59.82,59.85,59.15,59.48,1574189,D
2013-07-18,59.62,60.2,59.6,60.16,1991706,D
2013-07-19,60.24,60.38,59.58,59.68,2559525,D
2013-07-22,59.74,60.0,59.62,59.79,1193704,D
2013-07-23,59.89,60.06,59.71,59.86,1201455,D
2013-07-24,59.75,59.92,58.49,58.85,2348128,D
2013-07-25,58.77,59.57,58.75,59.36,2263040,D
2013-07-26,59.04,59.55,58.65,59.52,2209902,D
2013-07-29,59.48,59.65,59.23,59.36,1819815,D
2013-07-30,59.64,59.85,59.12,59.4,2785391,D
2013-07-31,59.58,59.79,59.07,59.31,2966367,D
2013-08-01,59.68,59.89,58.9,59.44,2533230,D
2013-08-02,59.51,59.56,59.14,59.43,2237761,D
2013-08-05,59.38,59.96,58.9,59.6,2554531,D
2013-08-06,59.28,59.5853,58.51,59.32,2711250,D
2013-08-07,59.01,60.29,58.76,59.87,2901292,D
2013-08-08,59.95,60.33,59.34,60.29,3037892,D
2013-08-09,60.23,60.44,59.97,60.33,2498218,D
2013-08-12,60.02,60.11,59.78,60.07,2276994,D
2013-08-13,60.02,60.3,59.94,60.25,3826219,D
2013-08-14,60.07,60.2199,58.74,58.86,2703867,D
2013-08-15,58.56,58.7235,57.862,57.91,2280341,D
2013-08-16,57.79,57.95,57.19,57.44,2850251,D
2013-08-19,57.36,58.02,57.26,57.38,2658892,D
2013-08-20,57.38,58.37,57.38,57.88,2775399,D
2013-08-21,57.78,57.82,57.03,57.29,2463775,D
2013-08-22,57.54,57.99,57.24,57.76,6963708,D
2013-08-23,57.77,58.99,57.61,58.86,7678227,D
2013-08-26,58.9,59.27,58.33,58.34,2036602,D
2013-08-27,57.92,58.78,57.76,58.51,2352612,D
2013-08-28,58.47,58.86,58.08,58.74,1648824,D
2013-08-29,58.58,58.74,58.31,58.53,1592613,D
2013-08-30,58.49,58.76,58.09,58.35,1698091,D
2013-09-03,58.89,59.0,57.67,57.78,1881845,D
2013-09-04,57.28,57.84,56.5839,57.62,2861512,D
2013-09-05,57.48,57.72,56.99,57.51,2220920,D
2013-09-06,57.62,58.27,57.51,57.53,2313282,D
2013-09-09,57.6,58.08,57.5,58.02,2364361,D
2013-09-10,58.23,58.44,57.8803,58.41,2502452,D
2013-09-11,58.42,59.02,57.72,58.61,4980027,D
2013-09-12,61.62,61.94,59.72,59.78,7915753,D
2013-09-13,60.46,61.62,60.27,61.28,4225774,D
2013-09-16,61.93,62.24,60.95,61.11,3678462,D
2013-09-17,61.11,61.76,60.89,61.75,2825018,D
2013-09-18,61.76,63.58,61.29,63.39,3471170,D
2013-09-19,63.35,64.04,62.93,63.21,2394398,D
2013-09-20,63.4,63.5,62.19,62.27,4125927,D
2013-09-23,62.18,62.9,61.695,62.64,3348973,D
2013-09-24,62.65,62.68,62.1,62.45,2681601,D
2013-09-25,62.58,63.05,62.4,62.42,2708373,D
2013-09-26,62.65,63.03,62.47,62.81,1560658,D
2013-09-27,62.58,62.95,62.01,62.43,1673844,D
2013-09-30,62.03,62.74,61.82,62.48,2847290,D
2013-10-01,62.92,63.27,62.23,62.51,3267371,D
2013-10-02,62.26,62.38,61.36,62.34,3059621,D
2013-10-03,62.04,62.25,61.37,61.96,2243570,D
2013-10-04,61.96,62.35,61.7,62.22,1526372,D
2013-10-07,61.84,62.19,61.6178,61.65,1008557,D
2013-10-08,61.6,62.4,61.5,61.61,1889256,D
2013-10-09,61.8,62.44,61.4099,61.51,3198099,D
2013-10-10,61.8,62.59,61.52,62.59,2378977,D
2013-10-11,62.63,63.235,62.41,62.95,1577130,D
2013-10-14,62.66,62.78,61.645,62.61,2180824,D
2013-10-15,62.37,62.48,61.8,61.8,1799360,D
2013-10-16,62.19,63.2,62.0,63.17,2378176,D
2013-10-17,62.81,63.97,62.41,63.85,2243336,D
2013-10-18,64.01,64.29,63.45,63.68,2331624,D
2013-10-21,63.68,63.759,63.13,63.62,1587623,D
2013-10-22,63.69,64.63,63.65,64.35,2111520,D
2013-10-23,64.24,64.7199,63.92,64.23,1940683,D
2013-10-24,64.31,64.53,63.765,64.16,1151760,D
2013-10-25,64.0,64.69,63.74,64.66,1793767,D
2013-10-28,64.52,64.94,64.05,64.34,2149008,D
2013-10-29,64.51,64.81,64.24,64.7,1499076,D
2013-10-30,64.66,65.03,63.97,64.03,1561442,D
2013-10-31,64.13,64.34,63.2248,63.75,1812917,D
2013-11-01,63.96,64.35,63.72,64.09,1881912,D
2013-11-04,64.37,64.37,63.64,63.99,2513156,D
2013-11-05,64.42,65.67,64.04,64.57,3635184,D
2013-11-06,64.9,66.05,64.76,66.03,3075901,D
2013-11-07,66.13,66.48,65.17,65.34,2786446,D
2013-11-08,65.12,65.47,64.005,65.41,3464290,D
2013-11-11,65.53,66.25,65.2,65.88,1990523,D
2013-11-12,65.52,65.8999,65.25,65.65,2080366,D
2013-11-13,65.29,66.36,64.82,66.33,3555025,D
2013-11-14,66.51,67.25,66.3,67.06,1961709,D
2013-11-15,66.91,67.52,66.85,67.52,2079038,D
2013-11-18,67.49,67.975,67.19,67.8,2442039,D
2013-11-19,67.7,67.96,67.43,67.72,2120673,D
2013-11-20,67.72,67.83,66.48,66.63,2505096,D
2013-11-21,66.72,67.11,66.39,66.74,6287658,D
2013-11-22,66.75,66.91,66.43,66.62,8747494,D
2013-11-25,66.8,66.87,66.32,66.35,9847375,D
2013-11-26,66.5,66.57,65.53,65.9,3993148,D
2013-11-27,65.89,66.0,64.62,65.05,2885062,D
2013-11-29,65.0,65.62,64.77,64.91,1396163,D
2013-12-02,64.8,64.88,63.765,64.31,2912135,D
2013-12-03,64.29,64.86,64.0,64.79,3697146,D
2013-12-04,63.85,64.36,63.44,64.13,2141940,D
2013-12-05,63.9,63.9,63.26,63.45,2452722,D
2013-12-06,63.86,64.73,63.75,64.42,1765001,D
2013-12-09,64.42,64.42,63.515,63.74,1637971,D
2013-12-10,63.73,63.84,63.0,63.5,2476491,D
2013-12-11,63.5,63.68,63.06,63.25,1889232,D
2013-12-12,63.18,63.87,63.09,63.5,2525286,D
2013-12-13,63.47,63.91,63.375,63.58,1918418,D
2013-12-16,63.65,64.42,63.575,63.86,1654436,D
2013-12-17,63.8,64.15,63.51,63.88,1759187,D
2013-12-18,63.99,64.85,63.13,64.78,2489689,D
2013-12-19,64.67,64.67,63.7,64.5,1766151,D
2013-12-20,64.82,64.95,64.26,64.55,3804612,D
2013-12-23,64.6,65.07,64.05,64.12,2215841,D
2013-12-24,64.31,64.924,63.93,64.65,916777,D
2013-12-26,64.65,64.88,64.1,64.43,1077147,D
2013-12-27,64.59,64.7,64.13,64.41,957709,D
2013-12-30,64.39,64.83,64.13,64.39,1229804,D
2013-12-31,64.4,64.855,64.34,64.69,1386279,D
2014-01-02,64.61,64.64,63.441,63.58,2284519,D
2014-01-03,63.58,63.87,63.14,63.51,1739149,D
2014-01-06,63.64,63.81,63.25,63.52,1889039,D
2014-01-07,63.81,64.74,63.7,64.69,2196588,D
2014-01-08,64.53,65.13,64.28,64.76,2935745,D
2014-01-09,65.5,66.435,65.16,66.32,2961565,D
2014-01-10,66.77,67.82,66.64,67.78,3385042,D
2014-01-13,67.77,68.47,67.01,67.17,2851997,D
2014-01-14,67.2,67.43,66.82,67.11,1750644,D
2014-01-15,67.1,67.16,66.56,66.63,1613725,D
2014-01-16,66.24,66.55,65.85,66.48,1779506,D
2014-01-17,66.32,66.55,66.05,66.29,1947635,D
2014-01-21,66.49,66.94,66.375,66.88,2775189,D
2014-01-22,66.88,67.24,66.79,67.12,2148338,D
2014-01-23,66.72,67.0,66.07,66.4,2643542,D
2014-01-24,66.09,66.82,65.86,65.93,2475718,D
2014-01-27,65.96,66.75,65.85,66.42,2171743,D
2014-01-28,66.42,66.64,66.06,66.26,2380455,D
2014-01-29,66.08,66.46,65.87,66.28,2646219,D
2014-01-30,66.45,67.17,66.325,67.05,2184335,D
2014-01-31,65.62,68.45,65.08,67.91,4436940,D
2014-02-03,67.84,68.86,66.92,67.12,3096271,D
2014-02-04,67.13,67.3516,65.76,65.85,3507338,D
2014-02-05,65.6,65.845,65.061,65.7,2684091,D
2014-02-06,65.65,66.1,65.11,65.93,1734952,D
2014-02-07,66.08,66.98,65.95,66.93,2147644,D
2014-02-10,67.27,68.57,66.93,68.49,3972415,D
2014-02-11,68.69,69.59,68.36,69.14,3114006,D
2014-02-12,69.0,69.52,68.76,69.36,1846598,D
2014-02-13,69.06,70.75,69.0,70.69,2736155,D
2014-02-14,70.49,71.171,70.1,71.11,2383064,D
2014-02-18,71.15,71.3099,70.68,70.86,2094941,D
2014-02-19,70.82,71.73,70.47,70.64,2125137,D
2014-02-20,70.73,71.73,70.6125,71.5,2031970,D
2014-02-21,71.6,72.07,71.32,71.39,1549200,D
2014-02-24,71.4,72.22,71.27,71.29,1514408,D
2014-02-25,71.39,71.96,71.11,71.26,1894751,D
2014-02-26,70.95,71.02,69.6,69.76,2633920,D
2014-02-27,69.76,70.13,69.25,69.58,1652573,D
2014-02-28,69.47,69.81,69.09,69.4,4112456,D
2014-03-03,68.97,69.45,68.39,68.59,2861747,D
2014-03-04,69.3,69.5216,68.855,69.29,2891654,D
2014-03-05,69.26,69.3,68.35,68.52,2721251,D
2014-03-06,68.75,68.9,67.79,67.97,2294647,D
2014-03-07,67.89,68.505,67.59,68.44,3006848,D
2014-03-10,68.31,68.66,67.97,68.35,2016924,D
2014-03-11,68.43,68.43,67.75,68.05,2222988,D
2014-03-12,68.01,69.01,67.85,68.98,2711219,D
2014-03-13,69.04,69.68,68.86,69.5,3369841,D
2014-03-14,69.42,70.09,69.13,69.89,4787478,D
2014-03-17,70.23,70.65,69.6799,70.6,3800674,D
2014-03-18,70.6,70.87,70.205,70.5,2411051,D
2014-03-19,70.64,71.23,69.38,69.83,3163460,D
2014-03-20,70.08,70.08,68.97,69.77,2537618,D
2014-03-21,70.82,70.96,69.93,70.06,4528681,D
2014-03-24,70.04,70.39,69.45,69.77,2236149,D
2014-03-25,69.95,70.21,69.52,70.07,1658345,D
2014-03-26,70.13,70.97,69.97,70.36,2189541,D
2014-03-27,70.42,71.02,70.08,70.95,1823557,D
2014-03-28,70.82,71.13,70.6,71.09,1866519,D
2014-03-31,71.28,71.52,70.24,70.99,2850459,D
