date,open,high,low,close,volume,Name
2013-02-08,17.05,17.505,16.86,17.37,4846238,EA
2013-02-11,17.3,17.6,17.13,17.41,4414898,EA
2013-02-12,17.38,17.585,17.28,17.54,4443470,EA
2013-02-13,17.39,17.55,17.06,17.17,5300187,EA
2013-02-14,17.13,17.36,16.98,17.15,5670436,EA
2013-02-15,17.1501,17.18,16.83,16.97,5481025,EA
2013-02-19,17.05,17.75,17.0,17.585,4936238,EA
2013-02-20,17.51,17.75,17.45,17.48,5319875,EA
2013-02-21,17.65,17.92,17.16,17.64,10889854,EA
2013-02-22,17.67,17.87,17.67,17.81,3526120,EA
2013-02-25,17.84,18.03,17.69,17.7,5689852,EA
2013-02-26,17.76,17.82,17.45,17.69,4559987,EA
2013-02-27,17.65,18.2,17.41,18.12,5373351,EA
2013-02-28,17.59,18.0,17.52,17.53,7160430,EA
2013-03-01,17.53,18.08,17.42,18.04,5916742,EA
2013-03-04,17.97,18.3,17.93,18.2,4846642,EA
2013-03-05,18.34,18.9,18.3,18.51,4899017,EA
2013-03-06,18.63,18.87,18.448,18.62,3182505,EA
2013-03-07,18.56,18.94,18.44,18.71,4026345,EA
2013-03-08,18.75,18.82,18.48,18.58,3831286,EA
2013-03-11,18.58,19.51,18.58,19.13,7736128,EA
2013-03-12,19.06,19.25,18.99,19.25,3947990,EA
2013-03-13,19.04,19.15,18.79,18.94,5548080,EA
2013-03-14,19.07,19.36,18.95,19.34,3483409,EA
2013-03-15,19.33,19.34,18.87,18.88,5657897,EA
2013-03-18,18.7,18.765,18.42,18.71,5062438,EA
2013-03-19,18.71,18.85,16.93,17.15,20063818,EA
2013-03-20,17.18,17.41,17.08,17.34,5450525,EA
2013-03-21,17.58,17.99,17.54,17.7,5885339,EA
2013-03-22,17.68,18.03,17.68,17.97,4669594,EA
2013-03-25,18.12,18.14,17.51,17.56,4829193,EA
2013-03-26,18.11,18.15,17.69,17.77,4608114,EA
2013-03-27,17.76,17.83,17.4701,17.79,2672531,EA
2013-03-28,17.63,17.73,17.39,17.7,6487310,EA
2013-04-01,17.61,18.02,17.61,17.915,4288548,EA
2013-04-02,17.75,17.9401,17.43,17.545,3959783,EA
2013-04-03,17.55,17.59,17.19,17.24,4527809,EA
2013-04-04,17.34,17.39,17.11,17.245,4305693,EA
2013-04-05,17.14,17.37,17.0,17.35,2580191,EA
2013-04-08,17.33,17.3799,16.975,17.27,2726253,EA
2013-04-09,17.36,17.51,17.24,17.45,1778421,EA
2013-04-10,17.41,17.84,17.28,17.8,3976231,EA
2013-04-11,17.96,17.96,17.6,17.63,3190211,EA
2013-04-12,17.53,17.605,17.34,17.58,2168739,EA
2013-04-15,17.5,17.6,16.9,16.91,4217961,EA
