date,open,high,low,close,volume,Name
2013-02-08,72.51,73.32,72.45,73.31,911063,EMN
2013-02-11,73.34,74.27,73.174,74.13,1033892,EMN
2013-02-12,74.1,74.36,73.37,73.93,991137,EMN
2013-02-13,74.26,75.18,74.13,74.78,1411698,EMN
2013-02-14,74.43,74.55,73.76,74.08,1904063,EMN
2013-02-15,74.14,74.71,73.05,73.46,2525703,EMN
2013-02-19,73.8,73.97,73.29,73.43,1110535,EMN
2013-02-20,73.31,73.41,70.2,70.22,1980068,EMN
2013-02-21,70.14,70.21,67.27,68.72,3845710,EMN
2013-02-22,69.26,71.73,69.25,71.69,2124622,EMN
2013-02-25,71.78,71.78,67.94,68.0,2332322,EMN
2013-02-26,68.47,68.93,67.41,68.57,1954712,EMN
2013-02-27,68.9,71.34,68.8,70.79,2045120,EMN
2013-02-28,70.78,71.22,69.72,69.73,1730635,EMN
2013-03-01,69.09,70.02,68.29,69.71,2630214,EMN
2013-03-04,69.3,70.03,68.55,69.78,1537475,EMN
2013-03-05,70.28,71.48,70.02,71.12,1333823,EMN
2013-03-06,71.65,72.31,71.37,72.0,1177150,EMN
2013-03-07,71.87,72.26,71.3,72.02,1200048,EMN
2013-03-08,72.59,73.13,71.7699,72.23,1241057,EMN
2013-03-11,72.19,72.8,71.59,72.78,818761,EMN
2013-03-12,72.59,73.42,72.35,73.16,1034135,EMN
2013-03-13,73.04,73.05,72.18,72.72,804236,EMN
2013-03-14,73.22,73.58,72.922,73.25,739193,EMN
2013-03-15,72.81,73.41,72.53,72.6,1234749,EMN
2013-03-18,71.54,73.005,71.54,72.83,1136435,EMN
2013-03-19,72.96,73.56,71.8,72.77,903589,EMN
2013-03-20,73.21,73.83,72.96,73.18,662159,EMN
2013-03-21,72.09,72.24,70.46,70.48,2770958,EMN
2013-03-22,70.91,71.15,69.6,70.11,1771946,EMN
2013-03-25,70.55,70.67,68.88,68.99,1423732,EMN
2013-03-26,69.47,69.94,68.93,69.23,1467360,EMN
2013-03-27,68.85,69.33,67.77,69.07,1962447,EMN
2013-03-28,69.23,70.48,69.12,69.87,1325092,EMN
2013-04-01,69.73,69.91,68.97,69.14,1164946,EMN
2013-04-02,69.4,69.42,68.03,68.2,1570090,EMN
2013-04-03,68.29,68.49,66.11,66.47,2513245,EMN
2013-04-04,66.64,67.85,66.56,67.52,1688987,EMN
2013-04-05,66.27,68.255,65.71,68.14,1905460,EMN
2013-04-08,68.18,68.22,67.12,67.86,1520585,EMN
2013-04-09,67.97,68.84,67.61,68.55,1421408,EMN
2013-04-10,68.67,68.75,67.3901,67.9,1670051,EMN
2013-04-11,68.1,69.24,67.64,68.29,1031404,EMN
2013-04-12,67.8,68.03,66.74,68.0,881887,EMN
2013-04-15,68.0,68.15,65.44,65.59,2059950,EMN
2013-04-16,66.51,68.0,66.25,67.87,1541759,EMN
2013-04-17,66.97,67.14,66.33,66.97,1320899,EMN
