date,open,high,low,close,volume,Name
2013-02-08,61.99,62.02,61.34,61.83,1294838,EQT
2013-02-11,61.76,61.76,60.79,61.37,653485,EQT
2013-02-12,61.48,61.6,60.62,60.68,1095670,EQT
2013-02-13,60.72,61.1299,60.45,60.71,920229,EQT
2013-02-14,60.61,61.105,60.38,60.5,1363521,EQT
2013-02-15,60.47,60.49,59.04,59.37,1121243,EQT
2013-02-19,59.58,60.72,59.58,60.72,912032,EQT
2013-02-20,60.85,60.85,59.19,59.28,916948,EQT
2013-02-21,59.27,59.55,58.32,59.17,911869,EQT
2013-02-22,59.47,60.57,59.25,60.56,1130454,EQT
2013-02-25,60.87,61.28,58.87,58.87,1271119,EQT
2013-02-26,59.13,59.73,57.86,59.69,1397320,EQT
2013-02-27,59.53,61.8,59.48,61.61,1649573,EQT
2013-02-28,61.53,63.39,61.26,63.09,1792470,EQT
2013-03-01,62.63,63.95,62.38,63.92,1986947,EQT
2013-03-04,63.78,64.1,62.05,62.68,2356688,EQT
2013-03-05,63.12,63.59,63.03,63.1,1601968,EQT
2013-03-06,63.4,63.77,62.94,63.35,1368393,EQT
2013-03-07,63.46,66.17,63.28,65.71,2106160,EQT
2013-03-08,65.82,65.85,64.54,65.26,1381746,EQT
2013-03-11,65.15,65.36,64.26,65.14,3146799,EQT
2013-03-12,65.25,65.48,64.65,65.41,1049964,EQT
2013-03-13,65.39,65.9,64.99,65.35,1694271,EQT
2013-03-14,65.45,67.92,65.37,67.82,2310470,EQT
2013-03-15,67.51,68.33,66.25,66.7,2325773,EQT
2013-03-18,65.92,67.09,65.89,66.49,1029999,EQT
2013-03-19,66.69,67.29,65.75,67.09,2054421,EQT
2013-03-20,67.48,67.6,66.37,67.2,1088078,EQT
2013-03-21,66.87,67.53,66.39,66.7,1074437,EQT
2013-03-22,67.02,67.3,66.69,66.89,1151259,EQT
2013-03-25,67.0,68.44,66.92,67.11,1269396,EQT
2013-03-26,67.39,68.23,67.02,68.18,988192,EQT
2013-03-27,67.74,68.35,67.04,68.12,991842,EQT
2013-03-28,68.12,68.41,67.65,67.75,1112696,EQT
2013-04-01,67.94,68.27,66.51,67.69,837538,EQT
2013-04-02,67.92,68.21,66.95,67.27,983615,EQT
2013-04-03,67.13,67.2,64.95,65.33,1534837,EQT
2013-04-04,65.69,66.15,65.15,65.67,989613,EQT
2013-04-05,64.99,67.82,64.99,67.44,1452476,EQT
2013-04-08,67.28,69.27,66.88,69.26,2029977,EQT
2013-04-09,69.23,70.07,68.4,69.4,1539096,EQT
2013-04-10,69.72,70.04,69.22,69.93,1647408,EQT
2013-04-11,70.09,70.47,69.41,69.53,852179,EQT
2013-04-12,69.01,69.21,67.73,68.91,1228026,EQT
2013-04-15,68.58,68.68,65.56,65.59,2051664,EQT
2013-04-16,66.4,67.0,65.75,66.83,1235892,EQT
2013-04-17,66.39,66.62,64.71,66.08,1840545,EQT
2013-04-18,66.33,67.75,65.58,66.95,1634547,EQT
2013-04-19,67.15,67.2302,66.3275,66.66,1924766,EQT
2013-04-22,66.83,67.12,65.93,66.84,1122081,EQT
2013-04-23,67.1,67.83,66.52,67.79,1690446,EQT
2013-04-24,68.13,69.31,67.82,68.58,1840697,EQT
2013-04-25,71.25,75.59,71.25,73.96,3894079,EQT
2013-04-26,73.95,74.5,73.46,73.85,1505161,EQT
2013-04-29,74.41,76.91,74.41,75.75,1642286,EQT
2013-04-30,75.69,75.85,74.65,75.12,1643376,EQT
2013-05-01,74.79,76.02,74.1201,75.83,2096429,EQT
2013-05-02,76.0,76.4,73.62,74.4,1948936,EQT
2013-05-03,76.05,76.6,74.73,75.13,2029246,EQT
2013-05-06,75.01,76.51,75.0,75.65,1292872,EQT
2013-05-07,75.93,76.45,74.96,75.77,1938472,EQT
2013-05-08,75.79,75.98,74.84,75.4,2293568,EQT
2013-05-09,75.77,76.34,74.94,76.18,1518436,EQT
2013-05-10,75.71,75.9,74.9,75.81,942731,EQT
2013-05-13,75.65,76.11,74.56,74.9,1059030,EQT
2013-05-14,75.16,76.59,74.93,76.53,1015098,EQT
2013-05-15,76.12,78.39,75.88,77.36,1533527,EQT
2013-05-16,76.97,77.88,76.25,76.56,1345069,EQT
2013-05-17,76.63,79.14,76.63,79.04,1459363,EQT
2013-05-20,79.21,81.57,79.19,81.43,2384684,EQT
2013-05-21,81.33,82.1325,80.78,81.0,2115646,EQT
2013-05-22,80.76,81.58,79.245,79.9,1716506,EQT
2013-05-23,79.3,80.44,78.19,79.86,1109077,EQT
2013-05-24,79.38,80.78,78.89,80.58,1142950,EQT
2013-05-28,81.54,82.22,80.51,80.83,1001083,EQT
2013-05-29,80.36,81.12,80.18,80.59,977339,EQT
2013-05-30,80.68,81.81,80.24,81.4,1078758,EQT
2013-05-31,81.85,83.33,79.87,79.88,2359326,EQT
2013-06-03,79.99,81.26,79.3,79.77,1349935,EQT
2013-06-04,79.63,80.43,78.35,79.17,1045118,EQT
2013-06-05,78.93,79.36,77.44,77.5,1519776,EQT
2013-06-06,77.87,79.3,76.93,78.37,1773763,EQT
2013-06-07,78.8,81.42,78.57,81.42,1204946,EQT
2013-06-10,82.51,82.63,81.0,81.82,1045845,EQT
