date,open,high,low,close,volume,Name
2013-02-08,58.95,59.6,58.82,58.92,4440823,ETN
2013-02-11,58.83,59.77,58.81,59.67,2990535,ETN
2013-02-12,59.68,60.3,59.44,60.21,2833020,ETN
2013-02-13,60.41,61.47,60.31,61.04,3037705,ETN
2013-02-14,60.67,61.46,60.61,61.24,2522415,ETN
2013-02-15,61.52,61.54,60.73,60.87,2936384,ETN
2013-02-19,61.05,61.55,61.05,61.49,2514414,ETN
2013-02-20,61.61,61.71,60.62,60.74,3834795,ETN
2013-02-21,60.24,60.28,59.29,59.45,3779026,ETN
2013-02-22,59.79,60.36,59.685,59.75,2711849,ETN
2013-02-25,60.32,61.06,59.25,59.27,4589941,ETN
2013-02-26,59.96,60.23,58.93,59.56,3254914,ETN
2013-02-27,59.44,61.98,59.32,61.69,3003600,ETN
2013-02-28,61.53,62.56,61.25,61.97,3799858,ETN
2013-03-01,61.45,63.63,61.1706,62.66,5229186,ETN
2013-03-04,62.51,62.85,61.03,62.12,3951918,ETN
2013-03-05,62.41,63.12,62.01,62.15,3418299,ETN
2013-03-06,62.4,62.935,61.951,62.62,2813264,ETN
2013-03-07,62.37,62.505,61.8,62.02,1915062,ETN
2013-03-08,62.46,63.42,62.24,63.35,2581901,ETN
2013-03-11,63.11,63.5,62.83,63.39,1704151,ETN
2013-03-12,63.29,63.29,61.96,62.84,2717157,ETN
2013-03-13,62.85,63.59,62.57,63.42,3145390,ETN
2013-03-14,63.79,63.81,62.81,63.17,2794495,ETN
2013-03-15,62.88,63.24,62.51,62.57,4205965,ETN
2013-03-18,61.9,62.44,61.571,61.83,2596168,ETN
2013-03-19,62.0,62.1,60.7801,61.39,2408938,ETN
2013-03-20,61.96,62.85,61.94,62.68,2487536,ETN
2013-03-21,62.39,63.265,62.25,62.62,3024779,ETN
2013-03-22,62.85,63.49,62.63,63.27,2608967,ETN
2013-03-25,63.18,63.66,61.92,61.98,3461689,ETN
2013-03-26,62.22,62.45,61.14,61.16,3364825,ETN
2013-03-27,60.71,61.2,60.35,60.74,5384286,ETN
2013-03-28,60.86,61.46,60.6,61.25,4510680,ETN
2013-04-01,61.25,62.15,60.81,61.18,3277173,ETN
2013-04-02,61.56,61.68,60.68,60.93,2706750,ETN
2013-04-03,61.13,61.23,58.55,59.25,5596531,ETN
2013-04-04,59.2,59.82,58.93,59.53,3921425,ETN
2013-04-05,58.63,59.4,58.271,59.32,3303267,ETN
2013-04-08,59.31,60.34,59.13,60.33,2720138,ETN
2013-04-09,60.48,60.72,59.8,60.47,3067682,ETN
2013-04-10,60.47,61.24,60.1,61.12,2475655,ETN
2013-04-11,61.17,62.88,61.1,61.69,2978777,ETN
2013-04-12,61.24,61.49,60.0,60.3,2648435,ETN
2013-04-15,59.9,60.04,57.09,57.22,4962922,ETN
2013-04-16,58.1,59.18,58.0,59.05,3128941,ETN
2013-04-17,58.54,58.55,56.72,57.35,4571261,ETN
