date,open,high,low,close,volume,Name
2013-02-08,64.98,65.08,63.58,64.47,3966540,ETR
2013-02-11,64.42,64.73,64.32,64.62,2989886,ETR
2013-02-12,63.79,64.11,63.7644,63.93,884380,ETR
2013-02-13,63.93,64.17,63.59,63.66,1043371,ETR
2013-02-14,63.1,63.1,61.5,61.8,2615527,ETR
2013-02-15,61.6,61.69,61.09,61.45,1847574,ETR
2013-02-19,61.7,62.0,61.56,61.78,1199085,ETR
2013-02-20,61.79,62.21,61.53,61.55,1316589,ETR
2013-02-21,61.53,61.72,61.24,61.52,946348,ETR
2013-02-22,61.61,62.16,61.53,62.05,809115,ETR
2013-02-25,62.24,62.86,61.58,61.58,1039546,ETR
2013-02-26,61.88,62.3635,61.29,61.54,1094769,ETR
2013-02-27,61.74,62.1,61.46,62.02,874752,ETR
2013-02-28,62.14,62.52,61.98,62.26,1347884,ETR
2013-03-01,62.21,62.46,61.64,62.12,1137892,ETR
2013-03-04,61.95,63.01,61.95,62.95,892659,ETR
2013-03-05,63.2,63.82,63.06,63.58,1221570,ETR
2013-03-06,63.73,63.94,63.475,63.65,917505,ETR
2013-03-07,63.72,64.06,63.42,63.52,615284,ETR
2013-03-08,63.59,63.71,62.97,63.43,943826,ETR
2013-03-11,63.28,63.56,63.22,63.52,760903,ETR
2013-03-12,63.55,63.8,63.21,63.47,687560,ETR
2013-03-13,63.45,64.0,63.45,63.68,924134,ETR
2013-03-14,63.71,63.92,63.59,63.64,1105601,ETR
2013-03-15,63.33,65.39,63.26,65.23,1972537,ETR
2013-03-18,64.78,65.06,64.33,64.46,805873,ETR
2013-03-19,64.42,64.74,63.74,64.02,932365,ETR
2013-03-20,64.29,64.3,63.8,63.97,1564672,ETR
2013-03-21,63.7,63.93,62.75,62.92,1086800,ETR
2013-03-22,62.94,62.9965,62.1,62.38,1696669,ETR
2013-03-25,62.43,62.65,61.42,61.67,1645491,ETR
2013-03-26,61.92,62.75,61.83,62.69,2189642,ETR
2013-03-27,62.37,63.0,62.29,62.94,911909,ETR
2013-03-28,63.0,63.41,62.73,63.24,878885,ETR
2013-04-01,63.37,63.48,63.12,63.39,521183,ETR
2013-04-02,63.67,64.35,63.51,64.03,1197297,ETR
2013-04-03,64.19,65.19,63.9501,65.0,2150972,ETR
2013-04-04,65.01,66.56,65.0,66.52,1672794,ETR
2013-04-05,66.35,67.47,66.161,67.28,1403388,ETR
2013-04-08,67.3,67.89,67.0,67.86,1232788,ETR
2013-04-09,67.86,67.96,67.56,67.65,955202,ETR
2013-04-10,67.92,68.34,67.84,68.26,1701864,ETR
2013-04-11,68.26,69.14,67.81,69.05,1285181,ETR
2013-04-12,68.96,69.7,68.915,69.7,1262897,ETR
2013-04-15,69.39,69.97,68.65,68.65,1006276,ETR
2013-04-16,69.18,69.76,68.83,69.53,1102542,ETR
2013-04-17,69.23,69.51,68.76,69.2,1218971,ETR
2013-04-18,69.53,70.38,69.53,70.29,1616908,ETR
2013-04-19,70.52,70.7,69.08,69.71,2316047,ETR
