date,open,high,low,close,volume,Name
2013-02-08,59.71,60.09,59.06,59.82,1126347,FMC
2013-02-11,59.93,60.12,59.18,59.2,956964,FMC
2013-02-12,59.6,59.6,58.01,58.13,1594216,FMC
2013-02-13,58.25,59.0,58.25,58.81,1104986,FMC
2013-02-14,58.59,59.08,58.25,59.01,922822,FMC
2013-02-15,59.02,59.89,59.0,59.47,1188598,FMC
2013-02-19,59.73,60.22,59.32,59.32,1228487,FMC
2013-02-20,59.3,59.53,58.16,58.23,1418952,FMC
2013-02-21,57.92,57.92,57.0,57.46,1520104,FMC
2013-02-22,57.57,58.76,57.53,58.71,723163,FMC
2013-02-25,58.94,59.18,57.51,57.51,1202027,FMC
2013-02-26,57.79,58.715,57.66,58.52,905961,FMC
2013-02-27,58.57,59.98,58.47,59.65,613294,FMC
2013-02-28,59.68,60.665,59.62,60.26,1567281,FMC
2013-03-01,59.97,60.21,59.14,59.9,978054,FMC
2013-03-04,59.54,60.27,59.18,60.24,790501,FMC
2013-03-05,60.45,61.01,60.17,60.74,851659,FMC
2013-03-06,60.88,61.34,60.6,61.07,668782,FMC
2013-03-07,61.06,61.48,60.79,60.89,633604,FMC
2013-03-08,61.23,61.505,60.81,61.12,918341,FMC
2013-03-11,61.17,61.51,60.865,61.39,710017,FMC
2013-03-12,61.33,61.6699,61.01,61.27,897190,FMC
2013-03-13,61.32,61.32,60.65,61.15,577562,FMC
2013-03-14,61.38,61.61,60.95,61.16,727380,FMC
2013-03-15,60.86,61.19,59.93,60.0,2603906,FMC
2013-03-18,59.53,60.03,59.321,59.51,940540,FMC
2013-03-19,59.62,59.695,58.425,59.27,850323,FMC
2013-03-20,59.52,59.79,58.93,59.16,645459,FMC
2013-03-21,58.76,58.838,57.09,57.19,1372884,FMC
2013-03-22,57.5,57.79,57.22,57.45,943292,FMC
2013-03-25,57.5,57.61,56.54,56.65,979476,FMC
2013-03-26,56.72,57.22,56.5,56.96,671491,FMC
2013-03-27,56.5,56.725,56.26,56.56,863715,FMC
2013-03-28,56.6,57.11,56.43,57.03,1160777,FMC
2013-04-01,57.23,57.23,56.045,56.14,593312,FMC
2013-04-02,56.41,56.68,56.06,56.4,973950,FMC
2013-04-03,56.5,57.0,55.67,56.04,1682586,FMC
2013-04-04,56.26,56.72,55.79,56.26,797076,FMC
2013-04-05,55.48,55.712,55.18,55.45,1060586,FMC
2013-04-08,56.09,57.111,55.855,57.05,1181497,FMC
2013-04-09,57.19,57.6,56.76,57.15,588249,FMC
2013-04-10,57.32,57.84,57.25,57.84,773304,FMC
2013-04-11,57.82,58.858,57.805,58.69,835681,FMC
2013-04-12,58.44,58.57,58.14,58.43,856915,FMC
2013-04-15,57.95,58.18,56.39,56.39,1113629,FMC
