date,open,high,low,close,volume,Name
2016-07-01,,,,49.54,0,FTV
2016-07-05,49.4,54.34,48.395,48.6,6230697,FTV
2016-07-06,47.07,48.6,46.29,47.75,6706473,FTV
2016-07-07,47.62,48.0,47.345,47.74,5486829,FTV
2016-07-08,47.96,50.61,47.53,50.2,4243498,FTV
2016-07-11,49.21,51.23,48.98,51.12,6042339,FTV
2016-07-12,51.0,51.06,50.26,50.57,5552928,FTV
2016-07-13,50.57,51.1,49.83,50.62,4864712,FTV
2016-07-14,50.33,51.74,49.95,51.57,3481590,FTV
2016-07-15,51.78,51.91,50.61,51.23,3689804,FTV
2016-07-18,50.77,51.58,50.51,51.29,1557534,FTV
2016-07-19,51.04,51.56,50.44,51.55,1954651,FTV
2016-07-20,51.84,51.92,50.01,50.34,3351687,FTV
2016-07-21,50.4,50.62,49.99,50.24,3037115,FTV
2016-07-22,50.0,50.29,49.29,49.4,2450622,FTV
2016-07-25,49.22,49.45,47.86,48.98,3044828,FTV
2016-07-26,48.56,49.42,48.28,49.28,1571409,FTV
2016-07-27,49.08,49.5,48.715,48.92,1628596,FTV
2016-07-28,48.74,49.09,48.345,48.65,2923057,FTV
2016-07-29,48.46,48.8,48.01,48.21,4484073,FTV
2016-08-01,48.11,48.51,47.59,47.8,2980989,FTV
2016-08-02,47.5,48.02,47.18,47.5,3267301,FTV
2016-08-03,47.5,49.48,47.35,49.28,4709939,FTV
2016-08-04,49.59,50.11,49.48,50.03,3046799,FTV
2016-08-05,50.26,50.98,50.26,50.58,2665875,FTV
2016-08-08,50.63,50.87,49.94,50.05,2116463,FTV
2016-08-09,48.73,50.53,48.4205,50.46,1077911,FTV
2016-08-10,50.47,50.8,50.1,50.45,1182411,FTV
2016-08-11,50.73,52.71,50.7,52.55,1992681,FTV
2016-08-12,52.0,52.87,51.8,52.71,1287802,FTV
2016-08-15,52.95,53.77,52.86,53.66,1457937,FTV
2016-08-16,53.58,53.95,53.27,53.55,1002284,FTV
2016-08-17,53.67,53.73,53.34,53.41,1032288,FTV
2016-08-18,53.22,53.52,52.93,53.16,874672,FTV
2016-08-19,52.95,52.95,51.71,51.92,1196193,FTV
2016-08-22,51.92,52.04,51.08,51.26,1081677,FTV
2016-08-23,51.36,52.1,51.14,51.91,2513773,FTV
2016-08-24,51.26,51.78,50.6041,51.37,692793,FTV
2016-08-25,51.18,51.89,50.98,51.62,1384867,FTV
2016-08-26,51.64,52.34,51.53,51.87,937562,FTV
2016-08-29,51.78,52.79,51.56,52.41,1044848,FTV
2016-08-30,52.19,53.47,52.19,52.61,952121,FTV
2016-08-31,52.47,52.82,52.0,52.67,1653599,FTV
2016-09-01,52.96,53.11,52.14,52.63,959371,FTV
2016-09-02,53.02,53.47,52.81,53.38,840803,FTV
2016-09-06,53.5,53.55,52.29,52.73,1293788,FTV
2016-09-07,52.43,53.12,52.02,52.94,1743200,FTV
2016-09-08,52.68,52.96,52.27,52.33,1097798,FTV
2016-09-09,51.77,52.01,50.55,50.55,2170702,FTV
2016-09-12,50.02,51.44,49.86,51.21,1862444,FTV
2016-09-13,50.86,51.4,49.97,50.04,1607116,FTV
2016-09-14,50.05,50.5,49.64,50.02,1152272,FTV
2016-09-15,49.98,50.6,49.5,50.49,1417223,FTV
2016-09-16,50.11,50.39,49.42,50.26,2351863,FTV
2016-09-19,50.41,51.405,50.38,50.78,975306,FTV
2016-09-20,50.78,51.08,50.21,50.25,1070439,FTV
2016-09-21,50.47,51.01,50.22,50.98,850841,FTV
2016-09-22,51.35,51.99,51.29,51.64,1649215,FTV
2016-09-23,51.3,51.58,50.65,50.88,807188,FTV
2016-09-26,50.66,51.49,50.3,51.22,1066265,FTV
2016-09-27,51.1,51.78,51.05,51.61,1196391,FTV
2016-09-28,51.74,51.77,51.35,51.72,905666,FTV
2016-09-29,51.09,51.61,50.63,50.7,1458059,FTV
2016-09-30,51.12,51.27,50.28,50.9,1952443,FTV
2016-10-03,50.61,51.6599,50.61,51.39,1361493,FTV
2016-10-04,51.26,51.45,50.56,50.81,1212754,FTV
2016-10-05,51.02,51.295,50.6,50.94,884504,FTV
2016-10-06,50.83,50.97,50.5,50.7,764013,FTV
2016-10-07,50.5,50.81,49.87,49.93,1055658,FTV
2016-10-10,50.23,50.32,49.9,49.95,1021172,FTV
2016-10-11,49.92,50.16,49.02,49.22,1401859,FTV
2016-10-12,49.4,49.4,48.65,48.99,1620016,FTV
2016-10-13,48.63,49.68,48.0,48.82,1209563,FTV
2016-10-14,49.07,49.935,48.8101,49.46,872344,FTV
2016-10-17,49.56,49.5895,48.91,49.06,1116544,FTV
2016-10-18,49.65,50.32,49.0,49.09,1152647,FTV
2016-10-19,49.27,49.796,48.46,49.39,759918,FTV
2016-10-20,49.14,49.18,48.44,48.7,1419279,FTV
2016-10-21,48.22,48.89,48.13,48.67,1706970,FTV
2016-10-24,48.87,49.26,48.36,48.55,1269604,FTV
2016-10-25,48.5,48.5,47.86,47.92,1279439,FTV
2016-10-26,47.8,48.12,47.54,47.77,1574685,FTV
2016-10-27,47.69,47.69,46.81,47.49,3144196,FTV
2016-10-28,50.23,51.6899,49.73,50.21,3978783,FTV
2016-10-31,50.21,51.35,50.04,51.05,1561747,FTV
2016-11-01,50.94,51.02,49.99,50.49,1775822,FTV
2016-11-02,50.45,51.15,50.28,50.32,879788,FTV
2016-11-03,50.29,51.2,49.99,50.98,1145737,FTV
2016-11-04,51.02,51.66,50.54,51.11,1568224,FTV
2016-11-07,51.57,52.07,51.035,51.79,1413931,FTV
2016-11-08,51.88,52.8,51.37,52.65,1165927,FTV
2016-11-09,51.99,53.93,51.9043,53.46,1673874,FTV
2016-11-10,53.95,55.34,53.695,54.2,1796173,FTV
2016-11-11,54.09,54.74,53.28,53.4,1431376,FTV
2016-11-14,53.66,54.06,53.49,53.82,2630365,FTV
2016-11-15,53.94,54.45,53.69,54.12,1703435,FTV
2016-11-16,53.79,54.455,53.71,54.44,1533521,FTV
2016-11-17,54.38,54.66,53.92,54.5,933070,FTV
2016-11-18,54.48,54.75,54.09,54.63,1214944,FTV
2016-11-21,54.25,55.16,54.0,54.83,1391314,FTV
2016-11-22,54.74,55.77,54.56,55.37,1333194,FTV
2016-11-23,55.61,55.93,55.27,55.8,1052992,FTV
2016-11-25,56.08,56.15,55.45,55.97,489276,FTV
2016-11-28,56.08,56.24,55.32,55.59,1054130,FTV
2016-11-29,55.36,55.98,55.21,55.28,1077962,FTV
2016-11-30,55.65,56.155,54.8,54.99,4718924,FTV
2016-12-01,55.14,55.21,53.9998,54.19,3325307,FTV
2016-12-02,54.29,55.03,54.01,54.48,2545434,FTV
2016-12-05,54.77,54.89,53.57,53.91,1420805,FTV
2016-12-06,53.97,54.12,53.54,54.0,2281347,FTV
2016-12-07,54.0,54.405,53.41,54.24,3285698,FTV
2016-12-08,54.37,54.46,53.435,53.68,2203150,FTV
2016-12-09,53.51,54.16,53.32,54.0,1441365,FTV
2016-12-12,53.88,54.37,53.74,53.99,1530219,FTV
2016-12-13,54.28,54.45,53.25,53.85,2752022,FTV
2016-12-14,53.89,55.335,53.87,54.25,1559674,FTV
2016-12-15,54.21,55.29,53.93,54.81,1578075,FTV
2016-12-16,54.86,55.02,54.4,54.83,2646114,FTV
2016-12-19,54.81,55.03,54.39,54.96,1169327,FTV
2016-12-20,55.24,55.46,54.81,55.05,1187882,FTV
2016-12-21,54.97,54.97,53.92,54.12,1469792,FTV
2016-12-22,54.12,54.98,53.69,54.09,1543310,FTV
2016-12-23,54.33,54.76,53.77,54.51,521727,FTV
2016-12-27,54.75,54.84,54.11,54.46,915355,FTV
2016-12-28,54.66,54.66,53.47,53.75,602736,FTV
2016-12-29,53.99,54.14,53.59,54.01,497171,FTV
2016-12-30,54.2,54.48,53.39,53.63,705431,FTV
2017-01-03,53.89,54.1841,52.99,53.73,1615079,FTV
2017-01-04,54.12,54.53,53.97,54.25,1487117,FTV
2017-01-05,54.33,54.7,53.71,53.94,1429980,FTV
2017-01-06,53.9,54.2,53.39,53.87,1260009,FTV
2017-01-09,54.02,54.2,53.59,53.73,743335,FTV
2017-01-10,53.73,54.08,53.48,53.8,1311612,FTV
2017-01-11,53.78,53.88,53.26,53.66,3691727,FTV
2017-01-12,53.47,53.89,53.36,53.67,2030174,FTV
2017-01-13,54.4,55.16,54.4,54.76,1439364,FTV
2017-01-17,54.44,54.53,53.67,54.13,1235536,FTV
2017-01-18,54.11,54.4,53.85,54.14,1346076,FTV
2017-01-19,54.23,54.68,54.0,54.27,821079,FTV
2017-01-20,54.42,54.68,54.21,54.52,1822897,FTV
2017-01-23,54.32,54.81,53.59,54.11,1372830,FTV
2017-01-24,54.31,54.99,54.0887,54.7,1710517,FTV
2017-01-25,54.94,55.34,54.7,55.17,1755924,FTV
2017-01-26,55.0,55.98,54.76,55.69,2298667,FTV
2017-01-27,55.73,56.0,55.55,55.93,1568686,FTV
2017-01-30,55.93,55.93,54.75,55.44,1570608,FTV
2017-01-31,55.24,55.54,54.91,55.31,1792769,FTV
2017-02-01,55.47,55.65,54.8048,55.13,1159728,FTV
2017-02-02,54.8,55.5,54.5,55.21,1895180,FTV
2017-02-03,55.56,56.65,55.07,56.02,1447427,FTV
2017-02-06,55.7,55.94,55.51,55.81,879644,FTV
2017-02-07,56.0,56.12,55.56,55.64,1898017,FTV
2017-02-08,54.97,56.39,54.8844,56.18,4628151,FTV
2017-02-09,56.16,57.15,56.16,57.02,1128318,FTV
2017-02-10,57.19,57.42,56.68,57.15,1251218,FTV
2017-02-13,57.46,58.04,57.38,57.53,1187793,FTV
2017-02-14,57.5,57.53,56.92,57.29,1008695,FTV
2017-02-15,57.24,57.75,57.081,57.58,1022011,FTV
2017-02-16,57.66,58.24,56.8,57.39,1120430,FTV
2017-02-17,57.41,57.72,57.13,57.69,902052,FTV
2017-02-21,57.69,58.25,57.53,58.13,1553170,FTV
2017-02-22,57.77,58.17,57.55,57.69,940437,FTV
2017-02-23,58.01,58.15,57.12,57.26,1019326,FTV
2017-02-24,57.09,57.9,56.7301,57.79,1846710,FTV
2017-02-27,57.64,57.88,57.47,57.65,891555,FTV
2017-02-28,57.67,57.89,57.31,57.65,1648764,FTV
2017-03-01,58.22,59.24,58.08,58.91,1436196,FTV
2017-03-02,58.91,59.01,58.32,58.63,1943679,FTV
2017-03-03,58.61,58.88,58.37,58.73,1438432,FTV
2017-03-06,58.32,58.66,58.005,58.33,1567188,FTV
2017-03-07,58.37,58.55,58.01,58.2,1664624,FTV
2017-03-08,58.21,58.47,58.02,58.17,1290575,FTV
2017-03-09,58.08,58.47,57.83,58.02,1308068,FTV
2017-03-10,58.28,58.55,57.98,58.31,1219101,FTV
2017-03-13,58.45,58.97,58.09,58.77,1573550,FTV
2017-03-14,58.48,58.65,58.25,58.55,951031,FTV
2017-03-15,58.78,59.88,58.78,59.7,1783872,FTV
2017-03-16,59.73,59.9199,59.4,59.51,1428077,FTV
2017-03-17,59.73,59.815,59.44,59.58,1929291,FTV
2017-03-20,59.6,59.85,58.96,59.0,1467799,FTV
2017-03-21,59.28,59.47,58.34,58.51,1860961,FTV
2017-03-22,58.51,58.82,58.29,58.49,1661136,FTV
2017-03-23,58.31,58.84,58.29,58.53,1054543,FTV
2017-03-24,60.18,60.18,58.94,59.31,1811179,FTV
2017-03-27,58.72,59.3,58.15,59.08,943158,FTV
2017-03-28,59.04,59.77,58.75,59.59,817860,FTV
2017-03-29,59.86,60.41,59.51,59.65,1377032,FTV
2017-03-30,59.72,59.99,59.45,59.62,1155660,FTV
2017-03-31,59.57,60.4,59.38,60.22,1220824,FTV
2017-04-03,60.16,60.65,59.54,60.13,1918021,FTV
2017-04-04,60.12,60.3,59.805,60.02,1514787,FTV
2017-04-05,60.26,60.79,60.06,60.25,1389853,FTV
2017-04-06,60.27,60.78,60.15,60.57,719920,FTV
2017-04-07,60.58,60.7,60.35,60.47,521387,FTV
2017-04-10,60.5,61.11,60.47,61.0,1224559,FTV
2017-04-11,60.66,60.97,60.41,60.77,2477402,FTV
2017-04-12,60.79,60.94,60.23,60.5,1546100,FTV
2017-04-13,60.5,60.92,60.29,60.33,1215355,FTV
2017-04-17,60.5,60.57,60.065,60.48,978281,FTV
2017-04-18,60.12,60.484,59.995,60.27,1562969,FTV
2017-04-19,60.29,60.69,59.88,60.01,1963931,FTV
2017-04-20,60.26,60.85,59.88,60.61,1502677,FTV
2017-04-21,60.59,60.7,59.9748,60.01,1391290,FTV
2017-04-24,60.79,61.54,60.68,61.43,1269327,FTV
2017-04-25,61.79,62.54,61.7,62.33,1472022,FTV
2017-04-26,62.3,62.73,62.11,62.25,1303575,FTV
2017-04-27,62.24,63.0099,62.07,62.32,1945756,FTV
2017-04-28,62.96,64.27,62.5,63.26,2403012,FTV
2017-05-01,63.61,63.65,62.11,62.34,1759044,FTV
2017-05-02,61.83,62.32,61.1,62.18,1505181,FTV
2017-05-03,61.95,62.72,61.78,62.67,976823,FTV
2017-05-04,62.63,63.11,62.56,62.82,819909,FTV
2017-05-05,62.86,63.16,62.48,63.14,595382,FTV
2017-05-08,63.09,63.36,62.735,62.89,1791548,FTV
2017-05-09,62.94,63.43,62.46,62.7,826693,FTV
2017-05-10,62.53,62.81,62.24,62.57,1048468,FTV
2017-05-11,62.18,62.7,62.08,62.62,591319,FTV
2017-05-12,62.44,62.528,62.0,62.18,1005133,FTV
2017-05-15,62.3,62.64,62.19,62.22,981528,FTV
2017-05-16,62.45,62.45,62.05,62.33,890119,FTV
2017-05-17,61.9,62.26,61.13,61.2,1235924,FTV
2017-05-18,60.75,61.59,60.4,61.16,1377771,FTV
2017-05-19,61.48,62.02,60.995,61.84,1868375,FTV
2017-05-22,62.09,62.5,61.9,62.4,771725,FTV
2017-05-23,62.39,62.7,62.13,62.61,769499,FTV
2017-05-24,62.74,63.22,62.63,63.08,1357925,FTV
2017-05-25,63.12,63.87,62.75,63.64,1039069,FTV
2017-05-26,63.68,63.9,63.38,63.51,1176534,FTV
2017-05-30,63.24,63.79,63.03,63.35,1775771,FTV
2017-05-31,63.42,63.56,61.8,62.45,3926649,FTV
2017-06-01,62.73,63.43,62.475,62.99,1105514,FTV
2017-06-02,62.9,63.83,62.845,63.41,1188250,FTV
2017-06-05,63.24,63.56,63.22,63.32,839559,FTV
2017-06-06,63.24,63.45,63.04,63.2,1376831,FTV
2017-06-07,63.25,63.76,63.07,63.36,786005,FTV
2017-06-08,63.41,63.75,62.81,63.7,987039,FTV
2017-06-09,64.0,64.0,62.56,63.09,1027130,FTV
2017-06-12,63.04,63.345,62.1975,62.46,1138195,FTV
2017-06-13,62.68,63.29,62.43,63.27,1013791,FTV
2017-06-14,63.28,63.48,62.93,62.95,1378804,FTV
2017-06-15,62.66,63.26,62.38,63.04,1171966,FTV
2017-06-16,63.17,64.06,62.87,64.05,1676673,FTV
2017-06-19,64.31,64.83,64.19,64.79,1373614,FTV
2017-06-20,64.5,65.21,64.3,64.47,1760847,FTV
2017-06-21,64.52,64.7,64.28,64.37,1462547,FTV
2017-06-22,64.34,64.53,63.91,64.1,1044047,FTV
2017-06-23,63.95,64.16,63.67,64.1,7313010,FTV
2017-06-26,64.3,64.72,63.94,64.11,1009496,FTV
2017-06-27,63.79,64.09,63.37,63.37,697819,FTV
2017-06-28,63.79,64.55,63.595,64.41,830173,FTV
2017-06-29,64.37,64.37,62.75,62.86,1291184,FTV
2017-06-30,62.92,63.68,62.9,63.35,1176910,FTV
2017-07-03,63.65,63.73,63.19,63.33,652599,FTV
2017-07-05,63.63,63.98,63.185,63.61,892197,FTV
2017-07-06,63.4,63.78,63.22,63.33,1475693,FTV
2017-07-07,63.61,64.0,63.46,63.85,1114145,FTV
2017-07-10,63.82,64.945,63.76,64.6,1975090,FTV
2017-07-11,64.68,64.68,63.38,63.97,1105250,FTV
2017-07-12,64.24,64.9,64.2,64.7,1118493,FTV
2017-07-13,64.75,64.86,64.31,64.39,869379,FTV
2017-07-14,64.42,64.79,64.32,64.56,1113386,FTV
2017-07-17,64.57,64.57,63.78,64.14,1388224,FTV
2017-07-18,64.03,64.22,63.63,63.75,1029898,FTV
2017-07-19,63.94,63.99,63.58,63.97,1400601,FTV
2017-07-20,64.01,64.15,62.83,63.5,1558121,FTV
2017-07-21,63.24,63.49,63.08,63.25,1284157,FTV
2017-07-24,63.33,63.4,63.05,63.29,1203467,FTV
2017-07-25,63.57,63.73,62.97,63.07,1716708,FTV
2017-07-26,63.11,63.22,62.14,62.18,1740920,FTV
2017-07-27,62.16,62.79,62.05,62.58,1840839,FTV
2017-07-28,63.5,64.82,62.6387,64.47,2210705,FTV
2017-07-31,64.76,64.91,64.21,64.74,1985961,FTV
2017-08-01,66.68,67.2,66.52,67.17,1117712,FTV
