date,open,high,low,close,volume,Name
2013-02-08,66.74,66.88,66.47,66.82,2099197,GD
2013-02-11,66.82,67.09,66.3,66.66,1650608,GD
2013-02-12,66.93,66.99,66.495,66.68,1950788,GD
2013-02-13,66.71,66.9,65.72,66.11,2673791,GD
2013-02-14,65.81,66.75,65.63,66.22,2642256,GD
2013-02-15,66.18,66.49,65.9,66.4,2015360,GD
2013-02-19,66.52,67.03,66.21,67.03,2391502,GD
2013-02-20,67.04,67.11,66.58,66.61,2304129,GD
2013-02-21,66.6,66.75,66.04,66.49,1910216,GD
2013-02-22,66.71,67.77,66.71,67.32,2115004,GD
2013-02-25,67.71,67.89,66.67,66.69,3383297,GD
2013-02-26,67.01,67.19,66.505,66.91,2702747,GD
2013-02-27,66.75,68.74,66.6,68.55,3237072,GD
2013-02-28,68.45,69.04,67.96,67.97,2338438,GD
2013-03-01,67.54,68.14,66.91,67.73,1726463,GD
2013-03-04,67.42,67.64,66.47,67.04,1598112,GD
2013-03-05,67.3,67.87,67.2785,67.67,1425668,GD
2013-03-06,67.88,68.0,67.4,67.68,1945441,GD
2013-03-07,67.9,68.32,67.57,67.74,1930326,GD
2013-03-08,68.05,68.965,68.05,68.89,2456588,GD
2013-03-11,68.85,69.3,68.58,69.16,1492871,GD
2013-03-12,69.11,69.34,68.38,68.77,1341990,GD
2013-03-13,68.9,70.18,68.88,70.11,2444996,GD
2013-03-14,70.13,70.38,69.6,69.65,1581215,GD
2013-03-15,69.32,69.91,69.12,69.91,3353351,GD
2013-03-18,69.2,70.1,69.13,69.69,1315542,GD
2013-03-19,70.0,70.49,69.68,69.92,1840686,GD
2013-03-20,70.21,70.48,69.68,69.74,1566386,GD
2013-03-21,69.37,69.69,68.855,68.89,1541602,GD
2013-03-22,69.14,69.44,69.0,69.29,1140850,GD
2013-03-25,69.53,69.92,69.16,69.53,1949133,GD
2013-03-26,69.78,70.365,69.73,70.3,2362106,GD
2013-03-27,69.81,70.61,69.676,70.26,2560518,GD
2013-03-28,70.29,70.7999,70.18,70.51,2494640,GD
2013-04-01,70.14,70.24,68.12,68.16,2788714,GD
2013-04-02,68.54,68.66,66.65,67.0,3553260,GD
2013-04-03,67.16,68.63,66.87,68.39,3044787,GD
2013-04-04,68.49,68.72,67.19,67.69,2333559,GD
2013-04-05,67.37,69.64,67.17,69.56,3411559,GD
2013-04-08,69.55,69.56,68.63,69.08,1861408,GD
2013-04-09,69.37,69.68,68.79,69.33,1502667,GD
2013-04-10,68.85,69.71,68.74,69.46,1748098,GD
2013-04-11,69.7,71.38,69.6,71.33,2784509,GD
2013-04-12,70.78,70.91,69.99,70.6,3324689,GD
2013-04-15,69.67,70.0,68.1,68.19,2224165,GD
2013-04-16,68.55,68.84,67.97,68.39,1810353,GD
2013-04-17,67.74,67.97,65.77,66.43,3791017,GD
2013-04-18,66.5,66.66,65.3703,65.99,3395993,GD
2013-04-19,66.35,67.13,66.27,67.0,2862076,GD
2013-04-22,67.16,67.16,66.05,66.37,1760838,GD
2013-04-23,66.94,67.18,66.23,67.1,1717573,GD
2013-04-24,68.52,72.18,68.5,71.73,5152769,GD
2013-04-25,71.56,73.96,71.12,73.53,4405061,GD
2013-04-26,73.36,73.905,73.01,73.3,2026590,GD
2013-04-29,73.48,73.48,72.97,73.28,1996372,GD
2013-04-30,73.3,74.09,72.68,73.96,2080136,GD
2013-05-01,73.68,74.54,73.67,73.78,2346373,GD
2013-05-02,73.84,74.47,73.69,74.46,1293207,GD
2013-05-03,74.5,75.38,74.48,75.24,1798089,GD
2013-05-06,75.07,75.5,74.9,75.25,1480838,GD
2013-05-07,75.29,75.6,74.89,75.2,1595677,GD
2013-05-08,75.1,75.63,74.74,75.42,1579821,GD
2013-05-09,75.44,75.87,75.02,75.25,1202031,GD
2013-05-10,75.25,75.77,75.15,75.7,1878261,GD
2013-05-13,75.42,75.7,74.76,75.2,1733291,GD
2013-05-14,75.32,77.0,75.32,76.64,2663969,GD
2013-05-15,76.33,76.72,75.71,76.61,2192520,GD
2013-05-16,76.55,77.05,76.04,76.14,2057087,GD
2013-05-17,76.39,78.29,76.38,78.29,2722966,GD
2013-05-20,78.15,78.67,77.89,78.6,2317001,GD
2013-05-21,78.47,78.69,77.82,77.98,1875021,GD
2013-05-22,78.12,78.6,77.14,77.42,1740069,GD
2013-05-23,76.44,77.269,76.16,76.94,1368280,GD
2013-05-24,76.65,77.695,76.37,77.34,1278504,GD
2013-05-28,78.12,78.52,77.49,77.87,1068204,GD
2013-05-29,77.46,78.09,77.0868,77.53,1151249,GD
2013-05-30,77.79,78.76,77.77,78.35,1167530,GD
2013-05-31,78.0,78.38,77.1,77.1,1717122,GD
2013-06-03,77.23,77.92,76.81,77.57,1612649,GD
2013-06-04,77.41,77.81,76.35,77.21,1661332,GD
2013-06-05,76.87,77.159,76.46,76.68,1309943,GD
2013-06-06,76.69,77.88,76.38,77.85,1844933,GD
2013-06-07,78.3,79.46,78.08,79.12,1914874,GD
2013-06-10,79.02,79.25,78.36,78.58,1672374,GD
2013-06-11,77.95,79.105,77.8,78.17,1448706,GD
2013-06-12,78.66,79.0,77.91,78.3,1258487,GD
2013-06-13,78.15,78.585,77.69,78.07,2498307,GD
2013-06-14,78.11,79.0,77.9,78.0,1569964,GD
2013-06-17,78.63,79.13,77.96,78.38,1322445,GD
2013-06-18,78.58,79.48,78.53,78.85,1890620,GD
2013-06-19,78.94,78.96,77.48,77.5,1736125,GD
2013-06-20,76.98,77.63,76.13,76.23,2246839,GD
2013-06-21,76.81,77.2139,76.2,76.2,3263867,GD
2013-06-24,76.04,77.1,75.63,76.48,2283477,GD
2013-06-25,76.97,77.12,76.1,76.42,2068450,GD
2013-06-26,77.2,77.97,76.69,77.89,2226693,GD
2013-06-27,78.34,79.01,78.03,78.67,1848646,GD
2013-06-28,78.44,78.9299,78.27,78.33,2395519,GD
2013-07-01,78.06,79.37,77.96,79.01,2260620,GD
2013-07-02,78.21,78.73,77.6,78.07,2863877,GD
2013-07-03,77.71,78.59,77.4,78.34,886931,GD
2013-07-05,79.04,79.565,78.62,79.42,1171954,GD
2013-07-08,79.91,80.15,79.38,79.72,2849421,GD
2013-07-09,80.21,80.54,79.72,79.86,1943032,GD
2013-07-10,79.99,80.96,79.92,80.6,2248823,GD
2013-07-11,81.33,82.72,81.22,82.45,2794739,GD
2013-07-12,82.28,83.06,82.233,82.6,2297846,GD
2013-07-15,82.65,83.58,82.55,83.56,1564457,GD
2013-07-16,83.63,83.88,82.95,83.01,3148921,GD
2013-07-17,83.03,83.44,82.62,82.93,1020694,GD
2013-07-18,83.25,84.15,83.094,83.72,1554757,GD
2013-07-19,83.81,84.67,83.54,84.4,2956345,GD
2013-07-22,84.16,84.81,83.93,84.23,1897498,GD
2013-07-23,84.45,84.56,83.78,84.03,1470027,GD
2013-07-24,85.02,86.6,84.94,85.31,2996558,GD
2013-07-25,85.4,85.92,84.63,85.8,1607160,GD
2013-07-26,85.32,85.86,85.05,85.86,1142891,GD
2013-07-29,84.8,85.33,83.99,85.02,2024936,GD
2013-07-30,85.17,86.01,85.0,85.65,1496370,GD
2013-07-31,85.5,86.17,85.07,85.34,2853405,GD
2013-08-01,85.8,86.975,85.76,86.81,1530232,GD
2013-08-02,86.68,87.54,86.44,87.49,1761697,GD
2013-08-05,87.04,87.82,86.551,87.69,1547904,GD
2013-08-06,87.28,87.85,87.23,87.34,1658608,GD
2013-08-07,87.3,87.54,86.79,87.02,2125287,GD
2013-08-08,87.38,87.8,86.86,87.02,998488,GD
2013-08-09,87.03,87.28,86.46,86.92,1337673,GD
2013-08-12,86.63,86.71,85.74,85.77,1265359,GD
2013-08-13,85.81,86.19,85.28,86.0,1266135,GD
