date,open,high,low,close,volume,Name
2013-02-08,390.4551,393.7283,390.1698,393.0777,6031199,GOOGL
2013-02-11,389.5892,391.8915,387.2619,391.6012,4330781,GOOGL
2013-02-12,391.2659,394.344,390.0747,390.7403,3714176,GOOGL
2013-02-13,390.4551,393.0677,390.375,391.8214,2393946,GOOGL
2013-02-14,390.2549,394.7644,389.2739,394.3039,3466971,GOOGL
2013-02-15,394.0937,397.0266,393.9285,396.8414,5453980,GOOGL
2013-02-19,398.393,403.9035,398.0376,403.8284,5857528,GOOGL
2013-02-20,403.0527,404.8895,396.2929,396.6262,5522500,GOOGL
2013-02-21,399.399,403.1277,396.0056,398.1628,7008464,GOOGL
2013-02-22,400.0296,401.0256,397.2969,400.2549,4103315,GOOGL
2013-02-25,401.5512,404.6092,395.6402,395.7804,4602925,GOOGL
2013-02-26,397.8975,398.3729,392.5922,395.4601,4399988,GOOGL
2013-02-27,397.7974,402.7774,395.9506,400.2899,4047784,GOOGL
2013-02-28,400.9506,403.8985,400.9155,401.0006,4526218,GOOGL
2013-03-01,399.2989,403.9736,398.4731,403.4981,4346304,GOOGL
2013-03-04,403.0527,411.8314,402.9025,411.1628,5545624,GOOGL
2013-03-05,414.8795,420.495,414.8644,419.7213,8079065,GOOGL
2013-03-06,420.933,422.422,414.8194,416.1057,5739956,GOOGL
2013-03-07,417.447,418.7283,415.2048,416.7143,4101301,GOOGL
2013-03-08,417.6673,417.8774,412.9375,416.1758,5817848,GOOGL
2013-03-11,416.2608,420.2699,416.1658,417.8274,3186118,GOOGL
2013-03-12,415.7704,416.3609,412.2468,414.2188,4012146,GOOGL
2013-03-13,414.3639,415.7603,411.5662,413.0677,3279147,GOOGL
2013-03-14,413.9085,413.9085,409.1037,411.1808,3298723,GOOGL
2013-03-15,409.6592,410.5602,407.0767,407.5582,6191734,GOOGL
2013-03-18,402.9025,406.7864,401.1357,404.2989,3672831,GOOGL
2013-03-19,406.0256,410.0346,403.6282,406.0657,4191219,GOOGL
2013-03-20,408.8234,409.1638,406.1257,407.7614,2924120,GOOGL
2013-03-21,406.0506,408.8671,405.3299,406.0356,2930649,GOOGL
2013-03-22,407.7774,408.0276,405.2248,405.5602,2973343,GOOGL
2013-03-25,406.6112,410.0246,403.8134,405.2248,3410398,GOOGL
2013-03-26,407.1567,407.4069,404.2989,406.6162,2381243,GOOGL
2013-03-27,403.7433,403.9035,401.0657,401.7313,4322068,GOOGL
2013-03-28,402.397,403.0877,397.0466,397.4911,4570853,GOOGL
2013-04-01,397.9025,401.5261,397.0216,400.9956,3610549,GOOGL
2013-04-02,402.6723,407.8224,402.402,406.9265,4078671,GOOGL
2013-04-03,407.1367,407.5071,400.7343,403.5041,3473233,GOOGL
2013-04-04,402.5271,403.2779,396.0457,397.9325,4889914,GOOGL
2013-04-05,393.423,393.8885,388.5882,391.9165,6860927,GOOGL
2013-04-08,389.7644,390.1648,384.5842,387.8124,5658378,GOOGL
2013-04-09,388.1377,392.2669,386.9416,389.2138,4310166,GOOGL
2013-04-10,391.8515,396.5712,388.388,395.4851,3953171,GOOGL
2013-04-11,396.8364,396.9466,392.422,395.5902,4053279,GOOGL
2013-04-12,396.391,396.4471,391.8565,395.42,3269389,GOOGL
2013-04-15,393.368,398.8985,388.8985,391.356,4900346,GOOGL
2013-04-16,393.6883,398.398,392.352,397.0817,3480468,GOOGL
2013-04-17,393.7684,395.8179,389.4391,391.6713,4069487,GOOGL
2013-04-18,393.0677,393.2929,381.0107,383.34,6601455,GOOGL
2013-04-19,384.9646,402.1217,383.5131,400.3349,11593628,GOOGL
2013-04-22,400.7003,402.381,387.8875,400.4571,5760454,GOOGL
2013-04-23,400.9005,408.1578,400.5802,404.3539,4579994,GOOGL
2013-04-24,404.4591,409.409,404.404,407.1337,3654448,GOOGL
2013-04-25,408.5331,408.6432,404.2188,404.9545,3980422,GOOGL
2013-04-26,404.2038,404.2739,398.6883,401.1107,4970304,GOOGL
2013-04-29,402.0266,411.7613,401.9015,409.9395,4595912,GOOGL
2013-04-30,409.9095,414.2338,409.2488,412.6973,4608663,GOOGL
2013-05-01,412.0416,412.7724,408.5882,410.6252,2906961,GOOGL
2013-05-02,410.4601,417.6923,409.9345,415.2198,4032460,GOOGL
2013-05-03,418.8985,423.8234,418.418,423.2829,5019702,GOOGL
2013-05-06,424.5541,431.3559,424.5541,431.2058,4278140,GOOGL
2013-05-07,431.9365,432.3669,425.7603,429.0436,3914058,GOOGL
2013-05-08,428.9285,437.3769,426.8815,437.2518,4930476,GOOGL
2013-05-09,435.8554,440.2698,434.5491,436.1757,4396519,GOOGL
2013-05-10,438.0927,440.7103,436.5161,440.5551,3791566,GOOGL
2013-05-13,439.8844,441.6762,437.1272,439.2038,2893167,GOOGL
2013-05-14,439.1888,444.7893,439.0086,443.9936,3154697,GOOGL
2013-05-15,448.1978,458.6482,447.457,458.4029,7962426,GOOGL
2013-05-16,459.9595,460.4499,451.456,452.3869,6410573,GOOGL
2013-05-17,455.465,457.2012,450.7103,455.0446,5578028,GOOGL
2013-05-20,452.9525,460.7603,452.9525,454.7193,4540849,GOOGL
2013-05-21,454.464,456.2858,449.2538,453.9385,3961409,GOOGL
2013-05-22,451.7313,455.1097,443.8834,445.1547,5116072,GOOGL
2013-05-23,438.9385,445.425,437.437,441.8364,4545347,GOOGL
2013-05-24,438.0676,439.8494,435.9405,437.0967,4588931,GOOGL
2013-05-28,442.1918,446.5161,440.6402,441.0756,4510310,GOOGL
2013-05-29,438.2929,439.434,432.5771,434.5892,4022272,GOOGL
2013-05-30,435.395,439.8895,433.6382,435.8154,4237137,GOOGL
2013-05-31,434.4941,438.9385,434.1938,436.0446,3934779,GOOGL
2013-06-03,436.9365,437.4219,427.9375,434.2488,4946046,GOOGL
2013-06-04,434.3589,435.7303,427.462,429.9796,3733157,GOOGL
2013-06-05,431.6863,435.1597,428.9936,430.2799,4208973,GOOGL
2013-06-06,432.5822,433.5982,424.0336,432.7523,5152857,GOOGL
2013-06-07,435.6452,440.44,433.0927,440.3049,5342795,GOOGL
2013-06-10,441.491,445.9455,440.4851,445.5551,4670835,GOOGL
2013-06-11,442.427,443.9435,440.1998,440.3449,3511453,GOOGL
2013-06-12,443.1727,443.443,435.2598,436.426,4405093,GOOGL
2013-06-13,434.9245,440.2698,433.1827,438.9385,4135093,GOOGL
2013-06-14,440.49,442.7923,437.5021,437.9575,4485457,GOOGL
2013-06-17,440.0546,445.1597,439.5791,443.5681,4287768,GOOGL
2013-06-18,444.7693,450.9505,444.6192,450.7603,4329191,GOOGL
2013-06-19,451.1357,455.8754,449.1988,450.7903,5825958,GOOGL
2013-06-20,447.442,450.9505,442.0967,442.8124,6737253,GOOGL
2013-06-21,444.6142,445.3849,436.9715,440.9055,7956472,GOOGL
2013-06-24,436.3759,438.5982,432.0566,435.3299,6027497,GOOGL
2013-06-25,439.0686,440.2798,432.6873,433.5331,5101271,GOOGL
2013-06-26,437.3119,439.439,435.7203,437.2618,3658997,GOOGL
2013-06-27,439.8394,442.7873,438.7633,438.9735,3849059,GOOGL
2013-06-28,437.8875,441.3609,437.5326,440.6252,4693361,GOOGL
2013-07-01,443.6682,446.486,442.9425,444.3839,3443061,GOOGL
2013-07-02,445.5451,445.9455,439.0736,441.5962,3779117,GOOGL
2013-07-03,440.45,445.0296,439.6893,443.6582,2095161,GOOGL
2013-07-05,445.45,448.1527,444.1137,447.1917,3400260,GOOGL
2013-07-08,450.0546,453.5881,448.9905,452.9975,3934965,GOOGL
2013-07-09,455.9555,456.9315,449.439,453.0726,3923293,GOOGL
2013-07-10,452.1767,456.0231,450.6402,453.448,3411271,GOOGL
2013-07-11,456.9565,460.8654,454.7143,460.5801,5162480,GOOGL
2013-07-12,460.46,461.9615,458.0776,461.9615,5131083,GOOGL
2013-07-15,462.6121,464.464,458.6382,462.8073,3916715,GOOGL
2013-07-16,464.0286,464.449,457.4069,460.2638,3961942,GOOGL
2013-07-17,460.9605,463.8934,458.6082,459.7343,3008727,GOOGL
2013-07-18,459.9545,460.46,452.0466,455.7953,7211592,GOOGL
2013-07-19,443.7483,451.9265,438.2428,448.7473,14703570,GOOGL
2013-07-22,451.451,456.7913,448.9485,455.8053,5800599,GOOGL
2013-07-23,455.8053,456.9565,450.2348,452.3519,4086567,GOOGL
2013-07-24,454.0836,455.6051,450.8003,451.9015,4151405,GOOGL
2013-07-25,447.3819,448.8734,443.483,444.2939,5995870,GOOGL
2013-07-26,443.9385,445.44,441.441,443.1177,3551790,GOOGL
2013-07-29,442.8924,447.8574,440.8854,441.5761,3780304,GOOGL
2013-07-30,443.1727,448.2528,440.8754,445.9055,3508124,GOOGL
2013-07-31,446.9415,448.7028,443.5331,444.3189,4341642,GOOGL
2013-08-01,447.9475,452.7273,447.9475,452.5621,4267479,GOOGL
2013-08-02,452.1717,453.9535,450.8604,453.7383,3424306,GOOGL
2013-08-05,453.1477,453.2153,450.0496,452.9525,2616825,GOOGL
2013-08-06,452.7973,455.3094,448.3129,448.7333,3009141,GOOGL
2013-08-07,447.9675,449.6742,444.9895,445.7703,2756731,GOOGL
2013-08-08,448.1927,448.3679,443.0901,446.7763,2973117,GOOGL
2013-08-09,445.7253,448.2078,445.445,445.6502,2644677,GOOGL
2013-08-12,443.8934,443.9435,441.2658,443.1978,2751317,GOOGL
2013-08-13,443.8584,444.6943,438.5381,441.0656,2837087,GOOGL
2013-08-14,439.6242,440.5551,434.0136,435.3399,4160234,GOOGL
2013-08-15,432.6522,432.8925,429.429,430.2598,3737686,GOOGL
2013-08-16,431.0706,431.6512,428.6983,428.8825,3346827,GOOGL
2013-08-19,429.2839,436.436,429.1537,433.2578,3618232,GOOGL
2013-08-20,434.6092,436.4911,432.2018,433.1427,2470048,GOOGL
2013-08-21,435.7603,438.893,433.6832,435.0997,3511155,GOOGL
2013-08-22,436.7864,437.8124,435.5601,437.2919,1738084,GOOGL
2013-08-23,439.3539,439.439,435.3099,435.5401,2151834,GOOGL
2013-08-26,435.435,437.8875,433.458,433.6282,2110258,GOOGL
2013-08-27,430.2398,432.2969,424.3739,425.5001,3460148,GOOGL
2013-08-28,425.5501,428.1327,424.3089,424.6993,2657159,GOOGL
2013-08-29,424.9595,430.6202,424.7193,428.1427,2739876,GOOGL
2013-08-30,428.3079,429.449,423.2028,423.8734,3719495,GOOGL
2013-09-03,427.6072,433.5281,427.402,430.6202,4091181,GOOGL
2013-09-04,430.6052,437.1868,428.0126,436.2528,4078388,GOOGL
2013-09-05,437.1868,440.3799,436.2408,440.2198,2582619,GOOGL
2013-09-06,441.6612,442.3319,437.3069,440.2298,3120390,GOOGL
2013-09-09,442.3069,445.3199,441.6512,444.471,2466701,GOOGL
2013-09-10,445.455,446.446,442.4421,444.7793,2572899,GOOGL
2013-09-11,444.7143,448.9335,443.483,448.5431,3218136,GOOGL
2013-09-12,449.1487,449.399,445.45,446.9785,2188741,GOOGL
2013-09-13,447.6972,448.2878,442.8624,444.9785,2649123,GOOGL
2013-09-16,448.5481,448.9485,442.8774,444.3239,2679542,GOOGL
2013-09-17,444.1487,444.6417,440.9405,443.4981,2516547,GOOGL
2013-09-18,443.6182,452.437,441.9766,452.1117,3866699,GOOGL
2013-09-19,453.448,453.448,448.1477,449.6442,3192527,GOOGL
2013-09-20,449.6442,452.5171,448.2578,452.0066,8683934,GOOGL
2013-09-23,448.5231,451.2458,443.0426,443.6932,3551333,GOOGL
2013-09-24,443.6932,445.495,441.1407,443.8634,2937129,GOOGL
2013-09-25,443.7183,443.7183,438.2378,439.0536,3299275,GOOGL
2013-09-26,439.5892,441.8164,437.9375,439.5241,2517297,GOOGL
2013-09-27,437.8474,439.1988,436.0907,438.6332,2515129,GOOGL
2013-09-30,434.9745,440.8604,434.5892,438.393,3443163,GOOGL
2013-10-01,440.5651,444.2788,440.465,443.9455,3366200,GOOGL
2013-10-02,441.8064,445.1222,439.3489,444.439,2987680,GOOGL
2013-10-03,444.444,447.4971,436.486,438.483,4232991,GOOGL
2013-10-04,437.9375,439.1937,435.435,436.6112,2713297,GOOGL
2013-10-07,434.1587,437.432,432.4871,433.3029,2585249,GOOGL
2013-10-08,433.0927,433.423,426.2408,427.2618,3894014,GOOGL
2013-10-09,428.5681,431.7563,421.9115,428.3579,5297349,GOOGL
2013-10-10,432.3519,434.8494,430.5351,434.5541,4513349,GOOGL
2013-10-11,433.448,437.1767,433.0827,436.431,2815009,GOOGL
2013-10-14,433.7633,438.5631,433.1277,438.4931,2484861,GOOGL
2013-10-15,438.3179,443.2578,437.437,441.446,3186368,GOOGL
2013-10-16,443.3779,449.6142,442.447,449.4635,4019552,GOOGL
2013-10-17,446.9415,448.8985,443.3079,444.8414,8504739,GOOGL
2013-10-18,488.7783,508.2378,487.487,506.2097,23145371,GOOGL
2013-10-21,506.2357,510.0095,500.2748,502.1517,7259073,GOOGL
2013-10-22,503.0025,507.0065,498.3934,504.0035,4418539,GOOGL
2013-10-23,501.0005,517.8923,500.8153,516.2192,5329842,GOOGL
2013-10-24,516.4509,520.8053,512.9124,513.2878,4182126,GOOGL
2013-10-25,514.9244,514.9244,505.8754,508.1076,4057618,GOOGL
