date,open,high,low,close,volume,Name
2013-02-08,69.57,69.99,69.57,69.92,533092,GPC
2013-02-11,69.92,70.11,69.47,69.89,417443,GPC
2013-02-12,69.87,70.23,69.84,70.19,659367,GPC
2013-02-13,70.2,70.62,69.89,70.54,600947,GPC
2013-02-14,70.55,70.87,70.36,70.79,581533,GPC
2013-02-15,70.92,71.44,70.84,71.44,837183,GPC
2013-02-19,70.91,70.91,68.29,68.75,2308667,GPC
2013-02-20,68.79,69.64,68.75,69.0,925269,GPC
2013-02-21,68.92,68.98,68.3,68.64,907974,GPC
2013-02-22,69.0,69.58,68.85,69.57,476076,GPC
2013-02-25,69.87,69.93,68.59,68.84,877505,GPC
2013-02-26,69.15,69.42,68.62,69.26,798012,GPC
2013-02-27,69.23,70.49,69.005,70.49,772028,GPC
2013-02-28,70.58,71.47,70.37,71.03,1767205,GPC
2013-03-01,70.8,71.16,70.43,71.0,1134843,GPC
2013-03-04,71.0,71.99,70.84,71.97,771563,GPC
2013-03-05,72.29,73.02,72.225,72.77,640831,GPC
2013-03-06,72.21,72.64,72.01,72.62,695596,GPC
2013-03-07,73.26,73.34,72.472,73.21,1556153,GPC
2013-03-08,73.52,74.72,73.22,73.93,2032234,GPC
2013-03-11,73.69,75.36,73.58,75.11,1319889,GPC
2013-03-12,75.09,75.5,75.0,75.44,670364,GPC
2013-03-13,75.63,75.81,75.25,75.75,869522,GPC
2013-03-14,75.87,76.56,75.6501,76.56,1070572,GPC
2013-03-15,76.12,76.6,75.7202,75.86,1053419,GPC
2013-03-18,75.19,76.14,75.1,75.72,573259,GPC
2013-03-19,75.75,76.0,74.9,75.7,699825,GPC
2013-03-20,76.16,76.74,76.12,76.65,487694,GPC
2013-03-21,76.34,77.35,76.27,77.21,1004867,GPC
2013-03-22,77.51,77.78,76.48,77.4,544569,GPC
2013-03-25,77.78,77.9775,76.21,76.34,858856,GPC
2013-03-26,76.54,77.41,76.18,77.3,1751012,GPC
2013-03-27,76.83,77.42,76.78,77.36,491144,GPC
2013-03-28,77.34,78.12,77.1,78.0,556796,GPC
2013-04-01,77.37,77.63,76.6475,77.12,527762,GPC
2013-04-02,77.68,78.22,77.29,78.01,751140,GPC
2013-04-03,78.23,78.27,76.2501,76.62,898862,GPC
2013-04-04,76.83,77.53,76.7,77.5,372413,GPC
2013-04-05,76.73,77.4,76.52,77.06,611256,GPC
2013-04-08,77.05,77.88,77.04,77.88,461175,GPC
2013-04-09,78.0,78.0,76.84,77.45,766598,GPC
2013-04-10,77.64,78.25,77.31,78.0,1021209,GPC
2013-04-11,78.04,78.24,77.68,78.0,1256299,GPC
2013-04-12,77.68,78.06,77.27,77.74,794658,GPC
2013-04-15,77.29,77.45,75.42,75.49,1059471,GPC
2013-04-16,75.91,76.15,75.5,76.02,1316250,GPC
2013-04-17,75.7,75.8,74.15,75.29,1145120,GPC
2013-04-18,75.61,76.24,74.52,75.3,1027809,GPC
2013-04-19,73.43,74.82,71.87,73.66,2965653,GPC
2013-04-22,73.88,73.91,72.12,72.91,1295374,GPC
2013-04-23,73.25,74.35,73.25,74.16,910592,GPC
2013-04-24,74.37,74.74,73.75,74.2,809978,GPC
2013-04-25,74.55,76.15,74.2,75.52,771661,GPC
2013-04-26,75.55,75.73,74.85,75.04,446547,GPC
2013-04-29,75.36,75.52,74.93,75.18,405265,GPC
2013-04-30,75.18,76.35,74.42,76.33,1390778,GPC
2013-05-01,76.19,76.21,74.52,74.62,753867,GPC
2013-05-02,74.76,76.05,74.71,75.92,520912,GPC
2013-05-03,76.49,77.509,76.49,77.1,653015,GPC
2013-05-06,77.16,77.63,76.91,77.31,463880,GPC
2013-05-07,77.62,78.29,77.37,78.29,576149,GPC
2013-05-08,78.14,78.32,77.63,77.85,553666,GPC
2013-05-09,77.87,78.0525,77.365,77.66,658955,GPC
2013-05-10,77.75,78.08,77.51,77.86,664624,GPC
2013-05-13,77.88,78.28,77.291,77.9,437016,GPC
2013-05-14,78.09,78.94,77.685,78.9,530270,GPC
2013-05-15,78.91,80.08,78.89,80.07,368333,GPC
2013-05-16,79.89,80.38,79.45,79.85,702821,GPC
2013-05-17,79.98,81.27,79.81,81.25,726243,GPC
2013-05-20,81.11,81.87,81.11,81.22,418969,GPC
2013-05-21,81.41,82.91,81.41,82.64,494553,GPC
2013-05-22,82.72,84.27,81.73,82.11,881740,GPC
2013-05-23,81.4,82.68,81.18,81.97,485414,GPC
2013-05-24,81.45,81.7,81.03,81.4,468504,GPC
2013-05-28,82.31,82.71,81.16,81.89,508003,GPC
2013-05-29,81.44,81.62,79.39,79.59,1080804,GPC
2013-05-30,79.83,80.17,78.3401,78.53,1098821,GPC
2013-05-31,78.33,79.5,77.74,77.74,889504,GPC
2013-06-03,78.13,78.13,76.57,77.5,1069367,GPC
2013-06-04,77.54,78.08,76.5,76.81,875320,GPC
2013-06-05,76.41,76.7,75.14,75.34,680699,GPC
2013-06-06,75.56,76.0,75.12,75.9,653606,GPC
2013-06-07,76.79,77.56,76.265,77.47,618698,GPC
2013-06-10,77.77,78.12,77.3,77.93,606460,GPC
2013-06-11,76.97,77.8,76.93,77.31,341171,GPC
2013-06-12,79.14,79.14,77.26,77.44,568977,GPC
2013-06-13,77.57,78.69,77.3,78.62,411837,GPC
2013-06-14,78.46,79.11,78.01,78.64,398295,GPC
2013-06-17,79.04,79.49,78.56,78.97,373556,GPC
2013-06-18,79.12,79.69,78.51,79.64,431609,GPC
2013-06-19,79.64,79.78,78.51,78.51,351822,GPC
2013-06-20,77.94,78.0,76.33,76.47,752993,GPC
2013-06-21,77.08,77.48,75.58,76.31,853223,GPC
2013-06-24,75.57,76.8,75.14,75.96,608369,GPC
2013-06-25,76.67,77.45,76.18,77.3,400690,GPC
2013-06-26,77.97,78.0,76.61,76.7,798198,GPC
