date,open,high,low,close,volume,Name
2013-02-08,150.78,151.97,150.35,151.6,3612229,GS
2013-02-11,151.42,152.87,150.9601,152.24,3751274,GS
2013-02-12,152.48,154.32,151.79,154.11,4307556,GS
2013-02-13,154.11,154.85,153.28,154.52,4368576,GS
2013-02-14,153.84,156.719,153.62,155.93,5035367,GS
2013-02-15,156.4,156.54,154.08,154.99,4254701,GS
2013-02-19,155.69,159.0,155.25,158.65,5103120,GS
2013-02-20,158.22,158.5,154.56,155.18,5029164,GS
2013-02-21,153.72,153.95,149.8,150.88,8318209,GS
2013-02-22,152.37,154.13,152.05,154.09,4772567,GS
2013-02-25,155.19,155.69,147.6,147.65,6293823,GS
2013-02-26,148.11,149.46,146.71,148.0,5686528,GS
2013-02-27,147.87,152.05,147.76,151.65,4695202,GS
2013-02-28,151.35,152.4,149.76,149.76,4955778,GS
2013-03-01,148.12,151.7,147.22,150.53,4538535,GS
2013-03-04,150.01,152.47,149.71,152.18,3209074,GS
2013-03-05,153.45,154.96,152.8,152.96,4585541,GS
2013-03-06,154.06,155.05,152.8,154.13,3593180,GS
2013-03-07,154.7,157.19,154.5,156.62,3880142,GS
2013-03-08,155.89,156.23,152.01,152.98,6615219,GS
2013-03-11,152.45,154.32,152.36,153.3,3586235,GS
2013-03-12,153.3,153.8,150.46,151.85,3430966,GS
2013-03-13,152.03,152.867,150.58,151.91,3356342,GS
2013-03-14,152.27,154.34,152.16,154.02,3868064,GS
2013-03-15,151.35,155.63,151.3,154.84,7300215,GS
2013-03-18,152.53,153.11,150.89,151.95,3788020,GS
2013-03-19,152.61,153.09,147.82,148.84,4722737,GS
2013-03-20,150.02,151.48,149.25,150.13,2881924,GS
2013-03-21,149.29,150.22,145.37,145.38,4690668,GS
2013-03-22,146.51,147.7,145.61,146.6,3454453,GS
2013-03-25,147.99,148.66,144.68,146.11,3774824,GS
2013-03-26,148.29,148.34,144.87,146.54,3859891,GS
2013-03-27,145.88,148.63,145.86,147.84,3963793,GS
2013-03-28,148.12,149.06,147.13,147.15,3699431,GS
2013-04-01,146.67,148.06,144.6,146.04,2581039,GS
2013-04-02,145.27,147.485,144.769,146.68,3373885,GS
2013-04-03,146.46,146.87,142.18,143.41,4373140,GS
2013-04-04,143.52,144.95,142.24,142.99,3424222,GS
2013-04-05,140.61,143.8,140.34,143.69,3865093,GS
2013-04-08,143.83,144.1184,141.84,143.82,2908606,GS
2013-04-09,144.32,147.57,144.0661,146.52,3262705,GS
2013-04-10,147.3,149.74,147.2401,149.46,3127314,GS
2013-04-11,149.46,150.589,148.22,149.07,2951176,GS
2013-04-12,148.4,149.6,147.01,149.12,3131338,GS
2013-04-15,148.75,151.45,145.53,146.46,5554352,GS
2013-04-16,148.13,148.43,142.14,144.1,8274291,GS
2013-04-17,142.99,143.6,138.05,140.6,6361245,GS
2013-04-18,140.09,140.9,137.42,138.6,4800130,GS
2013-04-19,139.31,139.84,137.85,138.72,3960153,GS
2013-04-22,139.01,139.85,137.29,139.52,3187099,GS
2013-04-23,140.44,143.39,139.92,142.94,3697458,GS
2013-04-24,143.27,144.45,142.951,143.93,2785148,GS
2013-04-25,144.11,146.05,143.75,144.76,2629425,GS
2013-04-26,144.5,145.41,143.07,144.11,2235158,GS
2013-04-29,144.54,145.9,143.91,145.11,2715298,GS
2013-04-30,145.19,146.5399,144.56,146.07,2586099,GS
2013-05-01,145.83,145.83,142.4,142.61,3508974,GS
2013-05-02,142.68,143.67,140.39,143.67,4332074,GS
2013-05-03,145.31,146.84,145.06,145.37,4016656,GS
2013-05-06,145.92,149.54,145.64,148.45,3740373,GS
2013-05-07,149.41,149.94,147.552,149.32,3137584,GS
2013-05-08,149.13,150.99,148.4,150.26,3518252,GS
2013-05-09,150.1,150.86,148.25,148.54,2818432,GS
2013-05-10,148.57,149.18,147.501,149.1,2632404,GS
2013-05-13,147.67,150.33,147.06,149.63,2975155,GS
2013-05-14,149.5,154.94,149.5,154.52,5825641,GS
2013-05-15,154.04,156.278,153.79,155.61,4177478,GS
2013-05-16,154.73,157.485,153.96,154.47,3233756,GS
2013-05-17,155.41,158.7,155.0,158.18,4177328,GS
2013-05-20,157.58,160.49,157.52,158.9,4009907,GS
2013-05-21,158.67,161.7399,158.53,160.73,4077747,GS
2013-05-22,160.61,164.47,158.53,159.34,6168617,GS
2013-05-23,156.36,158.8899,154.62,157.41,5619710,GS
2013-05-24,155.57,158.92,155.29,158.72,3317060,GS
2013-05-28,160.92,162.68,159.91,160.7,4471541,GS
2013-05-29,159.74,164.13,159.41,162.87,4969048,GS
2013-05-30,162.66,165.45,161.0,164.35,4336049,GS
2013-05-31,163.95,165.828,162.07,162.08,4404918,GS
2013-06-03,161.56,163.74,159.788,163.56,4557488,GS
2013-06-04,163.46,165.74,160.5,161.68,3977236,GS
2013-06-05,161.43,162.89,157.55,158.3,4138003,GS
2013-06-06,158.3,159.79,156.341,159.68,3236154,GS
2013-06-07,160.97,166.17,160.59,166.01,5690363,GS
2013-06-10,166.7,168.2,165.29,167.49,3914237,GS
2013-06-11,165.35,166.398,163.19,163.31,3858073,GS
2013-06-12,164.98,164.98,161.07,161.86,3243268,GS
2013-06-13,161.2,166.39,161.07,165.82,3769073,GS
2013-06-14,165.74,166.1099,162.91,162.92,2970563,GS
2013-06-17,164.08,165.67,162.905,164.11,2628240,GS
2013-06-18,164.15,164.8699,163.05,164.15,2059734,GS
2013-06-19,164.16,164.93,161.51,161.56,3554203,GS
2013-06-20,159.15,159.99,154.84,155.41,6488769,GS
2013-06-21,157.0,157.26,152.3,154.25,5390489,GS
2013-06-24,151.9899,152.6,148.71,150.78,4012960,GS
2013-06-25,152.45,154.31,151.55,153.06,3274809,GS
2013-06-26,154.48,154.56,150.75,151.66,3580307,GS
2013-06-27,153.03,154.99,152.61,153.51,2654849,GS
2013-06-28,152.69,152.77,151.0,151.25,3013155,GS
2013-07-01,152.78,154.1,151.7,151.75,2494163,GS
2013-07-02,151.16,153.19,149.9,150.92,3091265,GS
2013-07-03,149.62,151.42,149.28,150.43,1270376,GS
2013-07-05,152.3,153.29,151.5,153.24,2243650,GS
2013-07-08,154.58,154.8,152.88,153.81,2700264,GS
2013-07-09,154.99,157.44,153.17,156.94,3128249,GS
2013-07-10,156.57,157.6225,154.67,155.83,2445210,GS
2013-07-11,158.5,159.74,156.11,157.71,2966333,GS
2013-07-12,158.62,160.28,158.555,160.11,2844627,GS
2013-07-15,162.8,163.39,161.16,163.0,4129976,GS
2013-07-16,163.92,164.3,159.43,160.24,5972427,GS
2013-07-17,159.84,161.99,159.5,161.5,3715484,GS
2013-07-18,161.58,164.58,161.5,164.06,3461828,GS
2013-07-19,163.75,164.85,162.58,164.36,3329695,GS
2013-07-22,163.95,166.33,163.88,166.25,2741316,GS
2013-07-23,166.5,167.41,165.48,166.26,2545591,GS
2013-07-24,166.75,166.89,164.44,165.04,2546792,GS
2013-07-25,164.28,166.0,163.69,165.91,2235168,GS
2013-07-26,165.05,165.65,164.27,165.26,2372436,GS
2013-07-29,164.63,164.826,162.02,163.17,2824153,GS
2013-07-30,163.49,164.01,162.33,162.43,2553251,GS
2013-07-31,162.53,165.97,162.43,164.03,3700336,GS
2013-08-01,165.74,167.895,164.88,167.49,3252883,GS
2013-08-02,166.83,167.899,166.46,167.62,1866749,GS
