date,open,high,low,close,volume,Name
2013-02-08,216.28,218.24,215.6,216.71,414106,GWW
2013-02-11,216.4,217.99,216.38,217.61,438811,GWW
2013-02-12,219.7,223.2,218.85,223.09,582920,GWW
2013-02-13,222.46,226.32,222.46,225.62,560892,GWW
2013-02-14,225.1,226.54,224.63,226.29,388831,GWW
2013-02-15,226.93,231.015,226.85,229.48,590430,GWW
2013-02-19,229.19,230.41,228.68,229.13,369272,GWW
2013-02-20,229.44,230.22,226.512,226.65,268872,GWW
2013-02-21,226.02,226.41,223.18,223.75,279164,GWW
2013-02-22,224.02,225.9099,224.02,224.86,282327,GWW
2013-02-25,225.54,226.12,221.48,221.48,286638,GWW
2013-02-26,222.08,224.4,221.07,223.09,285782,GWW
2013-02-27,223.24,228.57,222.03,227.62,246325,GWW
2013-02-28,227.67,228.2,225.71,226.46,340120,GWW
2013-03-01,225.43,228.47,223.84,227.43,332086,GWW
2013-03-04,227.11,229.47,225.49,229.37,248881,GWW
2013-03-05,230.23,233.82,229.77,231.78,282569,GWW
2013-03-06,232.49,233.95,229.87,230.63,378622,GWW
2013-03-07,231.26,231.67,230.05,230.23,240139,GWW
2013-03-08,231.52,231.78,230.5,231.0,251224,GWW
2013-03-11,230.74,232.45,229.81,230.57,364079,GWW
2013-03-12,226.0,226.63,220.97,225.8,609092,GWW
2013-03-13,223.3,227.0,221.74,225.11,477444,GWW
2013-03-14,225.06,225.86,224.03,225.1,425581,GWW
2013-03-15,225.0,226.32,224.123,225.06,590408,GWW
2013-03-18,224.27,225.58,222.11,223.28,522938,GWW
2013-03-19,224.02,224.98,221.635,223.66,243414,GWW
2013-03-20,225.16,226.39,224.0,226.26,262981,GWW
2013-03-21,224.65,226.17,222.55,223.13,217593,GWW
2013-03-22,223.29,224.78,222.98,224.68,209492,GWW
2013-03-25,225.0,225.0,218.58,218.92,375542,GWW
2013-03-26,220.15,221.61,218.87,220.92,290410,GWW
2013-03-27,219.97,222.72,218.29,222.01,191887,GWW
2013-03-28,222.46,225.16,221.38,224.98,245649,GWW
2013-04-01,224.4,224.72,219.43,219.81,353918,GWW
2013-04-02,220.68,221.94,218.48,218.7,357683,GWW
2013-04-03,219.07,219.37,216.64,216.98,378110,GWW
2013-04-04,217.43,224.73,217.38,224.65,412046,GWW
2013-04-05,221.79,223.17,220.02,222.01,213961,GWW
2013-04-08,233.36,233.36,222.04,224.62,344572,GWW
2013-04-09,224.2,226.84,223.04,226.23,318251,GWW
2013-04-10,225.52,228.67,222.02,227.33,557036,GWW
2013-04-11,227.46,232.58,226.75,228.87,589511,GWW
2013-04-12,228.21,229.4,227.0,228.0,378815,GWW
2013-04-15,225.8,227.65,223.69,225.7,721746,GWW
2013-04-16,238.84,245.46,236.2,241.88,1465250,GWW
2013-04-17,237.04,239.5,234.93,238.16,831988,GWW
2013-04-18,236.63,241.15,236.63,240.6,428658,GWW
2013-04-19,241.83,244.81,238.8,243.05,480472,GWW
2013-04-22,242.66,244.58,241.06,243.73,404244,GWW
2013-04-23,245.0,246.899,243.03,245.86,315371,GWW
2013-04-24,247.23,248.215,244.58,246.3,213222,GWW
2013-04-25,245.41,247.83,245.19,245.54,217441,GWW
2013-04-26,249.54,249.54,243.82,245.24,227685,GWW
2013-04-29,242.6,247.23,237.47,245.58,267948,GWW
2013-04-30,241.89,246.49,241.89,246.47,349340,GWW
2013-05-01,246.24,246.462,240.81,240.9,262533,GWW
2013-05-02,241.92,244.5899,241.14,242.44,251168,GWW
2013-05-03,244.48,249.49,244.04,248.68,305635,GWW
2013-05-06,246.6,249.95,246.6,248.53,183869,GWW
2013-05-07,249.22,253.21,249.02,253.16,257734,GWW
2013-05-08,253.11,253.375,251.4,252.55,271325,GWW
2013-05-09,251.07,254.0,250.46,251.59,278481,GWW
2013-05-10,252.47,256.62,251.72,256.55,490493,GWW
2013-05-13,257.17,259.5,256.29,257.48,269068,GWW
2013-05-14,257.23,262.12,256.62,261.95,275510,GWW
2013-05-15,261.15,262.43,259.19,261.8,342959,GWW
2013-05-16,260.99,261.898,257.88,258.46,281542,GWW
2013-05-17,258.46,263.41,258.46,263.35,199357,GWW
2013-05-20,263.02,263.91,261.52,263.29,174326,GWW
2013-05-21,263.15,269.146,263.05,267.34,235058,GWW
2013-05-22,266.99,269.17,258.95,259.92,432508,GWW
2013-05-23,258.85,260.24,256.2,258.55,544962,GWW
2013-05-24,256.5,259.08,254.64,257.78,254314,GWW
2013-05-28,260.45,260.59,257.08,259.84,322143,GWW
2013-05-29,257.59,259.41,254.861,254.99,314374,GWW
2013-05-30,256.29,256.61,252.67,253.1,449534,GWW
2013-05-31,252.9,261.34,252.9,257.44,398429,GWW
2013-06-03,257.23,258.75,252.58,258.51,257597,GWW
2013-06-04,258.66,259.0499,253.34,256.73,290128,GWW
2013-06-05,255.56,255.56,251.5,251.65,414137,GWW
2013-06-06,251.78,253.33,250.02,253.22,266061,GWW
2013-06-07,255.82,260.76,254.99,260.61,207233,GWW
2013-06-10,261.0,261.0,255.21,256.08,267406,GWW
2013-06-11,252.7,256.9,252.0,255.0,351409,GWW
2013-06-12,256.21,256.56,252.06,252.06,245005,GWW
2013-06-13,252.15,254.65,251.45,253.75,381691,GWW
2013-06-14,252.48,255.18,252.1901,254.38,246758,GWW
2013-06-17,256.04,256.42,253.04,254.36,209167,GWW
2013-06-18,253.54,256.02,252.38,255.87,171080,GWW
2013-06-19,255.66,256.19,251.66,251.7,180224,GWW
2013-06-20,249.47,251.23,248.27,249.52,294806,GWW
2013-06-21,251.35,253.04,248.54,251.23,339047,GWW
2013-06-24,249.44,253.23,247.4,250.94,289516,GWW
2013-06-25,248.04,255.84,248.04,255.45,241789,GWW
2013-06-26,257.06,258.13,253.72,253.91,422649,GWW
2013-06-27,255.5,257.03,253.51,254.67,352533,GWW
2013-06-28,254.05,254.87,250.61,252.18,366407,GWW
2013-07-01,253.47,256.8,252.41,254.52,241133,GWW
2013-07-02,254.53,255.94,252.53,253.86,303397,GWW
2013-07-03,252.02,255.39,250.97,255.16,193579,GWW
2013-07-05,257.62,257.9,253.43,256.1,224689,GWW
2013-07-08,256.12,258.01,254.816,255.96,507813,GWW
2013-07-09,257.04,264.31,256.845,261.75,356041,GWW
2013-07-10,261.19,261.88,259.55,261.65,310018,GWW
2013-07-11,265.0,265.9399,263.08,264.39,286855,GWW
2013-07-12,264.21,266.32,263.7,265.25,197585,GWW
2013-07-15,266.58,267.29,263.61,264.8,267801,GWW
2013-07-16,265.0,266.1625,261.5,262.68,258348,GWW
2013-07-17,259.57,264.34,256.86,262.65,478245,GWW
2013-07-18,262.65,265.27,260.041,263.2,352942,GWW
2013-07-19,263.64,264.21,261.88,262.52,347933,GWW
2013-07-22,261.1,263.27,260.298,261.6,337848,GWW
2013-07-23,262.5,262.5,257.48,257.73,347793,GWW
2013-07-24,258.43,259.35,254.4008,255.15,183216,GWW
2013-07-25,254.06,255.85,252.83,255.46,288492,GWW
2013-07-26,255.46,257.69,254.09,256.65,199973,GWW
2013-07-29,255.25,258.17,253.53,257.31,182689,GWW
2013-07-30,258.63,261.678,256.63,260.15,263806,GWW
2013-07-31,261.23,264.53,260.464,262.14,205629,GWW
2013-08-01,265.3,270.47,265.3,269.53,354430,GWW
2013-08-02,268.54,269.283,266.84,267.95,246943,GWW
2013-08-05,266.12,266.9,264.5,266.09,180541,GWW
2013-08-06,265.1,266.06,262.56,263.55,146122,GWW
2013-08-07,262.44,263.13,260.37,261.16,129663,GWW
2013-08-08,261.51,265.0,260.71,261.0,156425,GWW
2013-08-09,260.29,262.8,259.15,259.83,146137,GWW
2013-08-12,257.45,259.62,255.0,258.03,226518,GWW
2013-08-13,258.23,258.92,255.67,257.15,182045,GWW
2013-08-14,256.83,257.49,253.8,253.88,118764,GWW
2013-08-15,251.97,253.25,247.21,251.94,203569,GWW
2013-08-16,250.79,253.71,250.06,253.41,189027,GWW
2013-08-19,253.0,254.8,251.6,251.63,131340,GWW
2013-08-20,252.04,253.48,249.75,251.31,126734,GWW
2013-08-21,251.02,252.47,248.29,249.5,206660,GWW
2013-08-22,249.82,251.53,248.31,251.36,257994,GWW
2013-08-23,251.28,254.18,250.114,254.03,236802,GWW
2013-08-26,253.86,256.14,251.347,252.25,289996,GWW
2013-08-27,250.71,251.68,247.38,247.69,327982,GWW
2013-08-28,247.12,250.03,245.01,248.83,272843,GWW
2013-08-29,247.91,249.84,246.93,247.2,207018,GWW
2013-08-30,247.96,248.53,246.0,247.35,213950,GWW
2013-09-03,249.39,252.03,248.87,251.27,391334,GWW
2013-09-04,252.0,256.48,251.08,255.82,414278,GWW
2013-09-05,255.93,260.4,255.88,259.55,313197,GWW
2013-09-06,259.8,261.36,257.0,258.28,265161,GWW
2013-09-09,258.93,264.38,258.09,263.96,265603,GWW
2013-09-10,264.87,269.41,264.67,269.36,349656,GWW
2013-09-11,269.46,270.0,267.26,269.69,280281,GWW
2013-09-12,267.7,271.325,265.55,268.08,549852,GWW
2013-09-13,268.95,268.95,265.08,267.29,350640,GWW
2013-09-16,272.43,272.47,269.07,270.04,303034,GWW
2013-09-17,270.72,271.715,268.39,269.37,317952,GWW
2013-09-18,269.53,274.01,268.92,274.01,295460,GWW
2013-09-19,273.93,276.38,272.93,273.51,339704,GWW
2013-09-20,272.93,275.22,270.15,270.15,618830,GWW
2013-09-23,270.69,270.85,267.44,268.05,399257,GWW
2013-09-24,267.88,270.59,266.91,268.26,356525,GWW
2013-09-25,269.1,270.27,267.09,267.16,157685,GWW
2013-09-26,268.17,271.96,267.97,269.05,261885,GWW
2013-09-27,269.05,269.55,263.55,263.92,401745,GWW
2013-09-30,261.72,263.72,261.04,261.71,405678,GWW
2013-10-01,261.77,264.65,261.0,264.65,413588,GWW
2013-10-02,263.16,265.0,261.03,264.65,255490,GWW
2013-10-03,263.71,265.4,261.395,263.74,479165,GWW
2013-10-04,264.85,265.86,263.44,264.88,259875,GWW
2013-10-07,262.31,263.17,259.9601,261.13,426010,GWW
2013-10-08,260.63,262.25,257.86,258.04,344378,GWW
2013-10-09,256.15,258.06,251.21,252.36,719466,GWW
2013-10-10,254.55,256.47,253.65,255.9,646640,GWW
2013-10-11,256.83,258.61,256.21,257.9,367513,GWW
2013-10-14,256.33,260.12,255.07,258.61,312157,GWW
2013-10-15,258.29,258.52,255.19,255.42,486254,GWW
2013-10-16,260.35,266.37,253.25,257.77,1142747,GWW
2013-10-17,256.29,262.44,254.81,261.9,443405,GWW
2013-10-18,262.98,264.38,260.81,264.3,406384,GWW
2013-10-21,263.12,264.26,260.91,263.44,352518,GWW
2013-10-22,265.38,266.32,262.9501,265.39,299840,GWW
2013-10-23,265.15,265.4599,262.6,264.17,177819,GWW
2013-10-24,264.31,265.06,263.04,263.04,212438,GWW
2013-10-25,263.68,267.46,262.13,267.4,302612,GWW
2013-10-28,267.31,269.8,264.94,269.2,396438,GWW
2013-10-29,268.58,273.11,265.9,273.04,330146,GWW
2013-10-30,273.6,274.37,268.8,270.06,341662,GWW
2013-10-31,269.94,271.26,268.63,268.97,276322,GWW
2013-11-01,269.46,271.86,267.46,270.06,242529,GWW
2013-11-04,270.77,272.165,269.79,271.88,295138,GWW
2013-11-05,269.19,271.13,267.66,268.96,350020,GWW
2013-11-06,269.54,272.22,268.33,272.13,260718,GWW
2013-11-07,273.0,273.0,263.47,263.68,359493,GWW
2013-11-08,264.42,268.11,264.05,268.11,462159,GWW
2013-11-11,267.8,270.185,267.76,270.02,142925,GWW
2013-11-12,268.78,269.32,266.92,268.24,219640,GWW
2013-11-13,267.13,269.15,262.75,265.0,598676,GWW
2013-11-14,265.0,267.32,262.9301,265.6,419229,GWW
2013-11-15,263.86,264.37,259.53,260.75,621681,GWW
2013-11-18,259.79,261.5588,257.81,258.06,397716,GWW
2013-11-19,258.14,260.3,255.89,256.15,314069,GWW
2013-11-20,257.38,259.5,252.55,253.24,354418,GWW
2013-11-21,253.0,256.91,252.66,255.22,566280,GWW
2013-11-22,255.86,256.88,255.22,256.39,444594,GWW
2013-11-25,256.89,257.8,255.39,256.86,242476,GWW
2013-11-26,257.12,259.256,255.9,258.13,403122,GWW
2013-11-27,258.0,259.99,257.0,258.47,199908,GWW
2013-11-29,259.07,259.96,256.5,257.92,92290,GWW
2013-12-02,257.91,259.97,256.39,258.32,335386,GWW
2013-12-03,257.85,258.95,254.11,254.89,407509,GWW
2013-12-04,254.89,256.28,251.0,255.05,516763,GWW
2013-12-05,255.16,257.3,254.01,255.17,233491,GWW
2013-12-06,258.74,260.0,256.1142,257.78,321805,GWW
2013-12-09,258.91,259.73,256.37,257.18,308534,GWW
2013-12-10,257.16,259.275,256.57,256.71,275743,GWW
2013-12-11,256.5,258.63,253.4,254.05,311748,GWW
2013-12-12,254.0,254.8,246.86,252.03,904930,GWW
2013-12-13,251.88,253.34,251.02,251.55,311314,GWW
2013-12-16,252.15,255.28,251.19,253.92,368574,GWW
