date,open,high,low,close,volume,Name
2013-02-08,37.3,37.49,37.16,37.22,1868471,HCA
2013-02-11,37.17,37.67,36.62,36.66,3504622,HCA
2013-02-12,36.12,36.525,35.85,36.45,22097486,HCA
2013-02-13,36.93,37.19,36.35,36.89,7186748,HCA
2013-02-14,36.74,37.11,36.73,36.83,2861808,HCA
2013-02-15,36.8,36.98,36.1,36.28,2784912,HCA
2013-02-19,36.28,36.51,35.63,36.41,5254918,HCA
2013-02-20,36.32,36.36,35.285,35.41,5443917,HCA
2013-02-21,35.5,35.98,35.15,35.79,6301155,HCA
2013-02-22,35.81,35.97,35.62,35.76,2357513,HCA
2013-02-25,35.84,36.05,35.17,35.21,3179958,HCA
2013-02-26,35.21,35.8,34.9,35.64,3710445,HCA
2013-02-27,35.51,36.86,35.39,36.68,11416934,HCA
2013-02-28,36.6,37.65,36.53,37.09,8893918,HCA
2013-03-01,37.0,37.5,36.58,36.96,3892715,HCA
2013-03-04,36.73,37.27,36.28,36.65,5424085,HCA
2013-03-05,36.77,37.22,36.77,36.94,6739920,HCA
2013-03-06,37.0,37.24,36.8,36.91,2972500,HCA
2013-03-07,36.85,37.46,36.85,37.04,4086083,HCA
2013-03-08,37.1,37.5,37.09,37.25,6148252,HCA
2013-03-11,37.25,38.12,37.25,37.79,4089104,HCA
2013-03-12,37.77,38.27,37.77,38.02,2951468,HCA
2013-03-13,37.99,38.41,37.94,38.28,3216216,HCA
2013-03-14,38.45,38.79,38.27,38.45,4670294,HCA
2013-03-15,38.43,38.51,37.8,37.92,5929386,HCA
2013-03-18,37.73,37.89,37.3827,37.78,2789491,HCA
2013-03-19,38.04,38.435,37.93,38.27,4119441,HCA
2013-03-20,38.5,38.86,38.29,38.56,2378054,HCA
2013-03-21,38.3,38.83,38.0901,38.56,2245243,HCA
2013-03-22,38.76,39.77,38.7,39.31,3179726,HCA
2013-03-25,39.32,39.96,39.25,39.4,2710331,HCA
2013-03-26,39.55,40.25,39.49,40.19,3183747,HCA
2013-03-27,40.13,40.65,39.72,40.43,2395531,HCA
2013-03-28,40.43,40.92,40.42,40.63,3416107,HCA
2013-04-01,40.5,41.2,40.215,40.72,2679872,HCA
2013-04-02,41.4,41.5,39.11,39.86,6662175,HCA
2013-04-03,39.8,39.8,37.67,37.91,7316096,HCA
2013-04-04,37.79,37.86,36.53,37.69,9091530,HCA
2013-04-05,37.2,38.14,37.09,37.48,4231959,HCA
2013-04-08,37.5,37.79,37.12,37.7,1248769,HCA
2013-04-09,37.7,38.08,37.15,37.63,3932680,HCA
2013-04-10,36.4,37.0,35.85,36.67,9024856,HCA
2013-04-11,36.69,38.52,36.42,38.43,5766936,HCA
2013-04-12,38.17,38.69,38.03,38.32,2445637,HCA
2013-04-15,38.06,38.5,36.3,36.72,4647277,HCA
2013-04-16,35.59,37.88,35.55,37.87,8599957,HCA
2013-04-17,37.55,37.81,36.65,37.54,3631844,HCA
2013-04-18,37.66,37.66,36.64,36.92,2129591,HCA
2013-04-19,37.28,37.97,36.9499,37.66,1629870,HCA
2013-04-22,37.69,37.98,36.81,37.72,2405540,HCA
2013-04-23,37.73,38.08,37.44,37.86,2549864,HCA
2013-04-24,37.92,38.49,37.29,38.16,4710575,HCA
2013-04-25,37.98,38.305,37.45,37.94,5820052,HCA
2013-04-26,38.17,38.55,37.79,38.25,3672460,HCA
2013-04-29,40.5,41.827,40.11,40.37,8188303,HCA
2013-04-30,40.26,40.85,39.56,39.89,4421485,HCA
2013-05-01,39.75,40.08,39.22,39.49,3833511,HCA
2013-05-02,39.5,40.94,38.56,40.47,4844919,HCA
2013-05-03,40.67,41.53,40.35,41.0,4751482,HCA
2013-05-06,41.07,41.799,40.79,41.4,2701789,HCA
2013-05-07,41.41,41.56,41.08,41.18,2232185,HCA
2013-05-08,40.65,41.01,39.98,40.44,3210663,HCA
2013-05-09,40.5,40.71,39.81,40.34,3413208,HCA
2013-05-10,40.28,41.09,40.16,40.73,1768926,HCA
2013-05-13,40.46,40.94,40.45,40.69,1433618,HCA
2013-05-14,40.79,41.06,40.6,40.81,1294133,HCA
2013-05-15,40.3,40.62,39.72,40.2,2765087,HCA
2013-05-16,40.14,40.21,39.44,39.49,1937713,HCA
2013-05-17,39.55,39.61,38.71,39.09,4599725,HCA
2013-05-20,38.98,39.06,37.37,38.2,6895914,HCA
2013-05-21,38.25,38.44,37.56,37.66,4303414,HCA
2013-05-22,37.44,38.5,36.92,37.29,5321758,HCA
2013-05-23,37.04,38.04,36.67,37.9,3283930,HCA
2013-05-24,37.71,37.84,37.38,37.53,1453292,HCA
2013-05-28,37.96,38.68,37.72,38.31,1945953,HCA
2013-05-29,38.1,38.13,37.49,38.03,1977653,HCA
2013-05-30,38.14,39.2,38.11,38.82,2787175,HCA
2013-05-31,38.78,39.67,38.53,39.06,2975948,HCA
2013-06-03,39.13,39.41,38.42,39.28,2369767,HCA
2013-06-04,39.2,39.75,38.75,39.02,2791574,HCA
2013-06-05,38.75,38.903,37.87,38.11,4227608,HCA
2013-06-06,38.26,38.8,37.88,38.4,4426984,HCA
2013-06-07,38.62,39.8,38.48,39.6,3024482,HCA
2013-06-10,39.6,40.48,39.52,40.24,3368153,HCA
2013-06-11,39.78,40.33,39.54,39.73,2670369,HCA
2013-06-12,40.24,40.292,39.13,39.53,3204353,HCA
2013-06-13,39.42,40.44,39.21,40.29,2920393,HCA
2013-06-14,40.25,40.32,39.81,39.9,1637251,HCA
2013-06-17,40.27,40.27,38.69,39.26,4547899,HCA
2013-06-18,39.21,39.28,38.74,38.83,3634399,HCA
2013-06-19,38.83,39.1,37.9,38.75,6374380,HCA
2013-06-20,38.27,38.49,37.13,37.68,5774063,HCA
2013-06-21,37.82,37.915,36.38,37.44,4373792,HCA
2013-06-24,37.13,37.84,35.98,36.6,4816439,HCA
2013-06-25,36.76,37.22,36.44,36.62,2091585,HCA
2013-06-26,36.75,37.24,36.13,36.52,2703161,HCA
2013-06-27,36.55,36.96,36.08,36.39,7830587,HCA
2013-06-28,36.23,36.47,35.4,36.06,16050876,HCA
2013-07-01,36.41,37.19,36.26,36.94,4618094,HCA
2013-07-02,36.97,37.19,36.48,36.91,3031863,HCA
2013-07-03,35.78,36.2,35.2,35.49,6752550,HCA
2013-07-05,35.64,36.065,35.45,35.86,3540943,HCA
