date,open,high,low,close,volume,Name
2013-02-08,62.08,62.39,61.86,62.3,1045364,HCN
2013-02-11,62.31,62.56,62.17,62.36,899748,HCN
2013-02-12,62.45,62.71,62.24,62.7,1493956,HCN
2013-02-13,62.81,63.13,62.6,62.74,1073253,HCN
2013-02-14,62.67,62.78,62.33,62.45,1718325,HCN
2013-02-15,62.67,63.07,62.4,62.96,2717782,HCN
2013-02-19,63.2,63.97,63.165,63.94,2286058,HCN
2013-02-20,64.02,64.615,63.99,64.11,3057226,HCN
2013-02-21,64.12,64.22,63.75,64.05,1988930,HCN
2013-02-22,64.12,64.65,64.09,64.6,2391481,HCN
2013-02-25,64.74,64.87,63.14,63.19,2511274,HCN
2013-02-26,63.24,63.5,62.34,63.31,2499296,HCN
2013-02-27,63.35,64.13,63.2,64.01,2097901,HCN
2013-02-28,64.03,64.51,64.01,64.14,3112532,HCN
2013-03-01,63.7,64.71,63.41,64.62,2212229,HCN
2013-03-04,64.71,65.65,64.645,65.43,1888796,HCN
2013-03-05,65.65,65.71,65.295,65.56,1417878,HCN
2013-03-06,65.69,65.69,65.25,65.5,1147674,HCN
2013-03-07,65.48,65.75,65.06,65.16,1376015,HCN
2013-03-08,65.14,65.355,64.62,65.34,1502134,HCN
2013-03-11,65.3,65.44,64.9,65.44,954963,HCN
2013-03-12,65.05,65.23,64.86,65.11,1865646,HCN
2013-03-13,65.17,65.318,64.74,64.99,1202826,HCN
2013-03-14,64.91,65.45,64.9,65.23,1528512,HCN
2013-03-15,64.97,65.64,64.81,65.64,2770202,HCN
2013-03-18,65.3,65.59,65.27,65.51,1991084,HCN
2013-03-19,65.42,65.53,64.97,65.4,1387785,HCN
2013-03-20,65.6,65.82,65.435,65.82,1393590,HCN
2013-03-21,65.73,66.26,65.71,65.86,1591835,HCN
2013-03-22,65.95,66.19,65.795,66.07,1240781,HCN
2013-03-25,66.33,66.4772,65.93,66.2,1520678,HCN
2013-03-26,66.38,66.93,66.32,66.93,3317626,HCN
2013-03-27,66.8,67.31,66.54,67.16,1459186,HCN
2013-03-28,67.31,67.92,66.97,67.91,1716135,HCN
2013-04-01,67.6,68.48,67.6,68.44,1546698,HCN
2013-04-02,68.86,69.115,68.45,68.97,1682198,HCN
2013-04-03,69.23,69.24,68.655,68.93,1496542,HCN
2013-04-04,69.04,70.02,68.9501,69.96,1626960,HCN
2013-04-05,69.31,69.8,69.03,69.79,1835755,HCN
2013-04-08,69.77,70.26,69.17,70.21,1593702,HCN
2013-04-09,70.35,70.645,70.07,70.56,1546128,HCN
2013-04-10,70.65,71.295,70.51,71.29,1550453,HCN
2013-04-11,71.21,71.69,70.47,70.88,2019940,HCN
2013-04-12,70.85,71.22,70.7,71.11,1685184,HCN
2013-04-15,70.64,71.76,70.26,70.31,1911067,HCN
2013-04-16,70.7,71.91,70.15,71.86,1629484,HCN
2013-04-17,71.7,71.75,70.75,71.26,1427441,HCN
2013-04-18,71.45,71.5,70.84,71.11,1448505,HCN
2013-04-19,71.35,72.74,71.25,72.62,1763496,HCN
2013-04-22,72.6,72.88,72.09,72.75,1062645,HCN
2013-04-23,73.1,73.51,72.88,73.5,1613292,HCN
2013-04-24,73.6,73.88,73.25,73.86,1571859,HCN
2013-04-25,73.71,74.03,73.3,73.47,2314987,HCN
2013-04-26,73.47,73.9,73.34,73.47,1174118,HCN
2013-04-29,73.74,74.3,73.51,74.24,1210165,HCN
2013-04-30,74.34,74.98,74.01,74.97,1753198,HCN
2013-05-01,74.82,75.45,74.6753,75.06,1515098,HCN
2013-05-02,75.15,76.0,75.08,75.58,1222011,HCN
2013-05-03,74.97,75.5,74.74,74.9,1773520,HCN
2013-05-06,74.85,75.434,74.67,75.12,1348500,HCN
2013-05-07,75.26,75.82,75.0,75.62,2007201,HCN
2013-05-08,74.97,75.12,73.9,74.15,2646396,HCN
2013-05-09,73.58,74.94,73.55,74.7,14182854,HCN
2013-05-10,75.25,75.48,74.75,75.48,2730396,HCN
2013-05-13,75.5,75.945,75.25,75.83,2100762,HCN
2013-05-14,75.9,76.42,75.65,76.0,2184294,HCN
2013-05-15,76.04,77.3,75.6,77.3,2039720,HCN
2013-05-16,77.05,77.4,76.69,77.02,2023985,HCN
2013-05-17,77.4,77.96,76.98,77.95,3777176,HCN
2013-05-20,77.95,78.05,77.37,77.74,1825181,HCN
2013-05-21,78.0,79.13,77.88,78.98,3068313,HCN
2013-05-22,79.14,80.07,76.831,77.29,3971466,HCN
2013-05-23,76.42,76.42,74.2,74.32,3814079,HCN
2013-05-24,73.96,74.235,72.835,74.04,3717676,HCN
2013-05-28,74.62,74.77,71.53,71.91,2906849,HCN
2013-05-29,71.2,71.2,69.25,69.74,4557072,HCN
2013-05-30,69.73,70.56,69.29,69.42,2272878,HCN
2013-05-31,69.0,69.735,67.99,68.03,4530753,HCN
2013-06-03,67.38,68.69,66.7,68.39,2435170,HCN
2013-06-04,68.77,68.94,67.58,67.6,1768358,HCN
2013-06-05,67.43,67.5799,66.67,66.85,1564732,HCN
2013-06-06,67.0,67.95,66.47,67.93,2185555,HCN
2013-06-07,68.18,68.5,67.47,68.29,2241305,HCN
2013-06-10,68.28,68.44,67.01,67.32,1784345,HCN
2013-06-11,66.86,67.53,66.6,66.82,1507423,HCN
2013-06-12,67.2,67.3,65.31,65.5,1886063,HCN
2013-06-13,65.16,67.16,65.01,66.96,2985534,HCN
2013-06-14,66.9,68.1,66.73,67.37,2071767,HCN
2013-06-17,67.65,68.1,67.14,67.59,2075094,HCN
2013-06-18,67.64,68.59,67.64,68.15,1850021,HCN
2013-06-19,68.14,68.29,65.31,65.4,2490501,HCN
2013-06-20,65.07,65.07,61.85,62.1,3636155,HCN
2013-06-21,62.59,63.83,61.62,63.35,5343603,HCN
2013-06-24,62.94,64.6,61.86,63.27,2895543,HCN
2013-06-25,63.79,64.87,63.14,64.39,2342807,HCN
2013-06-26,64.87,65.63,64.81,65.49,2829602,HCN
2013-06-27,65.66,67.22,65.66,67.13,2077334,HCN
2013-06-28,67.25,67.63,66.51,67.03,2602281,HCN
2013-07-01,67.56,67.68,66.24,66.39,1603064,HCN
2013-07-02,66.44,67.445,66.35,66.87,2528348,HCN
2013-07-03,66.77,66.88,65.5,66.06,1447922,HCN
2013-07-05,66.36,66.5,63.25,65.22,2135596,HCN
2013-07-08,65.36,66.12,64.535,64.75,1974675,HCN
2013-07-09,65.15,65.82,64.932,65.72,1868644,HCN
2013-07-10,65.62,66.06,64.91,65.68,1809479,HCN
2013-07-11,66.62,68.67,66.47,68.6,2521505,HCN
2013-07-12,68.6,68.795,66.71,67.11,2302033,HCN
2013-07-15,67.14,67.67,67.0,67.57,1030965,HCN
2013-07-16,67.56,68.15,67.54,67.8,1301021,HCN
2013-07-17,67.88,68.5,67.835,68.1,1903202,HCN
2013-07-18,68.15,68.51,67.84,68.49,1121679,HCN
2013-07-19,68.71,68.755,67.65,67.77,1580593,HCN
2013-07-22,67.75,67.9,67.14,67.41,1692162,HCN
2013-07-23,67.6,68.09,67.32,67.85,1011241,HCN
2013-07-24,67.82,67.945,65.3,65.68,2070854,HCN
2013-07-25,65.56,66.04,65.11,65.78,1635124,HCN
2013-07-26,65.8,66.14,65.18,66.13,892692,HCN
2013-07-29,66.09,66.24,65.52,65.55,827943,HCN
2013-07-30,65.9,66.36,65.18,65.58,1149861,HCN
2013-07-31,65.58,65.68,63.74,64.49,1854753,HCN
2013-08-01,64.67,64.85,63.56,63.58,2322571,HCN
2013-08-02,62.8,63.86,62.8,63.37,2131685,HCN
2013-08-05,63.47,64.14,63.26,63.34,1344392,HCN
2013-08-06,63.36,64.54,63.1,63.25,1935511,HCN
2013-08-07,63.15,63.39,62.64,62.74,1716365,HCN
2013-08-08,62.75,62.9,62.294,62.81,1724522,HCN
2013-08-09,62.83,64.2282,62.79,63.74,2286656,HCN
2013-08-12,63.81,63.91,62.78,63.14,1626426,HCN
2013-08-13,63.18,63.19,61.76,62.06,2143627,HCN
2013-08-14,61.8,62.04,61.17,61.2,1857297,HCN
2013-08-15,60.75,60.79,59.51,59.89,2200189,HCN
2013-08-16,59.76,59.85,58.35,58.57,3624494,HCN
2013-08-19,58.37,58.94,58.16,58.32,2708256,HCN
2013-08-20,58.43,60.21,58.43,60.01,3802713,HCN
2013-08-21,59.98,61.83,59.35,60.71,3024859,HCN
2013-08-22,60.71,60.9,60.115,60.77,2014120,HCN
2013-08-23,60.84,61.6,60.67,61.46,1936289,HCN
2013-08-26,61.46,61.5,60.91,61.07,1301037,HCN
2013-08-27,60.64,61.7,60.5,61.51,1399520,HCN
2013-08-28,61.3,62.01,60.96,61.69,1979997,HCN
2013-08-29,61.46,61.46,60.71,61.28,1628523,HCN
2013-08-30,61.27,61.86,61.2,61.44,2021195,HCN
2013-09-03,61.8,61.8,60.355,60.84,1722193,HCN
2013-09-04,60.92,61.5,60.73,61.2,1246609,HCN
2013-09-05,61.21,61.25,59.88,60.02,1268486,HCN
2013-09-06,60.39,61.48,60.35,60.83,1720828,HCN
2013-09-09,60.86,62.22,60.65,62.14,1670872,HCN
2013-09-10,62.34,62.44,61.12,61.44,1661078,HCN
2013-09-11,61.51,61.7855,61.27,61.77,1267114,HCN
2013-09-12,61.77,62.15,61.195,61.29,1289884,HCN
2013-09-13,61.4,61.81,61.26,61.76,922426,HCN
2013-09-16,62.55,63.33,62.47,62.81,2000498,HCN
2013-09-17,62.74,63.3,62.5,62.82,1291043,HCN
2013-09-18,62.8,65.65,61.9,65.59,2483561,HCN
2013-09-19,65.54,66.08,65.27,65.39,2127469,HCN
2013-09-20,65.54,65.54,63.73,63.73,2591136,HCN
2013-09-23,63.58,64.28,62.92,62.92,1796756,HCN
2013-09-24,62.93,63.7,62.7,63.07,1854743,HCN
2013-09-25,63.23,64.03,63.02,63.42,1611449,HCN
2013-09-26,63.57,63.73,63.2,63.72,1022501,HCN
2013-09-27,63.62,63.89,62.62,63.18,1264733,HCN
2013-09-30,62.88,63.445,62.0,62.38,1483206,HCN
2013-10-01,62.38,63.96,62.07,63.51,1631073,HCN
2013-10-02,63.04,63.39,62.18,62.78,2246205,HCN
2013-10-03,62.78,62.78,61.34,61.58,2242311,HCN
2013-10-04,61.61,62.16,61.28,61.85,2542319,HCN
2013-10-07,61.42,62.48,61.35,62.04,1287494,HCN
2013-10-08,62.04,62.5,61.57,61.62,1605055,HCN
2013-10-09,61.76,62.06,61.295,61.42,1338739,HCN
2013-10-10,61.88,63.12,61.81,63.09,1278353,HCN
2013-10-11,62.99,63.67,62.72,63.66,993149,HCN
2013-10-14,63.14,63.53,62.64,63.38,1067410,HCN
2013-10-15,63.16,63.89,62.95,63.22,1448029,HCN
2013-10-16,63.45,64.63,63.365,64.55,1215072,HCN
2013-10-17,64.49,65.36,64.2801,65.27,1964414,HCN
2013-10-18,65.59,65.61,64.66,64.85,1655801,HCN
2013-10-21,64.83,65.03,63.99,64.45,1821307,HCN
2013-10-22,64.45,65.85,64.39,65.11,1789499,HCN
2013-10-23,65.0,65.41,64.57,65.29,1703125,HCN
2013-10-24,65.31,65.62,64.8,65.58,1164068,HCN
2013-10-25,65.57,66.76,65.43,66.47,1666839,HCN
2013-10-28,66.46,66.76,65.01,65.82,1322432,HCN
2013-10-29,65.9,66.12,64.855,65.29,1561422,HCN
2013-10-30,65.15,65.45,64.535,64.62,2059098,HCN
2013-10-31,64.76,65.33,64.559,64.85,1599021,HCN
2013-11-01,64.9,65.4,64.35,64.99,1552149,HCN
2013-11-04,64.99,65.13,64.358,65.11,1408635,HCN
2013-11-05,64.71,64.75,62.7,62.85,2310875,HCN
2013-11-06,63.0,63.56,62.85,63.27,1411071,HCN
2013-11-07,62.71,62.83,61.37,61.43,1526318,HCN
2013-11-08,61.0,61.0,59.5,60.41,2373307,HCN
2013-11-11,60.41,60.84,59.92,60.08,1692912,HCN
2013-11-12,60.0,60.19,59.34,59.64,1683871,HCN
2013-11-13,59.58,59.99,59.26,59.99,2491038,HCN
2013-11-14,60.01,60.99,59.98,60.56,1467403,HCN
2013-11-15,60.46,60.91,60.19,60.51,1469875,HCN
2013-11-18,60.44,60.73,60.05,60.1,1278712,HCN
2013-11-19,60.01,60.09,59.34,59.44,1505593,HCN
2013-11-20,59.49,59.7925,58.16,58.48,1703398,HCN
2013-11-21,58.5,58.87,58.33,58.73,1561298,HCN
2013-11-22,58.64,58.8,57.56,57.76,2048768,HCN
2013-11-25,57.7,57.88,56.85,57.33,2293182,HCN
2013-11-26,57.22,57.42,55.9,56.18,2854856,HCN
2013-11-27,56.3,56.87,56.09,56.77,1508170,HCN
2013-11-29,56.03,57.17,55.903,55.99,1251091,HCN
2013-12-02,56.16,56.24,55.27,55.75,1923696,HCN
2013-12-03,55.74,55.85,55.3,55.34,1558260,HCN
2013-12-04,55.01,55.55,54.51,55.11,2301587,HCN
2013-12-05,55.11,55.48,54.65,55.18,2137132,HCN
2013-12-06,55.47,55.58,54.97,55.16,1432996,HCN
2013-12-09,55.15,55.485,54.85,55.38,1919669,HCN
2013-12-10,55.45,55.85,55.4,55.52,1663119,HCN
2013-12-11,55.55,55.64,54.2,54.22,2195773,HCN
2013-12-12,54.22,54.33,53.31,53.64,2400922,HCN
2013-12-13,53.61,54.4,53.6,53.91,1790325,HCN
2013-12-16,54.0,54.21,53.58,53.68,2034527,HCN
2013-12-17,53.8,53.98,53.69,53.83,2062070,HCN
2013-12-18,53.85,54.75,53.055,54.66,3257696,HCN
2013-12-19,54.26,54.26,52.425,52.58,3332650,HCN
2013-12-20,52.81,53.32,52.67,53.11,3759566,HCN
2013-12-23,53.48,53.558,52.9,52.96,2116779,HCN
2013-12-24,53.0,53.33,52.76,53.09,787482,HCN
2013-12-26,53.09,53.47,52.82,53.05,1467790,HCN
2013-12-27,53.22,53.24,52.86,53.2,1540742,HCN
2013-12-30,53.2,53.5475,53.0,53.44,1468442,HCN
2013-12-31,53.36,53.73,53.11,53.57,2408333,HCN
2014-01-02,53.15,53.6855,53.08,53.54,2575096,HCN
