date,open,high,low,close,volume,Name
2013-02-08,70.28,70.7954,70.18,70.53,3280878,HON
2013-02-11,70.42,70.46,69.92,70.09,2322699,HON
2013-02-12,70.07,70.565,69.96,70.42,2044531,HON
2013-02-13,70.42,70.78,69.89,70.18,2583907,HON
2013-02-14,70.0,70.3776,69.78,70.09,2883638,HON
2013-02-15,70.38,70.44,69.77,70.11,3059553,HON
2013-02-19,70.23,70.95,70.03,70.93,3181618,HON
2013-02-20,70.81,71.43,70.34,70.35,4208756,HON
2013-02-21,69.64,69.9799,69.3425,69.8,4144365,HON
2013-02-22,70.0,70.24,69.54,69.89,3615133,HON
2013-02-25,69.89,70.13,68.95,68.95,5303817,HON
2013-02-26,69.07,69.55,68.84,69.12,3786089,HON
2013-02-27,69.1,70.51,69.02,70.35,2710840,HON
2013-02-28,70.39,70.8708,70.1,70.1,3685989,HON
2013-03-01,69.71,70.26,69.23,70.05,2980302,HON
2013-03-04,69.59,69.845,68.9,69.7,3571667,HON
2013-03-05,70.0,70.8682,69.97,70.68,3754813,HON
2013-03-06,70.82,71.41,70.8,71.27,3522668,HON
2013-03-07,71.63,72.36,71.445,72.17,4217634,HON
2013-03-08,72.67,73.78,72.67,73.7,4928078,HON
2013-03-11,73.36,73.935,72.95,73.86,3393193,HON
2013-03-12,73.87,73.9,73.07,73.59,2988387,HON
2013-03-13,73.73,74.02,73.54,73.95,3394126,HON
2013-03-14,74.18,74.28,73.42,73.81,4592217,HON
2013-03-15,73.57,73.86,73.33,73.46,5981397,HON
2013-03-18,72.72,74.27,72.55,73.89,4260347,HON
2013-03-19,74.07,74.37,73.43,74.03,4256986,HON
2013-03-20,74.37,74.87,74.37,74.7,3636074,HON
2013-03-21,74.59,75.0,74.44,74.59,4088930,HON
2013-03-22,74.84,75.23,74.68,75.19,3605903,HON
2013-03-25,75.45,75.755,74.37,74.86,4344120,HON
2013-03-26,75.11,75.63,74.92,75.48,3433382,HON
2013-03-27,75.03,75.2,74.58,75.17,2815586,HON
2013-03-28,75.15,75.53,75.0,75.35,3492360,HON
2013-04-01,75.2,75.28,74.1,74.33,3952290,HON
2013-04-02,74.73,74.83,73.99,74.21,3563975,HON
2013-04-03,74.48,74.57,73.18,73.33,4865580,HON
2013-04-04,73.51,73.78,73.34,73.75,4249382,HON
2013-04-05,72.69,73.16,72.43,72.98,4332281,HON
2013-04-08,72.9495,73.61,72.78,73.55,3308706,HON
2013-04-09,73.64,73.72,73.18,73.54,2926797,HON
2013-04-10,73.53,74.44,73.3,74.41,4390856,HON
2013-04-11,74.44,74.86,74.2,74.7,3177842,HON
2013-04-12,74.38,74.5299,73.79,74.25,2143794,HON
2013-04-15,73.87,73.92,72.18,72.2,3376263,HON
2013-04-16,72.73,73.23,72.48,73.18,2474398,HON
2013-04-17,72.74,72.74,71.42,71.89,3962663,HON
2013-04-18,71.85,71.89,70.92,71.47,5337005,HON
2013-04-19,73.72,74.44,72.66,74.18,6563937,HON
2013-04-22,74.29,74.89,74.035,74.59,3767306,HON
2013-04-23,75.0,75.0,73.7497,74.76,2911682,HON
2013-04-24,74.97,75.17,74.63,74.83,3761498,HON
2013-04-25,74.93,75.0453,74.43,74.53,5231187,HON
2013-04-26,74.54,74.68,73.68,73.9,3330846,HON
2013-04-29,74.02,74.11,73.45,73.8,3001832,HON
2013-04-30,73.97,73.98,73.0,73.54,2918422,HON
2013-05-01,73.2,73.39,72.47,72.53,3171146,HON
2013-05-02,72.83,74.13,72.81,73.97,3130554,HON
2013-05-03,74.7101,75.7,74.7101,75.24,3215875,HON
2013-05-06,75.28,76.17,75.2501,76.08,3608298,HON
2013-05-07,76.2,77.05,76.13,76.9,2921351,HON
2013-05-08,76.7,77.55,76.58,77.48,3018360,HON
2013-05-09,77.44,78.01,77.34,77.78,4044023,HON
2013-05-10,77.75,78.08,77.23,77.74,2311988,HON
2013-05-13,77.69,78.0177,77.47,77.86,1993350,HON
2013-05-14,77.84,79.16,77.84,79.16,3047650,HON
2013-05-15,78.88,79.89,78.525,79.89,3322263,HON
2013-05-16,79.29,79.29,78.55,78.73,3465001,HON
2013-05-17,79.23,80.835,79.05,80.75,4065118,HON
2013-05-20,80.32,81.24,80.23,80.53,2528431,HON
2013-05-21,80.5,80.874,79.91,80.15,3178336,HON
2013-05-22,80.16,80.84,79.31,79.59,4136349,HON
2013-05-23,78.7,79.61,78.55,79.24,3924388,HON
2013-05-24,79.01,79.42,78.501,79.29,2422848,HON
2013-05-28,80.28,80.88,79.75,79.77,3314547,HON
2013-05-29,79.18,79.68,78.54,78.8,3285942,HON
2013-05-30,79.01,79.85,78.7,79.44,2783386,HON
2013-05-31,79.21,80.14,78.46,78.46,3287127,HON
2013-06-03,78.55,79.19,78.02,78.85,2802504,HON
2013-06-04,78.7,79.23,77.38,77.74,3455353,HON
2013-06-05,77.49,77.58,76.51,76.7,2710779,HON
2013-06-06,76.76,77.66,76.3,77.66,2862489,HON
2013-06-07,78.39,79.22,77.88,79.08,3255986,HON
2013-06-10,79.24,79.31,78.29,78.68,2351061,HON
2013-06-11,77.92,78.9,77.68,78.16,1569545,HON
2013-06-12,78.76,78.94,77.26,77.32,2107392,HON
2013-06-13,77.34,78.51,77.175,78.31,2388354,HON
2013-06-14,78.16,78.65,77.86,78.18,2636863,HON
2013-06-17,78.83,79.97,78.72,79.71,3787090,HON
2013-06-18,79.87,81.09,79.71,80.85,3224351,HON
2013-06-19,80.83,80.93,79.68,79.68,3058122,HON
2013-06-20,79.01,79.29,77.49,77.67,3399038,HON
2013-06-21,78.31,78.5,77.29,78.25,4413524,HON
2013-06-24,77.49,77.54,76.15,76.65,3581389,HON
2013-06-25,77.46,77.99,77.17,77.65,2424491,HON
