date,open,high,low,close,volume,Name
2013-02-08,64.47,64.5,63.84,64.39,1015654,HP
2013-02-11,65.32,65.4,64.41,64.86,1237180,HP
2013-02-12,65.15,65.44,64.52,65.42,961950,HP
2013-02-13,65.47,65.76,65.2,65.68,848118,HP
2013-02-14,65.5,68.16,65.48,67.86,1387964,HP
2013-02-15,68.09,68.49,66.94,67.83,2117157,HP
2013-02-19,68.24,69.38,67.8,67.94,2790223,HP
2013-02-20,67.63,67.63,65.57,65.61,2105383,HP
2013-02-21,65.4,65.4,63.64,64.27,2274373,HP
2013-02-22,64.72,65.56,63.99,65.54,1536362,HP
2013-02-25,65.89,66.1498,63.54,63.54,2126087,HP
2013-02-26,64.29,64.76,62.8,64.56,1457444,HP
2013-02-27,64.18,65.57,64.14,65.4,1236152,HP
2013-02-28,65.32,66.87,65.116,66.26,1894242,HP
2013-03-01,65.84,66.33,65.0,66.1,1637750,HP
2013-03-04,66.14,66.16,63.45,64.01,2099550,HP
2013-03-05,64.64,65.33,64.19,64.95,981988,HP
2013-03-06,65.3,65.64,64.58,64.69,847371,HP
2013-03-07,64.76,65.25,64.67,65.0,784136,HP
2013-03-08,65.24,65.24,63.855,64.28,1854483,HP
2013-03-11,64.15,64.16,63.1,63.75,1812192,HP
2013-03-12,63.89,64.37,63.23,63.79,1062820,HP
2013-03-13,63.84,64.1499,62.855,63.3,1457848,HP
2013-03-14,63.5,65.74,63.48,65.41,1649779,HP
2013-03-15,65.42,66.615,65.42,66.26,1499041,HP
2013-03-18,64.64,64.72,62.13,62.6,3349864,HP
2013-03-19,62.49,62.88,60.74,61.28,2713266,HP
2013-03-20,61.64,61.96,60.0,60.67,2098205,HP
2013-03-21,60.25,60.94,60.13,60.43,1307330,HP
2013-03-22,60.79,61.21,60.1,60.57,1461053,HP
2013-03-25,60.75,60.99,59.96,60.25,1476440,HP
2013-03-26,60.59,61.2,60.41,61.14,1308608,HP
2013-03-27,60.49,61.63,60.01,60.96,1121153,HP
2013-03-28,60.94,61.15,60.15,60.7,1361877,HP
2013-04-01,60.9,61.55,59.1901,59.81,1090684,HP
2013-04-02,59.88,60.89,59.35,59.89,1335620,HP
2013-04-03,60.02,60.27,58.15,59.0,1493559,HP
2013-04-04,58.89,59.26,58.1,59.21,802105,HP
2013-04-05,58.3,61.1,58.1085,60.92,1647685,HP
2013-04-08,60.85,61.56,60.59,61.36,1383854,HP
2013-04-09,61.55,62.01,60.76,61.83,877036,HP
2013-04-10,61.9,63.63,61.84,63.38,1493244,HP
2013-04-11,63.4,63.48,62.2392,62.61,1141969,HP
2013-04-12,62.17,62.35,60.73,61.35,1528373,HP
2013-04-15,60.47,60.47,57.68,57.72,1597176,HP
2013-04-16,58.46,59.19,57.52,58.7,1353363,HP
2013-04-17,58.03,58.03,56.09,56.25,1397035,HP
