date,open,high,low,close,volume,Name
2013-02-08,80.11,80.3,79.92,80.21,722127,HSY
2013-02-11,80.21,80.65,80.03,80.38,542230,HSY
2013-02-12,80.45,80.89,80.21,80.77,988687,HSY
2013-02-13,80.77,81.37,80.72,81.35,1002846,HSY
2013-02-14,81.53,81.81,80.83,80.89,1215409,HSY
2013-02-15,81.08,81.24,80.7,80.93,1458292,HSY
2013-02-19,81.0,81.79,80.2665,81.73,1235772,HSY
2013-02-20,81.57,81.71,80.82,80.85,1325069,HSY
2013-02-21,79.96,80.82,79.14,80.3,1764274,HSY
2013-02-22,80.3,81.24,79.86,81.23,831048,HSY
2013-02-25,81.23,81.83,80.6,80.61,1642801,HSY
2013-02-26,80.68,81.71,80.35,81.62,1243840,HSY
2013-02-27,81.54,82.69,81.22,82.6,1809437,HSY
2013-02-28,82.56,83.67,82.56,83.34,1947593,HSY
2013-03-01,83.0,83.55,82.57,83.45,1278402,HSY
2013-03-04,83.56,84.77,83.36,84.58,1460520,HSY
2013-03-05,84.86,85.5,84.69,85.2,942245,HSY
2013-03-06,85.22,85.43,84.35,84.48,693611,HSY
2013-03-07,84.64,85.062,84.46,84.52,739285,HSY
2013-03-08,84.93,84.93,83.93,84.32,981478,HSY
2013-03-11,84.5,84.77,84.06,84.22,781571,HSY
2013-03-12,84.22,84.48,84.0,84.29,923613,HSY
2013-03-13,84.52,84.55,84.14,84.36,922611,HSY
2013-03-14,84.48,84.61,84.3,84.5,577839,HSY
2013-03-15,83.87,84.5,83.82,83.9,1778478,HSY
2013-03-18,83.44,84.35,83.3201,84.22,844709,HSY
2013-03-19,84.41,85.77,84.4,85.45,1167926,HSY
2013-03-20,85.71,86.01,85.55,85.92,946730,HSY
2013-03-21,85.5,86.3,85.195,85.23,667333,HSY
2013-03-22,85.51,85.94,85.3,85.91,796821,HSY
2013-03-25,86.1,86.31,85.12,85.49,760780,HSY
2013-03-26,85.56,86.94,85.55,86.94,858673,HSY
2013-03-27,86.5,86.96,86.32,86.9,721177,HSY
2013-03-28,87.0,87.62,86.611,87.53,926385,HSY
2013-04-01,87.35,87.49,86.77,87.03,568053,HSY
2013-04-02,87.08,87.32,86.0,86.43,1370744,HSY
2013-04-03,86.33,86.48,85.71,85.85,1674791,HSY
2013-04-04,86.1,86.41,85.55,85.78,864985,HSY
2013-04-05,85.41,85.73,85.24,85.44,1076894,HSY
2013-04-08,85.4,85.62,84.84,85.25,772296,HSY
2013-04-09,85.35,86.03,85.12,85.7,936681,HSY
2013-04-10,85.82,86.78,85.76,86.75,732498,HSY
2013-04-11,86.76,87.11,86.39,86.61,801268,HSY
2013-04-12,86.5,86.73,86.2243,86.52,745238,HSY
2013-04-15,86.47,87.03,86.2101,86.41,1324929,HSY
2013-04-16,86.96,89.22,86.5,89.18,1450223,HSY
2013-04-17,88.89,89.18,88.5192,88.95,1058764,HSY
2013-04-18,89.04,89.76,88.76,89.47,1038099,HSY
2013-04-19,89.55,90.7,89.55,90.38,1047963,HSY
2013-04-22,90.35,90.49,89.64,90.34,1392654,HSY
