date,open,high,low,close,volume,Name
2013-02-08,81.87,81.87,81.19,81.35,2647293,HUM
2013-02-11,81.16,81.2,79.96,80.18,3285021,HUM
2013-02-12,80.4,80.63,78.82,79.2,2500221,HUM
2013-02-13,79.48,79.48,77.7,78.09,2256022,HUM
2013-02-14,78.08,78.17,77.73,77.83,1744374,HUM
2013-02-15,77.87,78.82,77.53,77.99,2340534,HUM
2013-02-19,69.97,73.34,69.78,73.01,14906934,HUM
2013-02-20,73.25,73.42,72.26,72.6,3045736,HUM
2013-02-21,72.74,73.72,71.82,72.65,2667482,HUM
2013-02-22,72.64,72.94,70.27,70.61,3795289,HUM
2013-02-25,70.78,71.21,69.66,69.66,3033362,HUM
2013-02-26,69.71,69.81,67.82,68.96,2808282,HUM
2013-02-27,68.91,69.355,68.09,69.21,2069655,HUM
2013-02-28,69.14,69.5,68.01,68.26,2935329,HUM
2013-03-01,68.05,68.26,67.52,67.88,2884714,HUM
2013-03-04,67.55,67.78,66.65,66.85,2970917,HUM
2013-03-05,66.95,67.78,66.88,67.44,2007569,HUM
2013-03-06,67.46,67.77,66.68,67.0,2934265,HUM
2013-03-07,67.09,67.705,67.01,67.39,1928768,HUM
2013-03-08,67.47,68.6,67.23,68.03,1873107,HUM
2013-03-11,67.74,68.49,67.74,68.33,1443257,HUM
2013-03-12,68.26,68.54,67.605,68.54,1881148,HUM
2013-03-13,68.49,68.89,67.95,68.84,1586444,HUM
2013-03-14,68.9,69.265,68.41,69.23,2223948,HUM
2013-03-15,69.31,69.79,69.06,69.79,1938835,HUM
2013-03-18,69.35,71.37,68.99,70.36,2334181,HUM
2013-03-19,70.49,71.07,70.04,70.27,1659826,HUM
2013-03-20,70.72,71.18,69.31,69.45,2034482,HUM
2013-03-21,69.07,69.66,67.86,68.36,3304847,HUM
2013-03-22,67.56,68.07,65.88,67.1,4092607,HUM
2013-03-25,67.25,67.31,66.17,66.7,2731755,HUM
2013-03-26,66.7,67.48,66.44,66.7,1400981,HUM
2013-03-27,66.85,69.8,66.8,68.72,4089308,HUM
2013-03-28,68.63,69.445,68.05,69.11,2543702,HUM
2013-04-01,69.34,75.67,69.065,75.02,7836523,HUM
2013-04-02,82.47,82.47,78.66,79.11,12172303,HUM
2013-04-03,79.18,81.41,78.83,79.81,4236132,HUM
2013-04-04,79.79,81.28,79.02,79.6,3219541,HUM
2013-04-05,78.5,79.58,77.6,78.27,1868314,HUM
2013-04-08,78.35,78.35,77.04,77.67,2135330,HUM
2013-04-09,77.91,78.61,77.49,78.03,1967456,HUM
2013-04-10,78.49,79.35,78.41,78.83,2073109,HUM
2013-04-11,79.0,79.19,78.43,78.82,1798774,HUM
2013-04-12,78.55,78.74,77.25,77.56,2260730,HUM
2013-04-15,77.24,78.42,75.9,75.94,1913269,HUM
2013-04-16,76.44,77.34,75.58,76.25,1907902,HUM
2013-04-17,75.81,76.14,74.4,74.55,2890008,HUM
2013-04-18,72.88,72.88,70.58,72.21,4850048,HUM
2013-04-19,72.51,73.45,71.65,73.05,2336327,HUM
2013-04-22,72.99,73.36,72.12,72.32,1652918,HUM
2013-04-23,72.54,73.72,72.23,72.88,1934769,HUM
2013-04-24,73.4,73.71,71.95,72.1,2288854,HUM
2013-04-25,72.39,73.07,72.19,73.05,1882997,HUM
2013-04-26,72.86,74.0,72.86,73.49,1247343,HUM
2013-04-29,73.56,74.0,73.09,73.12,1261089,HUM
2013-04-30,73.15,74.15,72.13,74.11,2047452,HUM
2013-05-01,76.18,79.88,76.09,77.56,5256354,HUM
2013-05-02,77.62,77.94,74.92,75.31,2833212,HUM
2013-05-03,75.47,76.0,73.63,73.93,2341491,HUM
2013-05-06,75.9,77.12,75.45,75.49,2433204,HUM
2013-05-07,75.5,77.32,74.81,76.88,2558143,HUM
2013-05-08,76.79,78.815,76.69,78.73,3046312,HUM
2013-05-09,78.44,79.008,76.88,78.06,2639483,HUM
2013-05-10,78.12,80.27,77.98,80.09,3278678,HUM
2013-05-13,79.82,80.17,78.79,79.77,2483939,HUM
2013-05-14,79.63,80.21,79.13,79.49,1114626,HUM
2013-05-15,79.12,79.89,78.54,79.5,1409313,HUM
2013-05-16,79.18,80.0,78.85,79.35,1532765,HUM
2013-05-17,79.37,81.39,79.05,80.45,1619918,HUM
2013-05-20,80.34,80.34,79.46,79.62,867298,HUM
2013-05-21,79.52,80.05,78.8347,79.52,934568,HUM
2013-05-22,79.4,80.55,78.65,79.17,1229537,HUM
2013-05-23,78.49,80.012,77.98,79.84,1193072,HUM
2013-05-24,79.42,79.65,78.23,78.93,1091674,HUM
2013-05-28,79.39,80.98,79.34,80.55,1150259,HUM
2013-05-29,80.31,81.44,80.15,81.22,1239790,HUM
2013-05-30,81.25,83.4,80.72,83.03,1456925,HUM
2013-05-31,82.75,82.91,80.66,80.78,1778379,HUM
2013-06-03,81.17,81.17,79.33,80.63,1253512,HUM
2013-06-04,80.46,81.25,80.0,80.18,1211397,HUM
2013-06-05,80.0,80.37,78.55,79.2,1002292,HUM
2013-06-06,79.2,80.03,78.79,79.98,776283,HUM
2013-06-07,80.44,81.19,79.82,81.02,902021,HUM
2013-06-10,81.06,82.11,81.04,81.77,740338,HUM
2013-06-11,81.01,82.29,80.36,81.39,781633,HUM
2013-06-12,81.78,82.0,80.76,80.91,569420,HUM
2013-06-13,80.9,81.87,80.15,81.46,867157,HUM
2013-06-14,81.32,82.05,80.8,80.93,816855,HUM
2013-06-17,81.26,82.44,81.15,82.24,997866,HUM
2013-06-18,82.09,83.71,82.03,83.6,949821,HUM
2013-06-19,83.6,85.36,83.38,84.16,2217931,HUM
2013-06-20,83.51,84.79,83.15,83.63,1895229,HUM
