date,open,high,low,close,volume,Name
2013-02-08,199.97,202.09,199.68,201.68,2893254,IBM
2013-02-11,200.98,201.95,199.75,200.16,2944651,IBM
2013-02-12,200.01,200.735,199.02,200.04,2461779,IBM
2013-02-13,200.65,200.95,199.57,200.09,2169757,IBM
2013-02-14,199.73,200.32,199.26,199.65,3294126,IBM
2013-02-15,199.98,201.25,199.82,200.98,3627887,IBM
2013-02-19,200.6,201.89,200.22,200.32,2998317,IBM
2013-02-20,200.62,201.72,198.86,199.31,3715311,IBM
2013-02-21,198.63,199.07,198.11,198.33,3923051,IBM
2013-02-22,199.23,201.09,198.84,201.09,3107876,IBM
2013-02-25,201.67,202.49,197.51,197.51,3845276,IBM
2013-02-26,198.63,199.9,197.84,199.14,3391562,IBM
2013-02-27,198.89,202.75,198.6,202.33,4185545,IBM
2013-02-28,202.18,203.123,200.79,200.83,4689698,IBM
2013-03-01,200.65,202.94,199.36,202.91,3308544,IBM
2013-03-04,202.59,205.19,202.55,205.19,3693365,IBM
2013-03-05,205.86,207.7,205.69,206.53,3807706,IBM
2013-03-06,207.03,208.49,206.66,208.38,3594899,IBM
2013-03-07,208.29,209.6,208.24,209.42,3884317,IBM
2013-03-08,209.85,210.74,209.43,210.38,3700086,IBM
2013-03-11,210.04,210.1999,209.04,210.08,3048901,IBM
2013-03-12,209.4,210.73,209.09,210.55,3591261,IBM
2013-03-13,210.2001,212.36,209.77,212.06,3355969,IBM
2013-03-14,212.15,215.86,212.15,215.8,5505484,IBM
2013-03-15,215.38,215.9,213.41,214.92,7935024,IBM
2013-03-18,212.9,214.5,212.64,213.21,3006125,IBM
2013-03-19,214.13,215.12,211.829,213.44,3198577,IBM
2013-03-20,214.76,215.82,214.3,215.06,3019153,IBM
2013-03-21,212.96,213.0,210.11,212.26,5830566,IBM
2013-03-22,212.21,213.17,211.619,212.08,3015847,IBM
2013-03-25,212.54,212.81,210.05,210.74,3242463,IBM
2013-03-26,211.77,212.504,211.5,212.36,2300240,IBM
2013-03-27,210.96,212.16,210.1,210.89,3222381,IBM
2013-03-28,209.83,213.44,209.735,213.3,3752999,IBM
2013-04-01,212.8,213.5,211.25,212.38,2144926,IBM
2013-04-02,212.92,214.71,211.57,214.36,3116554,IBM
2013-04-03,214.32,214.89,212.6275,212.66,3128818,IBM
2013-04-04,212.77,212.93,210.04,211.31,3709490,IBM
2013-04-05,209.1,209.84,206.34,209.41,4147877,IBM
2013-04-08,209.07,209.32,207.33,209.32,2351166,IBM
2013-04-09,209.56,210.0,208.61,209.22,2577249,IBM
2013-04-10,211.86,212.51,210.47,212.0,3523612,IBM
2013-04-11,211.5,213.09,210.85,212.92,3655566,IBM
2013-04-12,210.79,211.49,209.78,211.38,3165397,IBM
2013-04-15,210.44,211.69,209.26,209.26,4217875,IBM
2013-04-16,210.84,212.0,209.2,212.0,2860054,IBM
2013-04-17,210.53,211.09,209.5,209.67,3269774,IBM
2013-04-18,210.11,210.25,206.15,207.15,6479291,IBM
2013-04-19,195.74,196.5,189.76,190.0,18846902,IBM
2013-04-22,191.15,191.38,187.68,187.83,9846017,IBM
2013-04-23,189.27,192.555,188.61,191.61,6296229,IBM
2013-04-24,192.16,192.5,191.09,191.71,3693898,IBM
2013-04-25,192.69,195.17,192.32,193.95,4651956,IBM
2013-04-26,194.16,194.71,193.25,194.31,3490234,IBM
2013-04-29,194.78,199.68,194.65,199.15,5933505,IBM
2013-04-30,199.13,202.59,197.35,202.54,7540460,IBM
2013-05-01,201.87,202.17,199.2,199.63,4899267,IBM
2013-05-02,200.12,202.43,199.75,202.39,3945439,IBM
2013-05-03,203.94,205.319,203.75,204.51,4492624,IBM
2013-05-06,203.79,203.99,201.52,202.78,4827041,IBM
2013-05-07,202.81,203.73,201.65,203.63,3429665,IBM
2013-05-08,202.94,204.85,202.51,204.82,3601645,IBM
2013-05-09,204.69,205.0,202.72,203.24,3542206,IBM
2013-05-10,203.37,204.53,202.82,204.47,3279558,IBM
2013-05-13,204.18,204.47,202.22,202.47,3648033,IBM
2013-05-14,202.09,203.67,202.08,203.21,3701203,IBM
2013-05-15,202.25,203.6799,202.04,203.32,4027870,IBM
2013-05-16,204.0,206.59,204.0,204.69,4506972,IBM
2013-05-17,205.25,209.5,204.99,208.44,5704295,IBM
2013-05-20,208.02,209.15,207.42,207.6,3614453,IBM
2013-05-21,207.24,209.48,207.0,208.65,2981691,IBM
2013-05-22,208.5,210.15,206.121,206.99,5187031,IBM
2013-05-23,205.48,208.61,205.13,206.16,5180340,IBM
2013-05-24,204.69,206.43,204.42,205.72,3295637,IBM
2013-05-28,207.44,208.59,207.16,207.78,4010644,IBM
2013-05-29,206.22,208.42,206.04,207.92,3439313,IBM
2013-05-30,206.97,210.99,206.97,209.36,4399697,IBM
2013-05-31,208.59,211.98,208.02,208.02,4950106,IBM
2013-06-03,208.25,210.05,207.33,208.95,3323648,IBM
2013-06-04,208.6,209.0,205.08,206.19,3598199,IBM
2013-06-05,205.16,206.29,202.4,202.74,4215365,IBM
2013-06-06,203.0,204.2,201.47,203.8,3679532,IBM
2013-06-07,204.85,206.35,204.11,206.35,2953340,IBM
2013-06-10,206.97,206.98,204.9,205.02,2652220,IBM
2013-06-11,203.17,205.95,202.51,203.98,2814520,IBM
2013-06-12,204.59,205.23,200.51,201.2,3409755,IBM
2013-06-13,201.01,204.4,200.34,203.77,2899698,IBM
2013-06-14,203.97,204.745,201.81,202.2,2804459,IBM
2013-06-17,203.44,205.1713,202.55,203.04,3220009,IBM
2013-06-18,203.02,206.09,202.87,204.87,3278051,IBM
2013-06-19,204.44,205.03,201.93,201.94,2846004,IBM
2013-06-20,200.67,201.7,197.28,197.35,4516229,IBM
2013-06-21,198.5,198.52,193.5401,195.46,8918718,IBM
2013-06-24,193.99,194.91,191.34,193.54,4356153,IBM
2013-06-25,195.31,195.59,193.15,194.98,3847821,IBM
2013-06-26,195.97,196.23,194.5,194.86,3319852,IBM
2013-06-27,196.05,196.9,195.29,195.65,3515357,IBM
2013-06-28,191.73,192.66,188.41,191.11,10056556,IBM
2013-07-01,192.15,193.8,191.12,191.28,4442222,IBM
2013-07-02,190.78,193.23,190.26,191.5,3657855,IBM
2013-07-03,190.65,194.22,190.51,193.25,1878313,IBM
2013-07-05,194.49,195.16,192.35,194.93,2405596,IBM
2013-07-08,195.6,195.78,194.61,194.98,2948458,IBM
2013-07-09,191.88,192.8,190.78,191.3,5204244,IBM
2013-07-10,191.51,193.43,191.2714,192.25,3936860,IBM
2013-07-11,193.78,194.11,192.61,192.8,4179023,IBM
2013-07-12,193.07,193.6999,191.5901,192.07,4495419,IBM
2013-07-15,192.42,194.89,191.68,194.0,5677988,IBM
2013-07-16,194.04,194.58,192.685,193.85,3746445,IBM
2013-07-17,194.72,194.89,193.03,194.55,6834572,IBM
2013-07-18,198.27,200.94,195.99,197.99,8393610,IBM
2013-07-19,197.91,197.99,193.24,193.54,6997555,IBM
2013-07-22,193.4,195.79,193.2804,194.09,3397910,IBM
2013-07-23,194.21,196.43,194.1,194.98,2864014,IBM
2013-07-24,195.95,197.3,195.861,196.61,2957839,IBM
2013-07-25,196.3,197.83,195.66,197.22,3014255,IBM
2013-07-26,196.59,197.37,195.0,197.35,2485006,IBM
2013-07-29,196.83,197.19,195.53,196.21,2113654,IBM
2013-07-30,196.99,197.83,195.81,196.01,2663216,IBM
2013-07-31,194.49,196.9099,194.49,195.04,3809982,IBM
2013-08-01,196.65,197.17,195.41,195.81,2877770,IBM
2013-08-02,195.5,195.5,193.2215,195.16,3861008,IBM
2013-08-05,195.16,195.88,194.35,195.5,2490863,IBM
2013-08-06,192.26,192.51,190.27,190.99,5938457,IBM
2013-08-07,189.6,189.93,188.05,188.56,3901716,IBM
2013-08-08,189.45,189.87,186.79,187.93,4547555,IBM
2013-08-09,188.0,189.16,187.0,187.82,3249553,IBM
2013-08-12,186.97,189.556,186.89,189.09,3026539,IBM
2013-08-13,189.54,189.99,187.56,188.42,3542932,IBM
2013-08-14,188.58,188.926,187.3,187.53,2898586,IBM
2013-08-15,186.23,187.0,185.45,185.79,3692360,IBM
2013-08-16,185.54,186.46,185.34,185.34,3426629,IBM
2013-08-19,185.3,186.5,183.9787,184.23,3248927,IBM
2013-08-20,184.37,185.63,183.1685,184.56,3121998,IBM
2013-08-21,184.67,186.57,184.28,184.86,3551007,IBM
2013-08-22,185.65,186.25,184.25,185.19,2354336,IBM
2013-08-23,185.34,185.74,184.57,185.42,2295092,IBM
2013-08-26,185.27,187.0,184.68,184.74,2174062,IBM
2013-08-27,183.63,184.5,182.5701,182.74,3190330,IBM
2013-08-28,182.68,183.47,181.1,182.16,3979196,IBM
2013-08-29,181.96,183.7,181.44,182.64,2980880,IBM
2013-08-30,182.75,182.99,181.51,182.27,2731041,IBM
2013-09-03,183.63,184.32,182.51,183.96,3487169,IBM
2013-09-04,183.58,184.19,182.31,183.13,2597909,IBM
2013-09-05,183.35,185.0,183.07,184.15,2869633,IBM
2013-09-06,184.65,184.99,182.65,183.03,2903517,IBM
2013-09-09,183.68,185.49,183.31,184.98,3017239,IBM
2013-09-10,187.2,187.65,186.37,186.6,3149730,IBM
2013-09-11,186.83,190.87,186.82,190.7,4963022,IBM
2013-09-12,190.96,191.32,189.85,190.73,3354845,IBM
2013-09-13,191.21,193.1,191.0,192.17,3710354,IBM
2013-09-16,193.7,194.81,192.61,193.15,3906986,IBM
2013-09-17,193.42,194.15,191.83,192.16,2931628,IBM
2013-09-18,192.6,194.89,192.0,194.42,3841826,IBM
2013-09-19,194.18,194.89,193.22,193.39,3178067,IBM
2013-09-20,193.96,194.4299,190.02,190.02,8525983,IBM
2013-09-23,190.06,192.41,189.3301,190.99,3340891,IBM
2013-09-24,190.93,191.56,189.66,189.97,3014626,IBM
2013-09-25,190.14,190.62,188.5,189.47,2654533,IBM
2013-09-26,190.1,191.76,189.455,190.22,2093584,IBM
2013-09-27,188.92,188.94,186.45,186.92,3905585,IBM
2013-09-30,185.56,186.74,184.34,185.18,3978234,IBM
2013-10-01,185.34,186.65,184.65,186.38,2681173,IBM
2013-10-02,185.54,186.3099,184.41,184.96,3617059,IBM
2013-10-03,184.7,184.96,183.0,183.86,3211758,IBM
2013-10-04,184.17,185.13,183.58,184.1,2863648,IBM
2013-10-07,181.85,183.31,181.85,182.01,3967992,IBM
2013-10-08,181.89,181.99,178.71,178.72,5597163,IBM
2013-10-09,179.37,181.67,179.1,181.32,4423694,IBM
2013-10-10,183.17,184.77,182.358,184.77,3658906,IBM
2013-10-11,185.25,186.23,184.12,186.16,3232628,IBM
2013-10-14,185.41,186.99,184.42,186.97,2663107,IBM
2013-10-15,185.74,185.94,184.22,184.66,3365105,IBM
2013-10-16,185.42,186.73,184.994,186.73,6633803,IBM
2013-10-17,173.84,177.0,172.57,174.83,22359380,IBM
2013-10-18,174.8,175.0,173.25,173.78,10548292,IBM
2013-10-21,174.42,174.75,172.6301,172.86,7079706,IBM
2013-10-22,173.35,175.57,172.9512,174.97,6977259,IBM
2013-10-23,175.09,175.99,174.4,175.77,5415909,IBM
2013-10-24,176.43,177.89,176.25,177.8,5533910,IBM
2013-10-25,178.43,179.1,176.26,176.85,4842768,IBM
2013-10-28,177.04,177.89,176.2,177.35,3700307,IBM
2013-10-29,177.62,182.32,177.5,182.12,8905930,IBM
2013-10-30,181.69,182.18,179.86,180.15,5274234,IBM
2013-10-31,179.65,181.67,179.04,179.21,4318185,IBM
2013-11-01,179.81,180.339,178.88,179.23,3644528,IBM
2013-11-04,179.9,180.8,179.34,180.27,3483345,IBM
2013-11-05,179.54,179.8,177.71,177.85,6103186,IBM
2013-11-06,177.91,179.75,177.78,179.19,4560079,IBM
2013-11-07,179.6,181.39,179.6,180.0,5219526,IBM
2013-11-08,178.83,180.08,177.35,179.99,6275035,IBM
2013-11-11,180.19,183.39,180.04,182.88,5222299,IBM
2013-11-12,182.53,184.0487,182.26,183.07,4258523,IBM
2013-11-13,182.27,183.55,181.59,183.55,4707026,IBM
2013-11-14,180.48,183.2,179.66,182.21,6321524,IBM
2013-11-15,182.38,183.28,181.16,183.19,5179511,IBM
2013-11-18,183.52,184.99,183.27,184.47,5344864,IBM
2013-11-19,184.63,186.2,184.15,185.25,4577037,IBM
2013-11-20,185.22,186.24,184.645,185.19,3646117,IBM
2013-11-21,185.54,185.75,183.411,184.13,4459451,IBM
2013-11-22,183.5001,184.99,179.92,181.3,7610518,IBM
2013-11-25,180.25,180.75,177.82,178.94,7162374,IBM
2013-11-26,178.67,178.94,177.31,177.31,5756174,IBM
2013-11-27,177.83,180.18,177.82,178.97,4596474,IBM
2013-11-29,179.21,180.76,179.0,179.68,2870500,IBM
2013-12-02,179.46,179.59,177.12,177.48,4561577,IBM
2013-12-03,177.0,178.23,175.64,176.08,5864045,IBM
2013-12-04,175.37,177.5,175.16,175.74,5267364,IBM
2013-12-05,176.15,176.86,175.28,176.08,4385041,IBM
2013-12-06,176.7,178.0,176.01,177.67,4741119,IBM
2013-12-09,177.99,178.152,176.83,177.46,3796620,IBM
2013-12-10,176.9,177.67,176.06,177.12,4128386,IBM
2013-12-11,177.0,177.76,175.1,175.2,4090438,IBM
2013-12-12,175.06,175.8,173.3,173.37,5671649,IBM
2013-12-13,173.52,174.379,172.73,172.8,4184836,IBM
2013-12-16,173.22,178.35,172.73,177.85,7521001,IBM
2013-12-17,177.36,177.49,175.12,175.76,5476405,IBM
2013-12-18,176.45,178.74,174.851,178.7,5698437,IBM
2013-12-19,177.88,180.54,177.88,180.22,5929584,IBM
2013-12-20,180.12,182.0,180.02,180.02,7655998,IBM
2013-12-23,181.05,182.93,180.61,182.23,4082821,IBM
2013-12-24,181.955,183.5,181.91,183.22,1613614,IBM
2013-12-26,183.56,185.56,183.51,185.35,3325841,IBM
2013-12-27,185.84,186.5,184.56,185.08,3382117,IBM
2013-12-30,185.32,186.7,184.67,186.41,3018594,IBM
2013-12-31,186.49,187.79,186.3,187.57,3620413,IBM
2014-01-02,187.21,187.4,185.2,185.53,4546809,IBM
