date,open,high,low,close,volume,Name
2013-02-08,73.2,73.9,72.43,73.6,623786,IFF
2013-02-11,73.65,74.04,72.84,73.33,289356,IFF
2013-02-12,73.51,73.785,73.2,73.44,240881,IFF
2013-02-13,73.9,74.44,73.58,74.17,291950,IFF
2013-02-14,73.86,73.9904,73.31,73.8,321495,IFF
2013-02-15,73.78,74.25,73.54,73.88,329228,IFF
2013-02-19,73.83,74.159,73.49,73.85,345634,IFF
2013-02-20,73.69,73.69,72.43,72.44,447121,IFF
2013-02-21,72.47,72.55,71.43,71.91,395169,IFF
2013-02-22,72.1,72.51,71.63,72.46,263609,IFF
2013-02-25,72.86,72.86,70.73,70.73,324355,IFF
2013-02-26,71.07,71.75,70.89,71.63,279583,IFF
2013-02-27,71.65,73.03,71.64,72.8,309552,IFF
2013-02-28,72.89,73.34,72.55,72.98,310305,IFF
2013-03-01,72.75,73.38,72.04,73.3,440863,IFF
2013-03-04,73.33,73.55,72.7001,73.34,331349,IFF
2013-03-05,73.63,73.97,73.19,73.42,357003,IFF
2013-03-06,73.59,73.9879,73.57,73.79,234166,IFF
2013-03-07,73.79,73.99,73.39,73.67,182711,IFF
2013-03-08,73.86,74.17,73.63,73.99,293656,IFF
2013-03-11,73.8,75.19,73.8,75.11,401965,IFF
2013-03-12,75.1,75.1,74.52,74.79,296239,IFF
2013-03-13,74.84,75.54,74.5,75.41,304960,IFF
2013-03-14,75.49,75.86,75.15,75.85,309784,IFF
2013-03-15,75.48,76.29,75.34,76.14,523678,IFF
2013-03-18,75.48,75.85,75.25,75.65,234841,IFF
2013-03-19,75.48,75.79,74.65,75.45,397643,IFF
2013-03-20,75.85,76.88,75.65,76.86,297728,IFF
2013-03-21,76.93,77.4,75.56,75.84,402336,IFF
2013-03-22,76.27,76.37,75.045,75.44,420398,IFF
2013-03-25,75.47,76.1,74.91,75.27,340686,IFF
2013-03-26,75.59,75.94,75.09,75.74,193012,IFF
2013-03-27,75.34,75.44,74.8,75.4,224322,IFF
2013-03-28,75.45,76.69,75.27,76.67,470121,IFF
2013-04-01,76.35,76.69,75.33,75.48,240287,IFF
2013-04-02,75.51,75.92,75.01,75.3,258577,IFF
2013-04-03,75.19,75.51,73.9,74.16,299750,IFF
2013-04-04,74.35,74.77,73.97,74.61,341136,IFF
2013-04-05,73.79,74.07,73.42,73.77,310643,IFF
2013-04-08,73.71,73.9699,73.09,73.95,252894,IFF
2013-04-09,74.08,74.2,73.25,73.89,293208,IFF
2013-04-10,74.14,75.36,73.84,75.29,335055,IFF
2013-04-11,75.29,76.3,74.96,76.06,272099,IFF
2013-04-12,75.74,76.28,75.01,75.48,254296,IFF
2013-04-15,75.07,75.07,73.51,73.52,338683,IFF
2013-04-16,74.0,75.19,73.87,75.15,286169,IFF
2013-04-17,74.66,74.67,73.74,74.45,231609,IFF
2013-04-18,74.57,74.78,73.57,73.85,155919,IFF
2013-04-19,74.25,75.19,73.95,75.06,397249,IFF
2013-04-22,75.18,76.32,74.116,76.1,293495,IFF
2013-04-23,76.38,77.2,76.22,77.09,319313,IFF
2013-04-24,77.26,77.3,76.69,76.83,274773,IFF
2013-04-25,77.22,77.32,76.56,76.86,229820,IFF
2013-04-26,76.88,76.88,75.8,75.89,217701,IFF
2013-04-29,76.12,76.77,75.88,76.49,215893,IFF
2013-04-30,76.45,77.27,75.94,77.19,428436,IFF
2013-05-01,77.0,77.0,76.19,76.21,240895,IFF
2013-05-02,76.54,76.9,76.04,76.81,209239,IFF
2013-05-03,77.34,78.03,77.25,77.94,201533,IFF
2013-05-06,77.76,78.31,77.55,78.19,249614,IFF
2013-05-07,77.49,79.67,74.88,79.46,276046,IFF
2013-05-08,79.45,79.73,78.57,79.72,344930,IFF
2013-05-09,79.51,79.77,79.37,79.64,275225,IFF
2013-05-10,79.7,80.22,79.5,80.17,263762,IFF
2013-05-13,80.27,80.36,79.8,80.07,213709,IFF
2013-05-14,80.12,81.67,80.12,81.44,397778,IFF
2013-05-15,81.09,81.98,80.77,81.87,465807,IFF
2013-05-16,81.66,81.84,81.1201,81.19,209606,IFF
2013-05-17,81.27,82.47,81.27,82.42,200992,IFF
2013-05-20,82.46,82.7,82.05,82.13,200070,IFF
2013-05-21,82.02,82.8,81.84,82.32,187479,IFF
2013-05-22,82.26,82.66,81.13,81.44,395985,IFF
2013-05-23,80.66,82.19,80.39,81.73,261716,IFF
2013-05-24,81.36,82.2499,80.98,81.98,298098,IFF
2013-05-28,82.73,82.75,82.02,82.37,360799,IFF
2013-05-29,81.86,81.98,81.11,81.61,203705,IFF
2013-05-30,81.8,81.947,81.095,81.43,234777,IFF
2013-05-31,81.145,81.35,80.28,80.29,347254,IFF
2013-06-03,80.59,80.89,79.98,80.29,802418,IFF
2013-06-04,80.29,80.71,79.6,80.22,412482,IFF
2013-06-05,79.88,80.28,78.32,78.39,382636,IFF
2013-06-06,78.44,78.74,77.9,78.65,345216,IFF
2013-06-07,78.98,79.96,78.84,79.68,308868,IFF
2013-06-10,79.88,79.91,79.3,79.74,199507,IFF
2013-06-11,79.28,79.99,78.82,78.93,349388,IFF
2013-06-12,79.55,79.66,78.08,78.22,258681,IFF
2013-06-13,78.21,79.17,77.62,79.08,282637,IFF
2013-06-14,78.44,79.23,78.38,78.47,183684,IFF
2013-06-17,79.09,79.76,78.69,79.51,447476,IFF
2013-06-18,79.88,80.184,79.71,79.95,225331,IFF
2013-06-19,80.05,80.07,78.94,78.94,370265,IFF
2013-06-20,78.09,78.19,76.3,76.47,363093,IFF
2013-06-21,77.16,77.31,76.29,76.6,528931,IFF
2013-06-24,75.5,75.7,73.02,74.93,533560,IFF
2013-06-25,75.74,75.79,74.6901,75.53,265942,IFF
2013-06-26,76.12,76.38,75.29,75.76,247104,IFF
2013-06-27,76.49,76.53,75.85,75.9,355398,IFF
2013-06-28,75.79,76.29,75.16,75.16,480955,IFF
2013-07-01,76.17,78.19,75.86,77.91,454647,IFF
2013-07-02,77.74,78.01,77.03,77.72,388374,IFF
2013-07-03,77.49,77.91,77.21,77.32,237173,IFF
2013-07-05,77.77,78.95,77.77,78.87,257404,IFF
2013-07-08,79.29,79.505,78.81,79.18,292153,IFF
2013-07-09,79.72,79.905,79.249,79.58,308863,IFF
2013-07-10,79.65,80.13,79.35,79.99,400770,IFF
2013-07-11,81.01,81.45,80.17,80.4,278377,IFF
2013-07-12,80.25,80.49,79.85,80.16,329505,IFF
2013-07-15,80.15,80.41,79.79,79.95,197676,IFF
2013-07-16,80.14,80.14,79.15,79.57,259109,IFF
2013-07-17,80.0,80.25,79.18,79.3,221491,IFF
2013-07-18,79.31,79.855,79.18,79.52,248866,IFF
2013-07-19,79.5,79.91,79.0,79.9,297597,IFF
2013-07-22,80.01,80.29,79.76,79.96,153489,IFF
2013-07-23,80.13,80.19,78.7,78.97,380128,IFF
2013-07-24,79.14,79.2,78.51,78.75,337406,IFF
2013-07-25,78.64,80.26,78.64,79.7,376149,IFF
2013-07-26,79.21,79.49,78.738,79.34,215832,IFF
2013-07-29,79.15,80.11,79.14,79.93,264677,IFF
2013-07-30,79.88,80.5,79.66,80.29,390742,IFF
2013-07-31,80.65,81.42,80.24,80.68,312528,IFF
2013-08-01,80.98,82.89,80.98,81.92,336157,IFF
2013-08-02,81.74,82.13,81.24,81.68,332581,IFF
2013-08-05,81.48,82.8,81.33,82.77,328088,IFF
2013-08-06,84.99,84.99,82.29,83.23,386542,IFF
2013-08-07,83.2,83.67,82.98,83.22,374296,IFF
2013-08-08,83.71,84.535,83.68,84.12,378951,IFF
2013-08-09,84.18,84.59,83.28,83.56,267377,IFF
2013-08-12,83.29,83.83,83.11,83.58,299830,IFF
2013-08-13,83.64,83.76,83.02,83.6,311405,IFF
2013-08-14,83.52,83.93,82.835,83.04,271854,IFF
2013-08-15,82.21,82.36,81.39,82.26,277870,IFF
2013-08-16,82.0,82.53,81.65,82.2,304898,IFF
2013-08-19,81.96,82.72,81.28,81.39,157366,IFF
2013-08-20,81.39,82.43,81.33,82.1,237657,IFF
2013-08-21,81.96,82.28,81.04,81.15,179085,IFF
2013-08-22,81.25,81.95,81.14,81.74,163636,IFF
2013-08-23,81.82,82.31,81.0,81.52,239543,IFF
2013-08-26,81.62,82.3,81.45,81.56,143888,IFF
2013-08-27,80.91,81.3,79.87,79.9,138388,IFF
2013-08-28,80.0,80.08,79.52,79.62,198889,IFF
2013-08-29,79.61,79.98,79.3,79.47,258531,IFF
2013-08-30,79.66,79.95,78.78,79.01,299922,IFF
2013-09-03,80.02,81.02,78.93,79.39,250388,IFF
2013-09-04,79.32,80.45,79.29,80.34,176489,IFF
2013-09-05,80.26,80.89,79.49,79.8,339967,IFF
2013-09-06,79.99,80.42,78.75,78.81,259761,IFF
2013-09-09,79.21,80.26,79.0,79.74,216764,IFF
2013-09-10,80.1,80.92,80.04,80.28,251606,IFF
2013-09-11,80.27,80.8,79.8,80.77,285475,IFF
2013-09-12,80.87,81.795,80.63,80.87,397798,IFF
2013-09-13,80.68,82.24,80.68,81.99,286364,IFF
2013-09-16,83.37,83.39,82.54,82.91,204638,IFF
2013-09-17,82.91,82.93,82.37,82.65,185931,IFF
2013-09-18,82.79,84.21,82.3,84.19,290315,IFF
2013-09-19,84.29,84.87,83.58,83.91,213283,IFF
2013-09-20,83.69,84.115,83.1,83.13,292085,IFF
2013-09-23,83.22,83.31,82.51,82.51,154470,IFF
2013-09-24,82.37,83.58,81.9,82.64,259350,IFF
2013-09-25,82.66,83.05,81.68,82.08,255844,IFF
2013-09-26,82.57,83.06,81.5,81.95,293915,IFF
2013-09-27,81.74,82.13,81.55,81.6,257279,IFF
2013-09-30,81.18,82.37,81.13,82.3,248677,IFF
2013-10-01,82.32,83.16,81.97,82.62,276528,IFF
2013-10-02,82.18,82.41,81.55,82.12,245524,IFF
2013-10-03,81.76,82.065,80.89,81.77,352759,IFF
2013-10-04,82.09,83.33,81.761,82.97,254440,IFF
2013-10-07,82.32,82.72,81.37,81.41,279521,IFF
2013-10-08,81.24,81.43,79.89,79.97,265526,IFF
2013-10-09,80.32,80.77,79.59,80.16,182632,IFF
2013-10-10,81.22,81.57,80.47,81.15,227337,IFF
2013-10-11,81.15,81.67,80.77,81.08,275339,IFF
2013-10-14,80.75,81.54,80.46,81.32,172179,IFF
2013-10-15,81.28,81.9,80.04,80.22,288746,IFF
2013-10-16,80.88,81.62,80.6,81.11,236219,IFF
2013-10-17,80.93,82.97,80.85,82.82,289185,IFF
2013-10-18,83.21,83.305,82.17,82.34,281743,IFF
2013-10-21,82.22,82.7,82.045,82.21,172028,IFF
2013-10-22,82.5,82.9,82.42,82.53,358842,IFF
2013-10-23,82.28,82.65,82.12,82.29,173491,IFF
2013-10-24,82.63,83.21,82.16,82.51,167590,IFF
2013-10-25,82.74,82.74,81.57,81.82,332285,IFF
2013-10-28,82.0,82.83,81.71,82.72,286113,IFF
2013-10-29,82.8,83.63,82.75,83.5,314063,IFF
2013-10-30,83.45,84.08,82.87,83.03,221831,IFF
2013-10-31,82.85,83.32,82.21,82.65,416540,IFF
2013-11-01,83.1,83.18,82.18,82.87,363465,IFF
2013-11-04,82.93,83.64,82.79,83.52,356431,IFF
2013-11-05,82.89,85.05,82.07,84.22,583563,IFF
2013-11-06,84.69,86.72,84.3,86.7,542363,IFF
