date,open,high,low,close,volume,Name
2013-02-08,51.55,51.62,50.65,50.88,671538,ILMN
2013-02-11,50.79,51.06,50.08,50.25,1212811,ILMN
2013-02-12,50.29,50.58,49.69,50.27,1002173,ILMN
2013-02-13,50.47,50.8,49.7,49.76,1194372,ILMN
2013-02-14,49.76,49.8,48.39,48.79,1748448,ILMN
2013-02-15,48.77,48.85,48.33,48.73,852305,ILMN
2013-02-19,48.71,50.2,48.64,49.02,1242496,ILMN
2013-02-20,48.98,49.74,48.35,48.81,1144658,ILMN
2013-02-21,48.45,49.27,48.0,48.36,1125648,ILMN
2013-02-22,48.4,49.12,48.0,49.03,895724,ILMN
2013-02-25,49.03,49.2699,48.58,48.76,1154227,ILMN
2013-02-26,48.66,49.2,48.34,48.79,1076126,ILMN
2013-02-27,48.81,49.2,48.62,49.02,860063,ILMN
2013-02-28,49.18,50.47,48.91,50.13,2237150,ILMN
2013-03-01,50.65,52.5,50.46,52.22,2465443,ILMN
2013-03-04,51.85,52.67,51.69,52.65,1855018,ILMN
2013-03-05,52.6,53.35,52.41,53.0,1269403,ILMN
2013-03-06,52.88,53.86,52.68,53.24,1114989,ILMN
2013-03-07,53.39,53.75,53.05,53.33,646239,ILMN
2013-03-08,53.5,53.87,53.17,53.77,550445,ILMN
2013-03-11,53.24,53.89,53.24,53.79,769589,ILMN
2013-03-12,53.39,53.59,52.799,53.27,847884,ILMN
2013-03-13,53.35,53.69,52.47,52.57,943916,ILMN
2013-03-14,52.7,52.84,52.47,52.74,541205,ILMN
2013-03-15,52.7,52.79,52.28,52.28,851476,ILMN
2013-03-18,52.1,52.26,51.34,52.18,842886,ILMN
2013-03-19,52.05,52.16,50.3,51.73,1525727,ILMN
2013-03-20,52.1,53.09,51.745,52.89,970066,ILMN
2013-03-21,52.61,53.42,52.5,53.13,726576,ILMN
2013-03-22,53.35,53.45,52.81,52.98,422055,ILMN
2013-03-25,52.88,53.4,52.79,52.88,460594,ILMN
2013-03-26,52.94,53.94,52.75,53.88,628945,ILMN
2013-03-27,53.51,54.06,52.99,53.98,732991,ILMN
2013-03-28,53.86,54.32,53.7,53.98,1716522,ILMN
2013-04-01,54.18,54.36,53.77,54.24,782497,ILMN
2013-04-02,54.2,54.87,53.84,54.53,1073714,ILMN
2013-04-03,54.35,54.84,53.87,54.28,1447492,ILMN
2013-04-04,54.67,54.94,54.38,54.93,690516,ILMN
2013-04-05,54.16,54.59,53.93,54.43,501848,ILMN
2013-04-08,54.32,55.24,54.17,55.23,898019,ILMN
2013-04-09,55.14,55.945,54.64,55.53,1015548,ILMN
2013-04-10,55.67,57.29,55.63,57.27,1419243,ILMN
2013-04-11,56.92,58.23,56.81,57.95,1305426,ILMN
2013-04-12,57.37,58.0,57.34,57.84,560286,ILMN
2013-04-15,58.04,58.65,55.25,55.56,1397195,ILMN
2013-04-16,55.99,57.8994,55.66,57.86,1131363,ILMN
2013-04-17,57.72,57.86,57.13,57.67,841875,ILMN
2013-04-18,58.0,58.0,56.19,56.33,954946,ILMN
2013-04-19,56.75,57.0,56.0,56.09,1178267,ILMN
2013-04-22,55.93,56.23,54.84,55.12,1968191,ILMN
2013-04-23,60.0,63.82,59.99,62.44,6998809,ILMN
2013-04-24,61.99,63.07,61.7925,62.66,2192140,ILMN
2013-04-25,62.38,63.0,62.31,62.54,1846923,ILMN
2013-04-26,62.06,62.8,61.95,62.61,1067397,ILMN
2013-04-29,62.66,64.47,62.4,64.39,1146215,ILMN
2013-04-30,64.06,65.0,63.262,64.69,1352638,ILMN
2013-05-01,64.63,64.96,63.78,63.82,1018450,ILMN
2013-05-02,63.81,65.16,63.81,64.95,757421,ILMN
2013-05-03,65.5,65.99,64.549,64.91,1120301,ILMN
2013-05-06,64.5,67.0,64.5,66.23,924131,ILMN
2013-05-07,65.66,66.72,65.62,66.29,892729,ILMN
2013-05-08,65.46,67.28,65.46,67.07,1242654,ILMN
2013-05-09,67.0,67.81,66.34,67.16,1456890,ILMN
2013-05-10,67.34,77.11,66.68,69.98,7192553,ILMN
2013-05-13,69.68,70.25,68.22,68.8,2079862,ILMN
2013-05-14,69.19,71.53,68.69,70.74,1796969,ILMN
2013-05-15,70.72,71.6,70.09,70.37,1059991,ILMN
2013-05-16,70.5,71.0,69.16,69.65,1195516,ILMN
2013-05-17,70.13,72.42,69.65,72.0,1571817,ILMN
2013-05-20,71.92,73.88,71.7601,73.08,1937421,ILMN
2013-05-21,73.34,74.509,72.58,72.58,2144139,ILMN
2013-05-22,72.38,72.68,69.821,70.69,2142042,ILMN
2013-05-23,69.48,71.2,67.9,71.08,1576754,ILMN
2013-05-24,70.39,70.779,69.81,70.31,1111968,ILMN
2013-05-28,71.86,72.799,70.4,71.62,890800,ILMN
2013-05-29,71.2,71.57,70.33,71.09,614991,ILMN
2013-05-30,70.8,71.8,70.61,71.49,516046,ILMN
2013-05-31,71.14,72.78,70.23,70.32,1271632,ILMN
2013-06-03,70.94,71.43,69.26,70.88,669554,ILMN
2013-06-04,70.77,71.6,69.2144,69.89,808410,ILMN
2013-06-05,70.165,71.42,68.78,68.89,1382331,ILMN
2013-06-06,69.1,69.35,67.697,69.23,1212335,ILMN
2013-06-07,69.56,70.41,69.21,69.99,749516,ILMN
2013-06-10,69.52,70.43,68.1,69.73,1768348,ILMN
2013-06-11,69.51,69.64,68.25,68.5,779447,ILMN
2013-06-12,69.04,69.08,66.86,67.47,842075,ILMN
2013-06-13,66.55,68.42,66.11,67.89,1357841,ILMN
2013-06-14,67.93,68.41,67.501,67.99,765579,ILMN
2013-06-17,68.56,71.27,68.56,70.62,1130686,ILMN
2013-06-18,70.82,72.04,70.56,71.69,815599,ILMN
2013-06-19,71.69,72.35,70.27,70.4,660244,ILMN
2013-06-20,69.68,70.07,68.8401,69.26,1078029,ILMN
2013-06-21,69.51,70.82,69.47,69.93,1602337,ILMN
2013-06-24,69.07,72.65,68.84,72.16,1374872,ILMN
2013-06-25,71.98,74.42,71.94,73.66,1499312,ILMN
2013-06-26,74.75,76.08,74.441,74.69,2024480,ILMN
2013-06-27,75.09,75.86,74.72,74.95,1137442,ILMN
2013-06-28,74.99,76.0,74.71,74.84,1452242,ILMN
2013-07-01,75.21,77.14,74.65,76.27,1183676,ILMN
2013-07-02,75.83,76.2525,72.68,73.44,2032013,ILMN
2013-07-03,73.31,74.19,72.7,73.36,1031342,ILMN
2013-07-05,73.87,75.28,73.87,75.28,658897,ILMN
2013-07-08,75.78,75.85,73.7,74.33,943287,ILMN
2013-07-09,74.19,74.59,72.9,74.04,1077288,ILMN
2013-07-10,74.05,74.78,73.85,74.62,828285,ILMN
2013-07-11,75.0,76.05,74.0,76.0,1030251,ILMN
2013-07-12,76.36,78.2399,72.13,74.9,2287751,ILMN
