date,open,high,low,close,volume,Name
2013-05-09,43.76,44.33,42.0,42.11,19152651,IQV
2013-05-10,42.26,42.97,41.78,42.39,2969690,IQV
2013-05-13,42.3,43.37,42.3,43.32,1001832,IQV
2013-05-14,44.24,44.749,43.9,44.43,2044841,IQV
2013-05-15,45.2,45.74,44.85,45.5,2380372,IQV
2013-05-16,46.28,46.5,45.6001,45.85,1244601,IQV
2013-05-17,46.13,46.21,45.35,45.52,920349,IQV
2013-05-20,45.45,45.7299,45.26,45.38,535723,IQV
2013-05-21,45.0,45.3,44.41,45.05,668815,IQV
2013-05-22,45.14,45.38,44.11,44.65,913169,IQV
2013-05-23,44.03,45.15,44.01,45.0,881515,IQV
2013-05-24,44.97,45.1,44.835,45.03,387111,IQV
2013-05-28,45.73,45.81,44.05,45.43,719405,IQV
2013-05-29,45.43,45.65,44.13,44.47,311096,IQV
2013-05-30,44.5,44.5,44.01,44.25,298595,IQV
2013-05-31,44.12,44.45,44.04,44.04,154903,IQV
2013-06-03,44.02,44.58,43.8,44.58,393978,IQV
2013-06-04,44.48,44.7,43.06,43.19,576710,IQV
2013-06-05,43.0,43.19,42.71,42.85,967603,IQV
2013-06-06,42.71,43.26,42.68,43.23,531075,IQV
2013-06-07,43.41,43.7602,42.72,42.97,471574,IQV
2013-06-10,43.03,43.64,42.96,43.64,808336,IQV
2013-06-11,43.21,44.9,43.03,43.95,329868,IQV
2013-06-12,43.75,44.045,42.89,43.0,531418,IQV
2013-06-13,42.85,43.09,42.53,42.9,500038,IQV
2013-06-14,43.0,43.2,42.79,43.09,265257,IQV
2013-06-17,43.3,43.62,42.55,43.53,472046,IQV
2013-06-18,44.0,44.25,43.65,43.89,534571,IQV
2013-06-19,43.66,44.19,43.01,43.79,343008,IQV
2013-06-20,43.31,43.73,42.5,43.34,322710,IQV
2013-06-21,43.41,44.28,42.59,44.19,655712,IQV
2013-06-24,43.57,43.85,42.315,43.32,347895,IQV
2013-06-25,43.54,43.74,42.64,43.0,214614,IQV
2013-06-26,43.24,43.292,42.02,42.02,751943,IQV
2013-06-27,42.17,42.71,41.5,42.33,675791,IQV
2013-06-28,42.29,42.96,42.26,42.56,1403773,IQV
2013-07-01,42.56,43.26,42.28,42.95,354922,IQV
2013-07-02,43.01,43.5,42.5,43.06,256025,IQV
2013-07-03,42.99,43.83,42.25,43.62,493813,IQV
2013-07-05,43.98,44.0,42.95,43.24,197467,IQV
2013-07-08,43.06,44.25,42.906,43.93,233674,IQV
2013-07-09,44.08,44.32,43.35,43.69,114964,IQV
2013-07-10,43.9,44.16,43.28,43.61,131291,IQV
2013-07-11,43.71,43.84,43.04,43.27,337371,IQV
2013-07-12,43.19,43.56,43.01,43.5,211477,IQV
2013-07-15,43.6,43.85,43.2,43.65,215391,IQV
2013-07-16,43.65,43.9,42.82,43.74,381891,IQV
2013-07-17,43.66,44.34,43.015,43.83,540274,IQV
