date,open,high,low,close,volume,Name
2013-02-08,190.6731,193.2165,190.1831,192.9165,509604,ISRG
2013-02-11,191.9256,192.6465,189.4665,190.5065,770940,ISRG
2013-02-12,190.8815,191.2378,189.5098,190.4618,423156,ISRG
2013-02-13,190.2165,192.4165,190.1231,191.2331,337554,ISRG
2013-02-14,189.7398,191.1965,189.0231,190.4198,582456,ISRG
2013-02-15,190.0031,190.6265,189.3098,189.7365,734034,ISRG
2013-02-19,189.0498,194.3331,188.8431,194.0898,886764,ISRG
2013-02-20,192.0031,192.5631,184.1665,185.6098,2199807,ISRG
2013-02-21,183.7798,187.8965,182.2536,187.0831,1626957,ISRG
2013-02-22,191.2998,193.1431,189.9998,191.3498,881886,ISRG
2013-02-25,192.1598,192.9865,188.7798,188.7798,659652,ISRG
2013-02-26,189.0698,191.0598,187.8831,189.5865,606012,ISRG
2013-02-27,189.2598,192.9265,189.2598,191.1731,505842,ISRG
2013-02-28,191.1465,192.2865,164.1165,169.9632,2746851,ISRG
2013-03-01,184.3331,185.9998,182.1865,184.4665,3416436,ISRG
2013-03-04,183.6731,184.2865,176.7498,180.4398,1890132,ISRG
2013-03-05,177.7565,178.5032,171.3332,175.2398,3249798,ISRG
2013-03-06,175.4998,178.4682,172.3632,173.2598,1730286,ISRG
2013-03-07,173.2732,174.3215,168.5532,171.0592,2238657,ISRG
2013-03-08,171.4065,172.9792,169.1198,171.5432,1101636,ISRG
2013-03-11,170.5932,174.5832,170.5932,172.2532,753900,ISRG
2013-03-12,172.1032,172.7798,169.0465,170.9732,1072647,ISRG
2013-03-13,170.7465,171.4665,168.9998,169.7765,901059,ISRG
2013-03-14,171.4098,172.4798,161.1265,163.2965,4704894,ISRG
2013-03-15,161.9865,162.9231,151.7265,153.1452,7624218,ISRG
2013-03-18,155.0665,162.3315,155.0665,161.8398,3540201,ISRG
2013-03-19,161.6565,162.0183,157.0898,160.8932,2122293,ISRG
2013-03-20,161.2865,165.6262,160.9998,165.2898,2348127,ISRG
2013-03-21,169.9998,170.6665,162.1132,162.2632,2214051,ISRG
2013-03-22,162.8632,164.3098,160.6832,163.1298,1678539,ISRG
2013-03-25,163.3365,164.5398,161.3682,162.7998,1210077,ISRG
2013-03-26,162.6332,165.8598,160.7298,165.7498,2131767,ISRG
2013-03-27,165.0965,166.5432,163.0565,163.5098,1231194,ISRG
2013-03-28,163.3298,164.9798,162.7798,163.7298,888819,ISRG
2013-04-01,164.2898,164.6665,161.1365,161.5265,984204,ISRG
2013-04-02,161.9432,165.2432,161.9432,163.5998,1086933,ISRG
2013-04-03,164.6665,167.8665,163.6472,166.1632,1362954,ISRG
2013-04-04,166.3332,167.9998,163.3365,165.5465,1310223,ISRG
2013-04-05,163.2698,164.3298,162.0132,163.3232,824601,ISRG
2013-04-08,164.0632,167.1998,163.8682,164.6665,997137,ISRG
2013-04-09,165.4998,166.4265,163.5965,165.5098,851721,ISRG
2013-04-10,165.6765,167.4998,164.9698,166.2765,917223,ISRG
2013-04-11,166.6665,171.3032,166.6665,170.8565,1037169,ISRG
2013-04-12,170.6765,171.6632,168.7078,170.6832,1119318,ISRG
2013-04-15,170.3832,171.9098,169.3332,169.9965,1177575,ISRG
2013-04-16,170.6165,171.6665,168.4768,170.1265,973491,ISRG
2013-04-17,168.5465,170.8798,167.1865,169.2132,1186344,ISRG
2013-04-18,168.9998,170.1065,162.8565,164.4565,2137416,ISRG
2013-04-19,156.3332,161.7398,155.2398,161.5832,4584222,ISRG
2013-04-22,161.5065,163.0865,156.6665,158.2898,1967508,ISRG
2013-04-23,158.3265,160.6632,155.8965,157.0232,1508502,ISRG
2013-04-24,156.4165,159.8598,156.4165,158.9598,808005,ISRG
2013-04-25,159.5332,162.7465,158.7432,161.2665,946923,ISRG
2013-04-26,160.8432,162.7465,159.6735,162.2532,1041357,ISRG
2013-04-29,162.7332,163.7498,160.1498,163.0532,958449,ISRG
2013-04-30,162.7932,164.4865,162.5332,164.0965,632439,ISRG
2013-05-01,163.8632,165.6265,163.0098,163.3865,485229,ISRG
2013-05-02,163.2865,164.9298,163.0032,163.9532,534039,ISRG
2013-05-03,165.8132,168.1832,165.1165,167.9398,957894,ISRG
2013-05-06,167.6665,168.1665,167.0398,167.1932,586821,ISRG
2013-05-07,167.1832,167.5998,163.1432,163.3565,843360,ISRG
2013-05-08,163.0998,163.5898,160.2152,163.1032,1125393,ISRG
2013-05-09,163.4065,170.5965,163.3332,168.5998,1187583,ISRG
