date,open,high,low,close,volume,Name
2013-02-08,68.42,69.418,68.3,69.07,499621,JBHT
2013-02-11,69.11,69.6,68.08,68.32,449784,JBHT
2013-02-12,68.26,68.91,66.959,67.13,1007113,JBHT
2013-02-13,67.58,67.83,66.5,66.92,825588,JBHT
2013-02-14,66.97,67.7,66.6601,67.41,452537,JBHT
2013-02-15,67.5,68.67,66.79,66.8,785811,JBHT
2013-02-19,66.98,67.68,66.62,67.62,619695,JBHT
2013-02-20,67.38,67.7165,66.36,66.48,558106,JBHT
2013-02-21,66.56,67.37,65.53,66.05,500145,JBHT
2013-02-22,66.4,67.42,66.18,67.27,397146,JBHT
2013-02-25,67.42,67.7499,66.03,66.04,470292,JBHT
2013-02-26,66.42,66.715,65.8,66.36,445569,JBHT
2013-02-27,66.96,70.55,66.91,69.83,2085294,JBHT
2013-02-28,69.8,70.1,69.05,69.658,1007106,JBHT
2013-03-01,69.99,69.99,68.53,69.18,1140461,JBHT
2013-03-04,69.0,69.78,68.7,69.61,775959,JBHT
2013-03-05,69.77,70.5199,69.76,70.2,777400,JBHT
2013-03-06,70.55,71.85,69.58,69.69,784680,JBHT
2013-03-07,70.0,70.08,68.71,69.22,817839,JBHT
2013-03-08,69.58,70.55,68.73,69.29,739979,JBHT
2013-03-11,69.13,69.46,68.58,68.89,582648,JBHT
2013-03-12,68.97,70.15,68.45,70.1,1140732,JBHT
2013-03-13,70.14,74.52,70.14,74.44,2941026,JBHT
2013-03-14,74.37,74.93,73.55,74.51,1165384,JBHT
2013-03-15,73.61,74.08,72.63,74.0,1217876,JBHT
2013-03-18,73.26,74.48,73.04,74.1,760266,JBHT
2013-03-19,74.13,74.69,73.42,73.89,1013867,JBHT
2013-03-20,73.84,74.74,73.59,74.66,619219,JBHT
2013-03-21,74.37,75.02,73.71,73.97,686908,JBHT
2013-03-22,74.32,75.0,73.8,74.24,737479,JBHT
2013-03-25,75.55,75.73,73.045,73.7,902398,JBHT
2013-03-26,74.0,74.53,72.96,73.6,689194,JBHT
2013-03-27,73.4,73.91,72.47,73.86,373409,JBHT
2013-03-28,73.83,74.59,73.34,74.48,626186,JBHT
2013-04-01,74.44,74.95,72.82,73.42,481727,JBHT
2013-04-02,73.83,74.54,73.222,73.33,529328,JBHT
2013-04-03,73.71,74.18,72.26,72.69,523937,JBHT
2013-04-04,72.98,73.02,71.68,72.46,527455,JBHT
2013-04-05,71.84,73.54,71.25,73.4,647240,JBHT
2013-04-08,73.64,74.25,73.245,73.84,772801,JBHT
2013-04-09,73.9,74.21,73.152,73.5,545950,JBHT
2013-04-10,73.71,75.16,73.39,74.87,766927,JBHT
2013-04-11,74.85,75.14,73.8525,74.22,1088728,JBHT
2013-04-12,72.0,73.09,71.5,72.01,1372962,JBHT
2013-04-15,72.0,72.47,70.49,70.65,1352460,JBHT
2013-04-16,71.2,71.72,70.84,71.39,833584,JBHT
2013-04-17,71.02,71.2,69.19,69.69,1312753,JBHT
2013-04-18,69.96,70.32,69.04,69.4,766997,JBHT
2013-04-19,69.51,70.0815,69.09,70.0,1026273,JBHT
2013-04-22,70.06,71.515,69.11,71.22,938216,JBHT
2013-04-23,71.73,72.18,69.99,70.28,759860,JBHT
2013-04-24,70.38,71.11,70.11,70.16,769708,JBHT
2013-04-25,70.27,71.41,70.27,71.0,719132,JBHT
2013-04-26,71.05,71.795,70.83,71.56,549126,JBHT
2013-04-29,71.5,72.74,70.83,72.23,896779,JBHT
2013-04-30,71.68,72.225,70.7,71.07,1048546,JBHT
2013-05-01,71.02,71.06,69.16,69.43,815190,JBHT
2013-05-02,69.76,70.435,69.44,69.66,529215,JBHT
2013-05-03,70.32,71.22,70.07,70.62,658450,JBHT
2013-05-06,70.52,72.47,70.4,71.81,792333,JBHT
2013-05-07,72.14,73.19,72.14,73.04,587822,JBHT
2013-05-08,72.69,73.13,72.32,72.7,541020,JBHT
2013-05-09,72.35,72.65,71.21,71.86,729467,JBHT
2013-05-10,71.91,72.0999,71.29,71.77,685705,JBHT
2013-05-13,71.79,72.48,71.6638,71.8,652550,JBHT
2013-05-14,72.13,72.8,71.76,72.66,767031,JBHT
2013-05-15,72.7,74.52,72.5,74.09,790588,JBHT
2013-05-16,74.08,74.74,73.89,74.45,768002,JBHT
2013-05-17,74.58,74.94,73.94,74.88,552474,JBHT
2013-05-20,74.96,75.64,74.82,75.37,502005,JBHT
2013-05-21,75.36,76.6,75.35,75.91,794201,JBHT
2013-05-22,76.14,77.2,74.91,75.3,832188,JBHT
2013-05-23,74.74,75.77,74.36,75.66,429309,JBHT
2013-05-24,75.47,75.47,74.43,74.78,285903,JBHT
2013-05-28,75.3,76.3,74.89,75.38,650266,JBHT
2013-05-29,74.85,75.11,73.82,74.25,429308,JBHT
2013-05-30,74.53,74.95,74.25,74.29,385342,JBHT
2013-05-31,73.93,74.44,73.26,73.66,749840,JBHT
2013-06-03,72.98,73.36,71.735,72.83,797595,JBHT
2013-06-04,72.95,73.24,71.2849,71.75,751386,JBHT
2013-06-05,71.38,71.97,69.78,70.4,664475,JBHT
2013-06-06,70.51,71.29,69.73,71.24,755171,JBHT
2013-06-07,71.41,73.435,71.17,73.36,595350,JBHT
2013-06-10,73.42,73.76,72.88,73.06,395172,JBHT
2013-06-11,72.35,73.29,71.87,72.25,218643,JBHT
2013-06-12,72.74,73.2499,70.8,71.01,503031,JBHT
2013-06-13,70.85,72.77,70.46,72.61,382296,JBHT
2013-06-14,72.4,72.78,71.81,72.01,358640,JBHT
2013-06-17,72.35,72.67,71.62,72.25,581764,JBHT
2013-06-18,72.31,73.03,72.025,72.7,274492,JBHT
2013-06-19,72.87,73.371,72.46,72.52,336172,JBHT
2013-06-20,71.86,72.0,70.6,70.8,548900,JBHT
2013-06-21,71.01,71.31,69.43,69.68,980378,JBHT
2013-06-24,68.69,69.18,67.97,68.61,645396,JBHT
2013-06-25,69.3,69.86,69.025,69.23,608813,JBHT
2013-06-26,70.02,70.89,69.6,70.39,627255,JBHT
2013-06-27,70.88,71.84,70.4101,71.36,369879,JBHT
2013-06-28,71.48,72.36,71.28,72.24,852420,JBHT
2013-07-01,72.71,73.92,72.42,73.49,741431,JBHT
2013-07-02,73.23,73.95,73.01,73.23,489686,JBHT
2013-07-03,72.52,73.82,72.51,73.3,312283,JBHT
2013-07-05,73.55,75.0,73.48,74.77,439751,JBHT
2013-07-08,75.23,75.76,74.87,75.14,498639,JBHT
2013-07-09,75.44,76.88,75.235,76.29,611571,JBHT
2013-07-10,76.04,76.74,75.55,76.56,600588,JBHT
2013-07-11,77.29,77.76,76.82,76.9,452377,JBHT
2013-07-12,76.4,76.5,75.47,75.73,575885,JBHT
2013-07-15,73.52,76.6,73.01,76.22,1310961,JBHT
2013-07-16,76.53,77.56,75.18,75.48,710790,JBHT
2013-07-17,75.35,75.89,74.49,74.86,667207,JBHT
2013-07-18,74.77,75.99,74.77,75.61,415057,JBHT
2013-07-19,75.44,75.97,75.15,75.46,234443,JBHT
2013-07-22,75.03,75.67,74.84,74.88,390792,JBHT
2013-07-23,75.24,75.24,74.51,74.6,431991,JBHT
2013-07-24,74.54,75.09,73.89,74.04,344552,JBHT
2013-07-25,74.03,74.78,73.75,74.5,316152,JBHT
2013-07-26,73.98,75.09,73.91,75.01,225038,JBHT
2013-07-29,74.44,75.08,74.44,74.69,257250,JBHT
2013-07-30,75.13,75.28,74.26,74.6,357229,JBHT
2013-07-31,74.8,75.5,74.62,74.93,495739,JBHT
2013-08-01,75.88,78.39,75.83,77.78,1106942,JBHT
2013-08-02,77.75,78.16,77.06,77.44,350609,JBHT
2013-08-05,77.18,77.616,76.85,77.39,249401,JBHT
2013-08-06,76.99,77.31,75.84,75.95,253017,JBHT
2013-08-07,75.59,76.03,74.71,75.17,242345,JBHT
2013-08-08,75.38,76.14,75.022,75.92,207426,JBHT
2013-08-09,75.8,76.235,75.34,75.71,205345,JBHT
2013-08-12,75.16,76.34,75.04,76.19,193094,JBHT
2013-08-13,76.13,76.41,75.22,75.47,301779,JBHT
2013-08-14,75.74,75.74,74.33,74.46,288076,JBHT
2013-08-15,74.0,74.46,72.85,73.09,731476,JBHT
2013-08-16,72.98,73.68,72.85,73.13,253879,JBHT
2013-08-19,73.03,73.63,72.81,72.85,292209,JBHT
2013-08-20,72.81,73.94,72.56,73.72,433603,JBHT
2013-08-21,73.34,73.81,72.745,73.16,436496,JBHT
