date,open,high,low,close,volume,Name
2013-02-08,75.17,75.61,74.73,75.48,8153254,JNJ
2013-02-11,75.28,75.5,75.05,75.41,5696686,JNJ
2013-02-12,75.42,75.86,75.42,75.8,7598678,JNJ
2013-02-13,75.79,75.87,75.37,75.66,8014788,JNJ
2013-02-14,75.5,76.09,75.38,75.81,9681846,JNJ
2013-02-15,75.72,76.16,75.51,76.16,10528944,JNJ
2013-02-19,76.03,77.0,75.96,76.96,9747837,JNJ
2013-02-20,76.79,76.97,76.54,76.65,7857256,JNJ
2013-02-21,76.47,77.02,76.38,76.87,9465651,JNJ
2013-02-22,76.39,76.49,75.97,76.25,8573208,JNJ
2013-02-25,76.47,76.66,75.57,75.57,10603590,JNJ
2013-02-26,75.88,76.34,75.5,75.75,10743210,JNJ
2013-02-27,75.68,76.45,75.6,76.32,8180393,JNJ
2013-02-28,76.23,76.49,76.11,76.11,11810494,JNJ
2013-03-01,75.79,76.77,75.73,76.7,9528387,JNJ
2013-03-04,76.73,77.28,76.73,77.2,12628151,JNJ
2013-03-05,77.56,77.71,77.44,77.66,9328078,JNJ
2013-03-06,77.69,77.74,77.22,77.39,8535851,JNJ
2013-03-07,77.62,77.96,77.59,77.75,7996489,JNJ
2013-03-08,77.84,78.22,77.7,78.19,8554283,JNJ
2013-03-11,77.92,78.52,77.84,78.44,8807527,JNJ
2013-03-12,78.5,78.69,78.21,78.56,8790845,JNJ
2013-03-13,78.52,78.67,78.2,78.55,7983720,JNJ
2013-03-14,78.67,79.1,78.49,79.1,10149230,JNJ
2013-03-15,78.62,79.24,78.62,79.19,18302441,JNJ
2013-03-18,78.72,79.19,78.7,78.81,8005457,JNJ
2013-03-19,78.98,79.09,78.5,78.86,7092364,JNJ
2013-03-20,79.18,79.61,79.17,79.45,7975120,JNJ
2013-03-21,79.12,79.5,78.77,79.01,8433701,JNJ
2013-03-22,79.11,79.74,79.02,79.74,6831380,JNJ
2013-03-25,79.83,79.94,79.47,79.68,9616509,JNJ
2013-03-26,79.93,80.8815,79.85,80.85,12682754,JNJ
2013-03-27,80.56,81.35,80.27,81.27,10702998,JNJ
2013-03-28,81.37,81.59,80.95,81.53,11304546,JNJ
2013-04-01,81.39,81.965,81.28,81.93,7378460,JNJ
2013-04-02,82.0,82.69,81.9,82.69,10342171,JNJ
