date,open,high,low,close,volume,Name
2013-02-08,89.83,90.84,88.66,90.24,1696646,LH
2013-02-11,90.39,90.96,89.99,90.06,742702,LH
2013-02-12,89.82,90.25,89.33,89.41,1078962,LH
2013-02-13,89.49,89.975,89.36,89.7,504495,LH
2013-02-14,89.64,90.065,89.05,89.19,694397,LH
2013-02-15,89.04,89.92,89.04,89.84,763562,LH
2013-02-19,90.0,90.8399,89.51,90.28,569828,LH
2013-02-20,89.98,90.38,89.543,89.58,480311,LH
2013-02-21,89.54,89.72,88.83,89.13,425853,LH
2013-02-22,89.33,89.77,88.68,88.98,1094959,LH
2013-02-25,89.22,89.76,88.26,88.4,920387,LH
2013-02-26,88.69,88.72,87.73,88.49,874865,LH
2013-02-27,88.46,89.32,88.29,89.0,472865,LH
2013-02-28,89.0,89.03,88.542,88.6,949934,LH
2013-03-01,88.33,89.2,87.79,89.05,602583,LH
2013-03-04,88.71,89.6677,88.502,89.48,498396,LH
2013-03-05,89.58,90.89,89.22,90.2,783725,LH
2013-03-06,90.51,90.52,89.13,89.24,607879,LH
2013-03-07,89.25,90.06,89.22,89.53,589129,LH
2013-03-08,89.8,89.8,88.93,89.45,637472,LH
2013-03-11,89.3,90.16,89.2,89.96,443150,LH
2013-03-12,89.88,89.94,89.56,89.76,404185,LH
2013-03-13,89.9,90.09,89.18,89.22,623241,LH
2013-03-14,89.13,90.08,89.02,89.75,753574,LH
2013-03-15,89.43,89.94,89.07,89.19,803222,LH
2013-03-18,88.67,88.91,88.25,88.38,346559,LH
2013-03-19,88.58,88.88,87.8425,88.3,996066,LH
2013-03-20,88.77,88.77,87.97,88.18,1208873,LH
2013-03-21,88.07,88.29,87.65,87.83,775416,LH
2013-03-22,88.02,88.445,87.84,88.25,844835,LH
2013-03-25,88.5,89.26,88.235,88.68,817857,LH
2013-03-26,89.0,89.16,88.68,89.14,480608,LH
2013-03-27,88.94,89.51,88.31,89.16,950510,LH
2013-03-28,89.25,90.33,89.12,90.2,1295855,LH
2013-04-01,89.79,90.86,89.685,90.63,615093,LH
2013-04-02,91.09,93.1,91.01,92.75,1161031,LH
2013-04-03,92.81,93.075,92.55,92.81,736870,LH
2013-04-04,93.11,93.8,92.75,93.7,750899,LH
2013-04-05,92.97,93.15,92.17,93.05,602846,LH
2013-04-08,93.09,93.09,92.08,92.88,485118,LH
2013-04-09,93.15,93.39,92.57,93.22,478537,LH
2013-04-10,93.23,93.55,92.57,93.4,945670,LH
2013-04-11,94.45,95.92,94.25,95.07,1755015,LH
2013-04-12,94.01,94.65,92.44,94.36,1044361,LH
2013-04-15,93.88,94.3,93.48,93.5,935254,LH
2013-04-16,93.6,94.5,91.92,94.39,969190,LH
2013-04-17,92.49,94.52,92.39,94.01,1438877,LH
2013-04-18,94.12,94.22,92.43,93.11,1920285,LH
2013-04-19,93.76,95.7,93.59,93.86,1273488,LH
2013-04-22,93.84,94.28,93.1101,93.76,1272884,LH
2013-04-23,93.73,94.63,92.92,93.54,1144790,LH
2013-04-24,93.74,93.99,93.33,93.84,746953,LH
2013-04-25,94.1,94.24,93.4,93.8,718566,LH
2013-04-26,93.71,94.31,93.42,93.67,534198,LH
2013-04-29,93.95,94.5,93.5,93.52,452019,LH
2013-04-30,93.58,93.65,92.52,93.36,666914,LH
2013-05-01,93.18,93.7599,92.36,92.52,595628,LH
2013-05-02,92.65,93.11,92.49,92.83,722203,LH
2013-05-03,93.24,93.33,91.25,92.81,788270,LH
2013-05-06,92.83,93.95,92.74,93.55,668637,LH
2013-05-07,93.46,93.61,92.89,93.25,636826,LH
2013-05-08,92.88,94.44,92.75,94.13,740703,LH
2013-05-09,94.34,94.34,93.07,93.37,693190,LH
2013-05-10,93.71,94.36,93.38,94.36,901332,LH
2013-05-13,94.05,95.45,93.83,95.01,761386,LH
2013-05-14,95.0,95.36,94.72,95.27,813391,LH
2013-05-15,95.27,96.66,95.25,96.4,1057565,LH
2013-05-16,96.38,97.79,95.95,97.68,1129071,LH
2013-05-17,97.87,99.11,97.69,98.97,1668715,LH
