date,open,high,low,close,volume,Name
2013-02-08,97.95,98.52,97.47,98.27,125462,MLM
2013-02-11,102.47,102.47,96.475,98.07,408127,MLM
2013-02-12,97.9,99.17,96.53,98.43,418824,MLM
2013-02-13,98.75,100.0,98.41,99.53,429430,MLM
2013-02-14,99.65,100.449,99.21,100.35,488786,MLM
2013-02-15,100.09,101.96,100.01,101.09,284061,MLM
2013-02-19,101.53,102.93,101.41,102.04,523738,MLM
2013-02-20,101.93,101.97,98.22,98.62,413941,MLM
2013-02-21,98.27,98.62,96.95,97.89,443079,MLM
2013-02-22,98.7,100.23,97.682,98.09,435872,MLM
2013-02-25,98.49,98.49,94.52,94.63,374640,MLM
2013-02-26,95.85,96.25,93.99,95.42,554059,MLM
2013-02-27,95.07,96.97,95.07,96.19,334493,MLM
2013-02-28,96.58,98.34,96.21,97.13,408581,MLM
2013-03-01,96.15,99.29,95.98,98.42,377755,MLM
2013-03-04,98.09,99.16,98.09,98.91,262388,MLM
2013-03-05,99.55,102.11,99.26,101.48,282108,MLM
2013-03-06,101.83,102.94,101.48,102.11,300933,MLM
2013-03-07,101.96,103.59,101.6,103.41,470615,MLM
2013-03-08,104.14,104.98,103.66,104.88,1042431,MLM
2013-03-11,104.63,105.75,103.78,104.71,620997,MLM
2013-03-12,104.78,104.9,103.75,103.93,437501,MLM
2013-03-13,104.06,105.26,103.82,104.8,416592,MLM
2013-03-14,105.16,106.22,104.31,104.71,623681,MLM
2013-03-15,104.45,105.16,103.0,103.57,1007541,MLM
2013-03-18,102.78,104.99,102.78,103.9,424146,MLM
2013-03-19,104.16,105.04,102.73,102.99,358320,MLM
2013-03-20,103.78,103.78,102.96,103.26,448116,MLM
2013-03-21,102.94,103.21,102.27,102.53,395609,MLM
2013-03-22,103.11,103.92,102.5,102.68,1098498,MLM
2013-03-25,102.96,103.61,101.31,101.84,430226,MLM
2013-03-26,102.2,102.51,101.29,102.0,551267,MLM
2013-03-27,106.57,106.57,100.07,101.96,255384,MLM
2013-03-28,102.05,102.64,101.12,102.02,339810,MLM
2013-04-01,101.96,102.4,101.38,101.91,278120,MLM
2013-04-02,102.0,102.15,100.55,100.82,276593,MLM
2013-04-03,100.72,101.08,97.46,98.17,546436,MLM
2013-04-04,98.37,98.82,97.6,97.64,283641,MLM
2013-04-05,96.51,98.98,96.23,98.87,297656,MLM
2013-04-08,98.95,99.64,98.24,99.44,204652,MLM
2013-04-09,99.47,99.72,98.04,98.98,278835,MLM
2013-04-10,99.27,100.1,99.09,99.92,239242,MLM
2013-04-11,99.89,100.795,99.7,100.18,305783,MLM
2013-04-12,99.87,100.43,98.4625,98.73,181449,MLM
2013-04-15,98.0,98.05,93.33,93.56,394193,MLM
2013-04-16,95.01,98.24,95.0,98.11,309930,MLM
2013-04-17,96.89,97.3,95.06,96.54,302100,MLM
2013-04-18,97.19,97.46,94.02,94.54,290093,MLM
2013-04-19,95.38,97.19,94.48,95.01,383754,MLM
2013-04-22,95.3,95.3849,93.03,95.15,261368,MLM
2013-04-23,95.88,96.88,95.68,96.65,197193,MLM
2013-04-24,96.69,99.11,96.25,98.63,300025,MLM
2013-04-25,99.11,99.9,97.86,98.02,335161,MLM
2013-04-26,97.36,98.33,95.6925,96.69,190203,MLM
2013-04-29,97.44,99.04,96.6901,98.46,467247,MLM
2013-04-30,98.0,102.72,97.0,100.99,719561,MLM
2013-05-01,100.66,101.26,98.83,99.46,503042,MLM
2013-05-02,99.72,103.57,99.72,103.05,276588,MLM
2013-05-03,103.61,108.425,103.61,106.7,376186,MLM
2013-05-06,106.52,107.45,105.66,106.9,213567,MLM
2013-05-07,107.14,108.5,106.7,108.48,342229,MLM
2013-05-08,108.4,109.75,107.88,108.85,303178,MLM
2013-05-09,109.39,109.85,106.96,107.56,370706,MLM
2013-05-10,107.86,108.04,107.07,107.38,245718,MLM
2013-05-13,107.1,107.3,106.39,106.99,259936,MLM
2013-05-14,106.99,108.51,106.74,108.0,1215925,MLM
2013-05-15,107.97,109.77,107.61,109.49,517899,MLM
2013-05-16,109.4,110.37,109.34,109.92,545244,MLM
2013-05-17,110.35,111.53,110.12,110.91,489050,MLM
2013-05-20,110.64,112.295,110.63,112.09,458625,MLM
2013-05-21,111.92,112.992,111.3,111.98,281419,MLM
2013-05-22,111.39,113.65,107.86,108.67,534909,MLM
2013-05-23,107.14,108.31,106.38,108.24,543837,MLM
2013-05-24,107.76,109.47,106.75,108.22,402883,MLM
2013-05-28,110.09,110.82,109.35,109.96,519561,MLM
2013-05-29,109.24,109.9,107.88,109.42,501916,MLM
2013-05-30,109.36,110.78,108.59,110.56,329323,MLM
2013-05-31,109.89,110.94,108.94,109.03,411195,MLM
2013-06-03,108.97,109.75,106.88,108.69,421866,MLM
2013-06-04,108.72,110.14,106.25,106.98,487688,MLM
2013-06-05,106.34,106.81,104.68,104.71,253261,MLM
2013-06-06,104.69,106.54,103.68,106.53,459528,MLM
2013-06-07,106.94,107.78,105.76,106.61,222971,MLM
2013-06-10,106.93,109.46,105.55,109.02,376597,MLM
2013-06-11,106.86,108.77,106.14,107.22,205843,MLM
2013-06-12,108.34,108.77,106.0,106.42,139756,MLM
2013-06-13,106.85,109.58,106.4,109.5,268624,MLM
2013-06-14,109.61,110.22,108.83,109.43,197338,MLM
2013-06-17,110.62,110.85,109.15,109.79,187943,MLM
2013-06-18,110.03,110.04,108.81,109.73,139694,MLM
2013-06-19,109.7,110.348,108.09,108.09,323596,MLM
2013-06-20,106.45,106.79,104.37,105.03,392631,MLM
2013-06-21,105.83,105.83,101.07,101.17,599046,MLM
2013-06-24,99.62,99.62,97.1405,98.05,623887,MLM
2013-06-25,99.27,100.13,98.3,99.69,366502,MLM
2013-06-26,100.83,101.08,99.034,99.38,336637,MLM
2013-06-27,100.28,100.92,99.51,100.62,262430,MLM
2013-06-28,100.54,101.02,98.3,98.42,435785,MLM
2013-07-01,99.3,101.66,99.15,100.16,464402,MLM
2013-07-02,100.03,101.46,97.655,97.98,220007,MLM
2013-07-03,96.59,97.765,96.37,96.63,354837,MLM
2013-07-05,97.88,98.01,96.43,97.2,431106,MLM
2013-07-08,98.39,99.05,97.335,97.94,480825,MLM
2013-07-09,98.46,101.7,97.915,101.18,487625,MLM
2013-07-10,101.04,104.09,100.81,103.66,614046,MLM
2013-07-11,105.64,105.91,104.04,105.01,390776,MLM
2013-07-12,105.43,105.91,104.16,105.49,290583,MLM
2013-07-15,105.43,106.98,104.63,104.99,225452,MLM
2013-07-16,104.95,105.75,103.41,103.76,195221,MLM
