date,open,high,low,close,volume,Name
2013-02-08,16.0933,16.1767,15.4867,15.6133,6568551,MNST
2013-02-11,15.65,15.9233,15.555,15.8167,3587394,MNST
2013-02-12,15.8033,15.85,15.5103,15.5867,3565521,MNST
2013-02-13,15.5567,16.44,15.3167,15.8967,9666666,MNST
2013-02-14,15.8967,16.0533,15.4867,15.8967,6043485,MNST
2013-02-15,15.8067,17.2933,15.6933,17.0266,20550153,MNST
2013-02-19,16.8866,16.9266,16.3433,16.56,8022906,MNST
2013-02-20,16.5533,16.99,16.3733,16.89,6911808,MNST
2013-02-21,16.8166,17.2,16.37,16.5867,6827727,MNST
2013-02-22,16.6133,17.1866,16.6,16.8966,4036317,MNST
2013-02-25,17.01,17.1933,16.5433,16.5467,4812606,MNST
2013-02-26,16.5733,16.6467,16.0867,16.3167,4446963,MNST
2013-02-27,16.27,16.75,16.1267,16.54,7768062,MNST
2013-02-28,17.5466,17.96,16.7533,16.82,19852350,MNST
2013-03-01,16.7133,17.0033,16.35,16.8866,8244561,MNST
2013-03-04,16.77,16.77,16.38,16.6033,6056769,MNST
2013-03-05,16.6167,16.7566,16.2533,16.35,5817921,MNST
2013-03-06,16.3767,16.4367,16.0733,16.2267,5342604,MNST
2013-03-07,16.36,16.3767,15.8867,15.9167,7232154,MNST
2013-03-08,16.0267,16.0567,15.7467,15.78,5184783,MNST
2013-03-11,15.7467,15.8,15.28,15.6967,7256982,MNST
2013-03-12,15.6333,15.7233,15.1267,15.3967,7429188,MNST
2013-03-13,15.5,15.9533,15.4233,15.6967,6895878,MNST
2013-03-14,15.69,15.8933,15.56,15.71,3751038,MNST
2013-03-15,15.7267,16.17,15.6567,16.1267,12036645,MNST
2013-03-18,16.0267,16.0567,15.8667,16.04,5401605,MNST
2013-03-19,16.1067,16.7733,16.0767,16.5733,9326217,MNST
2013-03-20,16.6467,17.03,16.5667,17.0,4483518,MNST
2013-03-21,16.8466,17.0066,16.6766,16.7833,4776831,MNST
2013-03-22,16.25,16.7033,16.02,16.1667,8985651,MNST
2013-03-25,16.2367,16.29,16.02,16.1267,4831149,MNST
2013-03-26,16.2,16.3433,16.12,16.2767,3605040,MNST
2013-03-27,16.1367,16.2133,15.8,16.0033,5203377,MNST
2013-03-28,16.0167,16.0267,15.7467,15.9133,4625298,MNST
2013-04-01,15.9133,16.02,15.72,15.8867,3599115,MNST
2013-04-02,15.97,16.4,15.8733,16.2033,5245944,MNST
2013-04-03,16.1233,16.275,15.9433,16.0933,4263813,MNST
2013-04-04,16.1667,16.7666,16.06,16.76,8266767,MNST
2013-04-05,16.5233,16.7466,16.3833,16.56,5461710,MNST
2013-04-08,16.6233,17.39,16.56,17.3366,9897849,MNST
2013-04-09,17.4333,17.8933,17.29,17.5566,8571783,MNST
2013-04-10,17.5233,18.4866,17.5233,18.2633,8029683,MNST
2013-04-11,18.3566,18.6433,18.2666,18.62,7245330,MNST
2013-04-12,18.6433,18.98,18.35,18.9166,5967951,MNST
2013-04-15,18.88,19.1966,18.4233,18.44,6979002,MNST
2013-04-16,18.4933,18.9233,18.42,18.83,4904550,MNST
2013-04-17,18.6933,19.2766,18.4766,18.56,6115509,MNST
2013-04-18,18.5166,18.8833,18.3166,18.4066,3942885,MNST
2013-04-19,18.3,18.78,18.238,18.57,3837681,MNST
2013-04-22,18.5533,18.7633,18.4266,18.53,4559172,MNST
2013-04-23,18.6366,19.0999,18.5866,18.8966,4104600,MNST
2013-04-24,18.98,19.523,18.98,19.1633,8015265,MNST
2013-04-25,19.25,19.3266,18.9133,18.9533,6626382,MNST
2013-04-26,18.8333,19.0366,18.8213,18.8833,3387642,MNST
2013-04-29,18.8833,18.9333,18.7633,18.8333,2888142,MNST
2013-04-30,18.7933,18.945,18.4833,18.8,3831456,MNST
2013-05-01,18.4866,18.7533,18.2933,18.64,5776794,MNST
2013-05-02,18.5733,18.8333,18.4833,18.5,3040527,MNST
