date,open,high,low,close,volume,Name
2013-02-08,100.8,101.57,100.1,101.15,3069506,MON
2013-02-11,101.81,102.26,100.89,102.12,2161590,MON
2013-02-12,101.82,102.02,101.0,101.77,1533121,MON
2013-02-13,102.0,102.86,101.89,102.81,1764645,MON
2013-02-14,102.21,102.29,101.45,102.0,1994635,MON
2013-02-15,101.51,103.52,101.5,103.51,3076720,MON
2013-02-19,102.45,103.22,101.81,101.89,2856194,MON
2013-02-20,102.07,102.21,98.155,98.66,6324461,MON
2013-02-21,98.5,99.72,97.9,98.71,3415530,MON
2013-02-22,98.95,99.99,98.23,99.98,2620518,MON
2013-02-25,100.19,100.53,98.01,98.09,2561412,MON
2013-02-26,98.6,99.48,98.08,99.2,2190904,MON
2013-02-27,99.2,100.72,99.04,100.4,2549478,MON
2013-02-28,100.61,101.59,100.18,101.03,2167399,MON
2013-03-01,100.5,102.0,99.99,101.66,1933405,MON
2013-03-04,101.41,101.66,100.425,101.62,1839249,MON
2013-03-05,102.0,103.49,101.99,102.77,2071974,MON
2013-03-06,103.19,103.4,101.58,102.29,1888479,MON
2013-03-07,102.35,103.38,102.35,102.91,1456128,MON
2013-03-08,103.0,103.49,102.3901,103.35,1649235,MON
2013-03-11,103.13,104.3,102.73,104.22,1592042,MON
2013-03-12,103.79,103.92,103.0799,103.38,1859021,MON
2013-03-13,103.59,104.585,103.3,103.64,1774246,MON
2013-03-14,103.7,104.29,103.7,104.1,1601928,MON
2013-03-15,103.64,104.96,103.48,104.24,3368417,MON
2013-03-18,103.41,103.54,102.415,102.64,1565598,MON
2013-03-19,102.66,103.0,101.08,102.3,1996542,MON
2013-03-20,102.95,103.61,102.69,103.12,1798055,MON
2013-03-21,102.92,102.92,100.99,101.05,1966468,MON
2013-03-22,101.42,101.67,100.94,101.32,1694926,MON
2013-03-25,101.28,101.47,98.92,99.4,2892609,MON
2013-03-26,100.51,103.96,100.24,103.79,3815991,MON
2013-03-27,103.07,105.79,102.9,105.12,4315523,MON
2013-03-28,105.3,105.82,104.51,105.63,2772955,MON
2013-04-01,105.5,106.61,105.31,105.79,2584595,MON
2013-04-02,106.0,106.27,103.22,104.0,3457709,MON
