date,open,high,low,close,volume,Name
2013-02-08,41.06,41.18,40.95,41.18,14661718,MRK
2013-02-11,41.19,41.5,41.09,41.38,11411910,MRK
2013-02-12,41.37,41.57,41.13,41.45,9996613,MRK
2013-02-13,41.42,41.49,41.01,41.15,15808788,MRK
2013-02-14,41.04,41.22,40.825,41.19,16332453,MRK
2013-02-15,41.46,41.5,41.235,41.42,15580073,MRK
2013-02-19,41.6,42.22,41.58,42.22,13306056,MRK
2013-02-20,42.36,42.75,42.22,42.66,16801707,MRK
2013-02-21,42.5,42.57,42.27,42.5,11824527,MRK
2013-02-22,42.58,43.27,42.53,42.97,15395688,MRK
2013-02-25,43.31,43.45,42.5099,42.52,19421768,MRK
2013-02-26,42.75,42.8,42.1,42.42,13905591,MRK
2013-02-27,42.27,43.15,42.27,42.97,12926836,MRK
2013-02-28,43.01,43.21,42.73,42.73,14214980,MRK
2013-03-01,42.33,42.67,42.33,42.63,14820185,MRK
2013-03-04,42.92,43.35,42.76,43.34,14162147,MRK
2013-03-05,43.6,43.65,43.1,43.25,15118515,MRK
2013-03-06,43.3,43.74,43.06,43.68,18418124,MRK
2013-03-07,43.82,43.93,43.09,43.27,13741214,MRK
2013-03-08,43.4,43.5,42.92,42.97,29273518,MRK
2013-03-11,42.95,43.67,42.87,43.66,38640997,MRK
2013-03-12,45.42,45.42,44.875,45.04,56009361,MRK
2013-03-13,44.54,44.73,44.48,44.59,17926541,MRK
2013-03-14,44.71,44.75,43.6,44.27,25895477,MRK
2013-03-15,43.83,44.09,43.79,44.09,24310813,MRK
2013-03-18,43.78,43.94,43.57,43.63,12117418,MRK
2013-03-19,43.7,43.84,43.6,43.7,15504006,MRK
2013-03-20,44.0,44.29,43.88,44.12,14974237,MRK
2013-03-21,44.05,44.18,43.755,43.79,11904524,MRK
2013-03-22,43.86,44.11,43.8,43.9,9960559,MRK
2013-03-25,43.95,44.0,43.51,43.69,13117093,MRK
2013-03-26,43.95,44.4,43.9,44.39,12114054,MRK
2013-03-27,44.13,44.25,43.91,44.1,10970269,MRK
2013-03-28,44.05,44.305,43.96,44.2,16648112,MRK
2013-04-01,44.0,44.37,43.77,44.35,9903585,MRK
2013-04-02,44.51,45.0,44.4231,44.91,12787446,MRK
2013-04-03,45.0,46.16,45.0,45.36,25872282,MRK
2013-04-04,45.39,45.88,45.01,45.32,13967308,MRK
2013-04-05,45.04,45.23,44.89,45.13,12602042,MRK
2013-04-08,45.09,45.48,44.96,45.48,10153531,MRK
2013-04-09,45.73,45.94,45.34,45.51,10582562,MRK
2013-04-10,45.91,46.97,45.78,46.84,18735016,MRK
2013-04-11,46.68,47.51,46.68,47.21,17538011,MRK
