date,open,high,low,close,volume,Name
2013-02-08,103.85,104.54,103.61,104.39,408129,MTB
2013-02-11,103.93,104.36,103.74,104.24,468221,MTB
2013-02-12,104.36,105.68,104.21,105.45,653561,MTB
2013-02-13,105.69,105.86,104.41,104.67,660195,MTB
2013-02-14,104.51,104.92,104.03,104.6,793970,MTB
2013-02-15,104.98,105.1,104.0,104.83,639135,MTB
2013-02-19,104.99,105.895,104.87,105.78,1174600,MTB
2013-02-20,105.41,105.52,104.54,104.65,666069,MTB
2013-02-21,104.37,104.79,102.97,103.09,646968,MTB
2013-02-22,103.65,104.73,103.22,104.73,696662,MTB
2013-02-25,105.23,105.615,101.79,101.86,952711,MTB
2013-02-26,102.25,102.54,100.88,102.05,757350,MTB
2013-02-27,102.0,102.88,101.3001,102.65,626202,MTB
2013-02-28,101.77,102.77,101.55,102.09,741665,MTB
2013-03-01,101.59,102.88,100.82,102.66,616672,MTB
2013-03-04,102.17,103.36,102.17,103.27,537122,MTB
2013-03-05,103.65,104.18,103.44,103.66,793626,MTB
2013-03-06,104.1,104.19,103.355,103.83,785554,MTB
2013-03-07,103.95,104.12,103.45,103.96,604060,MTB
2013-03-08,104.57,104.6,103.63,103.96,557136,MTB
2013-03-11,103.98,104.22,103.75,104.18,659903,MTB
2013-03-12,103.81,104.2,103.804,104.09,989167,MTB
2013-03-13,104.15,104.31,103.68,104.22,475197,MTB
2013-03-14,104.42,104.77,104.24,104.67,395679,MTB
2013-03-15,104.65,104.87,104.02,104.35,968684,MTB
2013-03-18,104.1,104.6,102.5,103.31,636210,MTB
2013-03-19,103.64,104.03,102.63,102.85,867083,MTB
2013-03-20,103.46,103.49,102.69,103.29,1002093,MTB
2013-03-21,102.8,103.26,102.49,102.68,547468,MTB
2013-03-22,102.97,103.17,102.54,103.12,574512,MTB
2013-03-25,103.58,103.64,102.6,102.8,584580,MTB
2013-03-26,103.3,103.32,102.34,102.57,851039,MTB
2013-03-27,102.0,103.22,101.79,103.14,486687,MTB
2013-03-28,103.42,103.69,100.76,103.16,710707,MTB
2013-04-01,103.18,103.18,102.07,102.5,427808,MTB
2013-04-02,102.84,103.03,101.79,102.08,880598,MTB
