date,open,high,low,close,volume,Name
2013-02-08,693.55,702.04,691.4739,700.83,468310,PCLN
2013-02-11,699.68,699.9999,692.16,696.11,301513,PCLN
2013-02-12,696.8,705.77,695.37,703.38,487096,PCLN
2013-02-13,703.0,708.0,698.9,704.17,333729,PCLN
2013-02-14,699.95,707.99,697.656,705.62,345682,PCLN
2013-02-15,704.2,706.226,698.5,702.26,669721,PCLN
2013-02-19,703.16,707.57,700.52,703.47,476667,PCLN
2013-02-20,705.21,707.57,687.64,688.2,573356,PCLN
2013-02-21,688.5,690.56,675.11,683.33,1109574,PCLN
2013-02-22,688.5,689.9,680.92,684.7,543031,PCLN
2013-02-25,686.94,692.7899,671.54,671.54,713282,PCLN
2013-02-26,671.65,680.5,665.05,678.49,1312996,PCLN
2013-02-27,709.05,712.5,692.0,695.91,2010289,PCLN
2013-02-28,696.3,697.72,680.69,689.114,1088128,PCLN
2013-03-01,689.05,698.77,683.68,695.62,1009128,PCLN
2013-03-04,694.55,714.71,692.47,714.01,890494,PCLN
2013-03-05,716.0,723.05,715.3,718.41,707979,PCLN
2013-03-06,721.07,728.7,717.03,718.9,492068,PCLN
2013-03-07,722.15,723.7399,716.53,719.03,462607,PCLN
2013-03-08,722.06,724.3,716.02,720.92,470801,PCLN
2013-03-11,721.01,725.92,719.79,725.07,459607,PCLN
2013-03-12,723.0,727.38,714.56,722.04,523511,PCLN
2013-03-13,723.0,723.73,714.53,715.53,376177,PCLN
2013-03-14,715.4,717.8,708.86,713.15,383392,PCLN
2013-03-15,711.61,716.44,711.06,713.5,697822,PCLN
2013-03-18,706.43,707.62,694.9,696.81,597304,PCLN
2013-03-19,697.53,702.69,679.71,684.15,940552,PCLN
2013-03-20,689.68,691.22,685.5301,687.584,379173,PCLN
2013-03-21,688.44,699.49,683.508,683.99,537077,PCLN
2013-03-22,689.36,697.92,686.0,697.91,557447,PCLN
2013-03-25,700.02,703.5,693.3,695.64,370475,PCLN
2013-03-26,697.88,700.0,693.2401,694.59,278779,PCLN
2013-03-27,687.56,695.53,682.5,694.86,407194,PCLN
2013-03-28,694.3,694.8,686.0101,688.162,539605,PCLN
2013-04-01,689.08,697.92,686.811,695.76,578615,PCLN
2013-04-02,701.49,706.0,698.521,705.91,512041,PCLN
2013-04-03,706.24,707.2699,697.11,698.72,505753,PCLN
2013-04-04,698.0,702.13,689.0,701.35,469872,PCLN
2013-04-05,693.22,697.76,687.42,693.31,481137,PCLN
2013-04-08,691.76,696.81,688.1,696.53,292839,PCLN
2013-04-09,696.0,700.71,690.65,696.13,321205,PCLN
2013-04-10,699.05,719.71,697.24,718.94,652078,PCLN
2013-04-11,720.91,735.29,718.715,733.99,724402,PCLN
2013-04-12,732.77,745.24,722.451,743.11,972027,PCLN
2013-04-15,733.45,735.63,710.93,711.38,814386,PCLN
2013-04-16,719.62,723.31,713.481,720.7,493562,PCLN
2013-04-17,714.99,716.02,702.4,708.8,606478,PCLN
2013-04-18,707.07,707.36,683.5401,690.01,800352,PCLN
2013-04-19,686.93,697.9,682.31,683.57,831625,PCLN
2013-04-22,685.01,691.59,677.72,690.87,520114,PCLN
2013-04-23,692.75,707.41,692.46,702.35,467968,PCLN
2013-04-24,702.98,704.53,693.72,700.8,280855,PCLN
2013-04-25,705.0,720.5,703.5,711.22,560853,PCLN
2013-04-26,705.93,710.709,693.921,701.19,739923,PCLN
2013-04-29,704.49,709.05,697.06,699.43,572858,PCLN
2013-04-30,698.55,702.73,693.49,695.99,484179,PCLN
2013-05-01,696.56,700.0,691.1,694.06,454262,PCLN
2013-05-02,693.75,712.6,693.75,707.95,617843,PCLN
2013-05-03,717.43,728.5399,716.85,724.77,662841,PCLN
2013-05-06,723.5,730.9499,722.7001,726.71,405849,PCLN
2013-05-07,730.96,730.99,717.901,725.05,314622,PCLN
2013-05-08,726.22,736.0,726.11,735.27,461781,PCLN
2013-05-09,735.0,744.98,728.72,737.5,1052934,PCLN
2013-05-10,742.0,769.67,742.0,765.41,2110414,PCLN
2013-05-13,761.0,779.25,758.3701,777.44,785911,PCLN
2013-05-14,776.04,794.0,776.04,791.139,1015473,PCLN
2013-05-15,790.05,808.5133,789.9501,805.75,927580,PCLN
2013-05-16,806.0,811.48,797.5,800.08,898381,PCLN
2013-05-17,805.03,814.58,802.18,813.66,784034,PCLN
2013-05-20,825.7,842.75,824.19,842.5,1329857,PCLN
2013-05-21,842.9,847.3299,825.06,825.96,1115783,PCLN
2013-05-22,803.45,820.72,795.31,798.03,1857136,PCLN
2013-05-23,789.0,805.65,784.32,803.6,906641,PCLN
2013-05-24,797.65,804.18,795.55,801.12,437817,PCLN
2013-05-28,811.8,819.99,801.31,804.33,653225,PCLN
2013-05-29,796.12,801.68,789.45,792.27,548570,PCLN
2013-05-30,795.0,816.4,792.27,807.54,1258705,PCLN
2013-05-31,805.77,819.98,802.8675,803.93,826143,PCLN
2013-06-03,805.15,805.86,788.26,802.62,626727,PCLN
2013-06-04,800.76,811.0,794.05,798.69,533296,PCLN
2013-06-05,797.95,809.0,795.0,795.5,538923,PCLN
2013-06-06,794.85,806.03,787.0,805.9,582441,PCLN
2013-06-07,810.18,819.24,805.11,816.45,693034,PCLN
2013-06-10,819.21,825.0,815.06,823.45,524701,PCLN
2013-06-11,815.32,821.67,809.33,813.42,551130,PCLN
2013-06-12,821.48,821.58,802.67,807.9,580630,PCLN
2013-06-13,805.43,815.89,803.49,814.82,460490,PCLN
2013-06-14,812.6,817.49,810.47,815.75,572019,PCLN
