date,open,high,low,close,volume,Name
2013-02-08,76.15,76.48,75.56,75.75,9131327,PG
2013-02-11,75.41,75.92,75.12,75.81,6928133,PG
2013-02-12,75.96,76.31,75.81,75.98,6280895,PG
2013-02-13,76.01,76.58,75.98,76.56,7113744,PG
2013-02-14,76.3,76.97,76.25,76.78,10049220,PG
2013-02-15,76.72,76.96,76.215,76.54,11167270,PG
2013-02-19,76.56,77.765,76.49,77.38,11783779,PG
2013-02-20,77.27,77.52,76.92,77.08,9276578,PG
2013-02-21,76.28,77.2,75.9,77.04,10305115,PG
2013-02-22,77.05,77.19,76.753,76.99,8433393,PG
2013-02-25,77.06,77.67,75.92,75.92,9970631,PG
2013-02-26,75.99,76.38,75.77,76.08,8378943,PG
2013-02-27,75.95,76.95,75.7,76.75,7568886,PG
2013-02-28,76.66,76.91,76.17,76.18,10472126,PG
2013-03-01,75.7,76.72,75.56,76.49,9601420,PG
2013-03-04,76.25,76.68,75.97,76.68,7632002,PG
2013-03-05,76.78,77.395,76.72,77.05,9716968,PG
2013-03-06,77.01,77.45,76.81,77.2,7196031,PG
2013-03-07,77.22,77.49,76.78,76.9,7111315,PG
2013-03-08,77.01,77.2,76.46,77.18,7257183,PG
2013-03-11,77.02,77.39,76.9,77.35,6621712,PG
2013-03-12,77.19,77.45,77.0,77.17,7016698,PG
2013-03-13,77.07,77.1,76.52,76.8,6339460,PG
2013-03-14,76.87,77.475,76.83,77.39,8083421,PG
2013-03-15,77.08,77.38,76.34,76.34,15250593,PG
2013-03-18,75.9,76.55,75.8,76.16,7081774,PG
2013-03-19,76.14,77.18,76.11,77.11,9296208,PG
2013-03-20,77.29,77.82,77.271,77.58,8615706,PG
2013-03-21,77.42,77.67,77.14,77.21,6320651,PG
2013-03-22,77.18,77.45,77.005,77.27,5868393,PG
2013-03-25,77.27,77.62,76.44,76.68,6843553,PG
2013-03-26,77.02,77.5,76.891,77.4,5387106,PG
2013-03-27,76.98,77.105,76.57,77.06,5274497,PG
2013-03-28,76.95,77.16,76.66,77.06,8017630,PG
2013-04-01,76.85,77.85,76.73,77.7,7268049,PG
2013-04-02,77.84,79.15,77.65,78.96,13374295,PG
2013-04-03,78.88,79.08,77.84,78.12,8427549,PG
2013-04-04,78.39,78.98,78.25,78.54,8770319,PG
2013-04-05,77.88,78.395,77.83,78.23,6565480,PG
2013-04-08,78.12,78.88,77.88,78.79,6284447,PG
2013-04-09,78.82,78.89,78.07,78.26,6760554,PG
2013-04-10,78.49,79.49,78.43,79.24,7947900,PG
2013-04-11,79.37,80.13,79.33,79.67,11832445,PG
2013-04-12,79.51,80.66,79.47,80.08,9383865,PG
2013-04-15,79.79,80.84,79.6,79.65,10877312,PG
2013-04-16,79.83,80.21,79.37,80.1,9366412,PG
2013-04-17,79.98,80.14,78.85,79.06,10964702,PG
2013-04-18,79.09,80.1799,79.06,79.87,10895844,PG
2013-04-19,80.37,81.7,80.2,81.43,13147597,PG
2013-04-22,81.31,81.59,81.12,81.4,7530605,PG
2013-04-23,81.46,82.54,80.51,82.54,12683540,PG
2013-04-24,79.49,79.61,76.93,77.12,25706666,PG
2013-04-25,77.67,77.67,76.35,76.58,14703010,PG
2013-04-26,76.72,77.22,76.58,77.1,8769151,PG
2013-04-29,77.56,77.98,77.23,77.68,6622787,PG
