date,open,high,low,close,volume,Name
2013-02-08,89.64,90.85,89.64,90.45,4366498,PM
2013-02-11,90.4,90.82,90.24,90.35,3283314,PM
2013-02-12,90.63,90.73,90.01,90.14,3638936,PM
2013-02-13,90.43,91.47,90.43,90.99,3852738,PM
2013-02-14,90.86,90.9875,89.85,90.01,5268666,PM
2013-02-15,90.06,91.0,89.4,89.99,5238292,PM
2013-02-19,90.37,91.4,90.09,91.31,4429200,PM
2013-02-20,91.28,92.79,90.75,92.09,4867169,PM
2013-02-21,91.61,93.61,91.35,93.13,5991167,PM
2013-02-22,93.22,93.478,92.63,93.42,4072364,PM
2013-02-25,93.28,93.57,91.55,91.56,6400992,PM
2013-02-26,92.03,92.59,91.16,91.6,5150455,PM
2013-02-27,91.36,91.82,90.73,91.43,4801350,PM
2013-02-28,91.68,92.25,91.38,91.75,6040023,PM
2013-03-01,91.69,92.67,91.14,91.44,4554060,PM
2013-03-04,91.48,92.57,91.47,92.36,4117244,PM
2013-03-05,92.5,92.92,91.92,92.28,4546108,PM
2013-03-06,92.34,92.63,91.41,91.6,4085869,PM
2013-03-07,91.4,91.96,91.4,91.81,3178585,PM
2013-03-08,91.87,91.92,90.91,91.11,3946767,PM
2013-03-11,90.9,91.55,90.82,91.21,3249363,PM
2013-03-12,91.38,91.42,90.3,90.89,4419937,PM
2013-03-13,90.84,90.9,90.0372,90.55,4122404,PM
2013-03-14,90.93,91.595,90.8301,91.31,5079448,PM
2013-03-15,90.98,91.63,90.24,91.37,9915093,PM
2013-03-18,90.54,90.935,90.25,90.36,4503135,PM
2013-03-19,90.59,91.22,90.29,90.81,3719881,PM
2013-03-20,91.0,91.71,90.99,91.42,4181228,PM
2013-03-21,91.12,91.535,90.88,91.05,4008811,PM
2013-03-22,91.0,91.97,90.85,91.62,13639737,PM
2013-03-25,91.99,92.63,91.78,91.99,14448509,PM
2013-03-26,91.54,91.81,90.9901,91.76,4676434,PM
2013-03-27,91.29,92.635,91.24,92.0,4168941,PM
2013-03-28,92.04,92.94,91.95,92.71,4425653,PM
2013-04-01,92.74,92.805,92.065,92.78,2947675,PM
2013-04-02,93.05,94.45,92.9,94.41,4614119,PM
2013-04-03,94.58,95.321,94.07,94.36,6293656,PM
2013-04-04,94.74,95.26,94.35,94.53,3819713,PM
2013-04-05,93.79,94.0,92.33,92.72,5034318,PM
2013-04-08,92.94,94.49,92.8,94.44,3674272,PM
2013-04-09,94.77,95.1,94.06,94.54,3295357,PM
2013-04-10,94.89,95.42,94.24,95.26,3744454,PM
2013-04-11,95.33,96.07,95.03,95.6,3718710,PM
2013-04-12,95.67,96.6,95.3,96.44,3945077,PM
2013-04-15,95.94,96.17,94.09,94.11,5016084,PM
2013-04-16,94.46,95.23,93.73,94.97,5630189,PM
2013-04-17,94.57,94.72,93.52,94.04,4344378,PM
2013-04-18,92.0,92.62,90.7,91.69,8271046,PM
2013-04-19,91.94,92.6,91.5,91.95,5949713,PM
2013-04-22,91.9,92.945,91.6699,92.82,4176868,PM
2013-04-23,93.28,93.88,92.0,93.6,4266540,PM
2013-04-24,93.77,94.94,93.64,94.05,5209004,PM
2013-04-25,94.47,94.81,94.21,94.64,3363146,PM
2013-04-26,94.77,95.72,94.67,95.31,4369667,PM
2013-04-29,95.31,96.12,94.96,95.96,3802628,PM
2013-04-30,95.83,95.9,95.06,95.59,3714391,PM
2013-05-01,95.32,96.73,95.22,95.67,5123172,PM
2013-05-02,95.88,96.04,94.5401,95.01,5691575,PM
2013-05-03,95.46,95.6,94.05,94.26,5658388,PM
2013-05-06,93.78,94.08,92.85,93.11,6189631,PM
2013-05-07,93.12,93.89,93.0,93.61,4977513,PM
2013-05-08,93.65,94.56,93.47,94.51,4237335,PM
2013-05-09,94.38,94.535,93.43,93.71,3770829,PM
2013-05-10,93.95,94.1,93.0,93.32,5358042,PM
2013-05-13,93.16,94.54,93.03,94.04,4749364,PM
2013-05-14,93.97,95.04,93.84,94.96,4624155,PM
2013-05-15,95.06,96.31,94.97,96.3,5042584,PM
2013-05-16,95.81,96.32,95.25,95.44,5139022,PM
2013-05-17,95.53,96.01,94.965,95.68,5141297,PM
2013-05-20,95.68,95.75,94.75,95.0,3855223,PM
2013-05-21,94.94,94.97,93.69,94.4,5203499,PM
2013-05-22,93.94,95.33,93.75,93.97,7011037,PM
2013-05-23,93.4,94.6,93.3,94.31,5457988,PM
2013-05-24,93.86,94.4301,93.33,94.12,3815608,PM
2013-05-28,94.89,95.6,93.16,93.36,6276410,PM
2013-05-29,92.67,92.74,91.45,92.25,6788984,PM
2013-05-30,92.25,92.91,92.02,92.42,4373880,PM
2013-05-31,91.97,92.565,90.89,90.91,7409346,PM
2013-06-03,90.95,92.66,90.2,92.38,6555863,PM
2013-06-04,92.38,92.82,91.42,91.89,4727211,PM
2013-06-05,91.66,91.72,90.41,90.47,4480006,PM
2013-06-06,90.15,92.0,89.43,92.0,9931556,PM
2013-06-07,92.65,93.065,91.07,92.09,5650528,PM
2013-06-10,92.26,92.73,91.41,91.63,3888447,PM
2013-06-11,91.09,92.33,90.85,91.23,3648043,PM
2013-06-12,91.7,92.155,91.1,91.65,4194731,PM
2013-06-13,91.74,92.77,91.36,92.58,3902543,PM
2013-06-14,92.32,93.17,91.97,92.12,3811038,PM
2013-06-17,92.43,93.0,91.8229,92.47,4584525,PM
2013-06-18,92.51,92.88,91.94,92.65,2888162,PM
2013-06-19,92.73,93.13,90.26,90.26,4841643,PM
2013-06-20,89.86,89.86,86.33,86.63,9512242,PM
2013-06-21,87.48,88.44,86.65,87.46,11091388,PM
2013-06-24,86.61,88.03,86.05,86.85,6825166,PM
2013-06-25,86.57,86.94,86.05,86.5,6388001,PM
2013-06-26,87.12,88.41,86.94,87.54,6448872,PM
2013-06-27,88.37,88.96,87.69,87.78,5277165,PM
2013-06-28,87.5,88.32,86.56,86.62,11125921,PM
2013-07-01,87.11,87.96,87.11,87.53,5338041,PM
2013-07-02,87.39,88.38,87.05,87.56,4775844,PM
2013-07-03,87.08,88.175,86.8,87.75,2071866,PM
2013-07-05,88.12,88.25,86.58,87.51,3039630,PM
2013-07-08,88.01,89.12,87.78,88.57,4374209,PM
2013-07-09,89.28,89.9,88.93,89.18,4291383,PM
2013-07-10,89.22,89.9092,88.22,88.43,5037099,PM
2013-07-11,89.84,91.08,89.66,90.34,5808599,PM
2013-07-12,90.99,91.4,89.04,89.7,4958762,PM
2013-07-15,89.68,90.185,89.21,89.61,3612854,PM
2013-07-16,89.52,90.75,89.31,89.95,4933608,PM
2013-07-17,90.26,90.65,89.71,89.71,4355123,PM
2013-07-18,88.28,90.2,87.65,89.25,6149465,PM
2013-07-19,89.31,89.49,88.45,88.61,5246863,PM
2013-07-22,89.0,90.1,88.57,89.23,4327832,PM
2013-07-23,89.2,89.68,88.58,88.78,4164752,PM
2013-07-24,88.84,88.926,87.89,88.54,5171511,PM
2013-07-25,88.085,89.67,88.085,89.22,3954880,PM
