date,open,high,low,close,volume,Name
2013-02-08,53.6,53.96,53.3,53.95,454688,PNW
2013-02-11,53.97,54.2,53.87,54.13,815732,PNW
2013-02-12,54.16,54.53,54.11,54.49,474726,PNW
2013-02-13,54.52,54.78,54.44,54.56,912394,PNW
2013-02-14,54.45,54.63,54.31,54.33,810240,PNW
2013-02-15,54.37,54.481,54.24,54.34,611771,PNW
2013-02-19,54.47,55.07,54.42,54.98,648822,PNW
2013-02-20,55.02,55.29,54.75,54.8,597080,PNW
2013-02-21,54.8,54.93,54.55,54.59,489763,PNW
2013-02-22,54.69,55.41,54.51,55.4,512157,PNW
2013-02-25,55.65,55.95,54.38,54.38,901626,PNW
2013-02-26,54.62,55.17,54.54,54.79,724972,PNW
2013-02-27,54.74,55.28,54.74,55.24,659776,PNW
2013-02-28,55.24,56.01,55.14,55.94,804430,PNW
2013-03-01,55.9,56.1,55.56,56.04,880167,PNW
2013-03-04,55.98,56.89,55.94,56.87,802130,PNW
2013-03-05,57.07,57.38,56.98,57.22,629124,PNW
2013-03-06,57.31,57.5,57.18,57.31,716812,PNW
2013-03-07,57.31,57.5299,57.01,57.03,398450,PNW
2013-03-08,57.12,57.22,56.76,57.05,264485,PNW
2013-03-11,56.9,57.14,56.9,57.06,344010,PNW
2013-03-12,57.07,57.1,56.63,56.92,381400,PNW
2013-03-13,56.93,57.06,56.7,56.98,407055,PNW
2013-03-14,57.11,57.17,56.83,57.0,606329,PNW
2013-03-15,56.78,57.0499,56.64,56.98,853988,PNW
2013-03-18,56.57,56.83,56.4995,56.6,287509,PNW
2013-03-19,56.86,56.96,56.38,56.66,654273,PNW
2013-03-20,56.92,57.38,56.8,57.09,526541,PNW
2013-03-21,57.0,57.04,56.569,56.71,342419,PNW
2013-03-22,56.75,56.95,56.15,56.74,337445,PNW
2013-03-25,56.89,57.31,56.5,56.64,479133,PNW
2013-03-26,56.8,57.09,56.76,57.07,550944,PNW
2013-03-27,56.74,57.24,56.6,57.21,489686,PNW
2013-03-28,57.17,57.955,57.11,57.89,880034,PNW
2013-04-01,57.89,57.94,57.54,57.66,521841,PNW
2013-04-02,57.75,57.99,57.53,57.7,664711,PNW
2013-04-03,57.78,57.83,57.41,57.6,616719,PNW
2013-04-04,57.55,58.01,57.55,57.97,516841,PNW
2013-04-05,57.54,58.16,57.5,58.12,477796,PNW
2013-04-08,58.15,58.74,57.89,58.65,566835,PNW
2013-04-09,58.72,58.73,58.12,58.16,659273,PNW
2013-04-10,58.25,58.87,58.25,58.78,493828,PNW
2013-04-11,58.91,59.3,58.71,59.27,733492,PNW
2013-04-12,59.11,59.54,59.11,59.49,431831,PNW
2013-04-15,59.3,59.49,58.33,58.33,561786,PNW
2013-04-16,58.74,59.09,58.091,58.88,504394,PNW
2013-04-17,58.7,58.79,57.8,58.36,981000,PNW
2013-04-18,58.52,58.81,58.08,58.54,1179552,PNW
2013-04-19,58.67,59.42,58.51,59.41,511155,PNW
2013-04-22,59.5,60.24,59.14,59.95,804210,PNW
2013-04-23,60.21,60.225,59.32,59.91,514261,PNW
2013-04-24,59.83,60.5,59.59,60.33,613752,PNW
2013-04-25,60.48,61.09,60.29,60.76,1850395,PNW
2013-04-26,60.76,61.04,60.56,60.7,1797412,PNW
2013-04-29,60.62,60.98,60.16,60.88,479202,PNW
2013-04-30,60.68,61.0,60.5,60.9,658943,PNW
2013-05-01,60.82,61.1,60.5,60.58,520081,PNW
2013-05-02,60.79,60.79,60.1,60.52,624281,PNW
2013-05-03,61.12,61.83,60.85,61.48,754602,PNW
2013-05-06,61.89,61.89,60.63,60.67,933125,PNW
2013-05-07,60.73,61.42,60.35,61.41,671158,PNW
2013-05-08,61.28,61.44,60.44,60.8,659210,PNW
2013-05-09,60.68,60.75,59.18,59.48,1230745,PNW
2013-05-10,59.25,59.44,58.92,59.33,978949,PNW
2013-05-13,59.12,59.2,58.77,59.01,606366,PNW
2013-05-14,58.96,59.59,58.681,59.38,563530,PNW
2013-05-15,59.39,60.69,59.23,60.22,855778,PNW
2013-05-16,60.15,60.225,59.84,60.06,1213169,PNW
2013-05-17,60.23,60.66,60.0,60.57,1030671,PNW
2013-05-20,60.51,60.64,60.085,60.18,373167,PNW
2013-05-21,60.27,60.54,59.71,60.09,754306,PNW
2013-05-22,60.05,60.8,58.78,59.15,880289,PNW
