date,open,high,low,close,volume,Name
2013-02-08,106.98,108.34,106.98,108.3,525311,PRGO
2013-02-11,109.5,111.89,109.02,111.4,1345563,PRGO
2013-02-12,111.6,112.38,111.35,111.55,857423,PRGO
2013-02-13,111.44,112.28,111.38,111.72,534538,PRGO
2013-02-14,111.69,113.29,111.37,113.16,750916,PRGO
2013-02-15,113.16,113.64,112.6901,113.58,686881,PRGO
2013-02-19,113.8,115.0,113.8,114.73,618402,PRGO
2013-02-20,115.1,115.43,114.13,114.13,431488,PRGO
2013-02-21,113.61,114.48,112.77,113.58,643398,PRGO
2013-02-22,114.14,114.5,112.85,113.31,389927,PRGO
2013-02-25,115.71,116.9,114.6,114.6,1060638,PRGO
2013-02-26,114.7,115.09,113.33,113.67,635596,PRGO
2013-02-27,113.39,114.6144,112.45,114.14,397416,PRGO
2013-02-28,114.32,114.88,113.14,113.17,744910,PRGO
2013-03-01,113.25,113.66,112.3,113.05,659798,PRGO
2013-03-04,113.2,114.67,113.2,114.6,694426,PRGO
2013-03-05,115.28,116.2475,114.02,114.985,432044,PRGO
2013-03-06,115.13,116.72,115.13,116.69,734339,PRGO
2013-03-07,116.1,116.28,115.15,115.44,574184,PRGO
2013-03-08,115.91,116.03,115.02,115.69,405285,PRGO
2013-03-11,115.84,116.45,115.465,116.4,559494,PRGO
2013-03-12,116.25,117.75,115.63,117.6,587101,PRGO
2013-03-13,117.18,117.41,116.3001,117.02,364438,PRGO
2013-03-14,117.19,117.7,116.49,116.7,615547,PRGO
2013-03-15,116.09,116.78,115.97,116.22,753010,PRGO
2013-03-18,115.51,117.23,115.175,117.2,497230,PRGO
2013-03-19,117.46,117.745,116.87,117.3,475486,PRGO
2013-03-20,118.19,118.37,117.05,117.65,541518,PRGO
2013-03-21,117.16,118.37,117.14,118.27,598176,PRGO
2013-03-22,117.88,118.74,117.57,118.25,359105,PRGO
2013-03-25,118.6,118.6,117.42,118.08,430197,PRGO
2013-03-26,118.34,118.6,117.415,117.54,446203,PRGO
2013-03-27,117.15,117.82,116.42,117.17,349190,PRGO
2013-03-28,117.35,118.86,117.09,118.74,702214,PRGO
2013-04-01,118.42,119.33,117.77,118.87,573612,PRGO
2013-04-02,119.07,120.94,119.07,119.74,963216,PRGO
2013-04-03,119.43,119.85,117.76,118.5,357129,PRGO
2013-04-04,118.35,118.73,117.49,118.51,245169,PRGO
2013-04-05,117.35,118.21,116.68,118.05,307438,PRGO
2013-04-08,117.65,118.7,116.7,118.7,346628,PRGO
2013-04-09,118.37,118.88,117.87,118.39,373505,PRGO
2013-04-10,118.75,119.74,118.085,119.68,368029,PRGO
2013-04-11,119.93,120.085,119.28,119.74,418942,PRGO
2013-04-12,120.13,120.49,119.33,119.92,367189,PRGO
2013-04-15,119.76,120.48,117.1,117.3,530471,PRGO
2013-04-16,117.79,118.66,116.38,118.41,521550,PRGO
2013-04-17,117.52,117.98,116.1825,117.848,473108,PRGO
2013-04-18,117.4,117.87,116.62,117.7,335451,PRGO
2013-04-19,117.16,119.56,117.16,119.47,369927,PRGO
2013-04-22,120.47,120.89,118.87,119.76,659956,PRGO
2013-04-23,120.3,121.12,118.6,119.98,410165,PRGO
2013-04-24,120.11,120.11,117.55,117.8,538243,PRGO
2013-04-25,117.95,119.54,117.48,119.02,593175,PRGO
2013-04-26,119.17,119.87,118.38,118.81,266908,PRGO
2013-04-29,119.12,120.28,118.575,120.08,268538,PRGO
2013-04-30,119.55,119.67,118.27,119.41,369083,PRGO
2013-05-01,119.25,119.95,118.1,118.53,247624,PRGO
2013-05-02,118.73,119.491,118.05,118.61,244194,PRGO
2013-05-03,119.69,120.67,118.9,119.23,407541,PRGO
2013-05-06,119.2,119.5,118.348,118.84,414133,PRGO
2013-05-07,116.86,116.86,113.38,116.29,1755126,PRGO
2013-05-08,116.17,120.302,115.93,118.28,623883,PRGO
2013-05-09,117.82,118.75,116.71,117.03,470055,PRGO
2013-05-10,117.33,119.72,117.321,119.64,385284,PRGO
2013-05-13,119.45,120.07,119.19,119.41,371509,PRGO
2013-05-14,119.56,120.72,118.92,120.38,508507,PRGO
2013-05-15,120.45,121.33,119.8,121.05,597760,PRGO
2013-05-16,120.6,120.95,119.72,119.81,590212,PRGO
2013-05-17,120.32,120.74,119.22,119.48,493749,PRGO
2013-05-20,119.48,120.52,118.74,119.03,320423,PRGO
2013-05-21,118.59,119.31,117.93,118.65,322751,PRGO
2013-05-22,119.01,120.445,117.25,118.07,505155,PRGO
2013-05-23,117.71,118.7,116.97,117.86,548354,PRGO
2013-05-24,117.35,119.13,116.67,118.92,403796,PRGO
2013-05-28,119.6,119.95,118.9,119.34,675812,PRGO
2013-05-29,119.08,119.35,116.7,117.03,727181,PRGO
2013-05-30,117.18,118.18,116.87,117.2,358324,PRGO
2013-05-31,116.8,116.97,115.36,115.84,905307,PRGO
2013-06-03,116.24,116.346,114.1,115.95,673043,PRGO
2013-06-04,116.38,116.55,113.98,114.62,596492,PRGO
2013-06-05,115.4,115.434,112.05,113.14,4750020,PRGO
2013-06-06,113.86,117.8,113.76,117.52,1177653,PRGO
2013-06-07,117.87,118.4,116.29,116.81,551247,PRGO
2013-06-10,117.38,117.9,116.67,117.39,470569,PRGO
2013-06-11,116.39,117.85,115.88,117.15,408550,PRGO
2013-06-12,118.15,118.565,115.89,116.47,798658,PRGO
2013-06-13,116.18,118.205,115.43,118.07,804280,PRGO
2013-06-14,117.31,119.06,117.31,118.6,456675,PRGO
2013-06-17,119.89,120.5,118.6901,119.51,764419,PRGO
2013-06-18,119.47,121.3,119.44,121.16,502364,PRGO
2013-06-19,120.3,122.04,119.96,120.09,667495,PRGO
2013-06-20,119.79,119.79,118.14,118.45,619781,PRGO
2013-06-21,119.25,119.78,118.21,119.61,719406,PRGO
2013-06-24,118.88,119.55,117.895,118.5,774570,PRGO
2013-06-25,119.55,119.55,117.78,118.79,403485,PRGO
2013-06-26,119.14,120.12,118.86,119.6,498003,PRGO
2013-06-27,119.86,120.94,119.52,120.88,396618,PRGO
2013-06-28,120.86,121.96,119.95,121.0,744007,PRGO
2013-07-01,121.19,122.55,120.6,121.94,670493,PRGO
2013-07-02,121.47,122.26,120.94,122.01,506823,PRGO
2013-07-03,121.44,122.3,120.99,122.13,417311,PRGO
2013-07-05,122.15,123.95,121.645,123.77,685154,PRGO
2013-07-08,124.4,124.56,123.37,124.32,514121,PRGO
2013-07-09,125.09,126.71,124.7,126.42,1268066,PRGO
2013-07-10,126.51,128.03,126.51,127.84,1173840,PRGO
2013-07-11,128.57,129.08,127.57,128.21,753122,PRGO
2013-07-12,128.64,129.0,127.7,128.49,604662,PRGO
2013-07-15,128.26,128.5,126.73,128.33,515036,PRGO
2013-07-16,128.66,128.66,126.88,127.95,419682,PRGO
2013-07-17,128.46,128.82,127.52,127.85,444635,PRGO
2013-07-18,127.95,129.11,127.77,128.99,532008,PRGO
2013-07-19,128.32,133.49,128.24,129.37,481489,PRGO
2013-07-22,129.53,130.6,128.92,130.19,318414,PRGO
2013-07-23,130.17,130.28,129.13,129.28,566720,PRGO
2013-07-24,129.55,130.71,129.47,130.01,452290,PRGO
2013-07-25,129.53,132.55,129.11,132.37,665121,PRGO
2013-07-26,132.22,134.31,131.345,134.23,473564,PRGO
2013-07-29,129.9,131.11,122.99,125.17,10879068,PRGO
2013-07-30,127.71,128.5,125.3,126.21,3896123,PRGO
2013-07-31,126.88,127.17,124.2,124.39,2594179,PRGO
2013-08-01,125.52,126.68,125.21,125.41,1634427,PRGO
2013-08-02,125.4,128.39,124.71,128.39,1951267,PRGO
2013-08-05,128.48,128.48,127.05,127.21,1210409,PRGO
2013-08-06,127.35,128.479,127.06,127.89,873611,PRGO
2013-08-07,127.81,128.7,127.69,128.49,1048798,PRGO
2013-08-08,128.38,129.175,127.62,128.93,864832,PRGO
2013-08-09,129.43,129.43,128.2,128.37,714684,PRGO
