date,open,high,low,close,volume,Name
2013-02-08,63.41,65.24,63.22,64.02,4745571,PSX
2013-02-11,64.0,64.66,63.72,64.18,3097765,PSX
2013-02-12,64.62,64.78,63.78,64.43,3701971,PSX
2013-02-13,64.5,64.5,63.85,64.11,2777089,PSX
2013-02-14,63.77,64.92,63.75,64.83,3559969,PSX
2013-02-15,64.55,65.38,63.53,64.17,3788421,PSX
2013-02-19,64.02,64.89,63.54,64.76,3092383,PSX
2013-02-20,64.75,64.945,62.54,62.64,4847063,PSX
2013-02-21,62.32,62.92,61.22,62.29,5030526,PSX
2013-02-22,62.78,64.12,62.51,64.11,3049275,PSX
2013-02-25,64.44,64.74,61.31,61.34,4294033,PSX
2013-02-26,61.48,61.69,59.935,61.23,4346822,PSX
2013-02-27,61.3,63.1225,61.0,62.99,2581316,PSX
2013-02-28,62.86,64.265,62.0,62.96,4226584,PSX
2013-03-01,62.71,63.93,62.19,63.9,3150179,PSX
2013-03-04,63.84,65.74,63.54,65.68,3758812,PSX
2013-03-05,66.04,66.05,64.52,65.77,3920271,PSX
2013-03-06,66.0,66.975,65.4,66.05,2929805,PSX
2013-03-07,65.89,66.1199,64.791,65.87,3429602,PSX
2013-03-08,66.08,66.28,65.6,66.03,4045212,PSX
2013-03-11,65.9,66.08,63.94,65.69,4966759,PSX
2013-03-12,65.66,66.4,65.211,66.22,4126287,PSX
2013-03-13,65.88,66.04,64.2,64.55,4784809,PSX
2013-03-14,64.96,65.45,64.2929,64.95,3836775,PSX
2013-03-15,64.49,65.24,64.11,64.15,5983383,PSX
2013-03-18,63.32,65.29,63.011,65.03,3643847,PSX
2013-03-19,64.88,66.35,64.66,65.41,4124338,PSX
2013-03-20,66.0,68.44,65.95,67.54,5088263,PSX
2013-03-21,67.0,67.84,66.11,66.82,3394838,PSX
2013-03-22,66.97,67.79,66.84,67.55,2635543,PSX
2013-03-25,67.94,68.7,66.65,66.86,3904933,PSX
2013-03-26,66.98,67.41,66.37,67.24,3243532,PSX
2013-03-27,67.13,68.29,66.462,68.27,3920271,PSX
2013-03-28,68.38,70.52,67.96,69.97,6224846,PSX
2013-04-01,70.0,70.19,68.73,69.36,3015491,PSX
2013-04-02,70.17,70.2,66.705,66.84,5679056,PSX
2013-04-03,66.84,66.875,61.47,62.46,14028225,PSX
2013-04-04,62.57,63.95,61.9356,62.39,6138678,PSX
2013-04-05,61.26,62.97,60.2,62.31,5289787,PSX
2013-04-08,62.29,63.8,61.9,63.62,3969301,PSX
2013-04-09,63.95,65.23,62.86,64.66,4291901,PSX
2013-04-10,64.78,65.21,63.0475,63.86,6005988,PSX
2013-04-11,63.81,63.86,61.81,62.01,6204997,PSX
2013-04-12,61.37,61.74,59.07,60.67,8307664,PSX
2013-04-15,59.18,59.9899,57.08,57.52,7897362,PSX
2013-04-16,58.15,59.32,57.77,59.28,5644287,PSX
2013-04-17,58.55,58.79,57.158,57.99,4602098,PSX
2013-04-18,57.92,58.54,56.13,57.23,4268983,PSX
2013-04-19,58.14,58.14,56.46,57.84,5045419,PSX
2013-04-22,58.12,60.34,58.07,59.43,3659439,PSX
2013-04-23,59.59,61.4201,59.36,61.15,5319610,PSX
2013-04-24,61.41,63.05,61.31,61.82,4771530,PSX
2013-04-25,62.04,63.09,61.78,61.9,4384071,PSX
2013-04-26,61.85,62.08,61.14,61.6,3034655,PSX
2013-04-29,61.97,62.3,61.48,61.8,3444889,PSX
2013-04-30,61.93,62.195,60.02,60.95,5457370,PSX
2013-05-01,61.11,61.939,59.55,59.67,5678545,PSX
2013-05-02,60.07,60.68,59.161,60.3,4212270,PSX
2013-05-03,60.8,62.66,60.49,62.18,4548957,PSX
2013-05-06,62.49,64.24,62.3235,63.87,3682860,PSX
2013-05-07,64.25,65.34,64.02,64.48,4675876,PSX
2013-05-08,64.23,64.47,62.85,63.41,3664069,PSX
2013-05-09,63.23,63.2701,61.88,62.13,3435010,PSX
2013-05-10,61.73,62.2,61.0,61.38,5060830,PSX
2013-05-13,61.13,62.28,60.39,61.97,3829450,PSX
2013-05-14,62.06,64.18,62.0,64.08,6213983,PSX
2013-05-15,63.73,65.48,63.73,64.95,5621625,PSX
2013-05-16,64.71,65.41,63.7,63.84,3994341,PSX
2013-05-17,64.2,65.92,64.18,65.46,5521968,PSX
2013-05-20,65.32,66.85,65.32,65.96,4531463,PSX
2013-05-21,66.1,66.71,64.89,65.42,4505275,PSX
2013-05-22,65.3,66.62,64.8,65.39,4482776,PSX
2013-05-23,64.44,65.559,63.9,65.25,2354836,PSX
2013-05-24,64.77,65.5,63.8,65.47,2518313,PSX
2013-05-28,66.39,66.98,65.92,66.52,2792067,PSX
2013-05-29,66.21,67.34,65.65,66.84,3135140,PSX
2013-05-30,66.35,67.11,65.68,66.77,2896399,PSX
2013-05-31,66.64,67.89,66.28,66.57,3507043,PSX
2013-06-03,67.04,67.085,64.28,66.08,4023602,PSX
2013-06-04,65.8,66.18,64.3,65.18,2890373,PSX
2013-06-05,64.94,65.35,63.53,63.61,3064323,PSX
2013-06-06,63.68,65.15,63.35,65.0,2637249,PSX
2013-06-07,65.44,66.2,65.1779,65.87,2774635,PSX
2013-06-10,65.93,66.39,65.01,65.11,2372421,PSX
2013-06-11,64.05,64.731,63.7,63.96,3202324,PSX
2013-06-12,64.88,65.21,63.182,63.31,3967161,PSX
2013-06-13,63.09,64.82,62.37,64.51,3336236,PSX
2013-06-14,64.71,64.974,63.77,63.81,1833818,PSX
2013-06-17,64.2,64.69,63.98,64.26,3341858,PSX
2013-06-18,64.48,65.0,64.25,64.39,2336823,PSX
2013-06-19,64.27,64.87,63.51,63.63,3341463,PSX
2013-06-20,62.58,62.69,60.06,60.39,5087343,PSX
2013-06-21,61.02,61.23,58.06,59.25,6356933,PSX
2013-06-24,58.46,58.77,56.84,57.19,4938443,PSX
2013-06-25,58.29,59.71,58.29,59.41,3455488,PSX
2013-06-26,60.1,60.96,59.56,59.72,2709416,PSX
2013-06-27,60.32,60.41,58.45,59.22,3885529,PSX
2013-06-28,59.14,59.75,58.771,58.91,3574205,PSX
2013-07-01,59.24,60.24,58.67,58.9,3486847,PSX
2013-07-02,58.85,59.21,56.61,57.08,4998438,PSX
2013-07-03,56.75,57.71,54.8,57.68,6190955,PSX
2013-07-05,57.84,57.89,55.41,57.24,3653196,PSX
