date,open,high,low,close,volume,Name
2013-02-08,125.0,129.25,124.58,128.97,2054111,PXD
2013-02-11,128.97,129.26,125.75,128.55,2148176,PXD
2013-02-12,128.93,130.36,128.09,128.5,1618589,PXD
2013-02-13,130.8,130.8,125.92,126.76,3095077,PXD
2013-02-14,122.43,133.68,120.03,130.05,5504300,PXD
2013-02-15,128.99,131.75,128.6,130.56,9338268,PXD
2013-02-19,131.42,132.87,131.13,132.45,1757044,PXD
2013-02-20,132.2,132.2,127.65,127.84,2930510,PXD
2013-02-21,127.7,127.99,123.27,125.52,2216929,PXD
2013-02-22,126.83,128.25,124.635,127.0,2369890,PXD
2013-02-25,128.06,128.38,121.02,121.09,2362392,PXD
2013-02-26,122.17,124.69,119.83,124.28,2076863,PXD
2013-02-27,124.12,126.6674,123.95,126.1,1377028,PXD
2013-02-28,125.96,126.85,124.53,125.81,1706710,PXD
2013-03-01,124.75,124.84,122.45,123.69,1563951,PXD
2013-03-04,123.3,123.99,120.95,123.0,1496633,PXD
2013-03-05,124.28,126.19,122.96,125.23,1311744,PXD
2013-03-06,126.07,126.07,124.45,125.11,999523,PXD
2013-03-07,124.88,128.0,123.25,127.65,3153381,PXD
2013-03-08,128.26,129.39,126.92,127.64,1811979,PXD
2013-03-11,127.28,128.095,126.18,127.67,744386,PXD
2013-03-12,128.09,128.13,126.17,127.11,972048,PXD
2013-03-13,126.89,127.119,125.58,126.29,1239556,PXD
2013-03-14,126.61,127.82,125.11,127.62,1741934,PXD
2013-03-15,126.82,129.97,126.255,129.31,2213564,PXD
2013-03-18,127.49,128.48,126.51,126.99,932893,PXD
2013-03-19,126.84,127.6199,123.21,124.02,998192,PXD
2013-03-20,125.45,126.4299,122.83,124.46,1055887,PXD
2013-03-21,123.56,124.93,121.39,121.83,1090485,PXD
2013-03-22,122.66,123.73,121.99,122.73,923143,PXD
2013-03-25,123.28,125.0,121.01,122.12,1494919,PXD
2013-03-26,123.3,126.15,122.42,126.07,1183744,PXD
2013-03-27,125.9,126.71,123.34,126.25,1713085,PXD
2013-03-28,125.79,126.7,124.07,124.25,1465926,PXD
2013-04-01,124.2,124.96,121.644,122.91,1483469,PXD
2013-04-02,122.38,123.82,122.38,123.48,1487753,PXD
2013-04-03,124.16,124.4,120.16,120.93,1315075,PXD
2013-04-04,120.41,120.81,116.66,117.82,1934073,PXD
2013-04-05,115.46,119.49,114.31,118.59,2091282,PXD
2013-04-08,118.88,121.4,118.75,121.38,986826,PXD
2013-04-09,121.29,123.79,120.11,123.2,1359093,PXD
2013-04-10,123.58,123.96,122.53,122.9,867699,PXD
2013-04-11,123.45,123.9699,122.12,123.52,1128253,PXD
2013-04-12,122.08,122.5,117.44,118.61,1579596,PXD
2013-04-15,115.79,117.5,110.17,110.17,2482708,PXD
2013-04-16,112.59,115.4,109.89,113.61,2058261,PXD
2013-04-17,111.96,112.33,109.185,111.59,1810637,PXD
2013-04-18,111.6,113.5575,109.73,112.35,1460500,PXD
2013-04-19,112.75,113.3,109.64,110.59,1189606,PXD
2013-04-22,111.05,113.325,109.9,112.71,1310409,PXD
2013-04-23,112.88,114.075,111.8738,113.78,1155516,PXD
2013-04-24,114.11,116.16,114.11,115.72,1168388,PXD
2013-04-25,115.75,119.26,115.53,117.49,1629126,PXD
2013-04-26,117.44,118.37,115.795,118.12,1429926,PXD
2013-04-29,118.89,121.59,117.94,121.01,1090516,PXD
2013-04-30,120.71,122.85,120.16,122.23,1332485,PXD
2013-05-01,121.09,121.09,118.07,118.97,1544870,PXD
2013-05-02,119.36,127.86,119.13,126.31,2367631,PXD
2013-05-03,128.42,130.62,128.42,129.64,1873574,PXD
2013-05-06,131.48,134.88,130.53,133.54,2817032,PXD
2013-05-07,134.76,138.87,134.29,137.79,2581912,PXD
2013-05-08,136.43,138.745,135.7,138.07,2282577,PXD
2013-05-09,137.47,138.95,136.31,136.97,2179992,PXD
2013-05-10,136.28,137.31,133.07,137.13,2360777,PXD
2013-05-13,136.82,138.58,136.69,137.72,1122614,PXD
2013-05-14,137.64,140.57,137.4,139.95,1685783,PXD
2013-05-15,139.35,139.91,137.47,138.83,1081783,PXD
2013-05-16,138.75,139.82,137.48,138.58,838510,PXD
2013-05-17,139.7,142.59,139.15,142.25,1462622,PXD
2013-05-20,142.48,143.39,139.875,140.15,1538335,PXD
2013-05-21,139.96,141.64,138.89,138.97,1254006,PXD
2013-05-22,144.0,146.68,142.8,143.53,3152389,PXD
2013-05-23,140.9,144.65,138.63,144.02,1220365,PXD
2013-05-24,142.79,142.99,140.45,141.2,1232778,PXD
2013-05-28,143.91,145.83,143.25,145.24,1110237,PXD
2013-05-29,143.62,146.44,143.32,144.65,824111,PXD
2013-05-30,143.53,145.61,142.52,144.47,713187,PXD
2013-05-31,143.83,144.3,138.62,138.68,1738374,PXD
2013-06-03,139.8,142.19,138.55,140.83,1289945,PXD
2013-06-04,140.32,142.22,138.18,140.0,988240,PXD
2013-06-05,139.46,140.1,137.99,138.0,859807,PXD
2013-06-06,137.66,142.12,137.44,142.02,1088365,PXD
2013-06-07,142.15,144.94,141.71,144.29,770319,PXD
2013-06-10,142.28,145.73,142.28,145.56,889771,PXD
2013-06-11,142.53,144.51,142.35,143.13,1517286,PXD
2013-06-12,144.57,145.18,142.36,142.88,1023642,PXD
2013-06-13,142.8,147.99,142.39,146.95,1126597,PXD
2013-06-14,147.12,148.72,145.99,146.62,1240230,PXD
2013-06-17,149.36,154.26,149.14,152.32,1822228,PXD
2013-06-18,153.46,157.81,152.57,154.65,2024969,PXD
2013-06-19,154.65,155.14,152.68,153.06,1251200,PXD
2013-06-20,150.42,150.44,145.82,146.29,2374804,PXD
2013-06-21,147.9,147.909,141.88,144.61,2994653,PXD
2013-06-24,142.54,146.71,138.91,145.24,1894683,PXD
2013-06-25,147.8,149.42,145.28,148.01,1208410,PXD
2013-06-26,148.38,149.65,146.95,147.17,1113972,PXD
2013-06-27,148.79,149.9275,146.64,146.71,1102135,PXD
2013-06-28,145.9,146.69,144.27,144.75,1496867,PXD
2013-07-01,146.19,151.34,146.19,148.73,1233563,PXD
2013-07-02,148.81,152.2,148.7,149.9,1637320,PXD
2013-07-03,149.8,150.15,148.44,148.75,1013982,PXD
2013-07-05,150.04,152.62,147.83,152.55,1327668,PXD
2013-07-08,153.02,154.69,150.01,150.6,823312,PXD
2013-07-09,151.87,154.74,149.88,153.49,1555899,PXD
2013-07-10,154.02,155.61,151.03,152.08,1483471,PXD
2013-07-11,154.89,157.176,152.16,153.45,1212834,PXD
2013-07-12,152.61,154.4275,151.75,153.43,854785,PXD
2013-07-15,153.4,155.71,152.081,152.51,755108,PXD
2013-07-16,153.19,154.33,150.65,152.59,641796,PXD
2013-07-17,153.05,154.12,151.97,153.41,711673,PXD
2013-07-18,153.95,156.479,153.61,156.23,835638,PXD
2013-07-19,156.35,157.89,153.71,157.84,1144311,PXD
2013-07-22,157.21,157.75,155.53,155.86,882910,PXD
2013-07-23,156.19,156.65,154.8601,155.1,791812,PXD
2013-07-24,154.81,155.0,151.41,153.0,1109841,PXD
2013-07-25,153.45,156.23,152.21,154.76,953938,PXD
2013-07-26,153.39,154.91,153.1,154.78,853963,PXD
2013-07-29,154.29,155.51,152.73,154.89,820017,PXD
2013-07-30,154.67,156.0,152.04,153.33,874675,PXD
2013-07-31,154.35,156.92,153.55,154.76,1368907,PXD
2013-08-01,173.7,181.62,169.51,174.15,4224824,PXD
2013-08-02,174.21,181.65,172.99,181.21,1944828,PXD
2013-08-05,180.0,182.67,178.73,180.08,1439152,PXD
2013-08-06,180.1,180.64,174.49,176.67,1395757,PXD
2013-08-07,176.19,177.66,174.47,175.67,839663,PXD
2013-08-08,179.48,179.48,174.38,176.35,981491,PXD
2013-08-09,175.81,176.89,174.54,175.62,616308,PXD
2013-08-12,175.37,176.84,172.5,174.19,1227760,PXD
2013-08-13,174.56,174.8224,171.255,174.06,926745,PXD
2013-08-14,174.23,175.0,169.82,169.96,931870,PXD
2013-08-15,169.14,170.07,166.74,169.15,862325,PXD
2013-08-16,168.32,172.54,167.63,170.29,859510,PXD
2013-08-19,169.62,170.35,166.15,166.36,890338,PXD
2013-08-20,166.75,171.11,166.18,167.64,913763,PXD
2013-08-21,167.39,169.36,166.46,166.78,726542,PXD
2013-08-22,168.04,171.248,167.19,170.34,420884,PXD
2013-08-23,170.3,172.6,168.77,172.2,583928,PXD
2013-08-26,172.46,175.81,171.72,172.96,928632,PXD
2013-08-27,172.0,174.65,170.93,171.1,655088,PXD
2013-08-28,171.35,178.66,171.35,176.77,1187471,PXD
2013-08-29,176.39,176.49,173.09,173.78,912172,PXD
2013-08-30,173.78,175.47,173.5,174.97,1077927,PXD
2013-09-03,177.09,180.99,175.92,179.8,1405299,PXD
2013-09-04,179.71,182.7,178.52,182.0,1044428,PXD
2013-09-05,182.17,184.7,181.36,182.0,1076011,PXD
2013-09-06,182.97,185.24,180.76,180.86,867304,PXD
2013-09-09,181.89,183.1,181.0,182.21,636960,PXD
2013-09-10,181.39,181.92,178.58,180.99,945340,PXD
2013-09-11,180.86,186.43,180.1,186.36,997335,PXD
2013-09-12,186.47,190.15,185.46,186.81,760975,PXD
2013-09-13,186.81,187.805,183.84,184.83,678626,PXD
2013-09-16,185.0,185.345,182.97,185.0,742486,PXD
2013-09-17,183.48,185.01,182.07,184.6,879964,PXD
2013-09-18,184.95,189.24,184.28,187.57,1214926,PXD
2013-09-19,187.22,189.33,184.93,185.81,809361,PXD
2013-09-20,185.81,185.95,181.78,182.74,1218944,PXD
2013-09-23,179.65,183.59,179.29,182.8,753331,PXD
2013-09-24,182.82,186.59,181.742,184.55,813613,PXD
2013-09-25,185.18,188.22,184.11,186.13,835716,PXD
2013-09-26,186.42,188.61,184.61,188.23,945123,PXD
2013-09-27,186.5,189.45,185.38,188.78,811898,PXD
2013-09-30,186.38,189.52,184.86,188.8,900236,PXD
2013-10-01,189.34,195.87,189.065,194.46,1234536,PXD
2013-10-02,193.0,195.67,190.51,195.47,1242148,PXD
2013-10-03,195.37,197.84,192.17,197.03,1569499,PXD
2013-10-04,197.3,202.81,196.91,201.35,2351314,PXD
2013-10-07,198.88,199.69,195.94,196.02,1333027,PXD
2013-10-08,196.12,197.95,191.51,192.05,1570403,PXD
2013-10-09,192.65,193.6,188.2,190.01,1748986,PXD
2013-10-10,192.82,192.99,190.855,192.71,1235728,PXD
2013-10-11,191.3,197.896,191.245,195.0,1061327,PXD
2013-10-14,193.0,196.06,190.67,195.01,962870,PXD
2013-10-15,194.59,202.4,193.5,199.72,2586006,PXD
