date,open,high,low,close,volume,Name
2013-02-08,110.6,111.65,110.514,111.61,695502,PX
2013-02-11,111.4,111.88,110.82,110.99,705798,PX
2013-02-12,111.07,111.34,110.32,110.98,893725,PX
2013-02-13,111.31,111.92,110.99,111.77,744098,PX
2013-02-14,111.31,111.56,110.8,111.21,1304091,PX
2013-02-15,110.76,111.48,109.525,110.15,2094841,PX
2013-02-19,110.98,110.98,110.16,110.74,1094688,PX
2013-02-20,110.7,111.56,109.77,110.38,1961356,PX
2013-02-21,109.73,110.85,109.08,109.96,2355762,PX
2013-02-22,110.28,111.28,109.95,111.17,1273210,PX
2013-02-25,111.76,112.198,109.49,109.54,1702010,PX
2013-02-26,110.04,111.06,110.04,110.58,1646083,PX
2013-02-27,110.43,112.71,110.22,112.22,884309,PX
2013-02-28,112.23,113.53,112.09,113.05,1165455,PX
2013-03-01,112.87,113.86,111.8,113.51,1051202,PX
2013-03-04,113.06,113.18,112.055,112.9,1126175,PX
2013-03-05,112.9,114.53,112.9,113.41,945304,PX
2013-03-06,113.9,114.09,112.8,112.9,1015554,PX
2013-03-07,112.86,113.26,112.37,112.67,999882,PX
2013-03-08,113.33,113.91,112.83,113.64,1099020,PX
2013-03-11,113.35,113.6,112.72,113.44,953554,PX
2013-03-12,113.45,114.0,112.45,112.92,1253843,PX
2013-03-13,112.89,113.01,111.77,112.77,944321,PX
2013-03-14,113.15,113.62,112.84,113.6,973865,PX
2013-03-15,113.08,113.9899,112.776,113.54,1391621,PX
2013-03-18,112.52,113.26,112.37,112.99,1012403,PX
2013-03-19,113.09,113.65,112.45,113.48,1390908,PX
2013-03-20,113.97,114.12,113.48,113.64,877543,PX
2013-03-21,111.7,112.67,111.23,111.27,1567009,PX
2013-03-22,111.27,112.05,110.98,111.59,773939,PX
2013-03-25,112.4,112.4,111.07,112.14,1252969,PX
2013-03-26,112.5,113.0,111.8,112.1,740685,PX
2013-03-27,111.6,111.61,110.58,111.34,912516,PX
2013-03-28,111.54,111.96,111.11,111.54,1916466,PX
2013-04-01,111.82,111.97,110.79,111.08,1215975,PX
2013-04-02,111.44,111.51,110.64,111.0,1074958,PX
2013-04-03,110.93,111.84,110.04,110.31,1416940,PX
2013-04-04,110.69,111.985,110.39,111.26,930571,PX
2013-04-05,110.11,111.03,109.91,110.98,773640,PX
2013-04-08,111.01,111.56,110.35,111.54,601709,PX
2013-04-09,111.89,112.19,111.05,111.36,1007506,PX
2013-04-10,111.73,113.0,111.43,112.97,1312907,PX
2013-04-11,112.98,113.37,112.22,112.35,1677186,PX
2013-04-12,111.98,112.68,110.8,111.0,1129540,PX
2013-04-15,109.975,110.575,107.69,107.69,1757718,PX
2013-04-16,108.39,110.23,108.22,110.13,1167987,PX
2013-04-17,109.46,110.47,109.21,110.23,1530096,PX
2013-04-18,110.57,110.75,109.45,109.78,1663954,PX
2013-04-19,110.32,110.55,109.19,109.75,1815318,PX
2013-04-22,109.97,110.23,109.41,109.75,1465329,PX
2013-04-23,109.88,110.75,108.298,109.61,1764641,PX
2013-04-24,110.71,113.87,110.38,112.77,2089436,PX
2013-04-25,112.99,113.35,112.17,112.82,1271924,PX
