date,open,high,low,close,volume,Name
2013-02-08,164.77,167.0,164.25,165.88,702354,REGN
2013-02-11,180.0,182.59,168.1,170.35,2341949,REGN
2013-02-12,170.13,170.8564,167.14,168.18,784932,REGN
2013-02-13,168.49,171.08,167.7701,170.33,869735,REGN
2013-02-14,169.65,171.73,163.04,169.24,1156132,REGN
2013-02-15,168.0,168.19,163.05,164.93,861371,REGN
2013-02-19,164.47,165.5,158.61,160.42,1018693,REGN
2013-02-20,160.0,161.0,158.1,158.42,949403,REGN
2013-02-21,158.32,159.73,154.16,159.31,1147132,REGN
2013-02-22,159.92,161.41,157.65,160.38,749520,REGN
2013-02-25,161.51,163.68,158.5,159.37,789338,REGN
2013-02-26,159.81,162.16,159.09,161.63,713639,REGN
2013-02-27,161.67,165.58,160.5101,164.8,655818,REGN
2013-02-28,165.25,169.51,165.25,167.0,714998,REGN
2013-03-01,166.65,172.21,165.25,171.73,781769,REGN
2013-03-04,171.35,174.25,169.87,172.65,831377,REGN
2013-03-05,173.97,175.88,172.27,174.64,729256,REGN
2013-03-06,175.3,176.373,173.27,174.55,536068,REGN
2013-03-07,174.9,175.58,171.5025,171.94,558892,REGN
2013-03-08,173.13,174.17,169.44,172.97,624674,REGN
2013-03-11,172.91,173.0975,170.81,171.75,315128,REGN
2013-03-12,171.47,172.319,168.52,172.19,467715,REGN
2013-03-13,172.45,175.16,171.064,172.84,505682,REGN
2013-03-14,173.72,174.57,171.0,171.93,376753,REGN
2013-03-15,171.82,173.14,170.02,171.84,1140034,REGN
2013-03-18,170.79,171.46,169.03,170.11,392217,REGN
2013-03-19,171.2,177.99,171.2,175.28,791512,REGN
2013-03-20,175.58,177.5,174.6,175.514,369593,REGN
2013-03-21,174.6,174.64,171.11,171.33,416084,REGN
2013-03-22,172.35,172.895,170.45,172.4,277163,REGN
2013-03-25,172.69,173.17,169.21,170.14,248877,REGN
2013-03-26,171.3,172.28,168.24,169.712,281482,REGN
2013-03-27,169.25,171.0,168.2,170.9,398230,REGN
2013-03-28,170.42,177.75,169.83,176.403,911761,REGN
2013-04-01,180.0,180.75,177.1239,178.51,586205,REGN
2013-04-02,179.83,185.75,178.95,185.0,987922,REGN
2013-04-03,185.14,189.9,182.08,182.69,862821,REGN
2013-04-04,183.89,186.19,182.05,185.085,482932,REGN
2013-04-05,181.99,185.848,179.75,185.41,641022,REGN
2013-04-08,185.06,188.5,183.2,188.47,394053,REGN
2013-04-09,189.85,192.83,189.35,191.08,831656,REGN
2013-04-10,191.68,201.35,190.32,201.13,967125,REGN
2013-04-11,200.91,209.29,199.85,208.352,1293844,REGN
2013-04-12,205.86,216.2,205.5,215.84,1157227,REGN
2013-04-15,215.0,215.75,208.18,209.05,1218537,REGN
2013-04-16,212.0,217.72,210.0,216.76,1233811,REGN
2013-04-17,215.26,215.61,208.79,213.08,1059427,REGN
2013-04-18,214.91,214.91,203.7,206.66,823257,REGN
2013-04-19,206.4,213.0,206.33,212.58,954841,REGN
2013-04-22,213.57,215.784,208.61,213.81,710746,REGN
2013-04-23,215.0,220.43,211.57,212.85,715427,REGN
2013-04-24,213.15,214.07,208.54,210.62,675255,REGN
2013-04-25,214.88,218.13,211.86,216.75,1055068,REGN
2013-04-26,216.53,220.98,214.06,216.6,658501,REGN
2013-04-29,217.72,219.13,215.32,215.48,1156899,REGN
2013-04-30,217.58,217.89,212.5,215.14,15383755,REGN
2013-05-01,214.75,252.35,214.7,237.29,4759824,REGN
2013-05-02,242.94,249.84,237.96,248.63,1927651,REGN
2013-05-03,258.95,270.0,256.92,266.16,2321984,REGN
2013-05-06,264.15,265.0,255.88,262.75,1563325,REGN
2013-05-07,263.5,264.47,258.87,262.19,1254954,REGN
2013-05-08,261.38,264.315,260.58,263.74,944516,REGN
2013-05-09,263.74,265.2,260.75,261.95,744780,REGN
2013-05-10,262.87,274.6,262.2,273.5,907591,REGN
2013-05-13,273.54,280.6,271.34,280.51,770281,REGN
2013-05-14,280.77,282.81,278.02,282.8,1084163,REGN
2013-05-15,281.81,283.989,272.11,274.11,844633,REGN
2013-05-16,272.86,275.719,261.0,264.66,986902,REGN
2013-05-17,262.05,270.2,262.05,266.97,738686,REGN
2013-05-20,265.79,269.776,263.49,263.64,536285,REGN
2013-05-21,264.39,266.0479,255.091,259.96,804876,REGN
2013-05-22,260.06,274.4999,257.08,262.42,1060364,REGN
2013-05-23,257.43,260.47,245.5201,254.87,848580,REGN
2013-05-24,253.6,254.69,246.22,250.31,676528,REGN
2013-05-28,254.18,259.46,249.73,251.45,589159,REGN
2013-05-29,249.19,250.25,242.34,247.71,557173,REGN
2013-05-30,248.51,253.425,246.69,252.18,435881,REGN
2013-05-31,248.63,253.0,241.87,241.88,771374,REGN
2013-06-03,241.83,242.5,229.52,236.07,794051,REGN
2013-06-04,235.25,239.69,232.37,232.88,870833,REGN
2013-06-05,231.72,239.98,227.47,229.64,854404,REGN
2013-06-06,230.23,252.5,229.67,252.17,1388281,REGN
2013-06-07,252.06,261.75,251.063,257.5,906962,REGN
2013-06-10,258.14,258.5999,249.7,252.83,593942,REGN
2013-06-11,249.42,254.4,245.01,248.88,544512,REGN
2013-06-12,251.75,253.32,236.24,237.49,581836,REGN
2013-06-13,237.84,244.4557,236.28,239.52,551048,REGN
2013-06-14,238.57,242.48,232.88,236.93,628026,REGN
2013-06-17,238.2,241.05,232.51,232.71,661910,REGN
2013-06-18,233.64,244.26,230.51,242.76,888757,REGN
2013-06-19,243.38,244.7,231.29,231.38,675546,REGN
2013-06-20,228.01,228.3,218.28,219.61,988878,REGN
2013-06-21,220.95,225.9999,212.821,215.47,3137621,REGN
2013-06-24,212.9,224.09,206.3,218.38,1578375,REGN
2013-06-25,220.95,225.2,218.36,220.172,904737,REGN
2013-06-26,222.76,229.97,221.24,228.74,848943,REGN
2013-06-27,232.76,236.0525,231.05,234.57,1064791,REGN
2013-06-28,233.06,234.2499,224.43,224.88,1985096,REGN
2013-07-01,231.6,239.78,228.01,230.14,1082070,REGN
2013-07-02,230.14,233.88,228.02,231.12,710405,REGN
2013-07-03,229.25,234.46,229.03,232.93,363583,REGN
2013-07-05,233.98,237.1,231.0,233.48,439312,REGN
2013-07-08,234.81,235.994,225.78,229.02,699343,REGN
2013-07-09,228.22,237.795,228.22,235.918,606616,REGN
2013-07-10,236.83,239.25,232.2106,236.7,518372,REGN
2013-07-11,242.19,248.68,239.17,247.87,889688,REGN
2013-07-12,255.52,268.68,253.0002,266.0,1512797,REGN
2013-07-15,270.5,270.5,261.06,268.64,672152,REGN
2013-07-16,267.23,270.8163,258.32,262.71,756185,REGN
2013-07-17,267.43,269.98,265.14,269.52,529881,REGN
2013-07-18,269.71,273.8,264.0,267.48,487373,REGN
2013-07-19,268.55,275.0,264.0,274.86,881539,REGN
2013-07-22,278.11,282.27,276.25,277.99,855199,REGN
2013-07-23,278.44,279.92,267.751,268.34,789333,REGN
2013-07-24,270.37,270.93,264.22,267.93,605935,REGN
2013-07-25,269.19,272.61,261.49,267.83,513828,REGN
2013-07-26,267.18,269.892,264.412,269.21,340272,REGN
2013-07-29,267.43,274.16,265.319,269.2,304419,REGN
