date,open,high,low,close,volume,Name
2013-02-08,118.9,120.02,118.5,119.24,251002,RE
2013-02-11,119.46,120.77,119.46,120.31,321324,RE
2013-02-12,120.07,122.32,120.07,121.29,547473,RE
2013-02-13,121.52,122.06,119.96,120.78,436509,RE
2013-02-14,120.54,121.32,120.061,120.45,322613,RE
2013-02-15,120.54,121.2,120.37,121.05,463946,RE
2013-02-19,121.0,122.76,121.0,122.76,340615,RE
2013-02-20,122.72,123.26,122.25,122.38,427053,RE
2013-02-21,122.4,125.87,122.4,124.51,860696,RE
2013-02-22,124.77,124.77,123.61,123.94,540910,RE
2013-02-25,123.5,124.84,122.49,122.55,429294,RE
2013-02-26,122.88,125.05,122.03,124.14,602698,RE
2013-02-27,124.05,125.34,123.87,124.99,322066,RE
2013-02-28,124.99,126.26,124.53,124.61,482630,RE
2013-03-01,124.27,125.66,123.81,124.09,590110,RE
2013-03-04,123.76,125.85,123.56,125.23,636664,RE
2013-03-05,125.75,128.145,125.55,127.73,515230,RE
2013-03-06,127.92,128.32,126.42,127.25,408525,RE
2013-03-07,127.36,128.3685,126.98,127.25,304397,RE
2013-03-08,127.8,128.05,126.9,127.9,232053,RE
2013-03-11,128.07,128.34,126.92,127.25,332718,RE
2013-03-12,127.16,128.37,127.05,128.07,342273,RE
2013-03-13,127.99,128.5,126.99,128.09,264723,RE
2013-03-14,128.35,128.91,128.195,128.91,143199,RE
2013-03-15,128.94,129.65,128.56,128.9,380745,RE
2013-03-18,127.75,128.95,127.725,128.47,162404,RE
2013-03-19,128.57,129.6,128.57,128.92,220427,RE
2013-03-20,129.2,130.01,128.78,129.72,201556,RE
2013-03-21,128.9,130.01,128.68,129.2,348397,RE
2013-03-22,129.51,130.82,129.51,130.64,273539,RE
2013-03-25,130.79,131.38,129.82,129.97,374423,RE
2013-03-26,130.53,130.53,128.01,128.44,455389,RE
2013-03-27,127.11,128.68,126.16,128.44,283048,RE
2013-03-28,128.76,129.86,127.94,129.86,475901,RE
2013-04-01,129.44,130.45,128.94,129.54,228858,RE
2013-04-02,130.11,130.11,127.77,128.09,352979,RE
2013-04-03,128.22,129.26,126.88,127.49,746721,RE
2013-04-04,127.77,128.08,126.66,127.62,287399,RE
2013-04-05,126.53,127.2,126.02,126.45,265285,RE
2013-04-08,126.54,127.5104,126.11,127.41,219937,RE
2013-04-09,127.8,128.35,127.412,127.81,338131,RE
2013-04-10,128.04,128.15,127.15,128.13,304357,RE
2013-04-11,128.27,129.43,128.12,128.69,170236,RE
2013-04-12,128.62,129.22,127.84,127.99,129357,RE
2013-04-15,126.25,127.74,123.5,123.65,400379,RE
2013-04-16,124.5,124.74,123.32,124.67,294541,RE
2013-04-17,124.44,124.52,123.31,124.44,404655,RE
2013-04-18,124.64,124.96,123.22,124.15,293151,RE
2013-04-19,124.8,125.89,124.38,125.85,191879,RE
