date,open,high,low,close,volume,Name
2013-02-08,118.64,119.7,118.48,119.34,215732,ROP
2013-02-11,119.19,119.51,118.28,119.12,215313,ROP
2013-02-12,119.15,120.08,119.15,119.57,209068,ROP
2013-02-13,119.99,120.36,119.31,119.78,245859,ROP
2013-02-14,119.12,120.278,119.12,119.86,243343,ROP
2013-02-15,119.99,120.26,119.62,120.04,311470,ROP
2013-02-19,120.02,122.16,120.02,121.66,582508,ROP
2013-02-20,121.49,122.77,120.89,121.6,755469,ROP
2013-02-21,121.1,122.29,120.95,122.0,832759,ROP
2013-02-22,122.43,124.66,122.28,124.31,744228,ROP
2013-02-25,124.81,125.355,121.3,121.3,470345,ROP
2013-02-26,121.93,122.715,121.2325,122.26,406381,ROP
2013-02-27,122.3,124.66,122.11,124.39,303154,ROP
2013-02-28,124.44,125.28,124.04,124.61,315668,ROP
2013-03-01,124.21,125.1,122.62,124.94,434692,ROP
2013-03-04,124.55,125.08,122.68,125.04,404342,ROP
2013-03-05,125.68,126.67,125.46,125.75,410235,ROP
2013-03-06,126.24,126.45,124.98,124.98,344190,ROP
2013-03-07,125.12,125.825,124.87,125.57,376968,ROP
2013-03-08,126.25,126.415,125.16,125.86,443557,ROP
2013-03-11,125.87,126.32,125.5001,126.24,405217,ROP
2013-03-12,126.13,126.14,123.98,124.62,464425,ROP
2013-03-13,124.52,124.95,124.03,124.66,415348,ROP
2013-03-14,125.0,126.89,124.6,125.91,443370,ROP
2013-03-15,125.53,125.53,124.6603,124.74,544864,ROP
2013-03-18,123.91,125.17,123.51,124.48,308135,ROP
2013-03-19,124.79,125.56,123.88,125.32,392146,ROP
2013-03-20,126.33,127.34,125.62,126.07,435587,ROP
2013-03-21,124.88,125.76,124.4,124.42,382250,ROP
2013-03-22,124.82,125.71,124.71,125.65,319426,ROP
2013-03-25,125.96,126.254,123.59,124.89,338075,ROP
2013-03-26,125.53,126.15,125.32,126.11,364460,ROP
2013-03-27,125.18,126.27,124.44,126.13,265834,ROP
2013-03-28,125.79,127.42,125.74,127.31,525938,ROP
2013-04-01,127.27,127.31,125.58,125.92,188478,ROP
2013-04-02,126.93,126.93,124.17,124.67,338677,ROP
2013-04-03,124.57,125.63,123.3,123.43,380873,ROP
2013-04-04,123.72,124.69,123.59,123.94,267489,ROP
2013-04-05,122.31,122.78,121.72,122.63,300662,ROP
2013-04-08,122.39,123.39,121.84,123.31,406917,ROP
2013-04-09,123.87,124.05,122.14,122.79,392851,ROP
2013-04-10,123.07,124.74,122.43,124.39,465503,ROP
2013-04-11,124.4,125.17,123.99,124.35,292119,ROP
2013-04-12,123.9,124.41,123.06,123.36,252556,ROP
2013-04-15,122.77,122.97,119.0,119.08,556101,ROP
2013-04-16,120.12,121.3,119.99,121.26,445604,ROP
2013-04-17,120.37,121.92,118.83,120.54,671322,ROP
2013-04-18,121.17,124.0,121.17,122.35,1175678,ROP
2013-04-19,122.43,123.35,121.29,122.5,578754,ROP
2013-04-22,122.74,123.36,122.065,122.49,384285,ROP
2013-04-23,122.99,124.18,122.35,123.95,420067,ROP
