date,open,high,low,close,volume,Name
2013-02-08,63.17,63.51,62.55,62.91,723691,SIG
2013-02-11,62.99,63.12,62.41,62.74,772847,SIG
2013-02-12,62.93,63.04,62.29,62.49,560840,SIG
2013-02-13,62.6,62.63,62.19,62.5,483260,SIG
2013-02-14,62.38,62.78,62.22,62.66,332227,SIG
2013-02-15,62.75,63.24,61.63,62.09,380809,SIG
2013-02-19,62.27,63.35,62.04,63.15,368351,SIG
2013-02-20,63.13,63.3,61.8,62.12,447224,SIG
2013-02-21,62.13,62.13,59.74,59.79,848824,SIG
2013-02-22,60.15,60.44,59.48,59.94,452784,SIG
2013-02-25,60.32,60.43,59.61,59.64,839766,SIG
2013-02-26,59.98,62.69,59.28,60.93,592739,SIG
2013-02-27,60.94,61.48,60.512,60.88,450679,SIG
2013-02-28,60.99,62.23,60.91,61.22,471850,SIG
2013-03-01,60.12,60.45,58.85,59.69,2021040,SIG
2013-03-04,59.44,60.06,58.89,59.78,588950,SIG
2013-03-05,60.09,60.62,59.86,59.98,714017,SIG
2013-03-06,60.39,60.77,60.23,60.41,381302,SIG
2013-03-07,60.52,60.915,60.12,60.77,472549,SIG
2013-03-08,61.22,61.22,60.4,60.76,248478,SIG
2013-03-11,60.75,61.82,60.34,61.72,639211,SIG
2013-03-12,61.71,62.35,61.2875,62.18,533994,SIG
2013-03-13,62.22,62.6875,61.81,61.98,231742,SIG
2013-03-14,62.19,63.16,61.82,63.07,403908,SIG
2013-03-15,59.97,63.17,59.97,62.87,631286,SIG
2013-03-18,62.46,63.23,62.22,63.06,234601,SIG
2013-03-19,63.08,63.3,62.23,63.15,530890,SIG
2013-03-20,63.33,63.49,62.53,63.1,400213,SIG
2013-03-21,62.81,63.18,61.51,61.83,439453,SIG
2013-03-22,62.79,62.98,62.1,62.47,385646,SIG
2013-03-25,62.5,62.64,61.87,62.43,418932,SIG
2013-03-26,63.09,63.09,62.02,62.77,637990,SIG
2013-03-27,62.4,63.585,61.83,63.27,686771,SIG
2013-03-28,66.55,69.41,65.25,67.0,2172115,SIG
2013-04-01,67.0,67.79,66.9,67.55,712510,SIG
2013-04-02,67.79,68.74,67.34,68.21,646488,SIG
2013-04-03,68.44,68.61,66.71,66.93,673162,SIG
2013-04-04,66.89,67.02,65.03,66.02,1635658,SIG
2013-04-05,64.72,67.15,64.72,67.04,644531,SIG
2013-04-08,66.95,68.81,66.94,68.54,737154,SIG
2013-04-09,68.71,68.71,67.4625,67.98,886890,SIG
2013-04-10,68.29,69.0,68.02,68.61,632315,SIG
2013-04-11,68.65,70.02,68.49,69.0,832060,SIG
2013-04-12,68.94,68.97,67.65,68.0,942018,SIG
2013-04-15,67.65,68.0,65.51,65.61,809642,SIG
2013-04-16,66.24,67.255,66.02,66.98,1033399,SIG
2013-04-17,66.53,66.58,65.75,65.88,865660,SIG
2013-04-18,66.0,66.2,65.27,65.63,694281,SIG
2013-04-19,65.75,66.44,65.41,66.14,1011856,SIG
2013-04-22,66.22,66.44,65.78,66.3,785739,SIG
2013-04-23,66.73,67.24,66.49,67.16,743665,SIG
2013-04-24,67.18,67.55,67.13,67.28,627722,SIG
