date,open,high,low,close,volume,Name
2013-02-08,78.24,79.07,78.125,79.07,4632684,SLB
2013-02-11,78.56,78.85,77.81,77.93,4784921,SLB
2013-02-12,78.51,78.65,78.02,78.53,4646441,SLB
2013-02-13,78.49,78.73,78.25,78.63,3551983,SLB
2013-02-14,78.51,82.0,78.145,81.56,11691795,SLB
2013-02-15,81.03,81.22,79.5,80.03,8756122,SLB
2013-02-19,80.09,80.55,79.565,79.99,5098368,SLB
2013-02-20,80.07,80.2,78.47,78.53,6395447,SLB
2013-02-21,77.97,77.97,76.55,77.43,5789302,SLB
2013-02-22,77.93,78.1528,76.87,77.79,4085030,SLB
2013-02-25,78.36,78.95,75.74,75.83,6143694,SLB
2013-02-26,76.34,76.77,74.99,76.33,6506203,SLB
2013-02-27,76.21,78.18,75.98,77.9,4925446,SLB
2013-02-28,77.82,78.58,77.47,77.85,5396992,SLB
2013-03-01,77.35,77.92,76.92,77.64,4894342,SLB
2013-03-04,77.49,77.59,75.72,76.5,5076647,SLB
2013-03-05,77.24,77.6,76.28,76.95,8941410,SLB
2013-03-06,77.54,77.77,76.45,77.16,4648821,SLB
2013-03-07,77.2,78.0,77.1,77.82,3621248,SLB
2013-03-08,78.02,78.44,77.24,77.96,3916523,SLB
2013-03-11,77.57,77.86,77.12,77.78,4378387,SLB
2013-03-12,77.98,78.37,77.01,77.44,5544250,SLB
2013-03-13,77.71,77.83,77.24,77.39,3744489,SLB
2013-03-14,77.84,78.935,77.58,78.75,5634608,SLB
2013-03-15,78.48,79.735,78.48,79.4,8073257,SLB
2013-03-18,77.33,77.79,76.11,76.34,9343825,SLB
2013-03-19,76.63,76.63,73.01,73.98,14385294,SLB
2013-03-20,74.18,74.25,73.41,73.79,8926109,SLB
2013-03-21,73.32,74.01,73.25,73.44,6688158,SLB
2013-03-22,73.84,74.39,73.56,74.37,6355755,SLB
2013-03-25,74.72,74.95,73.36,73.86,5960045,SLB
2013-03-26,74.41,74.52,73.83,74.42,6183699,SLB
2013-03-27,73.89,75.27,73.55,75.1,5633160,SLB
2013-03-28,74.97,75.64,74.5,74.89,7266930,SLB
2013-04-01,75.08,75.23,73.36,74.02,5536502,SLB
2013-04-02,74.48,75.225,74.01,74.81,7284992,SLB
2013-04-03,74.82,75.15,73.51,74.01,9093265,SLB
2013-04-04,73.91,74.32,73.41,73.94,5457277,SLB
2013-04-05,73.09,74.49,72.7,74.35,4822443,SLB
2013-04-08,74.3,75.1,74.1,74.96,3873654,SLB
2013-04-09,75.11,75.78,74.53,75.43,4048140,SLB
2013-04-10,75.47,77.3,75.45,76.99,7208505,SLB
2013-04-11,77.19,77.56,76.52,77.14,5097829,SLB
2013-04-12,76.62,76.75,74.89,75.66,6835020,SLB
2013-04-15,74.61,74.61,71.6,71.89,11536759,SLB
2013-04-16,72.76,73.44,71.76,73.29,7792086,SLB
2013-04-17,72.39,72.39,70.2,70.97,10266530,SLB
