date,open,high,low,close,volume,Name
2013-02-08,76.36,76.74,76.13,76.24,861724,SWK
2013-02-11,76.13,76.24,75.8,75.93,979015,SWK
2013-02-12,76.13,77.87,75.96,77.49,1825631,SWK
2013-02-13,77.56,77.64,77.05,77.48,1083623,SWK
2013-02-14,77.17,78.23,76.94,77.81,1460324,SWK
2013-02-15,77.91,79.06,77.65,78.46,1336027,SWK
2013-02-19,78.64,79.5,78.64,79.17,1791268,SWK
2013-02-20,79.05,79.12,77.55,77.63,1477391,SWK
2013-02-21,76.92,77.458,75.73,76.08,1624287,SWK
2013-02-22,76.46,77.67,76.34,77.44,1085434,SWK
2013-02-25,77.93,77.93,75.14,75.14,1387491,SWK
2013-02-26,75.81,76.49,75.08,76.26,2016422,SWK
2013-02-27,76.18,78.34,76.18,77.92,1429418,SWK
2013-02-28,78.03,79.035,77.8,78.7,1485566,SWK
2013-03-01,78.19,78.23,77.2,77.59,1548382,SWK
2013-03-04,77.51,77.51,76.12,77.39,1171527,SWK
2013-03-05,77.85,78.75,77.6,78.34,1120082,SWK
2013-03-06,78.5,79.33,78.15,78.52,2683824,SWK
2013-03-07,78.19,78.83,77.96,78.12,804908,SWK
2013-03-08,78.71,79.52,78.08,78.96,1302912,SWK
2013-03-11,78.83,79.95,78.65,79.7,1044971,SWK
2013-03-12,79.75,79.9,79.33,79.78,1032240,SWK
2013-03-13,79.88,80.6338,79.47,80.17,1443770,SWK
2013-03-14,80.38,81.22,80.36,81.09,1260328,SWK
2013-03-15,80.62,81.2,80.051,81.17,1773255,SWK
2013-03-18,80.23,81.23,79.66,80.55,3004653,SWK
2013-03-19,80.9,81.42,80.5503,81.29,1465020,SWK
2013-03-20,81.76,81.98,81.22,81.61,1286022,SWK
2013-03-21,81.1,81.815,80.932,81.18,891144,SWK
2013-03-22,81.36,81.75,80.85,81.57,740418,SWK
2013-03-25,81.87,82.43,80.88,81.48,1376889,SWK
2013-03-26,81.83,82.11,81.16,81.19,826926,SWK
2013-03-27,80.7,80.7,79.71,79.74,1842341,SWK
2013-03-28,79.76,81.05,79.3,80.97,5135666,SWK
2013-04-01,80.77,81.16,79.74,79.83,1489446,SWK
2013-04-02,80.32,80.82,79.33,79.58,1058689,SWK
2013-04-03,79.44,79.855,78.66,79.1,1531031,SWK
2013-04-04,79.21,79.51,78.07,78.39,1853850,SWK
2013-04-05,77.38,77.78,76.23,77.56,1854775,SWK
2013-04-08,77.61,77.94,76.74,77.9,1820034,SWK
2013-04-09,78.08,78.64,77.37,77.8,1838228,SWK
2013-04-10,78.0,79.27,77.96,79.18,1559187,SWK
2013-04-11,79.17,80.14,78.96,79.75,1126985,SWK
2013-04-12,79.44,79.8675,78.78,79.24,704341,SWK
2013-04-15,78.71,78.78,76.26,76.26,1422738,SWK
2013-04-16,77.2,77.27,76.32,77.09,1372806,SWK
2013-04-17,76.5,76.63,75.61,76.42,972711,SWK
2013-04-18,76.42,76.98,75.64,75.91,1224717,SWK
2013-04-19,76.12,76.54,75.895,76.4,1761349,SWK
2013-04-22,76.5,76.84,75.84,76.61,1182982,SWK
2013-04-23,77.03,77.57,76.2,77.0,1758413,SWK
2013-04-24,77.22,78.65,77.2,78.08,1996465,SWK
2013-04-25,76.71,77.12,75.01,75.93,3955294,SWK
2013-04-26,75.9,75.97,74.035,74.4,1822894,SWK
2013-04-29,74.54,74.76,74.09,74.48,977111,SWK
2013-04-30,74.23,74.83,73.88,74.81,1332850,SWK
2013-05-01,74.61,75.47,74.232,74.36,1427425,SWK
2013-05-02,74.72,75.26,74.54,75.19,888667,SWK
2013-05-03,76.12,77.61,76.12,76.65,863525,SWK
2013-05-06,76.65,77.16,76.17,77.01,1129822,SWK
2013-05-07,77.2,79.09,77.17,78.68,1393259,SWK
2013-05-08,78.68,79.9,78.5,79.79,1990351,SWK
2013-05-09,79.87,80.185,79.07,79.25,1080371,SWK
2013-05-10,79.49,79.81,79.02,79.73,824723,SWK
2013-05-13,79.66,79.88,79.16,79.52,665487,SWK
2013-05-14,79.62,81.0,79.62,80.99,795258,SWK
2013-05-15,80.39,81.14,80.1,80.95,705941,SWK
2013-05-16,80.59,81.3,80.34,80.47,1341606,SWK
2013-05-17,80.62,81.82,80.62,80.94,1284285,SWK
2013-05-20,80.87,82.0499,80.77,81.33,619749,SWK
2013-05-21,81.4,82.3,81.1,81.84,1344279,SWK
2013-05-22,82.07,83.26,81.0,81.23,1532556,SWK
2013-05-23,80.42,80.57,78.88,79.66,1712479,SWK
2013-05-24,79.19,79.29,78.415,78.74,776325,SWK
2013-05-28,79.44,80.07,79.16,79.87,1609081,SWK
2013-05-29,79.41,81.3,78.92,80.85,1614230,SWK
2013-05-30,80.3,81.02,79.74,80.24,962633,SWK
2013-05-31,80.02,80.5,79.15,79.22,1336656,SWK
2013-06-03,79.15,79.41,78.06,79.35,1396105,SWK
2013-06-04,79.35,79.8,78.209,78.64,990457,SWK
2013-06-05,78.51,78.575,77.01,77.26,1124292,SWK
2013-06-06,77.45,78.6,77.03,78.43,867978,SWK
2013-06-07,78.87,79.87,78.85,79.69,627809,SWK
2013-06-10,79.84,80.01,79.09,79.81,682555,SWK
2013-06-11,78.89,80.38,78.43,79.54,973548,SWK
2013-06-12,80.32,80.365,78.52,78.68,687750,SWK
2013-06-13,78.59,79.68,78.03,79.45,1021856,SWK
2013-06-14,79.35,80.04,79.09,79.42,501076,SWK
2013-06-17,80.06,80.57,79.5548,80.04,766018,SWK
2013-06-18,80.21,81.38,79.8,80.98,941365,SWK
2013-06-19,80.99,81.04,79.38,79.38,1102842,SWK
2013-06-20,78.76,78.76,76.94,77.16,1034714,SWK
2013-06-21,77.52,77.74,75.55,76.0,1736853,SWK
2013-06-24,75.27,75.9,73.77,75.05,1664865,SWK
2013-06-25,76.0,76.67,75.9,76.46,832454,SWK
2013-06-26,77.11,77.4,76.62,76.83,672497,SWK
2013-06-27,77.53,78.4,77.44,78.12,972965,SWK
2013-06-28,77.96,78.07,77.09,77.3,1107805,SWK
2013-07-01,77.91,78.8,77.77,78.35,677771,SWK
2013-07-02,78.23,78.89,77.51,77.78,916741,SWK
2013-07-03,77.7075,78.18,77.012,77.91,335044,SWK
2013-07-05,78.72,79.15,78.18,79.07,475622,SWK
2013-07-08,79.66,79.81,79.145,79.31,666226,SWK
2013-07-09,79.87,81.06,79.87,80.58,781318,SWK
2013-07-10,80.49,80.95,79.53,79.96,984407,SWK
2013-07-11,81.23,81.75,80.91,81.53,885424,SWK
2013-07-12,81.34,82.35,81.12,82.3,888386,SWK
2013-07-15,82.4,82.62,81.97,82.2,893617,SWK
2013-07-16,82.12,82.4425,81.12,81.51,542290,SWK
2013-07-17,81.85,81.97,80.83,80.98,713634,SWK
2013-07-18,81.01,82.14,81.01,81.79,823545,SWK
2013-07-19,81.87,83.13,81.5,83.12,959865,SWK
2013-07-22,83.2,83.8,82.99,83.46,1013267,SWK
2013-07-23,83.59,84.2299,83.26,83.89,1124190,SWK
2013-07-24,84.07,84.2499,82.23,82.51,1263765,SWK
2013-07-25,81.94,82.7455,81.26,82.51,1163021,SWK
2013-07-26,83.75,84.74,83.1,84.02,1845161,SWK
2013-07-29,83.78,84.37,82.98,84.06,880489,SWK
2013-07-30,84.09,84.39,83.44,83.81,595639,SWK
2013-07-31,83.86,85.12,83.65,84.62,930278,SWK
2013-08-01,85.22,87.13,84.99,86.98,1017409,SWK
2013-08-02,86.5,87.68,86.11,87.62,960143,SWK
2013-08-05,87.25,87.85,86.72,86.88,913044,SWK
2013-08-06,86.75,86.99,85.46,85.7,636625,SWK
2013-08-07,85.34,85.86,84.79,85.77,865523,SWK
2013-08-08,85.05,86.38,85.05,85.58,814132,SWK
2013-08-09,85.59,85.84,84.95,85.6,587473,SWK
2013-08-12,85.36,88.66,85.24,88.19,2163510,SWK
2013-08-13,88.3,89.43,87.79,88.81,1575835,SWK
2013-08-14,89.03,89.5,87.57,87.97,896042,SWK
2013-08-15,87.0,87.15,86.07,86.92,885586,SWK
2013-08-16,86.61,87.45,86.4,86.8,589672,SWK
2013-08-19,86.81,86.91,85.7756,86.18,4573032,SWK
2013-08-20,86.19,87.11,85.99,86.75,794180,SWK
2013-08-21,86.69,87.5,86.2,86.45,672705,SWK
2013-08-22,86.66,87.89,86.66,87.63,569188,SWK
2013-08-23,87.7,87.97,87.05,87.6,608218,SWK
2013-08-26,87.42,87.64,86.62,86.8,516853,SWK
2013-08-27,85.8,85.87,84.35,84.59,782836,SWK
2013-08-28,84.71,85.33,84.33,85.18,1029153,SWK
2013-08-29,85.0,86.71,84.78,85.85,2709649,SWK
2013-08-30,86.17,86.18,85.01,85.26,660084,SWK
2013-09-03,86.46,87.18,85.61,86.22,736162,SWK
2013-09-04,85.56,86.57,85.51,86.1,720434,SWK
2013-09-05,86.02,86.93,85.88,86.66,547863,SWK
2013-09-06,87.09,88.36,85.9,87.27,695041,SWK
2013-09-09,87.64,88.54,87.61,88.13,451865,SWK
2013-09-10,88.75,89.55,88.45,89.42,854360,SWK
2013-09-11,89.44,89.86,88.981,89.46,934339,SWK
2013-09-12,89.59,89.8,88.9,89.24,827883,SWK
2013-09-13,89.49,89.74,88.69,89.26,473741,SWK
2013-09-16,90.35,90.56,89.61,89.66,779919,SWK
2013-09-17,89.66,90.05,89.37,89.65,616550,SWK
2013-09-18,89.86,91.61,89.07,91.49,1004648,SWK
2013-09-19,91.74,92.36,91.44,91.5,629567,SWK
2013-09-20,91.21,91.85,89.961,90.13,994757,SWK
2013-09-23,90.01,90.01,88.35,89.07,836262,SWK
2013-09-24,89.03,90.36,89.03,89.59,932954,SWK
2013-09-25,90.18,90.365,89.4,89.77,963835,SWK
2013-09-26,89.99,90.72,89.76,90.51,613153,SWK
2013-09-27,90.0,90.85,89.831,90.59,641486,SWK
2013-09-30,89.69,90.76,89.69,90.57,652873,SWK
2013-10-01,91.23,92.76,91.11,92.36,1468124,SWK
2013-10-02,91.79,92.18,90.93,91.31,1642878,SWK
2013-10-03,90.97,91.39,89.94,90.86,1117621,SWK
2013-10-04,91.0,91.54,90.9,91.14,904608,SWK
2013-10-07,90.45,90.9,89.97,90.03,903028,SWK
2013-10-08,89.9,90.47,88.65,88.88,1113458,SWK
2013-10-09,89.16,89.224,87.945,88.4,1127292,SWK
2013-10-10,89.33,90.25,89.11,90.25,733131,SWK
2013-10-11,90.15,91.5,90.06,91.3,624856,SWK
2013-10-14,90.54,91.6,90.0,91.58,741091,SWK
2013-10-15,91.26,91.6,89.22,89.51,1725756,SWK
2013-10-16,79.63,79.94,75.42,76.75,13708657,SWK
2013-10-17,76.12,76.6,74.13,74.37,6130171,SWK
2013-10-18,74.93,77.43,74.4221,77.16,4525426,SWK
2013-10-21,77.16,77.81,77.06,77.49,2142033,SWK
2013-10-22,77.49,77.7,76.56,77.36,2476096,SWK
2013-10-23,77.28,77.32,75.785,76.39,2559533,SWK
2013-10-24,76.74,77.83,76.21,77.75,1318273,SWK
2013-10-25,77.69,78.49,77.15,78.46,1708938,SWK
2013-10-28,78.6,78.62,78.06,78.39,1370288,SWK
2013-10-29,78.58,79.91,78.44,79.87,1641508,SWK
2013-10-30,79.98,80.3,78.65,78.73,1720853,SWK
2013-10-31,78.38,79.29,77.49,79.09,1053069,SWK
2013-11-01,79.33,79.46,78.17,79.05,745026,SWK
2013-11-04,79.27,79.71,78.99,79.63,727287,SWK
2013-11-05,79.5,79.52,78.38,78.54,1290956,SWK
2013-11-06,79.29,80.6,78.93,80.59,1412289,SWK
2013-11-07,80.59,82.66,80.51,81.05,3217373,SWK
2013-11-08,80.76,81.49,80.43,80.88,1728050,SWK
2013-11-11,80.81,82.12,80.73,81.61,890801,SWK
2013-11-12,81.91,82.29,81.35,81.82,981062,SWK
2013-11-13,81.16,82.68,81.16,82.37,2093856,SWK
2013-11-14,82.35,82.56,81.85,81.96,1502084,SWK
2013-11-15,81.99,82.81,81.83,82.64,1558156,SWK
2013-11-18,83.0,84.0,82.44,82.74,1494684,SWK
2013-11-19,82.52,82.87,81.58,81.79,1092920,SWK
2013-11-20,82.33,82.4,80.99,81.18,1195911,SWK
2013-11-21,81.24,82.0,81.1401,81.42,1195152,SWK
2013-11-22,81.28,82.14,80.33,82.05,1115765,SWK
2013-11-25,82.33,82.49,80.49,80.65,1302190,SWK
