date,open,high,low,close,volume,Name
2013-02-08,63.19,63.93,63.0,63.78,1083477,SYK
2013-02-11,63.67,63.9,63.35,63.9,1173144,SYK
2013-02-12,63.86,64.1,63.54,64.01,1098267,SYK
2013-02-13,64.14,64.456,63.615,63.88,847351,SYK
2013-02-14,63.76,64.14,63.59,64.02,1216314,SYK
2013-02-15,63.98,63.98,63.26,63.85,2206936,SYK
2013-02-19,63.75,63.85,63.19,63.69,2019632,SYK
2013-02-20,63.74,63.79,63.04,63.08,1561876,SYK
2013-02-21,62.75,62.77,61.59,62.17,2143663,SYK
2013-02-22,62.5,62.7,62.12,62.7,1232994,SYK
2013-02-25,62.82,63.17,62.09,62.09,1615112,SYK
2013-02-26,62.47,63.17,62.4,62.77,1975431,SYK
2013-02-27,62.8,63.84,62.7,63.66,1333211,SYK
2013-02-28,63.56,64.28,63.5,63.88,1636500,SYK
2013-03-01,63.73,65.0,63.18,64.9,2487885,SYK
2013-03-04,64.66,65.08,64.54,65.07,1414238,SYK
2013-03-05,65.06,66.37,65.06,66.0,1748350,SYK
2013-03-06,66.05,66.57,65.8,65.96,1749158,SYK
2013-03-07,66.0,66.162,65.25,65.4,1444641,SYK
2013-03-08,65.77,66.0,65.52,65.72,1499997,SYK
2013-03-11,65.83,66.265,65.68,66.22,1104222,SYK
2013-03-12,65.98,66.79,65.85,66.79,1303150,SYK
2013-03-13,66.71,66.73,66.17,66.68,1182956,SYK
2013-03-14,66.91,66.92,66.29,66.81,1158862,SYK
2013-03-15,66.58,66.72,65.72,65.93,2464159,SYK
2013-03-18,65.43,65.43,64.43,64.78,2328847,SYK
2013-03-19,65.04,65.2,64.29,64.77,1979058,SYK
2013-03-20,65.15,65.56,65.08,65.37,1277020,SYK
2013-03-21,65.15,65.36,64.15,64.54,2088990,SYK
2013-03-22,64.56,64.63,64.2263,64.57,1636879,SYK
2013-03-25,64.84,64.85,64.17,64.54,1175894,SYK
2013-03-26,64.55,64.88,64.36,64.86,869642,SYK
2013-03-27,64.59,64.92,64.19,64.87,1016373,SYK
2013-03-28,64.67,65.33,64.4,65.24,1217737,SYK
2013-04-01,65.1,65.6,64.99,65.33,1233391,SYK
2013-04-02,65.57,65.74,65.27,65.56,1185046,SYK
2013-04-03,65.62,65.64,64.8,65.25,2014746,SYK
2013-04-04,65.73,66.06,65.35,65.59,2513335,SYK
2013-04-05,64.83,65.2,64.67,65.0,2544668,SYK
2013-04-08,65.04,65.5,64.91,65.38,1647034,SYK
2013-04-09,66.02,66.48,65.75,66.34,2467919,SYK
2013-04-10,66.35,67.0,65.94,66.74,1945708,SYK
2013-04-11,66.81,67.15,66.67,66.85,1280714,SYK
2013-04-12,66.52,66.685,65.98,66.5,1121028,SYK
2013-04-15,65.98,66.3965,65.29,65.29,1546086,SYK
2013-04-16,65.27,65.27,64.16,65.08,2258403,SYK
2013-04-17,64.77,65.06,64.19,64.4,1748899,SYK
2013-04-18,64.56,64.59,63.35,63.7,1841474,SYK
2013-04-19,63.96,64.68,63.5,64.68,2109621,SYK
2013-04-22,64.71,64.8,63.81,64.15,1403843,SYK
2013-04-23,64.47,65.11,64.1,64.94,1329682,SYK
2013-04-24,64.79,65.22,64.59,64.73,1685038,SYK
2013-04-25,64.5,66.28,64.46,65.64,2301086,SYK
2013-04-26,65.5,65.5,64.75,65.06,1123852,SYK
2013-04-29,65.2,65.8,65.11,65.66,1246946,SYK
2013-04-30,65.57,65.61,64.7,65.58,1284923,SYK
2013-05-01,65.49,65.91,65.12,65.3,1171611,SYK
2013-05-02,65.53,66.5,65.33,65.78,1407243,SYK
2013-05-03,66.1,66.7,66.09,66.33,945098,SYK
2013-05-06,66.24,66.58,66.04,66.28,1044340,SYK
2013-05-07,66.27,66.44,65.95,66.39,789389,SYK
2013-05-08,66.3,66.61,66.07,66.45,1293524,SYK
2013-05-09,66.45,67.48,66.32,67.01,1190874,SYK
2013-05-10,67.0,68.23,66.83,68.21,1776931,SYK
2013-05-13,67.99,68.8601,67.85,68.6,1169397,SYK
2013-05-14,68.52,69.3,68.38,69.21,1076443,SYK
2013-05-15,69.12,69.81,69.11,69.43,1538344,SYK
2013-05-16,69.12,69.27,68.66,69.06,1920436,SYK
2013-05-17,68.61,68.97,68.28,68.9,3312031,SYK
2013-05-20,68.64,69.14,68.52,68.73,1211101,SYK
2013-05-21,69.01,69.33,68.83,69.24,1321518,SYK
2013-05-22,69.31,70.0,67.355,67.7,1948720,SYK
2013-05-23,67.17,67.74,66.95,67.24,1603216,SYK
2013-05-24,67.0,67.43,66.58,66.99,1085441,SYK
2013-05-28,67.41,68.37,67.38,67.91,977264,SYK
2013-05-29,67.5,67.64,66.83,67.23,1350025,SYK
2013-05-30,67.24,67.89,67.17,67.35,1018448,SYK
2013-05-31,67.21,67.78,66.39,66.39,1267943,SYK
2013-06-03,66.4,67.33,66.1,67.31,1481709,SYK
2013-06-04,67.31,67.35,66.24,66.7,828529,SYK
2013-06-05,66.52,66.71,65.5,65.73,1327865,SYK
2013-06-06,65.79,66.379,65.59,66.36,1323120,SYK
2013-06-07,66.68,67.2,66.56,67.15,773993,SYK
2013-06-10,67.2,67.46,66.82,67.25,766655,SYK
2013-06-11,66.76,67.2459,66.26,66.83,841186,SYK
2013-06-12,67.22,67.25,66.36,66.37,1043184,SYK
2013-06-13,66.32,67.79,65.81,67.72,783003,SYK
2013-06-14,67.65,68.0,67.13,67.21,813155,SYK
2013-06-17,67.64,68.22,67.44,67.81,1005821,SYK
2013-06-18,67.8,68.11,67.58,67.67,1479103,SYK
2013-06-19,67.76,67.9,66.37,66.45,1262679,SYK
2013-06-20,65.72,65.86,64.6,64.75,1733739,SYK
2013-06-21,65.33,65.98,65.0,65.6,1669470,SYK
2013-06-24,65.09,65.35,63.83,64.76,1581142,SYK
2013-06-25,65.26,65.49,64.45,64.89,937169,SYK
2013-06-26,65.31,65.68,64.67,64.69,1248239,SYK
2013-06-27,64.93,65.06,64.55,64.72,1302920,SYK
2013-06-28,64.66,65.46,64.35,64.68,2394728,SYK
2013-07-01,64.85,65.17,64.34,64.43,1454257,SYK
2013-07-02,64.4,65.05,64.19,64.32,1573745,SYK
2013-07-03,64.17,64.47,63.71,64.2,492031,SYK
2013-07-05,64.59,65.24,64.42,65.23,967078,SYK
2013-07-08,65.5,66.41,65.384,66.17,1073673,SYK
2013-07-09,66.14,66.27,65.48,66.07,1532118,SYK
2013-07-10,66.12,66.56,65.81,66.35,938616,SYK
2013-07-11,66.98,67.48,66.66,67.38,1058643,SYK
2013-07-12,67.26,67.72,66.97,67.43,916690,SYK
2013-07-15,67.41,68.28,67.34,68.22,766930,SYK
2013-07-16,68.43,69.3,68.35,68.67,1378610,SYK
2013-07-17,68.94,69.64,68.69,69.37,1897013,SYK
2013-07-18,69.37,70.24,69.08,70.0,1802155,SYK
2013-07-19,69.57,70.88,69.05,70.88,3241996,SYK
2013-07-22,70.83,71.045,70.49,70.96,1533409,SYK
2013-07-23,71.08,71.08,70.395,71.05,1283786,SYK
2013-07-24,71.21,71.32,70.63,70.83,961706,SYK
2013-07-25,70.72,70.95,70.36,70.87,852267,SYK
2013-07-26,70.87,71.09,70.33,70.94,819496,SYK
2013-07-29,70.65,70.65,69.9465,70.35,1077348,SYK
2013-07-30,70.63,70.95,70.26,70.42,751551,SYK
2013-07-31,70.63,71.25,70.23,70.46,1389571,SYK
2013-08-01,70.89,71.44,69.83,71.22,1038835,SYK
2013-08-02,71.23,71.4,71.05,71.27,861288,SYK
2013-08-05,71.07,71.55,70.69,71.2,805376,SYK
2013-08-06,71.14,71.37,70.79,70.97,1894907,SYK
2013-08-07,70.76,71.07,70.59,70.79,1285195,SYK
2013-08-08,70.98,71.32,70.64,70.9,928163,SYK
2013-08-09,70.8,71.16,70.7,71.01,891908,SYK
2013-08-12,70.37,70.86,70.14,70.76,962833,SYK
2013-08-13,70.95,71.08,70.3,70.88,759727,SYK
2013-08-14,70.96,71.09,70.3,70.43,1179356,SYK
2013-08-15,69.97,70.15,68.76,68.91,969770,SYK
2013-08-16,68.73,68.82,67.97,67.97,1622666,SYK
2013-08-19,67.93,68.538,67.82,68.06,826792,SYK
2013-08-20,68.0,68.53,67.56,68.25,1233596,SYK
2013-08-21,68.21,68.45,67.67,67.93,912348,SYK
2013-08-22,68.03,69.08,68.03,68.78,613949,SYK
2013-08-23,68.74,68.91,68.08,68.29,629183,SYK
2013-08-26,68.4,69.0,68.33,68.38,883420,SYK
2013-08-27,67.82,67.8397,67.04,67.08,933981,SYK
2013-08-28,67.13,67.31,66.59,66.64,926890,SYK
2013-08-29,66.5,67.2999,66.44,66.91,955752,SYK
2013-08-30,66.96,67.07,66.63,66.89,909986,SYK
2013-09-03,67.63,67.99,66.69,67.22,1000667,SYK
2013-09-04,67.13,67.38,66.515,67.27,1465886,SYK
2013-09-05,67.34,67.995,67.1,67.79,1038093,SYK
2013-09-06,69.63,70.38,68.06,68.93,1713246,SYK
2013-09-09,68.98,69.2001,68.62,69.16,732761,SYK
2013-09-10,69.69,70.0,69.325,69.54,1303377,SYK
2013-09-11,69.6,70.07,69.37,69.58,1176473,SYK
2013-09-12,69.46,69.73,69.12,69.5,1421499,SYK
2013-09-13,69.5,70.16,69.31,70.12,1013207,SYK
2013-09-16,70.75,71.01,70.43,70.83,1036128,SYK
2013-09-17,70.8,71.54,70.67,71.35,1238187,SYK
2013-09-18,71.19,71.86,70.39,71.78,1081653,SYK
2013-09-19,71.74,71.94,71.56,71.63,826660,SYK
2013-09-20,71.73,71.86,71.17,71.28,2599265,SYK
2013-09-23,71.11,71.44,70.86,71.2,940784,SYK
2013-09-24,71.11,71.45,70.77,70.83,1057206,SYK
2013-09-25,69.1,69.91,68.72,68.79,3482495,SYK
2013-09-26,68.71,68.71,67.95,68.4,1639416,SYK
2013-09-27,68.3,68.34,67.595,67.65,1197492,SYK
2013-09-30,67.42,67.87,67.15,67.59,1881008,SYK
2013-10-01,67.74,68.1,67.55,67.96,1103364,SYK
2013-10-02,67.5,68.09,67.33,67.74,1676668,SYK
2013-10-03,67.49,67.85,66.93,67.34,1095847,SYK
2013-10-04,67.38,67.855,67.27,67.7,921076,SYK
2013-10-07,67.31,67.89,67.04,67.54,755490,SYK
2013-10-08,67.71,68.37,67.59,67.61,1561754,SYK
2013-10-09,67.8,68.95,67.71,68.44,1828211,SYK
2013-10-10,69.04,69.63,68.76,69.42,1297872,SYK
