date,open,high,low,close,volume,Name
2013-02-08,40.09,40.61,40.07,40.52,1146224,TEL
2013-02-11,40.49,40.56,40.27,40.44,1056745,TEL
2013-02-12,40.44,40.69,40.37,40.49,876110,TEL
2013-02-13,40.58,40.99,40.54,40.92,1426745,TEL
2013-02-14,40.62,41.09,40.46,41.08,2091112,TEL
2013-02-15,41.08,41.29,40.75,41.03,1533139,TEL
2013-02-19,41.0,41.45,40.94,41.3,1284082,TEL
2013-02-20,41.21,41.395,40.94,40.96,1529626,TEL
2013-02-21,40.76,40.78,40.29,40.48,2257420,TEL
2013-02-22,40.68,41.25,40.36,41.01,2214739,TEL
2013-02-25,41.15,41.17,39.69,39.69,2207382,TEL
2013-02-26,40.0,40.08,39.34,39.8,2438297,TEL
2013-02-27,39.62,40.21,39.4501,40.0,1689118,TEL
2013-02-28,39.98,40.32,39.8,40.13,1769936,TEL
2013-03-01,39.96,40.44,39.56,40.23,1333410,TEL
2013-03-04,40.14,40.51,39.98,40.45,1359369,TEL
2013-03-05,40.67,41.09,40.67,40.83,1372337,TEL
2013-03-06,40.99,41.54,40.86,41.44,1377934,TEL
2013-03-07,41.57,41.71,41.41,41.49,1361761,TEL
2013-03-08,41.67,42.25,41.51,42.22,1510963,TEL
2013-03-11,42.08,42.195,41.88,42.05,1404806,TEL
2013-03-12,42.05,42.225,41.67,42.09,1688812,TEL
2013-03-13,42.14,42.21,41.85,41.92,1462976,TEL
2013-03-14,42.01,42.6,42.01,42.54,1480823,TEL
2013-03-15,42.28,42.42,41.56,41.83,2457215,TEL
2013-03-18,41.35,41.99,41.25,41.63,1079742,TEL
2013-03-19,41.77,41.84,41.26,41.65,1332816,TEL
2013-03-20,42.0,42.16,41.72,42.11,1258441,TEL
2013-03-21,41.7,41.96,41.37,41.56,1545592,TEL
2013-03-22,41.76,41.87,41.54,41.82,1179104,TEL
2013-03-25,41.96,42.27,41.275,41.54,1429747,TEL
2013-03-26,41.69,41.87,41.6,41.68,1262801,TEL
2013-03-27,41.47,41.78,41.31,41.61,1871125,TEL
2013-03-28,41.69,41.99,41.57,41.93,1747620,TEL
2013-04-01,41.94,41.99,41.4,41.6,1096914,TEL
2013-04-02,41.81,41.95,41.26,41.46,1391849,TEL
2013-04-03,41.6,41.99,41.22,41.33,1619090,TEL
2013-04-04,41.54,41.89,41.17,41.41,1465917,TEL
2013-04-05,40.86,41.24,40.58,41.14,1699371,TEL
2013-04-08,41.09,41.29,41.07,41.27,1299819,TEL
2013-04-09,41.35,41.53,41.19,41.41,974680,TEL
2013-04-10,41.15,41.94,40.89,41.76,2126972,TEL
2013-04-11,41.68,42.21,41.58,42.02,1752649,TEL
2013-04-12,41.91,41.99,41.42,41.61,1751353,TEL
2013-04-15,41.48,41.5,40.34,40.34,1684055,TEL
2013-04-16,40.64,41.4,40.52,41.37,1423556,TEL
2013-04-17,40.9,40.99,39.45,39.73,2452118,TEL
2013-04-18,39.79,39.89,38.79,39.11,2430952,TEL
2013-04-19,39.23,39.44,38.75,39.38,1419776,TEL
2013-04-22,39.41,39.73,39.09,39.55,1648340,TEL
2013-04-23,39.68,40.5,39.68,40.5,1655553,TEL
2013-04-24,40.75,42.26,40.75,42.16,2289920,TEL
2013-04-25,42.32,43.2,42.2801,42.91,2047314,TEL
2013-04-26,42.95,42.95,42.26,42.43,1794624,TEL
2013-04-29,42.41,42.93,42.41,42.91,1258959,TEL
2013-04-30,42.83,43.62,42.49,43.55,2312783,TEL
2013-05-01,43.27,43.5,42.68,42.72,1624717,TEL
2013-05-02,43.05,43.6,42.82,43.49,1445035,TEL
2013-05-03,43.79,44.75,43.67,44.44,1966747,TEL
2013-05-06,44.08,44.96,44.08,44.88,1174709,TEL
2013-05-07,44.9,45.23,44.68,44.73,1664931,TEL
2013-05-08,44.67,45.08,44.44,44.9,2304891,TEL
2013-05-09,44.91,44.9775,44.34,44.5,2052006,TEL
2013-05-10,44.52,44.74,44.38,44.49,1547634,TEL
2013-05-13,44.46,44.5,44.31,44.35,1404940,TEL
2013-05-14,44.3,44.94,44.24,44.93,1417684,TEL
2013-05-15,44.73,45.4,44.6,45.27,1164904,TEL
2013-05-16,45.23,45.705,45.18,45.32,1208067,TEL
2013-05-17,45.34,46.02,45.33,45.99,1774762,TEL
2013-05-20,45.72,46.44,45.68,46.09,1661618,TEL
2013-05-21,46.17,46.21,45.77,45.96,1331847,TEL
2013-05-22,46.13,46.46,45.24,45.5,1855074,TEL
2013-05-23,45.19,45.84,45.08,45.56,1469987,TEL
2013-05-24,45.26,45.43,44.8,45.28,865880,TEL
2013-05-28,45.54,45.855,45.35,45.37,1653660,TEL
2013-05-29,44.84,45.11,44.6,44.61,1974061,TEL
