date,open,high,low,close,volume,Name
2013-02-08,62.18,63.01,62.18,62.49,4136558,TGT
2013-02-11,62.48,62.67,61.85,62.67,3516846,TGT
2013-02-12,62.58,62.84,62.34,62.73,3379391,TGT
2013-02-13,63.0,63.28,62.43,62.69,4807005,TGT
2013-02-14,62.69,63.33,62.58,63.09,5352384,TGT
2013-02-15,62.45,62.6,60.74,61.71,14614489,TGT
2013-02-19,61.79,62.0599,61.44,61.87,6882289,TGT
2013-02-20,61.98,63.21,61.62,62.65,6561516,TGT
2013-02-21,62.68,63.88,62.52,63.4,7221764,TGT
2013-02-22,63.48,63.89,62.98,63.6,5344064,TGT
2013-02-25,63.63,63.8,62.89,62.89,6177269,TGT
2013-02-26,63.1,64.3,63.05,64.05,8096475,TGT
2013-02-27,62.31,63.75,61.68,63.12,13624457,TGT
2013-02-28,63.23,64.09,62.46,62.96,8468096,TGT
2013-03-01,63.22,64.39,63.22,64.13,6536059,TGT
2013-03-04,64.88,66.92,64.65,66.44,12363853,TGT
2013-03-05,66.5,66.835,65.83,66.68,5927643,TGT
2013-03-06,66.72,66.9,66.04,66.12,4301848,TGT
2013-03-07,66.22,66.25,65.67,65.85,4018200,TGT
2013-03-08,66.11,66.47,65.71,66.35,3827846,TGT
2013-03-11,66.35,67.37,65.89,67.34,4985983,TGT
2013-03-12,67.18,67.56,66.97,67.11,4140805,TGT
2013-03-13,66.79,67.48,66.6,67.43,3636124,TGT
2013-03-14,67.47,67.5,66.87,67.34,3299656,TGT
2013-03-15,67.05,67.29,66.52,66.8,5957633,TGT
2013-03-18,66.52,67.0641,66.3,66.76,3573482,TGT
2013-03-19,67.01,67.19,65.96,66.46,4062945,TGT
2013-03-20,66.97,68.87,66.9001,68.52,7925488,TGT
2013-03-21,68.12,68.27,67.42,68.05,4789526,TGT
2013-03-22,68.24,68.755,68.04,68.42,3140720,TGT
2013-03-25,68.73,68.89,68.17,68.41,4260198,TGT
2013-03-26,68.42,68.77,67.945,68.61,3327357,TGT
2013-03-27,68.49,69.84,68.49,69.05,4590806,TGT
2013-03-28,69.19,69.43,68.305,68.45,3982095,TGT
2013-04-01,68.3,68.83,68.25,68.66,2734240,TGT
2013-04-02,68.96,69.11,68.31,68.83,2884490,TGT
2013-04-03,68.0,68.56,67.55,67.98,6136211,TGT
2013-04-04,68.19,68.83,68.19,68.79,3540401,TGT
2013-04-05,68.27,68.89,67.86,68.85,3800606,TGT
2013-04-08,68.9,69.49,68.8,69.26,2874227,TGT
