date,open,high,low,close,volume,Name
2013-02-08,62.9,63.0,62.47,62.89,1568643,TIF
2013-02-11,62.88,63.2999,62.665,63.1,861764,TIF
2013-02-12,63.27,63.67,63.04,63.6,1043517,TIF
2013-02-13,63.72,63.7899,63.17,63.45,1068252,TIF
2013-02-14,63.15,63.8999,62.82,63.7,1467920,TIF
2013-02-15,63.79,65.28,63.66,64.78,2132204,TIF
2013-02-19,64.78,65.69,64.45,65.65,1642162,TIF
2013-02-20,65.65,65.65,64.38,64.4,1622358,TIF
2013-02-21,64.18,64.75,63.95,64.28,1070849,TIF
2013-02-22,64.52,64.85,63.85,64.38,933247,TIF
2013-02-25,64.63,65.35,64.01,64.01,1521912,TIF
2013-02-26,64.49,66.12,64.07,66.01,2218266,TIF
2013-02-27,65.91,66.96,65.24,66.66,1479906,TIF
2013-02-28,66.51,67.5,66.36,67.16,1808514,TIF
2013-03-01,66.94,69.29,66.77,69.04,2664284,TIF
2013-03-04,68.66,70.52,67.66,70.48,4850852,TIF
2013-03-05,70.7,70.74,69.74,70.17,3230828,TIF
2013-03-06,70.14,70.48,69.66,70.06,2358943,TIF
2013-03-07,70.47,71.08,70.06,70.88,1451475,TIF
2013-03-08,70.01,70.71,69.58,70.25,2563434,TIF
2013-03-11,70.01,70.02,68.97,69.11,1946364,TIF
2013-03-12,68.82,69.0,68.22,68.46,2735441,TIF
2013-03-13,68.48,69.05,68.35,68.84,1716488,TIF
2013-03-14,68.9,69.19,68.64,69.09,1417117,TIF
2013-03-15,69.0,69.48,68.55,69.42,1446488,TIF
2013-03-18,68.47,68.96,67.84,68.83,1578481,TIF
2013-03-19,68.97,69.03,67.99,68.5,2290104,TIF
2013-03-20,69.23,69.78,68.57,69.59,1558884,TIF
2013-03-21,69.1,69.37,67.75,67.91,2370271,TIF
2013-03-22,70.15,70.78,68.82,69.23,4432873,TIF
2013-03-25,69.51,69.75,67.86,68.23,1499352,TIF
2013-03-26,68.38,68.86,67.8,68.41,1351284,TIF
2013-03-27,67.98,68.48,67.87,68.42,870644,TIF
2013-03-28,68.31,69.61,68.27,69.54,1153368,TIF
2013-04-01,69.69,70.72,69.43,70.24,1651221,TIF
2013-04-02,70.64,72.48,70.561,72.0,2287701,TIF
2013-04-03,71.42,71.96,70.19,70.81,2101536,TIF
2013-04-04,70.79,71.11,70.46,70.87,951648,TIF
2013-04-05,69.75,70.76,69.31,70.61,1164070,TIF
2013-04-08,70.53,71.17,70.4,70.91,1001649,TIF
