date,open,high,low,close,volume,Name
2013-02-08,73.92,74.625,73.87,74.59,1527375,TMO
2013-02-11,74.57,74.8,73.83,74.75,1805797,TMO
2013-02-12,74.74,74.955,74.18,74.58,1323475,TMO
2013-02-13,74.79,75.35,74.6401,75.1,1537178,TMO
2013-02-14,74.82,75.03,74.48,74.88,2027388,TMO
2013-02-15,74.84,74.85,73.99,74.43,2073860,TMO
2013-02-19,74.34,75.045,74.22,75.0,1477326,TMO
2013-02-20,73.95,74.34,72.59,72.64,3544090,TMO
2013-02-21,72.5,72.61,71.72,72.09,2770327,TMO
2013-02-22,72.37,72.98,72.07,72.95,1369802,TMO
2013-02-25,73.3,73.49,71.6,71.6,1444377,TMO
2013-02-26,72.36,73.545,72.17,73.24,2766435,TMO
2013-02-27,72.87,74.5,72.71,74.25,1425896,TMO
2013-02-28,74.42,74.89,73.77,73.8,2172655,TMO
2013-03-01,73.28,74.86,72.87,74.78,1818776,TMO
2013-03-04,74.3,75.34,74.1701,75.33,1402986,TMO
2013-03-05,75.62,76.5,75.4,76.43,1940997,TMO
2013-03-06,76.69,76.81,76.39,76.67,1402093,TMO
2013-03-07,76.93,76.945,76.16,76.49,1299591,TMO
2013-03-08,76.86,77.11,76.3407,77.04,1296490,TMO
2013-03-11,76.94,77.22,76.57,77.22,1099994,TMO
2013-03-12,77.08,77.85,76.95,77.7,1632490,TMO
2013-03-13,77.51,77.74,75.79,77.62,1109574,TMO
2013-03-14,77.71,77.75,77.32,77.35,1739358,TMO
2013-03-15,76.77,77.425,76.37,77.15,2183434,TMO
2013-03-18,76.35,77.15,76.08,76.8,1615487,TMO
2013-03-19,77.2,77.65,76.82,77.41,2107072,TMO
2013-03-20,78.03,78.04,77.36,77.57,2058807,TMO
2013-03-21,77.15,77.33,75.76,76.63,3464125,TMO
2013-03-22,77.3,77.3,75.71,75.96,2450861,TMO
2013-03-25,76.05,76.35,74.58,74.69,3293765,TMO
2013-03-26,74.88,75.431,74.66,74.9,3314482,TMO
2013-03-27,74.66,75.31,73.81,75.17,2388663,TMO
2013-03-28,75.22,76.61,75.0004,76.49,1758118,TMO
2013-04-01,76.3,76.35,75.27,75.53,1589330,TMO
2013-04-02,75.43,78.65,75.35,78.56,5014019,TMO
2013-04-03,78.47,79.25,77.78,78.1,4275552,TMO
2013-04-04,77.67,78.71,77.67,77.92,1888783,TMO
2013-04-05,76.01,77.3,75.45,77.16,2675164,TMO
2013-04-08,77.26,78.345,76.97,78.34,1816386,TMO
2013-04-09,78.72,78.83,78.09,78.38,1722557,TMO
2013-04-10,79.17,81.54,79.17,81.34,4439779,TMO
2013-04-11,81.72,81.96,79.86,79.91,4971370,TMO
2013-04-12,79.7,80.29,79.5,79.59,2326877,TMO
2013-04-15,84.28,84.55,77.81,78.58,14442477,TMO
2013-04-16,79.52,81.99,79.36,81.82,8360267,TMO
2013-04-17,81.6,81.97,80.6,81.5,3789821,TMO
2013-04-18,81.41,81.63,79.67,80.08,2782269,TMO
2013-04-19,80.55,80.55,79.61,80.03,3000760,TMO
2013-04-22,80.06,80.27,79.37,79.95,1978647,TMO
2013-04-23,80.24,81.41,80.04,80.64,2568508,TMO
2013-04-24,81.39,82.1,80.9,81.2,4223284,TMO
2013-04-25,81.3,81.39,79.99,80.12,2500563,TMO
2013-04-26,79.7,81.31,79.56,81.13,2812664,TMO
2013-04-29,81.24,81.25,80.58,80.76,1270491,TMO
2013-04-30,80.51,81.0,80.21,80.68,2409501,TMO
2013-05-01,80.44,80.77,80.27,80.72,1670135,TMO
2013-05-02,81.12,81.73,80.74,81.6,1561600,TMO
2013-05-03,82.1,82.59,81.91,82.17,1686922,TMO
2013-05-06,82.16,83.0,81.92,82.44,2088248,TMO
2013-05-07,82.44,83.95,82.02,83.91,2809167,TMO
2013-05-08,83.93,84.13,83.2,84.11,1780378,TMO
2013-05-09,84.16,84.2023,83.22,83.48,1135504,TMO
2013-05-10,84.01,84.5,83.26,84.46,2477478,TMO
2013-05-13,84.11,84.56,83.83,84.39,1574275,TMO
2013-05-14,84.22,84.83,84.15,84.71,1387742,TMO
2013-05-15,84.64,86.19,84.25,86.01,2579943,TMO
2013-05-16,85.57,86.3,85.4,85.5,2646818,TMO
2013-05-17,85.73,86.42,85.4201,86.27,1749250,TMO
2013-05-20,86.7,87.15,86.4,86.78,1795557,TMO
2013-05-21,86.94,87.75,86.9,87.35,1840586,TMO
2013-05-22,87.41,88.08,85.79,86.28,2421921,TMO
2013-05-23,85.72,86.03,84.98,85.69,2197549,TMO
2013-05-24,85.12,87.25,84.52,87.22,2156355,TMO
2013-05-28,87.89,88.92,87.72,88.28,2336703,TMO
2013-05-29,87.61,87.97,86.852,87.36,1821713,TMO
2013-05-30,87.53,89.1,87.41,88.76,1846663,TMO
2013-05-31,88.65,89.5,88.145,88.3,2923531,TMO
2013-06-03,88.82,89.0,87.67,88.51,1734512,TMO
2013-06-04,88.37,88.99,88.11,88.27,2113822,TMO
2013-06-05,88.09,88.38,86.16,86.2,2457217,TMO
2013-06-06,85.66,87.17,85.04,86.95,3828742,TMO
2013-06-07,84.91,85.55,84.5,84.58,15530900,TMO
2013-06-10,84.95,86.01,84.75,85.8,3948088,TMO
2013-06-11,85.07,85.93,84.5,85.42,2417588,TMO
2013-06-12,85.97,86.0,84.24,84.35,2092391,TMO
2013-06-13,84.99,85.55,83.37,85.35,2426452,TMO
2013-06-14,85.16,86.09,84.77,85.12,1929263,TMO
2013-06-17,85.59,86.15,85.2,85.55,2175446,TMO
2013-06-18,85.79,86.38,85.49,86.18,2176425,TMO
2013-06-19,86.07,86.27,84.69,84.69,2029344,TMO
2013-06-20,83.73,83.74,81.18,81.66,3702732,TMO
2013-06-21,82.28,83.52,82.01,83.09,3580996,TMO
2013-06-24,82.26,83.0,81.04,82.24,2439610,TMO
2013-06-25,82.91,83.38,82.48,83.13,1771227,TMO
2013-06-26,83.77,84.21,83.01,83.4,1960296,TMO
2013-06-27,84.09,85.76,84.0,85.37,3209583,TMO
2013-06-28,84.99,85.46,84.62,84.63,2610211,TMO
2013-07-01,85.03,87.49,84.94,86.35,2551241,TMO
2013-07-02,86.08,86.33,84.9001,84.99,2184608,TMO
