date,open,high,low,close,volume,Name
2013-02-08,46.82,47.42,46.48,47.02,913373,TRIP
2013-02-11,47.13,47.2,46.0,46.23,1232182,TRIP
2013-02-12,46.22,46.87,45.84,46.66,1812239,TRIP
2013-02-13,46.79,47.78,46.64,46.9,2588436,TRIP
2013-02-14,42.58,44.86,42.04,43.55,7033474,TRIP
2013-02-15,43.6,45.42,43.5,44.415,2817097,TRIP
2013-02-19,44.49,44.49,43.31,43.52,1607010,TRIP
2013-02-20,43.53,43.55,42.68,42.76,1231049,TRIP
2013-02-21,42.2,43.47,42.2,42.94,1498082,TRIP
2013-02-22,43.11,44.09,42.9,43.85,1985990,TRIP
2013-02-25,44.13,44.77,43.5,43.64,1846842,TRIP
2013-02-26,43.68,44.21,43.44,43.73,1138070,TRIP
2013-02-27,44.15,45.56,44.1,45.27,2194735,TRIP
2013-02-28,45.24,45.735,44.58,45.536,1993220,TRIP
2013-03-01,45.42,45.94,44.59,45.62,2159112,TRIP
2013-03-04,45.42,45.66,44.75,45.51,1841692,TRIP
2013-03-05,45.79,47.84,45.65,47.68,2586716,TRIP
2013-03-06,48.0,50.88,47.9,48.63,4827085,TRIP
2013-03-07,48.59,51.15,48.1,50.59,3630367,TRIP
2013-03-08,50.77,51.34,50.56,51.03,1531711,TRIP
2013-03-11,51.09,51.63,50.2581,51.4,1223136,TRIP
2013-03-12,51.34,51.605,50.61,51.15,1774266,TRIP
2013-03-13,51.14,52.61,50.77,52.39,2037598,TRIP
2013-03-14,52.5,53.41,52.13,52.59,1482357,TRIP
2013-03-15,52.47,53.73,52.23,52.4,2655851,TRIP
2013-03-18,52.12,53.41,51.7,52.43,1098101,TRIP
2013-03-19,52.51,53.3528,51.57,52.3,1256238,TRIP
2013-03-20,52.47,53.45,52.47,53.24,1318940,TRIP
2013-03-21,52.56,53.0,51.64,51.75,2136343,TRIP
2013-03-22,52.06,52.58,51.96,52.5,1048985,TRIP
2013-03-25,52.93,53.5,52.13,52.24,901361,TRIP
2013-03-26,53.22,53.22,51.93,52.44,1256101,TRIP
2013-03-27,52.03,52.73,51.36,52.2,896698,TRIP
2013-03-28,52.24,52.9,52.14,52.52,1034285,TRIP
2013-04-01,52.53,54.14,51.48,51.7,1695632,TRIP
2013-04-02,51.75,51.75,50.13,50.51,2715172,TRIP
2013-04-03,50.62,50.62,48.754,49.11,2461086,TRIP
2013-04-04,48.87,49.8,48.65,49.52,1364782,TRIP
2013-04-05,49.03,49.51,48.29,48.88,1439847,TRIP
2013-04-08,48.86,49.48,48.27,48.68,1272591,TRIP
2013-04-09,48.7,49.04,48.18,48.29,1314573,TRIP
2013-04-10,48.66,50.18,48.41,50.07,2281238,TRIP
2013-04-11,50.18,52.35,50.11,51.89,1987615,TRIP
2013-04-12,51.85,52.69,51.6,52.49,1101877,TRIP
2013-04-15,52.82,53.5004,51.1,51.56,3201609,TRIP
2013-04-16,51.9,52.97,51.85,52.94,1565581,TRIP
2013-04-17,52.14,52.54,51.08,52.172,1698413,TRIP
2013-04-18,52.19,52.45,50.95,51.35,1214375,TRIP
2013-04-19,51.23,51.82,50.62,51.09,779383,TRIP
2013-04-22,51.29,51.55,50.34,51.09,742846,TRIP
2013-04-23,51.41,52.549,51.37,52.3,789534,TRIP
2013-04-24,52.11,52.61,51.0,51.34,1115361,TRIP
2013-04-25,51.33,53.39,51.3,53.01,2121661,TRIP
2013-04-26,53.75,54.8,52.83,53.72,3037972,TRIP
2013-04-29,53.69,54.0,52.25,53.07,1898109,TRIP
2013-04-30,53.07,53.5,52.38,52.58,1842576,TRIP
2013-05-01,52.53,53.0,51.88,52.11,1115533,TRIP
2013-05-02,51.9,53.54,51.9,53.51,1271835,TRIP
2013-05-03,54.21,55.64,54.0,55.3,2378024,TRIP
2013-05-06,55.26,55.55,54.83,55.17,1972588,TRIP
2013-05-07,55.94,56.7999,54.07,55.01,2885957,TRIP
2013-05-08,53.34,54.57,51.72,52.49,4386145,TRIP
2013-05-09,52.58,53.1,51.7625,51.99,2300863,TRIP
2013-05-10,52.19,54.3,52.15,53.84,2088226,TRIP
2013-05-13,53.68,55.31,53.291,54.79,1785497,TRIP
2013-05-14,55.04,58.38,54.81,58.01,3802187,TRIP
2013-05-15,58.0,60.26,57.91,59.36,2893495,TRIP
2013-05-16,59.53,60.39,58.65,59.03,2265696,TRIP
2013-05-17,59.64,60.48,59.254,59.88,2675334,TRIP
2013-05-20,60.07,63.01,59.895,62.63,3039487,TRIP
2013-05-21,62.7,63.22,61.889,62.34,1773574,TRIP
2013-05-22,62.26,63.57,61.0,61.51,2051229,TRIP
2013-05-23,61.055,62.55,59.07,62.06,1479522,TRIP
2013-05-24,61.73,62.02,60.8,61.69,1454566,TRIP
2013-05-28,62.57,64.37,62.01,64.3,2532757,TRIP
2013-05-29,63.97,64.9,63.12,63.56,1783529,TRIP
2013-05-30,63.77,64.1,63.14,63.99,1248402,TRIP
2013-05-31,63.92,65.41,63.76,64.49,6723374,TRIP
2013-06-03,63.15,63.73,60.93,62.06,4068703,TRIP
2013-06-04,62.43,63.9076,61.81,62.19,2868253,TRIP
2013-06-05,62.18,62.69,61.25,61.52,1026606,TRIP
2013-06-06,61.71,62.03,60.73,62.03,1486216,TRIP
2013-06-07,62.62,64.17,62.4,64.05,1090209,TRIP
2013-06-10,64.17,64.49,63.57,64.31,931921,TRIP
2013-06-11,63.95,65.1016,63.42,63.86,907883,TRIP
2013-06-12,64.48,64.82,63.18,63.18,1419043,TRIP
2013-06-13,63.59,64.54,63.2,64.51,1208056,TRIP
