date,open,high,low,close,volume,Name
2013-02-08,73.0,73.55,72.7722,73.27,864871,TROW
2013-02-11,73.22,73.36,72.825,73.13,964890,TROW
2013-02-12,73.26,73.92,73.26,73.75,825789,TROW
2013-02-13,74.2,74.44,73.65,74.21,1106215,TROW
2013-02-14,74.03,74.33,73.7,73.84,1361082,TROW
2013-02-15,73.4,73.57,72.62,73.13,2210637,TROW
2013-02-19,73.36,73.91,73.09,73.81,1374366,TROW
2013-02-20,73.7,73.79,72.07,72.1,1650339,TROW
2013-02-21,72.03,72.32,71.14,71.41,1328896,TROW
2013-02-22,71.85,72.17,71.36,71.91,1590173,TROW
2013-02-25,72.52,72.61,70.04,70.11,1948101,TROW
2013-02-26,70.45,70.81,69.86,70.48,1504323,TROW
2013-02-27,69.97,72.037,69.85,71.72,1253203,TROW
2013-02-28,71.34,71.8575,71.15,71.19,1663658,TROW
2013-03-01,71.21,71.865,70.23,71.74,1229329,TROW
2013-03-04,71.56,72.58,71.3,72.58,1201907,TROW
2013-03-05,72.97,74.21,72.67,73.93,1355192,TROW
2013-03-06,74.36,74.65,73.91,74.22,1201642,TROW
2013-03-07,74.47,74.89,73.96,74.81,1160435,TROW
2013-03-08,75.45,75.45,74.46,75.2,1351244,TROW
2013-03-11,74.59,75.27,74.2,75.19,1320693,TROW
2013-03-12,75.05,75.26,74.21,74.62,970532,TROW
2013-03-13,74.78,75.16,74.55,75.05,940084,TROW
2013-03-14,75.44,76.0,75.23,75.44,1505626,TROW
2013-03-15,75.03,75.95,74.77,75.56,2406239,TROW
2013-03-18,74.77,75.19,74.36,74.71,1286352,TROW
2013-03-19,75.03,75.11,73.78,74.31,1621219,TROW
2013-03-20,75.06,75.8,74.48,74.79,1244205,TROW
2013-03-21,74.43,74.75,73.4,73.71,1350635,TROW
2013-03-22,71.67,74.75,71.67,74.12,1081993,TROW
2013-03-25,74.54,74.65,73.5,73.88,1196631,TROW
2013-03-26,74.09,74.79,73.93,74.76,1067992,TROW
2013-03-27,74.1,74.59,73.7076,74.15,1340721,TROW
2013-03-28,74.17,75.08,74.03,74.87,1099583,TROW
2013-04-01,75.0,75.11,74.01,74.26,733954,TROW
2013-04-02,74.77,75.02,74.32,74.85,1325415,TROW
2013-04-03,74.67,74.97,73.07,73.25,1170691,TROW
2013-04-04,73.64,74.4,73.37,73.89,803765,TROW
2013-04-05,72.84,73.38,72.19,73.26,928861,TROW
2013-04-08,73.23,74.2,72.94,74.19,887224,TROW
2013-04-09,74.39,75.03,74.08,74.44,1036617,TROW
2013-04-10,74.61,76.17,74.45,76.06,1152404,TROW
2013-04-11,76.26,77.14,76.0,76.89,1138170,TROW
2013-04-12,76.75,76.99,76.07,76.8,939987,TROW
2013-04-15,76.62,76.77,74.33,74.36,1171667,TROW
2013-04-16,75.04,76.12,74.74,76.07,1079976,TROW
2013-04-17,75.18,75.33,73.955,74.58,1437018,TROW
2013-04-18,74.63,74.89,73.276,73.49,962270,TROW
2013-04-19,73.8,74.77,73.1301,74.53,1571091,TROW
2013-04-22,75.27,75.27,73.76,74.99,917554,TROW
2013-04-23,75.57,76.41,75.2,76.29,1038801,TROW
2013-04-24,75.0,75.0,71.55,72.75,2776599,TROW
2013-04-25,72.6,73.045,71.32,71.68,3375756,TROW
2013-04-26,71.79,72.125,71.01,71.02,2338710,TROW
2013-04-29,71.47,71.81,70.93,71.48,2194019,TROW
2013-04-30,71.76,72.67,71.5,72.5,1887574,TROW
2013-05-01,72.29,72.8,71.7,71.71,1435718,TROW
2013-05-02,71.81,72.9,71.66,72.36,1302630,TROW
2013-05-03,73.21,73.89,73.02,73.25,1099013,TROW
2013-05-06,73.18,73.615,72.84,73.28,838340,TROW
2013-05-07,73.62,74.02,73.15,73.55,1286533,TROW
2013-05-08,73.63,74.9,73.24,74.86,1276239,TROW
2013-05-09,74.63,75.13,74.3,74.45,894885,TROW
2013-05-10,74.81,75.19,74.25,75.19,1035680,TROW
2013-05-13,75.14,75.68,74.58,75.19,1284787,TROW
2013-05-14,75.08,76.7,75.0578,76.65,1420455,TROW
2013-05-15,76.46,77.6,75.8,77.58,1635273,TROW
2013-05-16,77.48,78.21,77.111,77.25,1626792,TROW
2013-05-17,77.49,78.45,77.49,78.36,1256347,TROW
2013-05-20,78.38,79.59,78.014,78.36,1600348,TROW
2013-05-21,78.99,79.4101,78.43,78.62,1238068,TROW
2013-05-22,78.56,80.13,77.36,77.73,1849977,TROW
2013-05-23,76.46,77.37,75.9,76.85,1509319,TROW
2013-05-24,76.14,76.93,75.9,76.92,930032,TROW
2013-05-28,77.92,78.38,77.662,77.96,1442444,TROW
2013-05-29,77.43,77.885,76.82,77.22,1068904,TROW
2013-05-30,77.48,78.07,76.69,77.51,797877,TROW
2013-05-31,77.25,77.89,75.83,75.91,1504741,TROW
2013-06-03,76.39,76.57,75.031,75.98,1879803,TROW
2013-06-04,75.95,76.5825,74.8764,75.23,915370,TROW
2013-06-05,74.97,75.42,73.19,73.26,1430821,TROW
2013-06-06,73.08,73.99,72.51,73.99,1099938,TROW
2013-06-07,74.84,75.77,73.9,75.68,933986,TROW
2013-06-10,76.08,76.29,75.06,75.46,905220,TROW
2013-06-11,74.44,74.95,73.73,73.95,859186,TROW
2013-06-12,74.76,74.81,72.37,72.46,1178549,TROW
2013-06-13,72.46,74.37,72.24,74.35,1032950,TROW
2013-06-14,74.4,74.4,73.11,73.4,940551,TROW
2013-06-17,73.51,75.05,72.66,74.5,1015918,TROW
2013-06-18,74.67,75.84,74.19,75.62,916300,TROW
2013-06-19,75.8,76.25,74.66,74.71,1829440,TROW
2013-06-20,73.72,74.255,72.47,72.68,1594405,TROW
2013-06-21,72.93,73.16,71.36,72.07,2873089,TROW
2013-06-24,72.34,72.39,70.07,70.56,2132167,TROW
2013-06-25,71.81,72.698,71.09,72.34,1585066,TROW
2013-06-26,73.15,73.68,72.83,73.19,1235294,TROW
2013-06-27,73.55,74.14,73.31,73.66,1147212,TROW
2013-06-28,73.02,73.66,72.46,73.2,1695578,TROW
2013-07-01,73.59,74.52,73.465,73.67,1362988,TROW
2013-07-02,72.9,74.25,72.9,73.99,1128225,TROW
2013-07-03,73.51,74.25,73.19,74.06,683911,TROW
2013-07-05,74.83,75.39,74.18,75.37,922681,TROW
2013-07-08,75.74,76.19,75.33,75.89,1229844,TROW
2013-07-09,76.62,76.854,75.55,76.56,1122291,TROW
2013-07-10,76.2,76.51,74.98,75.56,1728601,TROW
2013-07-11,76.62,77.79,76.52,77.44,2332532,TROW
2013-07-12,77.42,77.71,76.71,77.45,1231895,TROW
2013-07-15,77.49,78.36,77.45,77.95,918977,TROW
2013-07-16,78.15,78.29,77.44,77.58,850328,TROW
2013-07-17,78.29,78.3,77.63,78.17,1024362,TROW
2013-07-18,78.14,78.95,78.14,78.35,1026911,TROW
2013-07-19,78.48,79.19,77.63,79.18,1372346,TROW
2013-07-22,79.85,80.1,78.8136,80.01,1215964,TROW
2013-07-23,80.0,80.26,79.53,79.59,1360246,TROW
2013-07-24,74.6,76.99,74.6,75.61,3726983,TROW
2013-07-25,75.82,76.53,75.2,75.73,2267113,TROW
2013-07-26,75.6,76.3,75.07,76.25,1075892,TROW
2013-07-29,74.21,75.88,74.03,74.63,1966632,TROW
2013-07-30,75.01,75.33,74.4532,74.57,1875816,TROW
2013-07-31,73.91,75.96,73.91,75.24,2398884,TROW
2013-08-01,76.03,77.03,75.64,76.75,1383995,TROW
2013-08-02,76.36,76.74,75.79,76.35,1301773,TROW
2013-08-05,76.32,76.32,75.7,75.87,896696,TROW
2013-08-06,75.79,76.06,75.25,75.43,944594,TROW
2013-08-07,75.42,75.42,74.33,74.49,1477890,TROW
2013-08-08,75.08,75.39,74.4,75.24,1427241,TROW
2013-08-09,74.715,75.5104,74.37,74.68,926463,TROW
2013-08-12,74.23,74.44,73.64,73.99,1003190,TROW
2013-08-13,76.96,76.96,73.75,74.58,1408476,TROW
2013-08-14,74.61,74.866,73.7,73.87,1684343,TROW
2013-08-15,73.18,73.37,72.2,72.72,1901130,TROW
2013-08-16,72.75,73.1,72.1601,72.75,1568088,TROW
2013-08-19,72.66,72.73,71.73,71.74,848206,TROW
2013-08-20,71.76,72.9,71.45,72.57,1106220,TROW
2013-08-21,72.0,72.59,71.45,71.75,1121654,TROW
2013-08-22,72.0,72.87,72.0,72.62,878114,TROW
2013-08-23,72.68,72.7,71.88,72.58,725682,TROW
2013-08-26,72.35,72.81,71.69,71.79,1336901,TROW
2013-08-27,70.87,71.21,70.22,70.3,1404541,TROW
2013-08-28,70.17,71.01,70.05,70.5,1312527,TROW
2013-08-29,70.25,71.2499,70.09,70.76,836838,TROW
2013-08-30,70.99,71.0,69.97,70.14,997460,TROW
2013-09-03,70.94,71.55,69.95,70.7,1018857,TROW
2013-09-04,70.88,71.27,70.34,70.83,1354545,TROW
2013-09-05,70.89,71.42,70.65,70.94,879473,TROW
2013-09-06,71.23,71.2599,69.9,70.72,1053481,TROW
2013-09-09,71.12,71.21,70.75,71.15,2103614,TROW
2013-09-10,71.82,72.223,71.22,72.04,1104015,TROW
2013-09-11,71.63,71.89,71.12,71.58,1247583,TROW
