date,open,high,low,close,volume,Name
2013-02-08,51.5,52.02,51.47,52.02,1010132,TSCO
2013-02-11,51.77,51.97,51.3794,51.6,656296,TSCO
2013-02-12,51.705,51.82,51.215,51.48,798632,TSCO
2013-02-13,51.325,51.6,51.163,51.55,741058,TSCO
2013-02-14,51.68,52.375,51.265,51.875,1194826,TSCO
2013-02-15,51.995,52.685,51.405,51.885,1650746,TSCO
2013-02-19,51.955,52.444,51.28,51.72,1270556,TSCO
2013-02-20,51.255,51.7199,50.77,50.78,1501392,TSCO
2013-02-21,50.54,51.04,50.35,50.445,1369264,TSCO
2013-02-22,50.5,50.83,50.3,50.625,904110,TSCO
2013-02-25,50.93,51.3785,50.5975,50.645,1632518,TSCO
2013-02-26,51.255,51.615,50.755,51.26,1095082,TSCO
2013-02-27,51.265,51.99,51.185,51.63,473486,TSCO
2013-02-28,51.54,52.45,51.54,51.995,1024822,TSCO
2013-03-01,51.92,52.345,51.29,51.545,1812658,TSCO
2013-03-04,51.605,51.875,51.29,51.84,1843596,TSCO
2013-03-05,52.115,52.348,51.83,52.145,1378584,TSCO
2013-03-06,52.38,52.645,51.933,52.115,1982530,TSCO
2013-03-07,51.925,52.095,50.875,51.91,1841106,TSCO
2013-03-08,52.0,52.47,51.575,52.35,1335262,TSCO
2013-03-11,52.3,52.5,51.902,52.025,769938,TSCO
2013-03-12,52.025,52.025,51.34,51.46,1017790,TSCO
2013-03-13,51.295,52.11,51.295,51.395,931354,TSCO
2013-03-14,51.535,51.55,51.115,51.245,840856,TSCO
2013-03-15,50.98,51.2075,50.45,50.505,7026770,TSCO
2013-03-18,50.11,50.855,49.82,50.62,1129592,TSCO
2013-03-19,50.74,50.805,50.016,50.295,980810,TSCO
2013-03-20,50.545,51.255,50.25,51.17,1130706,TSCO
2013-03-21,50.765,51.21,50.5859,50.94,678912,TSCO
2013-03-22,51.16,51.266,50.855,51.055,658280,TSCO
2013-03-25,51.305,51.375,50.46,50.735,624262,TSCO
2013-03-26,50.915,51.005,50.56,50.955,995016,TSCO
2013-03-27,50.67,51.58,50.58,51.575,696200,TSCO
2013-03-28,51.34,52.15,51.34,52.065,768554,TSCO
2013-04-01,52.0,52.0,51.1551,51.39,848028,TSCO
2013-04-02,51.505,51.54,51.025,51.305,615132,TSCO
2013-04-03,51.225,51.315,50.17,50.84,832388,TSCO
2013-04-04,50.89,51.84,50.73,51.79,899342,TSCO
2013-04-05,51.19,53.135,50.485,53.015,1472204,TSCO
2013-04-08,52.885,54.375,52.885,54.325,2713734,TSCO
2013-04-09,54.365,54.545,53.2,54.215,1450742,TSCO
2013-04-10,54.445,54.895,54.0001,54.33,1474452,TSCO
2013-04-11,54.445,54.7349,53.855,54.36,1491662,TSCO
2013-04-12,54.125,54.5,53.16,53.68,996500,TSCO
2013-04-15,53.36,53.89,52.055,52.405,1038732,TSCO
2013-04-16,52.89,52.985,52.14,52.865,794552,TSCO
2013-04-17,52.45,52.92,51.82,52.81,1014468,TSCO
2013-04-18,52.71,53.34,51.785,53.105,1477852,TSCO
2013-04-19,53.155,54.08,53.12,54.03,986194,TSCO
2013-04-22,54.125,55.28,54.035,54.795,1780268,TSCO
2013-04-23,54.135,56.5,54.135,55.64,2137334,TSCO
2013-04-24,55.77,56.2925,55.32,56.025,1685982,TSCO
2013-04-25,54.94,56.61,53.505,55.42,4964558,TSCO
2013-04-26,55.53,55.64,54.12,54.25,1407424,TSCO
2013-04-29,54.495,54.51,53.53,53.82,1269178,TSCO
2013-04-30,53.835,53.965,53.05,53.585,2077666,TSCO
2013-05-01,53.31,53.94,52.57,52.665,886624,TSCO
2013-05-02,53.67,54.5,53.22,54.205,1001812,TSCO
2013-05-03,55.2,55.565,54.855,55.37,1330032,TSCO
2013-05-06,55.565,56.095,55.5,55.94,829614,TSCO
2013-05-07,56.16,56.595,55.695,56.585,904690,TSCO
2013-05-08,56.475,56.6,55.53,55.645,754448,TSCO
2013-05-09,55.735,55.945,55.295,55.755,589088,TSCO
2013-05-10,55.71,56.915,55.4851,56.88,918852,TSCO
2013-05-13,56.55,57.075,56.22,57.01,783356,TSCO
2013-05-14,56.955,57.5335,56.895,57.325,785716,TSCO
2013-05-15,57.1,57.5725,57.05,57.47,1002406,TSCO
2013-05-16,57.205,57.98,56.135,56.465,1091242,TSCO
2013-05-17,56.75,56.945,55.928,56.3,544992,TSCO
2013-05-20,56.29,56.565,56.0,56.115,583130,TSCO
2013-05-21,56.315,57.275,56.225,57.18,878828,TSCO
2013-05-22,57.145,57.595,55.1,55.615,1156910,TSCO
2013-05-23,55.265,55.62,54.75,55.6,864038,TSCO
2013-05-24,55.37,55.8,55.085,55.6,467474,TSCO
2013-05-28,56.105,57.02,55.95,55.975,824990,TSCO
2013-05-29,55.59,56.395,55.395,55.815,634896,TSCO
2013-05-30,55.87,56.975,55.87,56.615,821546,TSCO
2013-05-31,56.455,57.23,55.97,55.99,906816,TSCO
2013-06-03,55.83,56.485,54.425,55.1,1212834,TSCO
2013-06-04,55.005,55.35,53.315,54.31,1032172,TSCO
2013-06-05,54.265,55.24,54.075,54.995,1117514,TSCO
2013-06-06,54.865,56.07,54.63,56.065,594196,TSCO
2013-06-07,56.57,57.3125,56.02,56.76,736876,TSCO
2013-06-10,56.93,57.295,56.34,56.88,535986,TSCO
2013-06-11,56.215,57.535,56.185,57.18,927700,TSCO
2013-06-12,57.535,57.625,56.285,56.345,1005614,TSCO
2013-06-13,56.25,57.32,56.005,57.25,447294,TSCO
2013-06-14,57.305,57.445,56.995,57.34,1135908,TSCO
2013-06-17,57.54,57.95,57.245,57.765,543226,TSCO
2013-06-18,57.91,58.875,57.77,58.805,756206,TSCO
2013-06-19,58.74,58.975,57.975,58.005,805336,TSCO
2013-06-20,57.27,57.82,56.15,56.27,1076672,TSCO
2013-06-21,56.335,56.8749,54.225,55.105,2570648,TSCO
2013-06-24,54.81,56.34,54.12,55.595,1551622,TSCO
2013-06-25,55.955,56.62,55.495,55.985,656938,TSCO
2013-06-26,57.095,57.095,55.62,56.44,552020,TSCO
2013-06-27,57.155,58.525,57.04,58.245,1472920,TSCO
2013-06-28,58.09,59.115,57.91,58.774,2004570,TSCO
2013-07-01,59.375,59.389,57.9,58.19,1391216,TSCO
2013-07-02,57.45,58.655,57.0,57.95,938578,TSCO
2013-07-03,57.79,58.39,57.56,58.145,404286,TSCO
2013-07-05,59.03,59.43,58.0,59.405,582100,TSCO
2013-07-08,59.71,60.25,59.17,59.57,747318,TSCO
2013-07-09,59.855,60.2199,59.575,60.081,585014,TSCO
2013-07-10,60.28,61.1,60.25,61.085,709342,TSCO
2013-07-11,61.5,61.88,61.166,61.45,920102,TSCO
2013-07-12,61.275,61.595,60.9175,61.505,501656,TSCO
2013-07-15,61.81,62.225,61.135,61.285,699366,TSCO
2013-07-16,61.46,61.655,60.015,60.34,871318,TSCO
2013-07-17,60.315,60.472,58.94,59.55,1595774,TSCO
2013-07-18,59.82,60.735,59.82,60.375,1234800,TSCO
2013-07-19,60.565,61.37,60.125,61.246,532196,TSCO
2013-07-22,61.045,61.92,61.0,61.035,742830,TSCO
2013-07-23,61.33,61.455,60.7,61.04,862626,TSCO
2013-07-24,60.965,61.34,59.895,60.635,1038322,TSCO
