date,open,high,low,close,volume,Name
2013-02-08,12.555,12.66,12.4675,12.55,3579600,UAA
2013-02-11,12.4975,12.5,12.291,12.455,4905556,UAA
2013-02-12,12.4975,12.5825,12.3475,12.43,4118588,UAA
2013-02-13,12.4275,12.5975,12.12,12.175,5823228,UAA
2013-02-14,12.12,12.305,12.0475,12.225,4055068,UAA
2013-02-15,12.2375,12.4975,12.2125,12.3875,6539140,UAA
2013-02-19,12.455,12.625,12.38,12.44,5006720,UAA
2013-02-20,12.46,12.4975,12.175,12.19,4661128,UAA
2013-02-21,12.175,12.22,11.805,11.935,6222120,UAA
2013-02-22,12.015,12.1475,11.7837,11.8125,5358804,UAA
2013-02-25,11.8925,12.0525,11.665,11.6725,5863804,UAA
2013-02-26,11.695,11.9775,11.5775,11.8825,7259564,UAA
2013-02-27,11.855,12.155,11.815,12.0525,4424476,UAA
2013-02-28,12.0525,12.3925,12.03,12.32,6506788,UAA
2013-03-01,12.275,12.41,12.225,12.365,6829776,UAA
2013-03-04,12.3025,12.6475,12.2725,12.4925,4628932,UAA
2013-03-05,12.5725,12.6125,12.38,12.4775,5806476,UAA
2013-03-06,12.4875,12.6975,12.4275,12.5525,4356984,UAA
2013-03-07,12.625,12.6325,12.43,12.625,4249756,UAA
2013-03-08,12.6475,12.715,12.1875,12.285,7194132,UAA
2013-03-11,12.1475,12.2125,11.9025,12.17,9165100,UAA
2013-03-12,12.1825,12.2888,12.03,12.1275,4832264,UAA
2013-03-13,12.13,12.4925,12.13,12.4275,4696552,UAA
2013-03-14,12.495,12.7825,12.4775,12.77,6536480,UAA
2013-03-15,12.7975,12.865,12.6125,12.665,6130372,UAA
2013-03-18,12.54,12.63,12.4525,12.5525,4120384,UAA
2013-03-19,12.5075,12.62,12.0225,12.12,6133984,UAA
2013-03-20,12.245,12.4625,12.145,12.4025,5581024,UAA
2013-03-21,12.28,12.355,12.0825,12.0925,5329476,UAA
2013-03-22,12.3375,12.67,12.3,12.65,9395464,UAA
2013-03-25,12.745,12.745,12.555,12.6775,5506096,UAA
2013-03-26,12.69,12.7175,12.4725,12.6625,3575940,UAA
2013-03-27,12.5975,12.7925,12.4475,12.7425,3556484,UAA
2013-03-28,12.6775,12.9375,12.6775,12.8,5251832,UAA
2013-04-01,12.775,12.925,12.5725,12.64,3166696,UAA
2013-04-02,12.74,13.21,12.669,12.905,5853936,UAA
2013-04-03,12.935,13.405,12.86,13.3125,8237836,UAA
2013-04-04,13.2775,13.4475,13.15,13.3075,5441648,UAA
2013-04-05,13.1125,13.285,12.9225,13.26,2847204,UAA
2013-04-08,13.25,13.5275,13.23,13.505,4859912,UAA
2013-04-09,13.55,13.5875,13.3925,13.5525,4716000,UAA
2013-04-10,13.6025,13.825,13.525,13.7425,5464560,UAA
2013-04-11,13.85,14.14,13.815,14.0075,6767996,UAA
2013-04-12,14.0,14.2775,13.94,14.25,7217604,UAA
2013-04-15,14.4925,14.63,14.09,14.0975,12864772,UAA
2013-04-16,14.1525,14.38,13.925,14.1925,7542860,UAA
2013-04-17,14.1225,14.2475,13.795,14.205,6938256,UAA
2013-04-18,14.2125,14.2175,13.7925,13.9175,9603840,UAA
2013-04-19,14.4675,14.61,13.82,14.1025,17270184,UAA
2013-04-22,13.955,13.965,13.675,13.815,7861136,UAA
2013-04-23,13.9175,14.0175,13.72,13.8675,5115364,UAA
2013-04-24,13.8425,14.042,13.805,13.9925,5621016,UAA
2013-04-25,14.015,14.2325,14.0002,14.1125,5546332,UAA
2013-04-26,14.13,14.1975,13.875,13.94,3734732,UAA
2013-04-29,14.075,14.1175,13.88,13.98,5006128,UAA
2013-04-30,14.0,14.275,13.925,14.27,7009920,UAA
2013-05-01,14.215,14.35,14.0475,14.09,4856592,UAA
2013-05-02,14.245,14.3125,14.045,14.235,3808312,UAA
2013-05-03,14.315,14.4875,14.275,14.4275,4286220,UAA
2013-05-06,14.415,14.53,14.34,14.4125,3626016,UAA
2013-05-07,14.3775,14.4875,14.375,14.465,3833436,UAA
2013-05-08,14.4175,14.5675,14.3375,14.5525,4477296,UAA
2013-05-09,14.5525,14.795,14.5275,14.6625,5084276,UAA
2013-05-10,14.6375,14.9925,14.6275,14.9625,6062284,UAA
2013-05-13,14.915,15.045,14.785,14.8575,4556876,UAA
2013-05-14,14.8625,15.2175,14.8606,15.1525,3660176,UAA
2013-05-15,15.155,15.4075,15.125,15.345,4045468,UAA
2013-05-16,15.325,15.4475,15.2875,15.3475,6260772,UAA
2013-05-17,15.36,15.685,15.335,15.6275,5729492,UAA
2013-05-20,15.5625,15.6725,15.42,15.52,3917492,UAA
2013-05-21,15.5,16.1175,15.4725,16.075,8759520,UAA
2013-05-22,16.075,16.3875,15.8525,15.89,9871304,UAA
2013-05-23,15.6875,15.82,15.5,15.7525,7350736,UAA
2013-05-24,15.605,15.6825,15.3925,15.635,4536944,UAA
2013-05-28,15.84,15.97,15.75,15.8225,3613320,UAA
2013-05-29,15.705,15.87,15.59,15.685,3792748,UAA
2013-05-30,15.67,15.8678,15.5525,15.685,4593236,UAA
2013-05-31,15.64,15.7775,15.4975,15.5,4405504,UAA
2013-06-03,15.4625,15.5946,15.2075,15.4375,5182768,UAA
